timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780412965.134,init,-0.1479,6.9597,0.2248,-5.1229,0.3467,0.1064,0.2377
1780412967.325,init,-0.1448,6.9545,0.2302,-5.1251,0.3485,0.1070,0.2379
1780412967.331,init,-0.1307,6.9653,0.2171,-5.1139,0.3320,0.1065,0.2388
1780412967.456,init,-0.1429,6.9593,0.2213,-5.1108,0.3402,0.1060,0.2380
1780412967.461,init,-0.1465,6.9580,0.2343,-5.1232,0.3522,0.1064,0.2376
1780412967.464,init,-0.1383,6.9657,0.2205,-5.1153,0.3371,0.1063,0.2385
1780412968.201,start,-0.1387,6.9681,0.2106,-5.1093,0.3289,0.1057,0.2389
1780412968.220,start,-0.1522,6.9611,0.2241,-5.1251,0.3463,0.1064,0.2381
1780412968.225,start,-0.1367,6.9650,0.2122,-5.1110,0.3295,0.1058,0.2389
1780412968.329,start,-0.1502,6.9650,0.2197,-5.1214,0.3441,0.1064,0.2385
1780412969.046,start,-0.1345,6.9716,0.2164,-5.1087,0.3284,0.1054,0.2382
1780412969.050,start,-0.1464,6.9646,0.2212,-5.1141,0.3434,0.1055,0.2376
1780412969.315,start,-0.1507,6.9593,0.2316,-5.1251,0.3494,0.1059,0.2377
1780412974.024,start,-0.1311,6.9638,0.2189,-5.1158,0.3351,0.1058,0.2385
1780412974.377,start,-0.1310,6.9615,0.2160,-5.1077,0.3292,0.1053,0.2382
1780412976.144,start,-0.1393,6.9617,0.2200,-5.1184,0.3408,0.1052,0.2379
1780412976.915,start,-0.1458,6.9535,0.2311,-5.1223,0.3541,0.1061,0.2369
1780412980.825,start,-0.1497,6.9520,0.2330,-5.1248,0.3550,0.1045,0.2373
1780412982.841,start,-0.1345,6.9679,0.2161,-5.1094,0.3278,0.1042,0.2383
1780412982.847,start,-0.1434,6.9592,0.2253,-5.1166,0.3477,0.1043,0.2375
1780412982.847,start,-0.1442,6.9548,0.2341,-5.1244,0.3488,0.1048,0.2373
1780412982.848,start,-0.1309,6.9656,0.2209,-5.1141,0.3325,0.1044,0.2382
1780412982.849,start,-0.1378,6.9620,0.2195,-5.1113,0.3331,0.1040,0.2378
1780412982.850,start,-0.1460,6.9589,0.2303,-5.1252,0.3549,0.1044,0.2370
1780412982.851,start,-0.1457,6.9648,0.2220,-5.1251,0.3430,0.1044,0.2376
1780412982.851,start,-0.1343,6.9662,0.2154,-5.1108,0.3276,0.1037,0.2383
1780412982.852,start,-0.1440,6.9581,0.2229,-5.1169,0.3443,0.1039,0.2377
1780412982.853,start,-0.1463,6.9570,0.2330,-5.1270,0.3500,0.1045,0.2374
1780412982.854,start,-0.1328,6.9689,0.2191,-5.1183,0.3342,0.1045,0.2383
1780412982.855,start,-0.1353,6.9613,0.2181,-5.1101,0.3305,0.1042,0.2381
1780412982.865,start,-0.1479,6.9546,0.2283,-5.1221,0.3535,0.1048,0.2372
1780412982.875,start,-0.1506,6.9619,0.2231,-5.1252,0.3438,0.1049,0.2376
1780412982.887,start,-0.1331,6.9644,0.2158,-5.1113,0.3278,0.1042,0.2384
1780412982.895,start,-0.1372,6.9604,0.2260,-5.1166,0.3411,0.1043,0.2377
1780412982.905,start,-0.1101,6.9589,0.2558,-5.1276,0.3524,0.1048,0.2372
1780412982.915,start,-0.1282,6.9639,0.2412,-5.1183,0.3354,0.1045,0.2381
1780412982.924,start,-0.1614,6.9633,0.2417,-5.1095,0.3235,0.1033,0.2382
1780412982.935,start,-0.1991,6.9567,0.2744,-5.1203,0.3365,0.1022,0.2374
1780412982.945,start,-0.3171,6.9638,0.2445,-5.1251,0.3068,0.0998,0.2381
1780412982.954,start,-0.5202,6.9691,0.1352,-5.1096,0.2556,0.0952,0.2392
1780412982.965,start,-0.8408,6.9451,-0.0018,-5.1048,0.2215,0.0841,0.2385
1780412982.975,start,-1.1388,6.9626,-0.1261,-5.1188,0.1952,0.0576,0.2375
1780412982.985,start,-1.3420,7.0474,-0.2219,-5.1234,0.1525,0.0089,0.2377
1780412982.995,start,-1.4075,7.0955,-0.2385,-5.1058,0.1229,-0.0507,0.2363
1780412983.005,start,-1.3665,7.1137,-0.1708,-5.1042,0.1332,-0.0843,0.2332
1780412983.015,start,-1.3426,7.1004,-0.1268,-5.1242,0.1233,-0.0980,0.2314
1780412983.025,start,-1.3991,7.0913,-0.1553,-5.1714,0.0973,-0.1053,0.2306
