timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780412503.887,init,-0.0240,7.0122,0.2485,-5.1579,0.5072,-0.1887,0.2633
1780412504.622,init,-0.0170,7.0334,0.2303,-5.1252,0.4883,-0.1911,0.2634
1780412507.834,init,-0.0222,7.0224,0.2384,-5.1380,0.4951,-0.1932,0.2639
1780412513.550,init,-0.0310,7.0178,0.2441,-5.1413,0.4963,-0.1846,0.2630
1780412513.554,start,-0.0328,7.0394,0.2243,-5.1208,0.4804,-0.1846,0.2626
1780412515.876,start,-0.0347,7.0140,0.2497,-5.1641,0.5049,-0.1867,0.2624
1780412521.698,start,-0.0549,7.0256,0.2494,-5.1582,0.4990,-0.1895,0.2625
1780412521.701,start,-0.0499,7.0103,0.2568,-5.1587,0.5076,-0.1897,0.2627
1780412521.705,start,-0.0504,7.0388,0.2315,-5.1190,0.4797,-0.1901,0.2627
1780412522.988,start,-0.0461,7.0353,0.2370,-5.1224,0.4827,-0.1908,0.2625
1780412526.331,start,-0.0543,7.0110,0.2467,-5.1522,0.5016,-0.1875,0.2625
1780412526.349,start,-0.0561,7.0147,0.2431,-5.1547,0.4956,-0.1873,0.2623
1780412526.352,start,-0.0510,6.9997,0.2548,-5.1615,0.5081,-0.1875,0.2627
1780412526.356,start,-0.0472,7.0330,0.2353,-5.1198,0.4803,-0.1879,0.2627
1780412526.359,start,-0.0386,7.0367,0.2493,-5.1323,0.4874,-0.1876,0.2623
1780412526.361,start,-0.0463,7.0171,0.2655,-5.1687,0.5120,-0.1871,0.2623
1780412526.363,start,-0.0440,7.0358,0.2486,-5.1362,0.4920,-0.1876,0.2626
1780412526.365,start,-0.0446,7.0490,0.2342,-5.1230,0.4824,-0.1874,0.2622
1780412526.368,start,-0.0601,7.0177,0.2506,-5.1643,0.5065,-0.1871,0.2621
1780412526.370,start,-0.0571,7.0144,0.2463,-5.1506,0.5022,-0.1873,0.2625
1780412526.372,start,-0.0566,7.0348,0.2223,-5.1164,0.4775,-0.1873,0.2624
1780412526.373,start,-0.0579,7.0166,0.2417,-5.1506,0.4937,-0.1869,0.2621
1780412526.374,start,-0.0562,7.0024,0.2521,-5.1626,0.5078,-0.1871,0.2623
1780412526.376,start,-0.0541,7.0322,0.2297,-5.1225,0.4796,-0.1875,0.2623
1780412526.386,start,-0.0331,7.0379,0.2489,-5.1323,0.4850,-0.1874,0.2618
1780412526.395,start,-0.0379,7.0173,0.2726,-5.1693,0.5105,-0.1874,0.2619
1780412526.405,start,-0.0557,7.0365,0.2597,-5.1389,0.4912,-0.1881,0.2620
1780412526.416,start,0.0093,7.0411,0.3160,-5.1195,0.4810,-0.1886,0.2616
1780412526.425,start,-0.0874,7.0237,0.3499,-5.1623,0.4921,-0.1890,0.2618
1780412526.435,start,-0.3768,7.0333,0.2103,-5.1610,0.4551,-0.1922,0.2629
1780412526.446,start,-0.6837,7.0534,0.0331,-5.1362,0.3881,-0.1996,0.2634
1780412526.456,start,-0.9601,6.9914,-0.0690,-5.1523,0.3585,-0.2126,0.2632
1780412526.466,start,-1.2140,7.0024,-0.1634,-5.1593,0.3408,-0.2499,0.2615
1780412526.475,start,-1.3696,7.1071,-0.2326,-5.1392,0.2957,-0.3018,0.2581
1780412526.485,start,-1.3460,7.1541,-0.1831,-5.1577,0.2846,-0.3233,0.2535
1780412526.496,start,-1.3108,7.1099,-0.1063,-5.2053,0.2995,-0.3194,0.2498
1780412526.506,start,-1.3196,7.1221,-0.0956,-5.2060,0.2784,-0.3330,0.2467
