timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780414026.603,init,-0.2691,7.0380,0.1297,-5.1885,0.4663,0.2371,0.2331
1780414026.647,init,-0.2640,7.0372,0.1309,-5.1997,0.4626,0.2372,0.2339
1780414027.079,init,-0.2563,7.0486,0.1254,-5.1921,0.4535,0.2375,0.2343
1780414037.222,init,-0.2718,7.0420,0.1404,-5.2035,0.4765,0.2373,0.2333
1780414041.802,start,-0.2725,7.0445,0.1289,-5.1877,0.4666,0.2371,0.2337
1780414041.805,start,-0.2724,7.0408,0.1395,-5.2056,0.4729,0.2376,0.2336
1780414041.810,start,-0.2615,7.0522,0.1220,-5.1893,0.4472,0.2377,0.2344
1780414043.197,start,-0.2693,7.0417,0.1374,-5.1998,0.4748,0.2373,0.2336
1780414043.200,start,-0.2703,7.0399,0.1306,-5.2024,0.4624,0.2376,0.2341
1780414045.521,start,-0.2643,7.0478,0.1165,-5.1806,0.4423,0.2373,0.2339
1780414045.556,start,-0.2599,7.0467,0.1253,-5.1928,0.4519,0.2372,0.2337
1780414045.558,start,-0.2619,7.0475,0.1200,-5.1777,0.4450,0.2370,0.2339
1780414045.561,start,-0.2720,7.0380,0.1335,-5.1953,0.4749,0.2373,0.2330
1780414045.563,start,-0.2783,7.0422,0.1286,-5.2050,0.4663,0.2378,0.2335
1780414045.564,start,-0.2637,7.0518,0.1162,-5.1834,0.4426,0.2374,0.2342
1780414045.566,start,-0.2693,7.0484,0.1253,-5.1880,0.4566,0.2372,0.2338
1780414045.568,start,-0.2698,7.0367,0.1432,-5.2046,0.4771,0.2376,0.2334
1780414045.570,start,-0.2652,7.0415,0.1268,-5.1955,0.4555,0.2375,0.2342
1780414045.571,start,-0.2644,7.0490,0.1189,-5.1785,0.4439,0.2373,0.2343
1780414045.572,start,-0.2768,7.0437,0.1301,-5.1948,0.4722,0.2375,0.2334
1780414045.573,start,-0.2788,7.0455,0.1321,-5.2076,0.4689,0.2377,0.2337
1780414045.574,start,-0.2620,7.0528,0.1176,-5.1865,0.4441,0.2375,0.2345
1780414045.582,start,-0.2559,7.0525,0.1322,-5.1860,0.4533,0.2375,0.2340
1780414045.592,start,-0.2453,7.0386,0.1641,-5.2038,0.4781,0.2376,0.2333
1780414045.602,start,-0.2824,7.0384,0.1443,-5.1980,0.4563,0.2374,0.2339
1780414045.612,start,-0.2991,7.0495,0.1437,-5.1781,0.4361,0.2361,0.2342
1780414045.622,start,-0.3231,7.0447,0.1889,-5.1924,0.4527,0.2343,0.2337
1780414045.632,start,-0.4440,7.0488,0.1681,-5.2088,0.4323,0.2317,0.2343
1780414045.642,start,-0.6725,7.0597,0.0342,-5.1923,0.3713,0.2271,0.2359
1780414045.652,start,-0.9759,7.0509,-0.1057,-5.1856,0.3294,0.2176,0.2360
1780414045.662,start,-1.2812,7.0197,-0.2311,-5.1629,0.3145,0.1877,0.2353
1780414045.672,start,-1.4650,7.0360,-0.3186,-5.1471,0.2723,0.1128,0.2360
1780414045.682,start,-1.4808,7.1046,-0.3278,-5.1566,0.2373,0.0263,0.2347
1780414045.692,start,-1.4227,7.2131,-0.2503,-5.2099,0.2469,-0.0245,0.2315
1780414045.702,start,-1.3885,7.2487,-0.1990,-5.2713,0.2507,-0.0463,0.2294
1780414045.712,start,-1.4689,7.2297,-0.2519,-5.2926,0.2194,-0.0646,0.2295
1780414045.722,start,-1.5176,7.1917,-0.2926,-5.2780,0.2029,-0.0826,0.2283
1780414045.732,start,-1.6503,7.1564,-0.3548,-5.2650,0.2223,-0.0977,0.2267
1780414045.742,start,-1.7419,7.2529,-0.4074,-5.2816,0.2187,-0.1143,0.2263
1780414045.752,start,-1.6692,7.3022,-0.3806,-5.3191,0.2129,-0.1202,0.2257
1780414045.762,start,-1.5581,7.2913,-0.3016,-5.3541,0.2494,-0.1115,0.2232
1780414045.772,start,-1.3444,7.2486,-0.1575,-5.3564,0.3036,-0.1053,0.2204
1780414045.782,start,-1.1822,7.1474,-0.0797,-5.2868,0.3246,-0.1172,0.2189
1780414045.792,start,-1.1724,7.1440,-0.0863,-5.2524,0.3372,-0.1328,0.2167
1780414045.802,start,-1.2176,7.2104,-0.1028,-5.2703,0.3824,-0.1417,0.2141
1780414045.812,start,-1.1489,7.0002,-0.0609,-5.2143,0.4074,-0.1516,0.2132
1780414045.822,start,-0.9650,7.0075,0.0261,-5.1636,0.4092,-0.1677,0.2119
1780414045.832,start,-0.9716,7.1612,0.0428,-5.2003,0.4277,-0.1799,0.2091
1780414045.842,start,-0.9987,7.3323,0.0526,-5.2815,0.4575,-0.1871,0.2072
1780414045.852,start,-1.0185,7.2994,0.0144,-5.2750,0.4481,-0.1944,0.2075
1780414045.862,start,-0.8450,7.0780,0.0863,-5.1798,0.4479,-0.1963,0.2069
1780414045.872,start,-0.7771,6.9218,0.1454,-5.1115,0.4928,-0.1973,0.2053
1780414045.882,start,-0.8452,6.9335,0.1313,-5.1124,0.5043,-0.2068,0.2045
1780414045.892,start,-0.9303,6.9864,0.0428,-5.1317,0.4767,-0.2102,0.2050
1780414045.902,start,-1.0498,7.1708,-0.0234,-5.2220,0.4742,-0.1954,0.2046
1780414045.912,start,-1.0276,7.3321,0.0207,-5.3226,0.5092,-0.1811,0.2045
1780414045.922,start,-1.0115,7.3487,0.0221,-5.3381,0.5102,-0.1814,0.2051
1780414045.932,start,-0.9743,7.1930,0.0223,-5.2658,0.4939,-0.1794,0.2039
1780414045.942,start,-0.9418,7.0115,0.0506,-5.1927,0.5162,-0.1727,0.2016
1780414045.952,start,-0.7482,6.9221,0.1807,-5.1493,0.5451,-0.1801,0.2012
1780414045.962,start,-0.6897,7.0870,0.1944,-5.1728,0.5367,-0.1993,0.2022
1780414045.972,start,-0.8591,7.1748,0.0994,-5.2410,0.5220,-0.2018,0.2003
1780414045.982,start,-0.9707,7.2469,0.0418,-5.3093,0.5394,-0.1948,0.1983
1780414045.992,start,-1.1015,7.3035,-0.0705,-5.3216,0.5271,-0.2100,0.1990
1780414046.002,start,-1.0604,7.2771,-0.0997,-5.2638,0.4986,-0.2309,0.1995
1780414046.012,start,-1.0140,7.1469,-0.0923,-5.2110,0.5141,-0.2297,0.1980
1780414046.022,start,-0.9255,7.0084,-0.0422,-5.1788,0.5387,-0.2264,0.1962
1780414046.032,start,-0.8623,6.9219,-0.0551,-5.1186,0.5229,-0.2410,0.1967
1780414046.042,start,-0.7008,7.1287,0.0259,-5.1538,0.5209,-0.2548,0.1968
1780414046.052,start,-0.7060,7.2332,0.0416,-5.2549,0.5620,-0.2430,0.1959
1780414046.062,start,-0.8907,7.1938,-0.0639,-5.3059,0.5602,-0.2258,0.1968
1780414046.072,start,-0.9685,7.2192,-0.1530,-5.2982,0.5269,-0.2293,0.1975
1780414046.082,start,-1.0315,7.1633,-0.2024,-5.2612,0.5358,-0.2397,0.1972
1780414046.092,start,-0.9713,7.1228,-0.1444,-5.2606,0.5706,-0.2357,0.1969
1780414046.102,start,-0.9237,7.0198,-0.1439,-5.2324,0.5655,-0.2284,0.1974
1780414046.112,start,-0.8847,7.0016,-0.1416,-5.2156,0.5492,-0.2323,0.1965
1780414046.122,start,-0.8420,7.2079,-0.0977,-5.2708,0.5823,-0.2434,0.1953
1780414046.132,start,-0.6993,7.3715,0.0102,-5.3320,0.6036,-0.2541,0.1954
1780414046.142,start,-0.6806,7.3240,-0.0012,-5.3278,0.5806,-0.2578,0.1960
1780414046.152,start,-0.8607,7.2532,-0.1004,-5.3121,0.5666,-0.2550,0.1956
1780414046.162,start,-0.9669,7.1278,-0.1443,-5.2675,0.5803,-0.2603,0.1958
1780414046.172,start,-1.0549,7.0512,-0.2393,-5.2024,0.5567,-0.2802,0.1971
1780414046.182,start,-1.0185,7.0143,-0.2454,-5.1630,0.5260,-0.2868,0.1973
1780414046.192,start,-0.9360,7.0508,-0.1885,-5.2083,0.5504,-0.2751,0.1962
1780414046.202,start,-0.8560,7.1781,-0.1224,-5.2769,0.5651,-0.2733,0.1970
1780414046.212,start,-0.7702,7.3438,-0.1054,-5.3265,0.5431,-0.2710,0.1987
