timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780497781.953,init,-1.0113,6.3036,0.2888,-4.5732,0.4119,-0.3212,0.2077
1780497781.964,init,-1.0221,6.3005,0.3135,-4.5794,0.3877,-0.3210,0.2071
1780497781.973,init,-1.0410,6.3052,0.2657,-4.5733,0.4099,-0.3209,0.2082
1780497782.545,init,-1.0229,6.2996,0.3133,-4.5806,0.3880,-0.3208,0.2068
1780497783.282,init,-1.0717,6.3010,0.2702,-4.5754,0.3962,-0.3209,0.2076
1780497784.242,init,-1.0567,6.3001,0.2633,-4.5716,0.4081,-0.3203,0.2083
1780497784.782,init,-1.0056,6.3067,0.2875,-4.5783,0.4091,-0.3206,0.2076
1780497784.849,init,-1.0635,6.3045,0.2641,-4.5752,0.4041,-0.3201,0.2083
1780497787.117,init,-1.0661,6.3086,0.2682,-4.5736,0.4014,-0.3204,0.2078
1780497787.120,start,-1.0044,6.3029,0.2997,-4.5775,0.4129,-0.3206,0.2071
1780497791.436,start,-1.0394,6.3071,0.2704,-4.5719,0.4072,-0.3199,0.2071
1780497791.882,start,-1.0443,6.3040,0.2715,-4.5713,0.4040,-0.3191,0.2081
1780497792.092,start,-0.9998,6.3024,0.2929,-4.5763,0.4072,-0.3194,0.2082
1780497792.182,start,-1.0009,6.3011,0.2906,-4.5741,0.4069,-0.3197,0.2084
1780497796.731,start,-1.0206,6.3018,0.3017,-4.5761,0.3876,-0.3188,0.2069
1780497800.999,start,-1.0374,6.3098,0.2760,-4.5742,0.4033,-0.3205,0.2079
1780497801.154,start,-1.0268,6.3001,0.2708,-4.5699,0.4090,-0.3202,0.2083
1780497801.158,start,-1.0079,6.2988,0.2964,-4.5781,0.4048,-0.3205,0.2071
1780497801.161,start,-1.0419,6.3062,0.2736,-4.5722,0.4010,-0.3202,0.2080
1780497801.247,start,-1.0285,6.3057,0.2735,-4.5694,0.4101,-0.3205,0.2081
1780497801.539,start,-1.0400,6.3064,0.2794,-4.5745,0.3979,-0.3202,0.2082
1780497801.542,start,-0.9958,6.3019,0.2948,-4.5758,0.4082,-0.3206,0.2081
1780497801.553,start,-1.0283,6.2992,0.2947,-4.5752,0.3869,-0.3202,0.2078
1780497801.555,start,-0.9955,6.3071,0.2889,-4.5737,0.4081,-0.3205,0.2082
1780497801.557,start,-1.0164,6.3018,0.3032,-4.5770,0.3887,-0.3205,0.2073
1780497801.559,start,-1.0150,6.3042,0.2756,-4.5723,0.4103,-0.3206,0.2082
1780497801.561,start,-1.0111,6.3014,0.3011,-4.5780,0.3997,-0.3210,0.2071
1780497801.563,start,-1.0371,6.3070,0.2714,-4.5699,0.4070,-0.3205,0.2083
1780497801.565,start,-1.0059,6.2997,0.2979,-4.5774,0.4067,-0.3208,0.2073
1780497801.567,start,-1.0388,6.3063,0.2836,-4.5729,0.3958,-0.3206,0.2079
1780497801.568,start,-0.9953,6.3047,0.2979,-4.5758,0.4077,-0.3210,0.2081
1780497801.570,start,-1.0304,6.3026,0.2961,-4.5753,0.3859,-0.3206,0.2078
1780497801.571,start,-0.9996,6.3092,0.2873,-4.5742,0.4077,-0.3208,0.2084
1780497801.573,start,-1.0178,6.3061,0.3039,-4.5784,0.3895,-0.3208,0.2075
1780497801.583,start,-1.0166,6.3035,0.2772,-4.5708,0.4106,-0.3209,0.2085
1780497801.593,start,-1.0081,6.3024,0.3036,-4.5784,0.4013,-0.3214,0.2074
