timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780496425.450,init,-0.8604,6.5257,0.3609,-4.3248,0.3108,-0.1869,0.2152
1780496425.506,init,-0.8665,6.5430,0.3646,-4.3167,0.3221,-0.1870,0.2146
1780496425.508,init,-0.8688,6.5530,0.3582,-4.3102,0.3146,-0.1870,0.2150
1780496425.510,init,-0.8524,6.5367,0.3599,-4.3211,0.3085,-0.1867,0.2155
1780496438.139,init,-0.8417,6.5350,0.3629,-4.3205,0.3106,-0.1862,0.2152
1780496445.141,init,-0.8532,6.5407,0.3525,-4.3263,0.3087,-0.1854,0.2145
1780496445.144,init,-0.8682,6.5247,0.3492,-4.3326,0.3123,-0.1850,0.2141
1780496445.147,init,-0.8606,6.5391,0.3634,-4.3192,0.3213,-0.1851,0.2138
1780496445.150,init,-0.8486,6.5428,0.3622,-4.3140,0.3162,-0.1853,0.2143
1780496448.028,init,-0.8592,6.5527,0.3681,-4.3118,0.3156,-0.1857,0.2145
1780496455.739,start,-0.8431,6.5252,0.3637,-4.3271,0.3059,-0.1859,0.2158
1780496456.275,start,-0.8468,6.5273,0.3624,-4.3239,0.3085,-0.1861,0.2152
1780496456.278,start,-0.8549,6.5263,0.3628,-4.3236,0.3223,-0.1862,0.2144
1780496457.535,start,-0.8493,6.5325,0.3602,-4.3241,0.3066,-0.1861,0.2158
1780496460.958,start,-0.8442,6.5342,0.3587,-4.3202,0.3091,-0.1854,0.2149
1780496464.206,start,-0.8354,6.5449,0.3617,-4.3169,0.3126,-0.1855,0.2153
1780496464.209,start,-0.8354,6.5449,0.3617,-4.3169,0.3126,-0.1855,0.2153
1780496468.236,start,-0.8745,6.5189,0.3447,-4.3241,0.3167,-0.1858,0.2143
1780496471.710,start,-0.8525,6.5255,0.3571,-4.3286,0.3078,-0.1861,0.2145
1780496471.713,start,-0.8558,6.5311,0.3629,-4.3211,0.3236,-0.1861,0.2137
1780496471.717,start,-0.8603,6.5517,0.3652,-4.3119,0.3152,-0.1862,0.2141
1780496471.917,start,-0.8557,6.5432,0.3700,-4.3173,0.3200,-0.1862,0.2143
1780496473.345,start,-0.8397,6.5279,0.3598,-4.3265,0.3094,-0.1853,0.2148
1780496473.349,start,-0.8514,6.5317,0.3582,-4.3245,0.3239,-0.1853,0.2139
1780496474.298,start,-0.8593,6.5535,0.3584,-4.3145,0.3147,-0.1849,0.2147
1780496477.560,start,-0.8397,6.5441,0.3591,-4.3154,0.3105,-0.1856,0.2142
1780496477.570,start,-0.8478,6.5252,0.3589,-4.3256,0.3079,-0.1854,0.2141
1780496477.572,start,-0.8512,6.5346,0.3634,-4.3178,0.3223,-0.1856,0.2134
1780496477.574,start,-0.8598,6.5517,0.3591,-4.3080,0.3134,-0.1858,0.2139
1780496477.576,start,-0.8433,6.5376,0.3566,-4.3180,0.3079,-0.1857,0.2144
1780496477.578,start,-0.8535,6.5230,0.3563,-4.3272,0.3127,-0.1856,0.2139
1780496477.580,start,-0.8520,6.5459,0.3665,-4.3170,0.3203,-0.1856,0.2136
1780496477.581,start,-0.8497,6.5531,0.3570,-4.3134,0.3142,-0.1855,0.2141
1780496477.583,start,-0.8438,6.5337,0.3565,-4.3260,0.3073,-0.1854,0.2144
1780496477.585,start,-0.8535,6.5255,0.3566,-4.3255,0.3189,-0.1852,0.2136
1780496477.589,start,-0.8578,6.5463,0.3658,-4.3122,0.3154,-0.1853,0.2136
1780496477.592,start,-0.8424,6.5497,0.3582,-4.3158,0.3117,-0.1852,0.2142
1780496477.593,start,-0.8481,6.5270,0.3576,-4.3280,0.3068,-0.1851,0.2141
1780496477.602,start,-0.8536,6.5315,0.3604,-4.3218,0.3222,-0.1851,0.2133
1780496477.611,start,-0.8617,6.5554,0.3617,-4.3107,0.3135,-0.1852,0.2136
1780496477.620,start,-0.8384,6.5387,0.3591,-4.3181,0.3092,-0.1851,0.2142
1780496477.630,start,-0.8391,6.5264,0.3662,-4.3282,0.3108,-0.1850,0.2138
1780496477.640,start,-0.8220,6.5445,0.3905,-4.3181,0.3226,-0.1856,0.2133
1780496477.650,start,-0.8537,6.5531,0.3826,-4.3108,0.3132,-0.1868,0.2142
1780496477.660,start,-0.8567,6.5349,0.3952,-4.3221,0.3025,-0.1900,0.2160
1780496477.670,start,-0.8913,6.5259,0.4292,-4.3249,0.3027,-0.1977,0.2180
1780496477.680,start,-1.0898,6.4917,0.3578,-4.2936,0.2790,-0.2190,0.2213
1780496477.690,start,-1.3540,6.5674,0.1823,-4.3007,0.2379,-0.2916,0.2266
1780496477.700,start,-1.5776,6.7042,0.0530,-4.3408,0.1969,-0.3988,0.2311
1780496477.709,start,-1.7947,6.8457,-0.0804,-4.3903,0.1824,-0.4867,0.2338
1780496477.719,start,-1.8786,6.9913,-0.1383,-4.4789,0.1605,-0.5309,0.2366
1780496477.730,start,-1.8216,6.9228,-0.1473,-4.5217,0.1506,-0.5495,0.2388
1780496477.740,start,-1.6725,6.8558,-0.0713,-4.5305,0.1439,-0.5640,0.2395
1780496477.750,start,-1.5626,6.9087,-0.0092,-4.5714,0.1533,-0.5759,0.2399
1780496477.760,start,-1.5877,6.8716,-0.0199,-4.5780,0.1358,-0.5824,0.2418
1780496477.770,start,-1.5782,6.9083,-0.0564,-4.5793,0.1100,-0.5929,0.2427
1780496477.780,start,-1.7178,6.9609,-0.1566,-4.6009,0.0954,-0.5992,0.2425
1780496477.790,start,-1.7701,6.8811,-0.1811,-4.5563,0.0930,-0.6107,0.2427
1780496477.800,start,-1.7084,6.8448,-0.1545,-4.4840,0.0930,-0.6384,0.2441
1780496477.810,start,-1.5814,6.8569,-0.0808,-4.4443,0.0912,-0.6559,0.2447
1780496477.820,start,-1.3953,6.6852,0.0230,-4.4257,0.1188,-0.6410,0.2443
