timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780495276.104,init,-0.9089,6.5665,0.3885,-4.3630,0.3192,0.4343,0.2061
1780495276.106,init,-0.8388,6.5599,0.3456,-4.3485,0.2719,0.4341,0.2070
1780495277.692,init,-0.8334,6.5646,0.3454,-4.3520,0.2726,0.4372,0.2074
1780495277.694,init,-0.8713,6.5686,0.4095,-4.3640,0.3207,0.4374,0.2061
1780495280.380,init,-0.9206,6.5654,0.4081,-4.3667,0.3268,0.4421,0.2063
1780495280.383,init,-0.8514,6.5634,0.3564,-4.3543,0.2771,0.4419,0.2079
1780495285.052,start,-0.9155,6.5615,0.3990,-4.3648,0.3245,0.4453,0.2073
1780495285.057,start,-0.8424,6.5606,0.3487,-4.3523,0.2733,0.4451,0.2086
1780495294.715,start,-0.9069,6.5568,0.4071,-4.3702,0.3262,0.4517,0.2068
1780495300.331,start,-0.8704,6.5572,0.4236,-4.3683,0.3244,0.4533,0.2063
1780495300.867,start,-0.8352,6.5578,0.3545,-4.3564,0.2753,0.4552,0.2085
1780495302.672,start,-0.8547,6.5595,0.3689,-4.3564,0.2895,0.4553,0.2073
1780495312.548,start,-0.8959,6.5664,0.3944,-4.3624,0.3243,0.4588,0.2071
1780495317.499,start,-0.8680,6.5469,0.4105,-4.3676,0.3168,0.4601,0.2071
1780495317.502,start,-0.8365,6.5523,0.3730,-4.3592,0.2912,0.4600,0.2083
1780495317.504,start,-0.8410,6.5544,0.3685,-4.3531,0.2901,0.4599,0.2081
1780495317.506,start,-0.8632,6.5542,0.4084,-4.3676,0.3211,0.4603,0.2073
1780495317.509,start,-0.8529,6.5559,0.3777,-4.3656,0.3032,0.4602,0.2083
1780495317.511,start,-0.8342,6.5531,0.3608,-4.3511,0.2845,0.4600,0.2086
1780495317.512,start,-0.8616,6.5497,0.3960,-4.3618,0.3190,0.4602,0.2073
1780495317.514,start,-0.8729,6.5553,0.3857,-4.3693,0.3105,0.4603,0.2078
1780495317.515,start,-0.8329,6.5592,0.3603,-4.3551,0.2825,0.4600,0.2088
