timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1781010949.705,init,0.0583,7.3916,0.4704,-4.6247,0.2581,-0.1027,0.2910
1781010957.021,init,0.0599,7.3830,0.4761,-4.6253,0.2566,-0.1030,0.2923
1781010957.041,init,0.0565,7.3856,0.4723,-4.6260,0.2567,-0.1030,0.2919
1781010957.088,init,0.0561,7.3851,0.4759,-4.6224,0.2588,-0.1031,0.2918
1781010964.146,init,0.0548,7.3850,0.4719,-4.6222,0.2601,-0.1024,0.2915
1781010964.153,start,0.0595,7.3870,0.4753,-4.6243,0.2595,-0.1023,0.2917
1781010965.357,start,0.0621,7.3862,0.4766,-4.6205,0.2578,-0.1036,0.2918
1781010965.362,start,0.0584,7.3825,0.4722,-4.6177,0.2571,-0.1036,0.2919
1781010966.283,start,0.0674,7.3934,0.4882,-4.6181,0.2628,-0.1037,0.2913
1781010966.285,start,0.0598,7.3856,0.4742,-4.6251,0.2571,-0.1034,0.2911
1781010966.287,start,0.0567,7.3806,0.4591,-4.6238,0.2534,-0.1033,0.2912
1781010966.291,start,0.0540,7.3881,0.4717,-4.6134,0.2593,-0.1035,0.2911
1781010966.813,start,0.0622,7.3862,0.4783,-4.6282,0.2570,-0.1029,0.2916
1781010966.817,start,0.0621,7.3930,0.4769,-4.6325,0.2568,-0.1029,0.2917
1781010966.825,start,0.0564,7.3870,0.4763,-4.6200,0.2588,-0.1029,0.2917
1781010966.828,start,0.0555,7.3729,0.4712,-4.6128,0.2562,-0.1028,0.2917
1781010966.830,start,0.0562,7.3689,0.4700,-4.6132,0.2561,-0.1027,0.2918
1781010966.833,start,0.0559,7.3884,0.4776,-4.6157,0.2587,-0.1028,0.2918
1781010966.834,start,0.0624,7.3989,0.4790,-4.6252,0.2580,-0.1027,0.2919
1781010966.836,start,0.0605,7.3979,0.4759,-4.6274,0.2573,-0.1026,0.2919
1781010966.838,start,0.0551,7.3916,0.4741,-4.6151,0.2587,-0.1028,0.2918
1781010966.839,start,0.0534,7.3824,0.4697,-4.6100,0.2570,-0.1029,0.2918
1781010966.840,start,0.0536,7.3836,0.4681,-4.6151,0.2559,-0.1029,0.2918
1781010966.842,start,0.0584,7.3984,0.4763,-4.6208,0.2586,-0.1030,0.2917
1781010966.844,start,0.0581,7.4013,0.4789,-4.6248,0.2585,-0.1029,0.2917
1781010966.854,start,0.0589,7.3964,0.4756,-4.6237,0.2574,-0.1028,0.2917
1781010966.864,start,0.0527,7.3900,0.4729,-4.6149,0.2587,-0.1027,0.2916
1781010966.873,start,0.0487,7.3873,0.4674,-4.6137,0.2580,-0.1026,0.2916
1781010966.883,start,0.0721,7.3978,0.4781,-4.6228,0.2576,-0.1026,0.2916
1781010966.893,start,0.0952,7.3940,0.5016,-4.6198,0.2602,-0.1027,0.2917
1781010966.903,start,0.0573,7.3979,0.5067,-4.6171,0.2594,-0.1032,0.2929
1781010966.914,start,0.0276,7.4140,0.5220,-4.6113,0.2558,-0.1047,0.2955
1781010966.923,start,0.0738,7.3405,0.6124,-4.5683,0.2527,-0.1093,0.2987
1781010966.933,start,-0.2181,7.3719,0.5385,-4.5507,0.2286,-0.1176,0.3032
1781010966.943,start,-0.7887,7.5754,0.2791,-4.5319,0.1805,-0.1480,0.3081
1781010966.953,start,-1.1435,7.6961,0.1024,-4.5394,0.1395,-0.2435,0.3120
1781010966.963,start,-1.4485,7.6156,-0.0147,-4.5388,0.1148,-0.3258,0.3143
1781010966.973,start,-1.3629,7.7690,0.0773,-4.6368,0.1105,-0.3658,0.3149
1781010966.983,start,-1.4616,7.8837,0.0847,-4.7217,0.1027,-0.4008,0.3152
1781010966.993,start,-1.6359,8.0154,0.0147,-4.7781,0.0880,-0.4230,0.3151
1781010967.003,start,-1.7862,7.8443,-0.0454,-4.7015,0.0730,-0.4515,0.3148
1781010967.014,start,-1.8811,7.9879,-0.0872,-4.7766,0.0683,-0.4690,0.3138
1781010967.024,start,-1.8627,7.9912,-0.0623,-4.7305,0.0657,-0.4855,0.3128
1781010967.034,start,-1.8357,7.8586,-0.0467,-4.6057,0.0637,-0.5224,0.3129
1781010967.044,start,-1.7978,7.7528,-0.0446,-4.5123,0.0647,-0.5491,0.3131
1781010967.053,start,-1.6928,7.5369,-0.0079,-4.4683,0.0696,-0.5480,0.3135
1781010967.063,start,-1.7482,7.6463,-0.0216,-4.6004,0.0802,-0.5154,0.3147
1781010967.073,start,-1.6679,7.8924,0.0313,-4.7045,0.0983,-0.4936,0.3161
1781010967.083,start,-1.5775,7.6708,0.0523,-4.6086,0.1102,-0.4963,0.3175
1781010967.094,start,-1.3241,7.7404,0.2009,-4.6657,0.1380,-0.4826,0.3186
1781010967.104,start,-1.1158,7.3956,0.3321,-4.6364,0.1772,-0.4532,0.3189
1781010967.113,start,-0.9968,7.5254,0.4152,-4.6235,0.2053,-0.4622,0.3200
1781010967.123,start,-0.8795,7.3171,0.4826,-4.4456,0.2173,-0.4902,0.3210
1781010967.133,start,-1.0256,7.2033,0.4202,-4.4481,0.2261,-0.4811,0.3203
1781010967.143,start,-1.0726,7.3302,0.3927,-4.5240,0.2291,-0.4637,0.3192
1781010967.153,start,-1.0299,7.0804,0.3928,-4.3795,0.2286,-0.4808,0.3170
1781010967.163,start,-1.0581,7.1356,0.3894,-4.3700,0.2363,-0.4902,0.3146
1781010967.173,start,-0.9876,7.2406,0.4240,-4.4306,0.2442,-0.4740,0.3121
1781010967.184,start,-0.8043,7.3183,0.5206,-4.4435,0.2525,-0.4791,0.3097
1781010967.193,start,-0.7584,7.4136,0.5630,-4.4826,0.2649,-0.4826,0.3089
1781010967.203,start,-0.8905,7.4195,0.5070,-4.5429,0.2695,-0.4702,0.3089
1781010967.213,start,-0.9532,7.5832,0.4711,-4.5920,0.2581,-0.4559,0.3103
1781010967.223,start,-1.0175,7.5014,0.4150,-4.5797,0.2520,-0.4613,0.3132
1781010967.233,start,-1.0016,7.4536,0.4270,-4.6154,0.2564,-0.4489,0.3155
1781010967.243,start,-0.9052,7.6122,0.4765,-4.6421,0.2577,-0.4453,0.3177
1781010967.253,start,-0.9205,7.3597,0.4657,-4.5533,0.2544,-0.4558,0.3185
1781010967.263,start,-0.8635,7.4410,0.4919,-4.6307,0.2583,-0.4385,0.3186
1781010967.273,start,-0.7612,7.3081,0.5586,-4.6098,0.2695,-0.4291,0.3169
1781010967.283,start,-0.7517,7.3690,0.5743,-4.5688,0.2691,-0.4399,0.3137
1781010967.293,start,-0.9014,7.2411,0.4930,-4.5867,0.2643,-0.4306,0.3105
1781010967.304,start,-0.9887,7.2882,0.4558,-4.6523,0.2615,-0.4003,0.3073
1781010967.314,start,-1.0145,7.4611,0.4304,-4.6527,0.2556,-0.4121,0.3052
1781010967.323,start,-1.0122,7.4127,0.4260,-4.6022,0.2541,-0.4330,0.3045
1781010967.333,start,-0.9450,7.3873,0.4715,-4.6223,0.2590,-0.4117,0.3038
1781010967.343,start,-0.9670,7.2566,0.4657,-4.5958,0.2581,-0.3998,0.3047
