timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1781012118.284,init,0.0920,7.3486,0.4493,-4.6354,0.2000,-0.1247,0.2854
1781012121.941,init,0.0866,7.3476,0.4425,-4.6346,0.1994,-0.1253,0.2852
1781012122.706,init,0.0867,7.3539,0.4431,-4.6386,0.1991,-0.1247,0.2851
1781012123.837,init,0.0916,7.3443,0.4420,-4.6376,0.2003,-0.1250,0.2845
1781012124.503,init,0.0899,7.3433,0.4400,-4.6357,0.1982,-0.1247,0.2851
1781012126.612,init,0.0798,7.3432,0.4410,-4.6366,0.1963,-0.1253,0.2849
1781012129.194,init,0.0856,7.3434,0.4424,-4.6360,0.1964,-0.1253,0.2843
1781012147.446,init,0.0869,7.3432,0.4403,-4.6358,0.1990,-0.1251,0.2840
1781012147.455,init,0.0717,7.3459,0.4335,-4.6368,0.1978,-0.1248,0.2848
1781012149.871,start,0.0763,7.3414,0.4447,-4.6375,0.1965,-0.1242,0.2845
1781012159.183,start,0.0760,7.3495,0.4352,-4.6383,0.1980,-0.1235,0.2843
1781012163.420,start,0.0800,7.3535,0.4382,-4.6341,0.1973,-0.1231,0.2845
1781012177.398,start,0.0687,7.3458,0.4395,-4.6355,0.1999,-0.1227,0.2839
1781012187.184,start,0.0750,7.3500,0.4310,-4.6373,0.1966,-0.1229,0.2835
1781012191.445,start,0.0751,7.3490,0.4344,-4.6355,0.1969,-0.1225,0.2842
1781012191.448,start,0.0732,7.3484,0.4395,-4.6408,0.1966,-0.1224,0.2843
1781012191.452,start,0.0720,7.3466,0.4340,-4.6348,0.1963,-0.1226,0.2845
1781012191.456,start,0.0684,7.3415,0.4360,-4.6380,0.1956,-0.1226,0.2838
1781012197.563,start,0.0736,7.3558,0.4384,-4.6332,0.1953,-0.1234,0.2845
1781012199.471,start,0.0724,7.3450,0.4404,-4.6409,0.2007,-0.1231,0.2849
1781012225.355,start,0.0664,7.3478,0.4425,-4.6412,0.1944,-0.1226,0.2833
1781012225.367,start,0.0666,7.3494,0.4362,-4.6334,0.1954,-0.1227,0.2837
1781012225.369,start,0.0642,7.3498,0.4429,-4.6399,0.1935,-0.1228,0.2835
1781012225.372,start,0.0689,7.3557,0.4400,-4.6355,0.1952,-0.1231,0.2839
1781012225.375,start,0.0669,7.3468,0.4422,-4.6356,0.1939,-0.1232,0.2833
1781012225.378,start,0.0679,7.3483,0.4442,-4.6352,0.1971,-0.1233,0.2837
1781012225.380,start,0.0669,7.3498,0.4393,-4.6301,0.1940,-0.1233,0.2836
1781012225.382,start,0.0633,7.3555,0.4434,-4.6375,0.1928,-0.1233,0.2831
1781012225.384,start,0.0691,7.3574,0.4406,-4.6351,0.1986,-0.1235,0.2836
1781012225.386,start,0.0670,7.3525,0.4389,-4.6342,0.1960,-0.1234,0.2831
1781012225.388,start,0.0635,7.3496,0.4443,-4.6388,0.1951,-0.1231,0.2834
1781012225.391,start,0.0678,7.3500,0.4411,-4.6337,0.1952,-0.1233,0.2837
1781012225.393,start,0.0640,7.3457,0.4433,-4.6372,0.1940,-0.1231,0.2833
1781012225.396,start,0.0647,7.3531,0.4424,-4.6393,0.1985,-0.1232,0.2838
1781012225.408,start,0.0640,7.3529,0.4374,-4.6350,0.1947,-0.1233,0.2836
1781012225.414,start,0.0635,7.3560,0.4440,-4.6398,0.1927,-0.1231,0.2835
1781012225.425,start,0.0704,7.3547,0.4416,-4.6342,0.1974,-0.1233,0.2839
1781012225.435,start,0.0674,7.3520,0.4405,-4.6335,0.1949,-0.1232,0.2832
1781012225.445,start,0.0719,7.3549,0.4508,-4.6376,0.1954,-0.1231,0.2835
1781012225.455,start,0.1113,7.3477,0.4687,-4.6282,0.1948,-0.1233,0.2837
1781012225.465,start,0.0752,7.3390,0.4706,-4.6291,0.1929,-0.1235,0.2841
1781012225.475,start,0.0673,7.3635,0.4924,-4.6271,0.1981,-0.1249,0.2883
1781012225.485,start,0.0400,7.3452,0.5450,-4.6081,0.1901,-0.1279,0.2935
1781012225.495,start,-0.1959,7.3968,0.4959,-4.5940,0.1673,-0.1320,0.3005
1781012225.505,start,-0.7113,7.4980,0.2642,-4.5082,0.1299,-0.1569,0.3085
1781012225.515,start,-1.1762,7.5564,0.0316,-4.5026,0.0846,-0.2453,0.3118
1781012225.525,start,-1.4785,7.4992,-0.0810,-4.5063,0.0585,-0.3332,0.3154
1781012225.535,start,-1.4325,7.5946,-0.0211,-4.5757,0.0537,-0.3803,0.3164
1781012225.545,start,-1.4946,7.9775,0.0176,-4.7490,0.0485,-0.4186,0.3162
1781012225.555,start,-1.6578,8.1145,-0.0521,-4.8240,0.0414,-0.4431,0.3181
1781012225.565,start,-1.7947,7.9014,-0.1033,-4.7507,0.0237,-0.4672,0.3163
1781012225.575,start,-1.9208,7.8639,-0.1583,-4.7390,0.0133,-0.4833,0.3144
1781012225.585,start,-1.8978,7.9820,-0.1476,-4.7867,0.0124,-0.4944,0.3132
1781012225.595,start,-1.8842,7.9839,-0.1351,-4.6943,0.0091,-0.5277,0.3099
1781012225.605,start,-1.8780,7.9505,-0.1439,-4.5940,0.0141,-0.5675,0.3089
1781012225.615,start,-1.8473,7.5384,-0.1372,-4.4472,0.0135,-0.5764,0.3061
1781012225.625,start,-1.7479,7.5600,-0.0787,-4.5579,0.0247,-0.5452,0.3040
1781012225.635,start,-1.7208,7.7381,-0.0438,-4.6611,0.0504,-0.5140,0.3055
1781012225.645,start,-1.6181,7.6652,-0.0047,-4.6169,0.0635,-0.5180,0.3048
1781012225.655,start,-1.3131,7.6987,0.1661,-4.6536,0.0882,-0.5033,0.3064
1781012225.665,start,-1.1521,7.3682,0.2735,-4.6337,0.1243,-0.4753,0.3073
1781012225.675,start,-1.0971,7.5738,0.3344,-4.6602,0.1512,-0.4764,0.3073
1781012225.685,start,-0.9599,7.2934,0.4013,-4.4700,0.1656,-0.5015,0.3098
1781012225.695,start,-1.0623,7.2549,0.3649,-4.4815,0.1760,-0.4949,0.3088
1781012225.705,start,-1.0629,7.2717,0.3823,-4.5160,0.1841,-0.4761,0.3079
1781012225.715,start,-1.0061,7.1408,0.3855,-4.4014,0.1883,-0.4988,0.3073
1781012225.725,start,-1.0876,7.2173,0.3549,-4.4129,0.1897,-0.5078,0.3044
1781012225.735,start,-1.0546,7.2255,0.3821,-4.4466,0.1974,-0.4869,0.3033
1781012225.745,start,-0.8631,7.3483,0.4729,-4.4710,0.2039,-0.4911,0.3017
1781012225.755,start,-0.8101,7.4439,0.5202,-4.5111,0.2102,-0.4919,0.3004
1781012225.765,start,-0.9340,7.3921,0.4668,-4.5555,0.2199,-0.4791,0.3020
1781012225.775,start,-0.9691,7.5504,0.4394,-4.5907,0.2088,-0.4672,0.3017
1781012225.785,start,-1.0387,7.3940,0.3821,-4.5469,0.1959,-0.4706,0.3022
1781012225.795,start,-1.0439,7.4484,0.3741,-4.6145,0.2024,-0.4648,0.3037
1781012225.805,start,-0.9524,7.5878,0.4229,-4.6457,0.2024,-0.4571,0.3025
1781012225.815,start,-0.9418,7.4077,0.4288,-4.5836,0.2027,-0.4691,0.3036
1781012225.825,start,-0.8847,7.4434,0.4481,-4.6348,0.2046,-0.4542,0.3033
1781012225.835,start,-0.7847,7.2386,0.5242,-4.5995,0.2098,-0.4382,0.3012
1781012225.845,start,-0.7712,7.3815,0.5348,-4.5830,0.2191,-0.4561,0.3011
1781012225.855,start,-0.9341,7.2320,0.4526,-4.5841,0.2109,-0.4500,0.2992
1781012225.865,start,-0.9851,7.3587,0.4284,-4.6675,0.2031,-0.4198,0.2978
1781012225.875,start,-1.0192,7.4251,0.3941,-4.6439,0.2025,-0.4297,0.2981
1781012225.885,start,-1.0274,7.4219,0.3994,-4.6326,0.2004,-0.4473,0.2961
1781012225.895,start,-0.9767,7.4105,0.4256,-4.6590,0.2054,-0.4286,0.2971
1781012225.905,start,-0.9957,7.2302,0.4210,-4.6052,0.2026,-0.4169,0.2967
1781012225.915,start,-0.9135,7.2646,0.4611,-4.5341,0.2030,-0.4334,0.2948
1781012225.925,start,-0.8012,7.3273,0.5104,-4.5850,0.2132,-0.4353,0.2960
1781012225.935,start,-0.7499,7.4100,0.5515,-4.6365,0.2197,-0.4214,0.2943
1781012225.945,start,-0.8850,7.5399,0.4991,-4.6607,0.2179,-0.4270,0.2950
1781012225.955,start,-0.9701,7.4167,0.4382,-4.6874,0.2049,-0.4204,0.2958
1781012225.965,start,-1.0532,7.4700,0.3812,-4.7220,0.1960,-0.4066,0.2945
1781012225.975,start,-1.1193,7.4232,0.3478,-4.5886,0.1986,-0.4392,0.2972
1781012225.985,start,-1.0439,7.1724,0.3784,-4.4779,0.1954,-0.4565,0.2967
1781012225.995,start,-0.9910,7.2246,0.4187,-4.5411,0.1958,-0.4388,0.2970
1781012226.005,start,-0.8407,6.9907,0.4888,-4.4492,0.2088,-0.4452,0.3001
1781012226.015,start,-0.7675,7.1794,0.5442,-4.4797,0.2155,-0.4630,0.2998
1781012226.025,start,-0.7737,7.1177,0.5563,-4.4983,0.2191,-0.4553,0.3027
1781012226.035,start,-0.9123,7.2184,0.4762,-4.5489,0.2142,-0.4457,0.3044
1781012226.045,start,-1.1192,7.2670,0.3727,-4.5975,0.1980,-0.4502,0.3051
1781012226.055,start,-1.1964,7.2559,0.3182,-4.6303,0.1985,-0.4412,0.3080
1781012226.065,start,-1.2004,7.3063,0.3187,-4.6227,0.1976,-0.4408,0.3074
1781012226.075,start,-1.1079,7.1816,0.3719,-4.5728,0.1981,-0.4429,0.3071
1781012226.085,start,-1.0813,7.2777,0.3850,-4.6264,0.2036,-0.4378,0.3059
1781012226.095,start,-0.9130,7.4033,0.4705,-4.6507,0.2096,-0.4360,0.3026
1781012226.105,start,-0.7956,7.3373,0.5278,-4.6144,0.2201,-0.4477,0.3026
1781012226.115,start,-0.8071,7.4553,0.5372,-4.7103,0.2199,-0.4381,0.3005
1781012226.125,start,-0.9374,7.3421,0.4724,-4.6894,0.2119,-0.4233,0.2983
1781012226.135,start,-1.1566,7.2865,0.3480,-4.6250,0.2039,-0.4512,0.2981
1781012226.145,start,-1.2407,7.3437,0.2875,-4.6349,0.1937,-0.4568,0.2960
1781012226.155,start,-1.2276,7.2483,0.2915,-4.6528,0.1911,-0.4385,0.2950
1781012226.165,start,-1.1113,7.3599,0.3446,-4.6878,0.1989,-0.4431,0.2946
1781012226.175,start,-1.0182,7.1410,0.3892,-4.6191,0.2008,-0.4503,0.2928
1781012226.185,start,-0.8124,7.2849,0.4986,-4.6606,0.2155,-0.4471,0.2933
1781012226.195,start,-0.7197,7.1839,0.5545,-4.6385,0.2228,-0.4446,0.2920
1781012226.205,start,-0.8336,7.1679,0.5231,-4.6132,0.2180,-0.4543,0.2904
1781012226.215,start,-0.9509,7.2555,0.4333,-4.6680,0.2133,-0.4451,0.2910
1781012226.225,start,-1.1716,7.2582,0.3098,-4.6872,0.1971,-0.4347,0.2895
1781012226.235,start,-1.1798,7.2296,0.3011,-4.6362,0.1934,-0.4404,0.2901
1781012226.245,start,-1.0703,7.1031,0.3382,-4.6251,0.1952,-0.4266,0.2911
1781012226.255,start,-0.9812,7.2116,0.3921,-4.6572,0.1985,-0.4208,0.2906
1781012226.265,start,-0.9346,7.2274,0.4113,-4.5697,0.2062,-0.4335,0.2940
1781012226.275,start,-0.7743,7.1425,0.5010,-4.5342,0.2075,-0.4301,0.2954
1781012226.285,start,-0.7051,7.2756,0.5496,-4.6354,0.2141,-0.4016,0.2972
1781012226.295,start,-0.8364,7.1523,0.4865,-4.5749,0.2153,-0.4087,0.3020
1781012226.305,start,-0.9247,7.0195,0.4291,-4.4899,0.2024,-0.4238,0.3030
1781012226.315,start,-1.0659,7.1176,0.3373,-4.5394,0.1940,-0.4120,0.3053
1781012226.325,start,-1.0947,7.0094,0.3082,-4.5385,0.1904,-0.4070,0.3051
1781012226.335,start,-1.0068,7.1877,0.3538,-4.6056,0.1918,-0.4098,0.3017
1781012226.345,start,-0.9105,7.1108,0.4037,-4.6304,0.2019,-0.4071,0.3007
1781012226.355,start,-0.8205,7.2253,0.4507,-4.6856,0.2070,-0.3986,0.2971
1781012226.365,start,-0.7076,7.1243,0.5348,-4.6425,0.2114,-0.4064,0.2951
1781012226.375,start,-0.6566,7.1089,0.5617,-4.6557,0.2190,-0.4108,0.2948
1781012226.385,start,-0.8000,7.2472,0.4958,-4.6967,0.2146,-0.4163,0.2923
1781012226.395,start,-0.9193,7.1054,0.4203,-4.6260,0.2071,-0.4372,0.2948
1781012226.405,start,-1.0189,7.1670,0.3380,-4.6864,0.1967,-0.4284,0.2948
1781012226.415,start,-1.0239,7.1770,0.3455,-4.6959,0.1932,-0.4170,0.2942
