timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780494467.748,init,-0.9082,6.3682,0.1720,-4.3151,0.2657,-0.4392,0.1979
1780494467.757,init,-0.8846,6.3839,0.2030,-4.3127,0.2764,-0.4394,0.1979
1780494467.767,init,-0.8800,6.3716,0.2029,-4.3143,0.2729,-0.4394,0.1979
1780494467.895,init,-0.9019,6.3801,0.1771,-4.3138,0.2675,-0.4395,0.1981
1780494468.241,init,-0.9034,6.3789,0.1760,-4.3148,0.2615,-0.4397,0.1979
1780494469.504,init,-0.8917,6.3697,0.1935,-4.3142,0.2642,-0.4400,0.1976
1780494469.724,init,-0.8917,6.3822,0.2038,-4.3115,0.2727,-0.4404,0.1977
1780494470.085,init,-0.8871,6.3709,0.1981,-4.3183,0.2694,-0.4392,0.1974
1780494470.130,init,-0.9110,6.3802,0.1727,-4.3143,0.2720,-0.4392,0.1978
1780494470.465,init,-0.8938,6.3825,0.1926,-4.3135,0.2797,-0.4393,0.1983
1780494470.536,start,-0.8849,6.3598,0.1966,-4.3100,0.2696,-0.4386,0.1983
1780494470.564,start,-0.8972,6.3787,0.1794,-4.3180,0.2654,-0.4389,0.1982
1780494470.648,start,-0.8931,6.3570,0.1952,-4.3059,0.2781,-0.4388,0.1983
1780494470.673,start,-0.8899,6.3901,0.1983,-4.3200,0.2771,-0.4389,0.1982
1780494470.851,start,-0.8962,6.3672,0.1880,-4.3130,0.2665,-0.4397,0.1983
1780494472.467,start,-0.8886,6.3579,0.1923,-4.3040,0.2726,-0.4398,0.1979
1780494473.335,start,-0.8833,6.3734,0.1955,-4.3118,0.2675,-0.4410,0.1977
1780494473.510,start,-0.8808,6.3564,0.2156,-4.3092,0.2879,-0.4405,0.1984
1780494473.580,start,-0.8784,6.3763,0.1828,-4.3121,0.2592,-0.4404,0.1989
1780494473.610,start,-0.9042,6.3776,0.1781,-4.3208,0.2818,-0.4400,0.1988
1780494473.637,start,-0.8531,6.3665,0.2112,-4.3149,0.2708,-0.4396,0.1990
1780494473.983,start,-0.8660,6.3723,0.2092,-4.3189,0.2796,-0.4358,0.1987
1780494473.992,start,-0.8731,6.3662,0.2094,-4.3088,0.2810,-0.4359,0.1987
1780494474.002,start,-0.8828,6.3621,0.1839,-4.3068,0.2688,-0.4362,0.1985
1780494474.011,start,-0.8952,6.3649,0.1720,-4.3123,0.2635,-0.4362,0.1984
