timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780498205.719,init,-0.8613,6.4342,0.3295,-4.5590,0.3243,-0.2995,0.2076
1780498205.723,init,-0.8534,6.4178,0.3570,-4.5525,0.3090,-0.2988,0.2090
1780498205.734,init,-0.8543,6.4010,0.3384,-4.5491,0.3278,-0.2996,0.2077
1780498205.754,init,-0.8968,6.3924,0.3303,-4.5473,0.3096,-0.2980,0.2081
1780498205.758,init,-0.8549,6.4003,0.3439,-4.5505,0.3244,-0.2968,0.2069
1780498205.771,start,-0.8955,6.4125,0.3173,-4.5545,0.3167,-0.2971,0.2069
1780498206.414,start,-0.8883,6.3933,0.3338,-4.5460,0.3077,-0.2976,0.2080
1780498206.759,start,-0.8535,6.4322,0.3340,-4.5557,0.3246,-0.3005,0.2075
1780498206.762,start,-0.8640,6.4125,0.3520,-4.5502,0.3075,-0.2994,0.2087
1780498206.883,start,-0.8386,6.4319,0.3594,-4.5587,0.3134,-0.2982,0.2084
1780498207.781,start,-0.8491,6.4248,0.3368,-4.5563,0.3263,-0.3006,0.2074
1780498208.047,start,-0.8324,6.4342,0.3585,-4.5593,0.3147,-0.2979,0.2080
1780498208.170,start,-0.8512,6.3962,0.3420,-4.5483,0.3263,-0.2981,0.2072
1780498209.372,start,-0.8374,6.4404,0.3581,-4.5583,0.3079,-0.2978,0.2088
1780498212.153,start,-0.8552,6.3942,0.3402,-4.5504,0.3251,-0.2974,0.2064
1780498215.452,start,-0.8349,6.4287,0.3592,-4.5554,0.3196,-0.2956,0.2074
1780498216.978,start,-0.8364,6.4334,0.3567,-4.5544,0.3165,-0.2970,0.2078
1780498216.979,start,-0.8660,6.4396,0.3228,-4.5555,0.3234,-0.2992,0.2074
1780498216.981,start,-0.8454,6.4251,0.3580,-4.5499,0.3105,-0.2988,0.2089
1780498216.983,start,-0.8460,6.4085,0.3403,-4.5467,0.3290,-0.2999,0.2074
1780498216.985,start,-0.8792,6.3980,0.3415,-4.5443,0.3111,-0.2983,0.2078
1780498216.987,start,-0.8475,6.4031,0.3478,-4.5464,0.3275,-0.2973,0.2066
1780498216.989,start,-0.8963,6.4138,0.3180,-4.5507,0.3161,-0.2971,0.2066
1780498216.990,start,-0.8445,6.4297,0.3520,-4.5530,0.3175,-0.2965,0.2071
1780498216.992,start,-0.8712,6.4368,0.3216,-4.5556,0.3223,-0.2986,0.2067
1780498216.997,start,-0.8408,6.4269,0.3608,-4.5520,0.3108,-0.2981,0.2085
1780498216.999,start,-0.8429,6.4149,0.3418,-4.5494,0.3286,-0.2996,0.2073
1780498217.001,start,-0.8731,6.4025,0.3462,-4.5467,0.3103,-0.2983,0.2080
1780498217.003,start,-0.8497,6.3974,0.3458,-4.5459,0.3272,-0.2973,0.2066
1780498217.014,start,-0.9032,6.4059,0.3167,-4.5478,0.3134,-0.2967,0.2068
1780498217.022,start,-0.8503,6.4209,0.3486,-4.5507,0.3170,-0.2962,0.2071
1780498217.033,start,-0.8688,6.4362,0.3254,-4.5535,0.3204,-0.2982,0.2067
1780498217.043,start,-0.8061,6.4359,0.3809,-4.5528,0.3113,-0.2981,0.2082
1780498217.053,start,-0.8351,6.4313,0.3522,-4.5525,0.3267,-0.3002,0.2069
1780498217.062,start,-0.8395,6.4251,0.3978,-4.5478,0.3077,-0.3004,0.2081
1780498217.073,start,-0.8356,6.4196,0.4252,-4.5476,0.3172,-0.3030,0.2080
1780498217.083,start,-1.0990,6.3826,0.3187,-4.5380,0.2762,-0.3082,0.2106
1780498217.093,start,-1.3026,6.3719,0.1931,-4.5320,0.2451,-0.3249,0.2143
1780498217.103,start,-1.5403,6.4380,0.0275,-4.5374,0.2081,-0.3946,0.2185
1780498217.113,start,-1.6583,6.5353,-0.0424,-4.5779,0.1698,-0.4960,0.2238
1780498217.123,start,-1.8612,6.6597,-0.2048,-4.6592,0.1624,-0.5781,0.2255
1780498217.132,start,-1.7382,6.7060,-0.1499,-4.6865,0.1369,-0.6230,0.2291
1780498217.142,start,-1.5648,6.7258,-0.0769,-4.7418,0.1546,-0.6491,0.2294
1780498217.152,start,-1.3887,6.7210,0.0347,-4.7389,0.1469,-0.6701,0.2304
1780498217.162,start,-1.3296,6.6690,0.0601,-4.6922,0.1475,-0.6913,0.2315
1780498217.172,start,-1.5264,6.6664,-0.0715,-4.6684,0.1244,-0.7091,0.2329
1780498217.183,start,-1.6235,6.7235,-0.1582,-4.7007,0.0899,-0.7106,0.2358
1780498217.193,start,-1.7106,6.7109,-0.2585,-4.7244,0.0890,-0.7051,0.2357
1780498217.202,start,-1.6826,6.7276,-0.2247,-4.7257,0.0735,-0.6923,0.2385
1780498217.213,start,-1.5050,6.6695,-0.1316,-4.6912,0.1131,-0.6922,0.2389
1780498217.223,start,-1.4546,6.4032,-0.0767,-4.5758,0.1165,-0.6901,0.2406
1780498217.233,start,-1.3163,6.5065,0.0034,-4.6379,0.1429,-0.6750,0.2411
1780498217.242,start,-1.3858,6.6334,-0.0434,-4.7098,0.1563,-0.6670,0.2428
1780498217.253,start,-1.0477,6.7133,0.1657,-4.7124,0.1774,-0.6599,0.2460
1780498217.263,start,-0.8566,6.6724,0.2857,-4.7043,0.2317,-0.6526,0.2462
1780498217.273,start,-0.6498,6.4548,0.4786,-4.6358,0.2475,-0.6399,0.2487
1780498217.283,start,-0.7642,6.4790,0.4028,-4.5933,0.2706,-0.6412,0.2498
1780498217.293,start,-1.0400,6.5953,0.2523,-4.6270,0.2373,-0.6405,0.2511
1780498217.302,start,-1.0807,6.6793,0.1983,-4.6626,0.2341,-0.6296,0.2502
1780498217.312,start,-1.1857,6.5574,0.1253,-4.6506,0.2272,-0.6186,0.2493
1780498217.323,start,-1.0391,6.4284,0.2210,-4.6010,0.2283,-0.6098,0.2482
1780498217.333,start,-1.0289,6.5062,0.2144,-4.5955,0.2561,-0.6115,0.2460
1780498217.343,start,-0.7214,6.6008,0.4236,-4.6162,0.2631,-0.6134,0.2463
1780498217.353,start,-0.6313,6.5807,0.4682,-4.6372,0.3008,-0.6038,0.2441
1780498217.363,start,-0.7367,6.4659,0.4481,-4.6234,0.2759,-0.5870,0.2431
1780498217.373,start,-0.8026,6.4672,0.3706,-4.6259,0.2741,-0.5765,0.2434
1780498217.383,start,-1.0364,6.5413,0.2180,-4.6497,0.2508,-0.5736,0.2445
1780498217.393,start,-0.9642,6.5801,0.2697,-4.6816,0.2484,-0.5649,0.2457
1780498217.403,start,-0.9872,6.5142,0.2384,-4.6707,0.2635,-0.5647,0.2467
1780498217.413,start,-0.9120,6.4388,0.2987,-4.6193,0.2436,-0.5674,0.2492
1780498217.422,start,-0.9158,6.4461,0.2628,-4.6172,0.2644,-0.5727,0.2487
1780498217.433,start,-0.7271,6.4424,0.4143,-4.6335,0.2583,-0.5683,0.2501
1780498217.443,start,-0.6365,6.4641,0.4549,-4.6589,0.2871,-0.5610,0.2497
1780498217.452,start,-0.8187,6.3609,0.3788,-4.6370,0.2767,-0.5643,0.2494
1780498217.462,start,-0.8319,6.4103,0.3619,-4.6233,0.2710,-0.5696,0.2497
1780498217.472,start,-0.9739,6.6115,0.2496,-4.7062,0.2659,-0.5740,0.2481
1780498217.483,start,-0.9048,6.5644,0.3073,-4.7470,0.2482,-0.5618,0.2468
1780498217.493,start,-0.9030,6.5812,0.2859,-4.7754,0.2684,-0.5549,0.2439
1780498217.503,start,-0.9307,6.3935,0.2902,-4.6766,0.2450,-0.5650,0.2439
1780498217.512,start,-0.8781,6.4797,0.2953,-4.6375,0.2677,-0.5860,0.2418
1780498217.522,start,-0.7674,6.6205,0.3858,-4.6857,0.2664,-0.6015,0.2401
1780498217.533,start,-0.6143,6.4992,0.4782,-4.7194,0.2776,-0.5849,0.2392
1780498217.543,start,-0.7589,6.3981,0.4042,-4.7207,0.2738,-0.5760,0.2375
1780498217.553,start,-0.8263,6.3022,0.3654,-4.6251,0.2526,-0.5921,0.2392
1780498217.563,start,-0.9862,6.4579,0.2266,-4.6033,0.2571,-0.6231,0.2389
1780498217.573,start,-1.0208,6.5914,0.2197,-4.6592,0.2332,-0.6228,0.2391
1780498217.583,start,-0.8782,6.4679,0.2729,-4.6790,0.2502,-0.6036,0.2374
1780498217.592,start,-0.8388,6.3567,0.3132,-4.6418,0.2389,-0.5968,0.2380
1780498217.602,start,-0.7127,6.2890,0.3859,-4.5879,0.2553,-0.6021,0.2379
1780498217.612,start,-0.6630,6.5691,0.4485,-4.6619,0.2801,-0.6119,0.2371
1780498217.622,start,-0.5615,6.7174,0.5306,-4.7556,0.2844,-0.6000,0.2383
1780498217.632,start,-0.7368,6.6370,0.4088,-4.7794,0.2882,-0.5901,0.2360
1780498217.643,start,-0.8568,6.4398,0.3410,-4.6851,0.2566,-0.5924,0.2373
1780498217.652,start,-0.8755,6.3725,0.2898,-4.6025,0.2605,-0.6069,0.2380
1780498217.663,start,-0.9185,6.5164,0.2753,-4.6561,0.2480,-0.6038,0.2386
1780498217.673,start,-0.8151,6.6594,0.3390,-4.7814,0.2590,-0.5768,0.2381
1780498217.683,start,-0.8494,6.5510,0.3280,-4.7957,0.2615,-0.5595,0.2385
1780498217.693,start,-0.7049,6.5157,0.4169,-4.7560,0.2582,-0.5613,0.2399
1780498217.703,start,-0.6657,6.6326,0.4494,-4.7443,0.2843,-0.5855,0.2394
1780498217.712,start,-0.6315,6.7055,0.4920,-4.7446,0.2739,-0.6010,0.2426
1780498217.723,start,-0.7430,6.6649,0.4087,-4.7689,0.2782,-0.6000,0.2434
1780498217.733,start,-0.9024,6.4713,0.3147,-4.7192,0.2503,-0.5971,0.2448
1780498217.742,start,-0.8947,6.3632,0.2997,-4.6147,0.2459,-0.6112,0.2466
1780498217.753,start,-0.9508,6.5032,0.2741,-4.6124,0.2494,-0.6296,0.2477
1780498217.762,start,-0.8302,6.5426,0.3615,-4.6423,0.2414,-0.6269,0.2479
1780498217.772,start,-0.8456,6.5018,0.3499,-4.6730,0.2562,-0.6167,0.2460
1780498217.782,start,-0.6998,6.4634,0.4532,-4.6723,0.2465,-0.6114,0.2467
1780498217.792,start,-0.6085,6.4967,0.5168,-4.6592,0.2829,-0.6156,0.2440
1780498217.803,start,-0.6418,6.6832,0.5228,-4.7262,0.2721,-0.6129,0.2438
1780498217.813,start,-0.7668,6.6073,0.4294,-4.7640,0.2668,-0.5926,0.2425
1780498217.823,start,-0.9671,6.4711,0.2932,-4.7449,0.2495,-0.5845,0.2406
1780498217.833,start,-0.9297,6.4353,0.3114,-4.6923,0.2322,-0.5954,0.2397
1780498217.842,start,-0.9112,6.4772,0.3092,-4.6572,0.2537,-0.6068,0.2381
1780498217.852,start,-0.8145,6.5053,0.3913,-4.7044,0.2412,-0.5948,0.2381
1780498217.863,start,-0.8346,6.4692,0.3669,-4.7519,0.2649,-0.5675,0.2370
1780498217.872,start,-0.7078,6.4644,0.4570,-4.7629,0.2562,-0.5529,0.2378
1780498217.883,start,-0.5898,6.5971,0.5256,-4.7847,0.2824,-0.5575,0.2375
1780498217.893,start,-0.6789,6.5836,0.4911,-4.7664,0.2730,-0.5637,0.2378
1780498217.903,start,-0.7622,6.5910,0.4325,-4.7818,0.2509,-0.5498,0.2398
1780498217.913,start,-0.9462,6.4050,0.2868,-4.7590,0.2463,-0.5365,0.2397
1780498217.922,start,-0.9259,6.4413,0.3067,-4.7440,0.2236,-0.5356,0.2419
1780498217.932,start,-0.8960,6.6087,0.3068,-4.7573,0.2531,-0.5455,0.2416
1780498217.942,start,-0.8275,6.5497,0.3735,-4.7236,0.2369,-0.5557,0.2407
1780498217.952,start,-0.7621,6.4382,0.3902,-4.6848,0.2532,-0.5542,0.2381
1780498217.963,start,-0.6279,6.1579,0.4874,-4.6049,0.2503,-0.5538,0.2365
1780498217.973,start,-0.5250,6.3048,0.5585,-4.6225,0.2612,-0.5569,0.2357
1780498217.983,start,-0.6721,6.6145,0.4837,-4.7329,0.2700,-0.5678,0.2343
1780498217.992,start,-0.7928,6.6373,0.4038,-4.8015,0.2462,-0.5544,0.2364
1780498218.002,start,-0.9189,6.5127,0.2846,-4.7941,0.2492,-0.5461,0.2353
1780498218.013,start,-0.8884,6.2948,0.3092,-4.6831,0.2243,-0.5592,0.2366
1780498218.022,start,-0.7601,6.3539,0.3683,-4.6479,0.2470,-0.5704,0.2377
1780498218.033,start,-0.7376,6.5168,0.4002,-4.7421,0.2398,-0.5650,0.2389
1780498218.042,start,-0.6788,6.4624,0.4263,-4.7832,0.2450,-0.5435,0.2403
1780498218.052,start,-0.5799,6.4134,0.4994,-4.7769,0.2628,-0.5417,0.2409
1780498218.063,start,-0.5109,6.3523,0.5548,-4.7427,0.2616,-0.5533,0.2435
1780498218.073,start,-0.6534,6.6015,0.4693,-4.7760,0.2669,-0.5743,0.2424
1780498218.083,start,-0.7731,6.7040,0.4002,-4.8185,0.2359,-0.5733,0.2435
1780498218.093,start,-0.8261,6.5685,0.3256,-4.8097,0.2360,-0.5630,0.2421
1780498218.102,start,-0.8452,6.3675,0.3130,-4.7363,0.2238,-0.5582,0.2412
1780498218.113,start,-0.7161,6.3447,0.3888,-4.7107,0.2348,-0.5537,0.2407
1780498218.122,start,-0.6860,6.5669,0.4150,-4.7940,0.2462,-0.5531,0.2395
1780498218.132,start,-0.5592,6.7310,0.4906,-4.8706,0.2398,-0.5454,0.2396
1780498218.143,start,-0.4834,6.5675,0.5492,-4.8427,0.2661,-0.5424,0.2376
1780498218.152,start,-0.4737,6.4189,0.5733,-4.7506,0.2527,-0.5518,0.2392
1780498218.164,start,-0.6223,6.4495,0.4654,-4.7181,0.2558,-0.5693,0.2386
1780498218.173,start,-0.7916,6.5789,0.3532,-4.7700,0.2329,-0.5734,0.2398
1780498218.183,start,-0.7659,6.6252,0.3396,-4.8065,0.2246,-0.5616,0.2406
1780498218.194,start,-0.7481,6.4387,0.3440,-4.7325,0.2275,-0.5621,0.2396
1780498218.203,start,-0.6003,6.3089,0.4432,-4.6583,0.2224,-0.5679,0.2407
1780498218.213,start,-0.6074,6.4308,0.4401,-4.6926,0.2470,-0.5719,0.2398
1780498218.223,start,-0.5186,6.5515,0.5039,-4.7656,0.2375,-0.5643,0.2408
1780498218.233,start,-0.4440,6.5672,0.5536,-4.8134,0.2633,-0.5529,0.2403
1780498218.244,start,-0.4705,6.5030,0.5459,-4.8136,0.2513,-0.5503,0.2416
1780498218.253,start,-0.6012,6.4607,0.4589,-4.7759,0.2388,-0.5564,0.2414
1780498218.262,start,-0.7965,6.5857,0.3250,-4.7970,0.2267,-0.5691,0.2415
1780498218.273,start,-0.7648,6.5201,0.3336,-4.7871,0.2067,-0.5749,0.2432
1780498218.282,start,-0.7619,6.4380,0.3192,-4.7571,0.2270,-0.5775,0.2418
1780498218.293,start,-0.6505,6.4291,0.4111,-4.7432,0.2154,-0.5803,0.2433
1780498218.303,start,-0.6108,6.4741,0.4290,-4.7615,0.2438,-0.5794,0.2434
1780498218.312,start,-0.4827,6.5361,0.5175,-4.8256,0.2400,-0.5716,0.2431
1780498218.323,start,-0.3945,6.5181,0.5727,-4.8642,0.2592,-0.5545,0.2420
1780498218.333,start,-0.4803,6.4873,0.5274,-4.8580,0.2526,-0.5596,0.2426
1780498218.343,start,-0.6018,6.5487,0.4450,-4.8449,0.2294,-0.5681,0.2438
1780498218.353,start,-0.7912,6.5236,0.2996,-4.8377,0.2256,-0.5673,0.2418
1780498218.363,start,-0.7756,6.5037,0.3094,-4.8514,0.1953,-0.5596,0.2426
1780498218.373,start,-0.7143,6.3535,0.3299,-4.7924,0.2238,-0.5563,0.2402
1780498218.383,start,-0.6460,6.4096,0.3966,-4.7674,0.2162,-0.5630,0.2393
1780498218.393,start,-0.5902,6.6210,0.4141,-4.8261,0.2286,-0.5611,0.2385
1780498218.403,start,-0.4686,6.5379,0.4915,-4.8068,0.2315,-0.5577,0.2366
1780498218.413,start,-0.3458,6.4223,0.5783,-4.7752,0.2404,-0.5519,0.2355
1780498218.422,start,-0.4575,6.1699,0.5072,-4.7005,0.2430,-0.5571,0.2336
1780498218.433,start,-0.5727,6.3072,0.4340,-4.7019,0.2115,-0.5631,0.2354
1780498218.443,start,-0.7768,6.6157,0.2786,-4.8334,0.2202,-0.5583,0.2347
1780498218.453,start,-0.7803,6.5884,0.2797,-4.8911,0.1946,-0.5362,0.2362
1780498218.463,start,-0.6815,6.4573,0.3131,-4.8711,0.2079,-0.5086,0.2370
1780498218.473,start,-0.6249,6.2741,0.3599,-4.7800,0.2065,-0.5125,0.2381
1780498218.482,start,-0.4891,6.3679,0.4390,-4.7453,0.2145,-0.5291,0.2403
1780498218.492,start,-0.3445,6.5518,0.5350,-4.8058,0.2332,-0.5425,0.2402
1780498218.502,start,-0.2735,6.4861,0.5926,-4.8258,0.2300,-0.5305,0.2415
1780498218.513,start,-0.4232,6.4032,0.5044,-4.8372,0.2447,-0.5184,0.2413
1780498218.522,start,-0.5699,6.3309,0.4085,-4.8270,0.2158,-0.5122,0.2430
1780498218.532,start,-0.6538,6.5766,0.3172,-4.8887,0.2163,-0.5098,0.2422
1780498218.543,start,-0.6733,6.7072,0.3106,-4.9508,0.2086,-0.5098,0.2417
1780498218.553,start,-0.5330,6.6138,0.3913,-4.9256,0.2077,-0.5068,0.2415
1780498218.563,start,-0.5012,6.3972,0.4076,-4.8232,0.2091,-0.5102,0.2393
1780498218.573,start,-0.4287,6.3324,0.4576,-4.7772,0.2014,-0.5177,0.2407
1780498218.583,start,-0.3439,6.5330,0.5234,-4.8335,0.2389,-0.5273,0.2398
1780498218.593,start,-0.3094,6.6848,0.5675,-4.9103,0.2296,-0.5262,0.2410
1780498218.602,start,-0.4119,6.5275,0.4877,-4.8848,0.2295,-0.5195,0.2408
1780498218.612,start,-0.5838,6.3661,0.3768,-4.7785,0.2045,-0.5353,0.2420
1780498218.622,start,-0.6106,6.3606,0.3288,-4.7317,0.1881,-0.5522,0.2424
