timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780499365.656,init,-0.8296,6.4207,0.1288,-4.6245,0.3060,-0.1769,0.2126
1780499366.810,init,-0.8205,6.4429,0.1323,-4.6157,0.2959,-0.1771,0.2127
1780499367.974,init,-0.8303,6.4405,0.1100,-4.6247,0.2917,-0.1762,0.2135
1780499367.980,start,-0.8398,6.4304,0.1201,-4.6063,0.2983,-0.1762,0.2130
1780499367.986,start,-0.8334,6.4206,0.1157,-4.6125,0.2935,-0.1762,0.2129
1780499368.570,start,-0.8303,6.4219,0.1215,-4.6277,0.2948,-0.1757,0.2131
1780499368.573,start,-0.8244,6.4445,0.1279,-4.6239,0.2971,-0.1757,0.2129
1780499368.578,start,-0.8266,6.4634,0.1294,-4.6169,0.2982,-0.1758,0.2129
1780499373.002,start,-0.8535,6.4350,0.1101,-4.6237,0.2988,-0.1744,0.2130
1780499373.288,start,-0.8200,6.4354,0.1294,-4.6156,0.2945,-0.1744,0.2126
1780499374.798,start,-0.8430,6.4322,0.1159,-4.6086,0.2947,-0.1738,0.2132
1780499378.188,start,-0.8196,6.4231,0.1410,-4.6166,0.3010,-0.1723,0.2129
1780499378.658,start,-0.8398,6.4232,0.1129,-4.6174,0.2925,-0.1723,0.2133
1780499379.460,start,-0.8391,6.4445,0.1137,-4.6278,0.2931,-0.1723,0.2134
1780499379.462,start,-0.8209,6.4490,0.1323,-4.6223,0.2981,-0.1725,0.2135
1780499379.464,start,-0.8182,6.4274,0.1408,-4.6111,0.3002,-0.1724,0.2132
1780499379.466,start,-0.8270,6.4072,0.1226,-4.6130,0.2976,-0.1723,0.2131
1780499379.467,start,-0.8438,6.4137,0.1056,-4.6135,0.2906,-0.1722,0.2132
1780499379.469,start,-0.8500,6.4404,0.0998,-4.6206,0.2939,-0.1725,0.2134
1780499379.471,start,-0.8410,6.4498,0.1155,-4.6272,0.2956,-0.1724,0.2133
1780499379.472,start,-0.8232,6.4358,0.1303,-4.6239,0.2957,-0.1723,0.2132
1780499379.474,start,-0.8172,6.4200,0.1352,-4.6115,0.2941,-0.1721,0.2129
1780499379.475,start,-0.8230,6.4183,0.1283,-4.6155,0.2920,-0.1719,0.2129
1780499379.477,start,-0.8341,6.4310,0.1112,-4.6263,0.2944,-0.1719,0.2132
1780499379.479,start,-0.8405,6.4442,0.1130,-4.6240,0.3049,-0.1722,0.2133
1780499379.488,start,-0.8260,6.4348,0.1294,-4.6195,0.3067,-0.1723,0.2132
1780499379.498,start,-0.8094,6.4171,0.1419,-4.6139,0.2959,-0.1723,0.2132
1780499379.508,start,-0.8383,6.4177,0.1448,-4.6112,0.2928,-0.1728,0.2132
1780499379.517,start,-0.8575,6.4344,0.1692,-4.6191,0.2989,-0.1742,0.2138
1780499379.527,start,-0.8477,6.4637,0.2158,-4.6338,0.2863,-0.1774,0.2155
1780499379.538,start,-1.0233,6.4761,0.1459,-4.6269,0.2578,-0.1829,0.2177
1780499379.548,start,-1.3098,6.4096,-0.0012,-4.5979,0.2259,-0.1922,0.2205
1780499379.558,start,-1.5548,6.4422,-0.1590,-4.6103,0.1856,-0.2246,0.2245
1780499379.567,start,-1.7589,6.5443,-0.2996,-4.6502,0.1469,-0.3067,0.2289
1780499379.578,start,-1.8958,6.6854,-0.3988,-4.6780,0.1293,-0.4244,0.2328
1780499379.588,start,-1.7270,6.7299,-0.3219,-4.6838,0.1332,-0.5173,0.2359
1780499379.598,start,-1.5747,6.7396,-0.2377,-4.7482,0.1283,-0.5629,0.2381
1780499379.608,start,-1.3764,6.7725,-0.1369,-4.7767,0.1241,-0.5875,0.2387
1780499379.618,start,-1.4434,6.7770,-0.1767,-4.7835,0.1111,-0.6132,0.2391
1780499379.628,start,-1.5773,6.7308,-0.2651,-4.7444,0.0933,-0.6397,0.2415
1780499379.638,start,-1.7425,6.8627,-0.3876,-4.7585,0.0843,-0.6712,0.2451
1780499379.648,start,-1.7059,6.7265,-0.3924,-4.7069,0.0683,-0.6908,0.2474
1780499379.657,start,-1.6489,6.7278,-0.3754,-4.7144,0.0568,-0.6833,0.2476
1780499379.667,start,-1.5073,6.6859,-0.2807,-4.7504,0.0665,-0.6630,0.2460
1780499379.677,start,-1.5173,6.5213,-0.2765,-4.7141,0.0832,-0.6527,0.2458
1780499379.688,start,-1.4965,6.5784,-0.2684,-4.6837,0.0910,-0.6618,0.2474
1780499379.698,start,-1.4866,6.6470,-0.2831,-4.6844,0.1030,-0.6836,0.2497
