timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780490354.683,init,-0.7960,6.6770,0.3748,-4.6164,0.3373,-0.1349,0.2133
1780490360.156,init,-0.7964,6.6714,0.3750,-4.6135,0.3372,-0.1349,0.2135
1780490360.395,init,-0.7885,6.6569,0.3728,-4.6092,0.3324,-0.1341,0.2136
1780490360.402,init,-0.7838,6.6723,0.3811,-4.6185,0.3375,-0.1340,0.2135
1780490361.161,init,-0.7800,6.6679,0.3795,-4.6181,0.3392,-0.1343,0.2138
1780490361.255,init,-0.7894,6.6705,0.3800,-4.6161,0.3391,-0.1336,0.2138
1780490361.259,init,-0.7900,6.6718,0.3817,-4.6156,0.3397,-0.1337,0.2137
1780490361.263,start,-0.7895,6.6723,0.3826,-4.6154,0.3394,-0.1338,0.2136
1780490361.267,start,-0.7917,6.6732,0.3807,-4.6154,0.3386,-0.1337,0.2137
1780490361.274,start,-0.7932,6.6724,0.3810,-4.6159,0.3387,-0.1336,0.2137
1780490361.372,start,-0.7929,6.6639,0.3806,-4.6161,0.3390,-0.1336,0.2135
1780490361.793,start,-0.7905,6.6705,0.3852,-4.6220,0.3452,-0.1337,0.2137
1780490361.893,start,-0.7933,6.6648,0.3840,-4.6198,0.3451,-0.1340,0.2143
1780490361.896,start,-0.7913,6.6686,0.3774,-4.6178,0.3366,-0.1340,0.2143
1780490361.898,start,-0.7888,6.6699,0.3780,-4.6207,0.3395,-0.1340,0.2142
1780490361.901,start,-0.7879,6.6716,0.3916,-4.6211,0.3467,-0.1344,0.2139
1780490363.965,start,-0.7894,6.6788,0.3788,-4.6167,0.3383,-0.1344,0.2139
1780490363.967,start,-0.7901,6.6750,0.3752,-4.6165,0.3375,-0.1344,0.2140
1780490363.969,start,-0.7888,6.6735,0.3776,-4.6174,0.3387,-0.1343,0.2141
1780490363.971,start,-0.7861,6.6750,0.3816,-4.6158,0.3385,-0.1342,0.2141
1780490363.973,start,-0.7874,6.6775,0.3781,-4.6175,0.3376,-0.1343,0.2140
1780490363.974,start,-0.7876,6.6805,0.3818,-4.6202,0.3398,-0.1342,0.2140
1780490363.976,start,-0.7900,6.6795,0.3798,-4.6183,0.3394,-0.1342,0.2138
1780490363.979,start,-0.7899,6.6753,0.3750,-4.6171,0.3359,-0.1342,0.2137
1780490363.982,start,-0.7944,6.6710,0.3732,-4.6165,0.3366,-0.1342,0.2137
1780490363.984,start,-0.7942,6.6737,0.3741,-4.6183,0.3385,-0.1343,0.2138
1780490363.990,start,-0.7901,6.6752,0.3750,-4.6179,0.3372,-0.1343,0.2138
1780490363.992,start,-0.7869,6.6787,0.3779,-4.6191,0.3372,-0.1342,0.2140
1780490363.994,start,-0.7835,6.6735,0.3839,-4.6209,0.3384,-0.1341,0.2139
1780490364.004,start,-0.7811,6.6725,0.3824,-4.6187,0.3365,-0.1342,0.2139
1780490364.013,start,-0.7790,6.6766,0.3823,-4.6184,0.3342,-0.1343,0.2140
1780490364.023,start,-0.7764,6.6758,0.3878,-4.6195,0.3375,-0.1344,0.2141
1780490364.033,start,-0.8729,6.6693,0.3240,-4.6173,0.3437,-0.1346,0.2143
1780490364.043,start,-0.9999,6.6688,0.2625,-4.6150,0.3372,-0.1353,0.2147
1780490364.052,start,-0.8413,6.6634,0.3700,-4.6110,0.3333,-0.1363,0.2154
1780490364.063,start,-0.7203,6.6714,0.4838,-4.6151,0.3304,-0.1385,0.2183
1780490364.073,start,-0.9718,6.6231,0.4015,-4.5967,0.3013,-0.1422,0.2223
1780490364.083,start,-1.3726,6.6636,0.1810,-4.5918,0.2606,-0.1497,0.2272
1780490364.093,start,-1.6813,6.7769,0.0035,-4.6304,0.2135,-0.1735,0.2317
1780490364.103,start,-1.8293,6.8971,-0.0978,-4.6792,0.1891,-0.2473,0.2351
1780490364.113,start,-1.8014,6.9605,-0.0767,-4.6997,0.1824,-0.3492,0.2371
1780490364.123,start,-1.8323,6.9520,-0.0968,-4.6058,0.1696,-0.4410,0.2393
1780490364.133,start,-1.7960,6.9574,-0.1130,-4.5897,0.1581,-0.5035,0.2412
1780490364.143,start,-1.7272,6.7335,-0.0690,-4.5903,0.1546,-0.5283,0.2417
1780490364.153,start,-1.6397,6.9353,-0.0508,-4.6653,0.1407,-0.5369,0.2409
1780490364.163,start,-1.6902,7.2035,-0.0986,-4.7578,0.1210,-0.5519,0.2408
1780490364.173,start,-1.7483,7.1287,-0.1258,-4.7604,0.1123,-0.5582,0.2411
1780490364.183,start,-1.7137,6.9513,-0.1245,-4.6911,0.1027,-0.5575,0.2415
1780490364.193,start,-1.5818,6.9280,-0.0917,-4.6503,0.0995,-0.5667,0.2423
1780490364.203,start,-1.3401,7.1132,0.0636,-4.6876,0.1204,-0.5770,0.2432
1780490364.213,start,-1.2888,6.9914,0.1036,-4.6823,0.1417,-0.5664,0.2442
1780490364.223,start,-1.4126,6.7688,0.0366,-4.6180,0.1485,-0.5521,0.2446
1780490364.233,start,-1.4293,6.9635,0.0213,-4.6295,0.1724,-0.5647,0.2456
1780490364.243,start,-1.3004,7.0545,0.0862,-4.6353,0.1945,-0.5747,0.2471
1780490364.253,start,-1.0380,6.8413,0.2356,-4.5670,0.2139,-0.5581,0.2476
1780490364.263,start,-0.7664,6.7539,0.4119,-4.5422,0.2382,-0.5471,0.2467
