timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780488739.051,init,-0.0909,7.3274,0.4339,-4.8224,0.5697,-0.1804,0.2368
1780488739.518,init,-0.0899,7.3235,0.4377,-4.8237,0.5750,-0.1804,0.2364
1780488740.761,init,-0.0956,7.3237,0.4293,-4.8225,0.5691,-0.1807,0.2369
1780488740.924,init,-0.0909,7.3227,0.4414,-4.8195,0.5700,-0.1808,0.2375
1780488741.560,init,-0.0936,7.3201,0.4370,-4.8266,0.5698,-0.1804,0.2374
1780488744.466,init,-0.0937,7.3289,0.4334,-4.8248,0.5694,-0.1795,0.2373
1780488744.566,start,-0.0971,7.3222,0.4290,-4.8209,0.5654,-0.1793,0.2378
1780488744.570,start,-0.0968,7.3205,0.4314,-4.8244,0.5687,-0.1792,0.2379
1780488746.930,start,-0.0959,7.3481,0.4219,-4.8102,0.5601,-0.1801,0.2374
1780488747.006,start,-0.1064,7.3201,0.4421,-4.8335,0.5818,-0.1795,0.2373
1780488747.013,start,-0.0983,7.3329,0.4412,-4.8217,0.5787,-0.1797,0.2375
1780488747.017,start,-0.0893,7.3344,0.4327,-4.8095,0.5641,-0.1799,0.2376
1780488747.024,start,-0.0998,7.3119,0.4368,-4.8253,0.5737,-0.1798,0.2376
1780488747.027,start,-0.1073,7.3154,0.4342,-4.8235,0.5782,-0.1801,0.2378
1780488747.032,start,-0.1040,7.3331,0.4209,-4.8052,0.5663,-0.1805,0.2380
1780488747.038,start,-0.0997,7.3287,0.4294,-4.8247,0.5696,-0.1800,0.2378
1780488747.047,start,-0.0991,7.3212,0.4429,-4.8365,0.5776,-0.1797,0.2378
1780488747.054,start,-0.0953,7.3384,0.4362,-4.8136,0.5707,-0.1799,0.2380
1780488747.056,start,-0.0939,7.3300,0.4326,-4.8133,0.5682,-0.1800,0.2380
1780488747.057,start,-0.0995,7.3089,0.4361,-4.8299,0.5760,-0.1796,0.2378
1780488747.059,start,-0.1024,7.3246,0.4324,-4.8205,0.5724,-0.1797,0.2378
1780488747.061,start,-0.0978,7.3392,0.4262,-4.8105,0.5645,-0.1800,0.2379
1780488747.062,start,-0.0994,7.3261,0.4364,-4.8300,0.5732,-0.1795,0.2379
1780488747.064,start,-0.0993,7.3234,0.4447,-4.8307,0.5767,-0.1795,0.2380
1780488747.066,start,-0.0941,7.3403,0.4303,-4.8103,0.5650,-0.1799,0.2382
1780488747.073,start,-0.0992,7.3249,0.4289,-4.8188,0.5689,-0.1797,0.2381
1780488747.082,start,-0.1050,7.3169,0.4367,-4.8311,0.5790,-0.1793,0.2378
1780488747.091,start,-0.1016,7.3303,0.4250,-4.8133,0.5667,-0.1796,0.2378
1780488747.101,start,-0.0736,7.3334,0.4385,-4.8180,0.5670,-0.1795,0.2379
1780488747.111,start,-0.0534,7.3180,0.4747,-4.8319,0.5823,-0.1792,0.2377
1780488747.121,start,-0.0948,7.3154,0.4644,-4.8121,0.5702,-0.1795,0.2378
1780488747.131,start,-0.1260,7.3493,0.4616,-4.8131,0.5593,-0.1793,0.2380
1780488747.140,start,-0.0786,7.3612,0.5502,-4.8069,0.5687,-0.1791,0.2380
1780488747.151,start,-0.2524,7.2942,0.5069,-4.7609,0.5424,-0.1778,0.2387
