timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780493767.019,init,0.2759,6.1811,0.3172,-4.6322,0.6171,0.5580,0.2423
1780493768.799,init,0.2896,6.1762,0.3264,-4.6356,0.6179,0.5558,0.2423
1780493768.885,init,0.2731,6.1828,0.3137,-4.6338,0.6173,0.5558,0.2419
1780493769.574,init,0.2834,6.1844,0.3380,-4.6408,0.6249,0.5561,0.2420
1780493771.400,init,0.2860,6.1833,0.3262,-4.6357,0.6198,0.5592,0.2435
1780493771.540,init,0.2805,6.1847,0.3274,-4.6376,0.6202,0.5590,0.2430
1780493771.624,init,0.2716,6.1744,0.3193,-4.6344,0.6196,0.5594,0.2435
1780493771.740,init,0.2681,6.1895,0.3147,-4.6341,0.6191,0.5591,0.2434
1780493771.789,start,0.2755,6.1895,0.3225,-4.6309,0.6194,0.5590,0.2432
1780493771.805,start,0.2759,6.1921,0.3299,-4.6354,0.6212,0.5592,0.2433
1780493771.970,start,0.2715,6.1852,0.3287,-4.6371,0.6260,0.5602,0.2427
1780493772.046,start,0.2742,6.1890,0.3320,-4.6371,0.6266,0.5598,0.2426
1780493773.059,start,0.2724,6.1859,0.3299,-4.6338,0.6197,0.5600,0.2425
1780493775.334,start,0.2776,6.1809,0.3335,-4.6397,0.6226,0.5582,0.2427
1780493776.250,start,0.2738,6.1845,0.3296,-4.6359,0.6198,0.5572,0.2419
1780493776.302,start,0.2745,6.1855,0.3357,-4.6396,0.6203,0.5571,0.2419
1780493776.367,start,0.2720,6.1852,0.3305,-4.6377,0.6211,0.5572,0.2420
1780493776.611,start,0.2673,6.1851,0.3247,-4.6409,0.6220,0.5581,0.2417
1780493776.651,start,0.2664,6.1855,0.3225,-4.6381,0.6213,0.5580,0.2417
1780493776.668,start,0.2683,6.1888,0.3216,-4.6372,0.6204,0.5577,0.2416
1780493776.680,start,0.2665,6.1888,0.3302,-4.6407,0.6248,0.5577,0.2413
1780493776.695,start,0.2662,6.1889,0.3200,-4.6384,0.6212,0.5575,0.2414
1780493776.718,start,0.2683,6.1872,0.3239,-4.6387,0.6194,0.5574,0.2416
1780493776.730,start,0.2688,6.1866,0.3233,-4.6401,0.6199,0.5574,0.2417
1780493776.739,start,0.2709,6.1861,0.3300,-4.6409,0.6229,0.5574,0.2416
1780493776.749,start,0.2716,6.1847,0.3244,-4.6369,0.6194,0.5575,0.2416
1780493776.759,start,0.2717,6.1808,0.3234,-4.6366,0.6181,0.5577,0.2416
1780493776.768,start,0.2700,6.1794,0.3281,-4.6389,0.6185,0.5577,0.2417
1780493776.777,start,0.2673,6.1811,0.3175,-4.6372,0.6147,0.5576,0.2418
1780493776.787,start,0.2638,6.1858,0.3132,-4.6404,0.6195,0.5578,0.2418
1780493776.797,start,0.2691,6.1907,0.3326,-4.6446,0.6322,0.5578,0.2416
1780493776.805,start,0.2776,6.1895,0.3388,-4.6382,0.6274,0.5578,0.2415
1780493776.814,start,0.2796,6.1877,0.3301,-4.6357,0.6190,0.5579,0.2416
1780493776.823,start,0.2735,6.1808,0.3325,-4.6400,0.6219,0.5579,0.2415
1780493776.831,start,0.2776,6.1867,0.3275,-4.6385,0.6231,0.5578,0.2416
1780493776.840,start,0.3077,6.1896,0.3402,-4.6366,0.6199,0.5577,0.2416
1780493776.850,start,0.3048,6.1827,0.3504,-4.6396,0.6204,0.5577,0.2416
1780493776.858,start,0.3202,6.1912,0.4118,-4.6390,0.6211,0.5574,0.2414
1780493776.867,start,0.1656,6.1956,0.4202,-4.6360,0.6124,0.5564,0.2417
1780493776.876,start,-0.1830,6.1978,0.3070,-4.6432,0.5856,0.5549,0.2423
1780493776.884,start,-0.5836,6.1914,0.1068,-4.6511,0.5383,0.5526,0.2432
1780493776.893,start,-0.7677,6.1828,0.0325,-4.6442,0.4928,0.5430,0.2439
1780493776.903,start,-0.9108,6.1479,0.0172,-4.6377,0.4605,0.5128,0.2442
1780493776.912,start,-1.1356,6.1431,-0.0434,-4.6930,0.4290,0.4690,0.2433
1780493776.920,start,-1.1898,6.2188,-0.0470,-4.7726,0.3994,0.4135,0.2400
1780493776.928,start,-1.2934,6.3245,-0.0800,-4.8355,0.3708,0.3316,0.2360
1780493776.936,start,-1.3224,6.4044,-0.0691,-4.8375,0.3600,0.2181,0.2322
1780493776.945,start,-1.2463,6.4112,-0.0011,-4.8094,0.3618,0.1136,0.2291
1780493776.953,start,-1.2190,6.3278,0.0300,-4.7757,0.3438,0.0394,0.2262
1780493776.962,start,-1.3166,6.2799,-0.0354,-4.7587,0.3271,-0.0064,0.2242
1780493776.969,start,-1.4597,6.3065,-0.0893,-4.7714,0.3154,-0.0446,0.2227
