timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780492822.234,init,-0.6216,6.2323,0.4004,-4.6271,0.3242,-0.0555,0.2137
1780492822.251,init,-0.6140,6.2232,0.4086,-4.6277,0.3237,-0.0555,0.2137
1780492822.253,init,-0.6182,6.2251,0.4146,-4.6272,0.3300,-0.0556,0.2137
1780492822.328,init,-0.6196,6.2273,0.4062,-4.6275,0.3236,-0.0558,0.2138
1780492822.824,init,-0.6137,6.2242,0.4194,-4.6236,0.3308,-0.0545,0.2140
1780492822.854,init,-0.6275,6.2280,0.4087,-4.6276,0.3299,-0.0544,0.2138
1780492823.540,init,-0.6025,6.2290,0.4127,-4.6265,0.3253,-0.0545,0.2139
1780492823.624,init,-0.6178,6.2276,0.3955,-4.6238,0.3189,-0.0542,0.2139
1780492823.710,init,-0.6017,6.2243,0.4153,-4.6254,0.3254,-0.0542,0.2139
1780492824.285,init,-0.6067,6.2296,0.4175,-4.6206,0.3344,-0.0541,0.2136
1780492824.345,start,-0.6178,6.2262,0.4077,-4.6240,0.3263,-0.0542,0.2136
1780492826.733,start,-0.6078,6.2266,0.4058,-4.6219,0.3251,-0.0524,0.2138
1780492826.736,start,-0.6012,6.2195,0.4142,-4.6226,0.3240,-0.0525,0.2140
1780492826.813,start,-0.5906,6.2187,0.4204,-4.6239,0.3254,-0.0519,0.2137
1780492826.843,start,-0.6342,6.2284,0.3883,-4.6228,0.3227,-0.0522,0.2137
1780492828.648,start,-0.5931,6.2285,0.4239,-4.6227,0.3302,-0.0513,0.2136
1780492835.028,start,-0.6255,6.2185,0.3872,-4.6261,0.3227,-0.0485,0.2136
1780492835.374,start,-0.6209,6.2282,0.3945,-4.6272,0.3275,-0.0492,0.2140
1780492835.511,start,-0.6076,6.2304,0.4054,-4.6305,0.3245,-0.0489,0.2138
1780492835.537,start,-0.5990,6.2286,0.4141,-4.6266,0.3253,-0.0487,0.2138
1780492835.546,start,-0.6104,6.2186,0.4048,-4.6247,0.3330,-0.0486,0.2139
1780492835.557,start,-0.6228,6.2194,0.4013,-4.6223,0.3339,-0.0488,0.2140
1780492835.566,start,-0.6267,6.2219,0.3882,-4.6246,0.3233,-0.0490,0.2140
1780492835.589,start,-0.6054,6.2281,0.4120,-4.6297,0.3301,-0.0493,0.2136
1780492835.602,start,-0.6050,6.2169,0.4045,-4.6231,0.3228,-0.0495,0.2135
1780492835.611,start,-0.6146,6.2172,0.3955,-4.6273,0.3252,-0.0495,0.2135
1780492835.619,start,-0.6206,6.2304,0.3944,-4.6273,0.3256,-0.0493,0.2134
1780492835.627,start,-0.6142,6.2348,0.3953,-4.6275,0.3240,-0.0491,0.2134
1780492835.638,start,-0.6061,6.2283,0.4050,-4.6289,0.3268,-0.0490,0.2134
1780492835.648,start,-0.6047,6.2248,0.4108,-4.6236,0.3312,-0.0487,0.2133
1780492835.658,start,-0.6086,6.2217,0.4038,-4.6200,0.3231,-0.0486,0.2135
1780492835.667,start,-0.6134,6.2216,0.3943,-4.6232,0.3261,-0.0484,0.2136
1780492835.676,start,-0.6172,6.2274,0.4029,-4.6254,0.3293,-0.0484,0.2134
1780492835.685,start,-0.6127,6.2294,0.3984,-4.6231,0.3249,-0.0484,0.2135
1780492835.693,start,-0.6037,6.2260,0.4080,-4.6232,0.3256,-0.0485,0.2135
1780492835.703,start,-0.6109,6.2227,0.4125,-4.6228,0.3317,-0.0485,0.2132
1780492835.711,start,-0.5919,6.2274,0.4170,-4.6242,0.3256,-0.0486,0.2131
1780492835.721,start,-0.5697,6.2300,0.4223,-4.6234,0.3227,-0.0488,0.2132
1780492835.729,start,-0.6095,6.2316,0.4132,-4.6268,0.3284,-0.0493,0.2136
1780492835.738,start,-0.5851,6.2309,0.4537,-4.6263,0.3240,-0.0505,0.2147
1780492835.748,start,-0.5963,6.2285,0.4908,-4.6248,0.3110,-0.0525,0.2168
1780492835.757,start,-0.8129,6.2179,0.4094,-4.6251,0.2859,-0.0560,0.2194
1780492835.767,start,-1.1589,6.2047,0.2072,-4.6274,0.2447,-0.0618,0.2225
1780492835.777,start,-1.4153,6.1905,0.0556,-4.6339,0.1990,-0.0738,0.2255
1780492835.786,start,-1.5001,6.2089,0.0170,-4.6412,0.1782,-0.1269,0.2285
1780492835.795,start,-1.4491,6.2960,0.0411,-4.6622,0.1762,-0.2189,0.2304
1780492835.804,start,-1.4448,6.4190,0.0524,-4.6868,0.1784,-0.3082,0.2325
1780492835.813,start,-1.4332,6.4885,0.0810,-4.7386,0.1750,-0.3656,0.2348
1780492835.824,start,-1.3932,6.5294,0.0906,-4.7911,0.1560,-0.3927,0.2374
1780492835.834,start,-1.4903,6.5599,0.0014,-4.8372,0.1213,-0.4067,0.2401
1780492835.842,start,-1.4839,6.4652,0.0051,-4.8235,0.1106,-0.4195,0.2426
1780492835.852,start,-1.4634,6.3803,-0.0030,-4.7885,0.1043,-0.4373,0.2454
1780492835.860,start,-1.4820,6.5034,-0.0298,-4.8109,0.0840,-0.4469,0.2473
