timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780486992.658,init,-0.0995,7.7224,0.4961,-5.0988,0.5676,-0.0790,0.2429
1780486992.660,init,-0.0854,7.7743,0.4880,-5.0572,0.5632,-0.0800,0.2438
1780486992.662,init,-0.0930,7.7684,0.4907,-5.0680,0.5617,-0.0797,0.2434
1780486992.856,init,-0.0943,7.7599,0.4906,-5.0708,0.5632,-0.0787,0.2432
1780486994.298,init,-0.0879,7.7697,0.4872,-5.0560,0.5651,-0.0789,0.2441
1780486994.304,init,-0.0925,7.7714,0.4901,-5.0607,0.5623,-0.0789,0.2437
1780486994.467,init,-0.1024,7.7200,0.4985,-5.1039,0.5713,-0.0777,0.2427
1780486995.067,init,-0.0974,7.7758,0.4896,-5.0583,0.5607,-0.0781,0.2438
1780486995.071,init,-0.1034,7.7253,0.4907,-5.0963,0.5737,-0.0772,0.2430
1780486995.300,init,-0.0989,7.7253,0.4925,-5.1037,0.5747,-0.0769,0.2429
1780486995.305,init,-0.1012,7.7460,0.4920,-5.0904,0.5673,-0.0774,0.2433
1780486996.966,init,-0.0973,7.7172,0.4974,-5.1048,0.5758,-0.0758,0.2428
1780486996.970,init,-0.0998,7.7398,0.4954,-5.0890,0.5680,-0.0762,0.2435
1780486996.975,start,-0.0895,7.7780,0.4920,-5.0515,0.5620,-0.0770,0.2440
1780486997.207,start,-0.0954,7.7763,0.4924,-5.0480,0.5611,-0.0772,0.2443
1780486997.213,start,-0.1000,7.7268,0.4950,-5.0857,0.5723,-0.0765,0.2437
1780486998.661,start,-0.1030,7.7142,0.5002,-5.1045,0.5714,-0.0748,0.2427
1780486998.667,start,-0.1041,7.7462,0.4939,-5.0751,0.5676,-0.0753,0.2429
1780486999.237,start,-0.0938,7.7781,0.4956,-5.0484,0.5600,-0.0764,0.2440
1780487003.326,start,-0.1030,7.7299,0.5014,-5.0982,0.5681,-0.0745,0.2432
1780487003.331,start,-0.0922,7.7728,0.4929,-5.0500,0.5629,-0.0756,0.2443
1780487003.347,start,-0.1028,7.7514,0.4932,-5.0650,0.5639,-0.0753,0.2438
1780487003.349,start,-0.1024,7.7104,0.4987,-5.1034,0.5739,-0.0744,0.2433
1780487003.351,start,-0.1006,7.7443,0.4929,-5.0786,0.5673,-0.0750,0.2441
1780487003.352,start,-0.0971,7.7820,0.4914,-5.0513,0.5609,-0.0757,0.2446
1780487003.354,start,-0.1021,7.7401,0.4937,-5.0874,0.5706,-0.0748,0.2439
1780487003.355,start,-0.1038,7.7101,0.5006,-5.1016,0.5687,-0.0744,0.2437
1780487003.357,start,-0.0916,7.7601,0.4906,-5.0562,0.5638,-0.0752,0.2447
1780487003.358,start,-0.0999,7.7641,0.4914,-5.0550,0.5593,-0.0752,0.2443
