timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780486688.870,init,-0.0713,7.7249,0.2830,-5.1303,0.5598,-0.1360,0.2413
1780486688.874,init,-0.0719,7.7559,0.2800,-5.0980,0.5539,-0.1369,0.2419
1780486693.746,init,-0.0714,7.7517,0.2773,-5.1003,0.5545,-0.1346,0.2422
1780486694.992,init,-0.0584,7.7798,0.2780,-5.0726,0.5508,-0.1355,0.2435
1780486701.685,init,-0.0628,7.7661,0.2759,-5.0875,0.5544,-0.1337,0.2430
1780486705.215,init,-0.0693,7.7606,0.2772,-5.0864,0.5547,-0.1318,0.2423
1780486708.894,init,-0.0641,7.7779,0.2767,-5.0677,0.5515,-0.1330,0.2430
1780486714.873,start,-0.0767,7.7381,0.2780,-5.1121,0.5563,-0.1305,0.2415
1780486718.006,start,-0.0668,7.7567,0.2770,-5.0815,0.5492,-0.1311,0.2418
1780486720.165,start,-0.0691,7.7559,0.2767,-5.1019,0.5544,-0.1313,0.2421
1780486720.168,start,-0.0600,7.7949,0.2731,-5.0620,0.5494,-0.1321,0.2428
1780486720.171,start,-0.0667,7.7449,0.2745,-5.0985,0.5539,-0.1310,0.2421
1780486720.174,start,-0.0686,7.7078,0.2811,-5.1217,0.5596,-0.1302,0.2417
1780486720.206,start,-0.0645,7.7643,0.2716,-5.0751,0.5548,-0.1311,0.2428
1780486720.211,start,-0.0688,7.7870,0.2701,-5.0686,0.5485,-0.1315,0.2429
1780486720.250,start,-0.0621,7.7929,0.2727,-5.0642,0.5511,-0.1315,0.2431
1780486723.551,start,-0.0669,7.7787,0.2738,-5.0726,0.5509,-0.1315,0.2431
1780486723.552,start,-0.0693,7.7807,0.2756,-5.0738,0.5458,-0.1318,0.2428
1780486723.553,start,-0.0751,7.7271,0.2768,-5.1269,0.5582,-0.1304,0.2419
1780486723.554,start,-0.0769,7.7441,0.2804,-5.1106,0.5526,-0.1308,0.2422
1780486723.556,start,-0.0624,7.7929,0.2753,-5.0597,0.5477,-0.1318,0.2431
1780486723.557,start,-0.0709,7.7588,0.2757,-5.0904,0.5490,-0.1310,0.2425
1780486723.557,start,-0.0730,7.7195,0.2812,-5.1280,0.5578,-0.1299,0.2419
1780486723.558,start,-0.0721,7.7695,0.2760,-5.0878,0.5525,-0.1305,0.2426
1780486723.559,start,-0.0668,7.7962,0.2763,-5.0655,0.5466,-0.1311,0.2427
1780486723.560,start,-0.0711,7.7365,0.2777,-5.1147,0.5553,-0.1300,0.2419
1780486723.561,start,-0.0765,7.7225,0.2827,-5.1211,0.5534,-0.1296,0.2417
1780486723.565,start,-0.0651,7.7868,0.2738,-5.0682,0.5493,-0.1306,0.2428
1780486723.575,start,-0.0698,7.7716,0.2746,-5.0781,0.5453,-0.1305,0.2424
1780486723.585,start,-0.0550,7.7238,0.2870,-5.1298,0.5580,-0.1293,0.2416
1780486723.595,start,-0.1847,7.7541,0.2122,-5.1069,0.5479,-0.1299,0.2422
1780486723.605,start,-0.3288,7.7824,0.1365,-5.0601,0.5364,-0.1305,0.2431
1780486723.615,start,-0.2597,7.7694,0.2236,-5.0796,0.5389,-0.1293,0.2423
1780486723.625,start,-0.0768,7.7362,0.3690,-5.0769,0.5462,-0.1280,0.2419
1780486723.635,start,-0.1962,7.6555,0.3586,-4.9646,0.5200,-0.1286,0.2434
1780486723.645,start,-0.6237,7.7547,0.1741,-4.9255,0.4761,-0.1274,0.2450
1780486723.655,start,-1.1885,7.9538,-0.0853,-5.0080,0.4333,-0.1259,0.2463
1780486723.665,start,-1.5472,8.0110,-0.2598,-5.0490,0.3892,-0.1277,0.2481
1780486723.675,start,-1.7535,7.9917,-0.3640,-5.0914,0.3542,-0.1296,0.2505
1780486723.684,start,-1.7965,8.1676,-0.3480,-5.1765,0.3273,-0.1308,0.2516
1780486723.694,start,-1.8620,8.2174,-0.3394,-5.1575,0.3057,-0.1313,0.2524
1780486723.705,start,-1.7919,8.3078,-0.3008,-5.1013,0.2728,-0.1322,0.2543
1780486723.715,start,-1.7729,8.2551,-0.2827,-5.0983,0.2416,-0.1329,0.2560
1780486723.725,start,-1.8446,7.9859,-0.2964,-5.0227,0.2364,-0.1388,0.2562
1780486723.734,start,-1.9081,7.8400,-0.3210,-4.9905,0.2371,-0.1547,0.2567
1780486723.745,start,-1.9580,8.1157,-0.3580,-5.0571,0.2336,-0.2007,0.2584
1780486723.755,start,-1.9410,8.1435,-0.3401,-5.0374,0.2321,-0.2782,0.2587
1780486723.764,start,-1.8426,8.0731,-0.2582,-4.9575,0.2627,-0.3749,0.2582
1780486723.776,start,-1.7746,7.8737,-0.2070,-4.9132,0.2678,-0.4593,0.2586
1780486723.784,start,-1.5218,7.8693,-0.1018,-4.9152,0.2701,-0.5079,0.2591
1780486723.795,start,-1.4280,7.7234,-0.0430,-4.8647,0.2905,-0.5455,0.2578
1780486723.805,start,-1.4224,7.7689,0.0009,-4.9210,0.3225,-0.5631,0.2560
1780486723.814,start,-1.2606,7.9760,0.0647,-5.0399,0.3324,-0.5552,0.2557
1780486723.824,start,-1.1383,7.8142,0.1391,-4.9967,0.3371,-0.5492,0.2549
1780486723.835,start,-1.0954,7.8479,0.2076,-5.0589,0.3779,-0.5379,0.2536
1780486723.845,start,-1.1065,7.7403,0.2273,-5.0430,0.3877,-0.5182,0.2529
1780486723.855,start,-1.1190,7.8203,0.2025,-5.0340,0.3802,-0.5173,0.2540
1780486723.867,start,-1.1748,7.6134,0.1781,-5.0083,0.3810,-0.5209,0.2533
1780486723.876,start,-1.0090,7.9039,0.2775,-5.0789,0.4058,-0.5169,0.2520
1780486723.885,start,-0.9362,7.7070,0.3061,-4.9748,0.3892,-0.5331,0.2523
1780486723.896,start,-0.9880,7.7870,0.2790,-4.9867,0.3734,-0.5558,0.2521
1780486723.905,start,-0.9891,7.7059,0.2700,-4.9885,0.3660,-0.5503,0.2505
1780486723.915,start,-1.1100,7.6888,0.2033,-4.9854,0.3497,-0.5525,0.2499
1780486723.925,start,-1.1032,7.8299,0.1933,-5.0194,0.3408,-0.5605,0.2500
1780486723.935,start,-1.0532,7.9223,0.2124,-5.0221,0.3311,-0.5538,0.2494
1780486723.945,start,-1.0235,7.9166,0.2314,-5.0362,0.3394,-0.5500,0.2480
1780486723.955,start,-0.9986,7.7581,0.2531,-5.0654,0.3445,-0.5337,0.2473
1780486723.965,start,-0.8301,7.8780,0.3403,-5.0696,0.3516,-0.5143,0.2474
