timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780486253.905,init,0.1121,7.7472,0.4206,-5.1289,0.6130,-0.4080,0.2553
1780486254.947,init,0.1158,7.7379,0.4316,-5.1265,0.6178,-0.4068,0.2540
1780486254.959,init,0.1200,7.7458,0.4464,-5.1247,0.6214,-0.4070,0.2537
1780486254.963,init,0.1258,7.7444,0.4433,-5.1242,0.6125,-0.4072,0.2540
1780486256.681,init,0.1053,7.7465,0.4351,-5.1270,0.6209,-0.4055,0.2535
1780486256.985,init,0.1302,7.7382,0.4465,-5.1264,0.6233,-0.4053,0.2533
1780486257.320,init,0.1144,7.7340,0.4293,-5.1287,0.6168,-0.4049,0.2542
1780486259.160,start,0.1120,7.7339,0.4393,-5.1269,0.6198,-0.4047,0.2539
1780486259.443,start,0.1145,7.7437,0.4309,-5.1332,0.6106,-0.4041,0.2547
1780486259.996,start,0.1177,7.7284,0.4317,-5.1321,0.6178,-0.4038,0.2535
1780486261.256,start,0.1157,7.7403,0.4253,-5.1299,0.6132,-0.4048,0.2545
1780486262.002,start,0.1034,7.7396,0.4313,-5.1326,0.6200,-0.4036,0.2541
1780486262.009,start,0.0901,7.7436,0.4278,-5.1288,0.6198,-0.4040,0.2541
1780486262.110,start,0.1112,7.7391,0.4419,-5.1275,0.6162,-0.4033,0.2542
1780486264.415,start,0.0936,7.7470,0.4212,-5.1292,0.6174,-0.4033,0.2546
1780486264.418,start,0.1084,7.7480,0.4323,-5.1331,0.6159,-0.4030,0.2545
1780486267.899,start,0.1162,7.7493,0.4443,-5.1256,0.6183,-0.4027,0.2543
1780486267.902,start,0.1219,7.7475,0.4471,-5.1248,0.6122,-0.4029,0.2544
1780486267.926,start,0.1144,7.7429,0.4353,-5.1301,0.6128,-0.4025,0.2545
1780486267.927,start,0.1031,7.7466,0.4361,-5.1301,0.6208,-0.4024,0.2545
1780486267.930,start,0.0936,7.7525,0.4244,-5.1265,0.6184,-0.4026,0.2545
1780486267.932,start,0.1144,7.7498,0.4322,-5.1294,0.6163,-0.4023,0.2543
1780486267.933,start,0.1140,7.7454,0.4467,-5.1325,0.6208,-0.4019,0.2540
1780486267.935,start,0.1280,7.7503,0.4570,-5.1294,0.6214,-0.4021,0.2538
1780486267.936,start,0.1274,7.7526,0.4524,-5.1279,0.6152,-0.4024,0.2537
1780486267.938,start,0.1299,7.7487,0.4522,-5.1332,0.6150,-0.4021,0.2537
1780486267.940,start,0.1210,7.7463,0.4434,-5.1323,0.6177,-0.4021,0.2541
1780486267.942,start,0.1199,7.7480,0.4397,-5.1229,0.6170,-0.4024,0.2543
1780486267.944,start,0.1150,7.7434,0.4312,-5.1246,0.6157,-0.4022,0.2543
