timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780485164.473,init,0.0110,7.7169,0.2733,-5.0841,0.4554,-0.1484,0.2542
1780485164.483,init,0.0151,7.7171,0.2939,-5.0805,0.4696,-0.1484,0.2544
1780485164.487,init,0.0157,7.7195,0.2749,-5.0763,0.4529,-0.1485,0.2547
1780485164.805,start,0.0042,7.7178,0.2731,-5.0793,0.4576,-0.1486,0.2549
1780485167.194,start,-0.0021,7.7074,0.2542,-5.0781,0.4485,-0.1471,0.2552
1780485167.426,start,-0.0085,7.7279,0.2536,-5.0838,0.4513,-0.1470,0.2549
1780485167.430,start,0.0012,7.7263,0.2612,-5.0915,0.4512,-0.1469,0.2550
1780485167.433,start,0.0019,7.7153,0.2823,-5.0907,0.4631,-0.1471,0.2549
1780485167.484,start,0.0067,7.7244,0.2687,-5.0858,0.4539,-0.1476,0.2550
1780485167.871,start,-0.0033,7.7118,0.2687,-5.0854,0.4574,-0.1470,0.2551
1780485167.876,start,0.0099,7.7180,0.2659,-5.0757,0.4443,-0.1471,0.2553
1780485167.880,start,0.0100,7.7144,0.2592,-5.0769,0.4419,-0.1472,0.2551
1780485167.882,start,-0.0054,7.7109,0.2660,-5.0856,0.4625,-0.1470,0.2548
1780485167.886,start,-0.0113,7.7282,0.2616,-5.0858,0.4608,-0.1471,0.2549
1780485167.888,start,-0.0002,7.7365,0.2510,-5.0862,0.4462,-0.1471,0.2551
1780485167.894,start,0.0061,7.7220,0.2720,-5.0914,0.4555,-0.1470,0.2550
1780485167.897,start,0.0086,7.7136,0.2822,-5.0818,0.4597,-0.1471,0.2550
1780485167.898,start,0.0093,7.7144,0.2636,-5.0726,0.4456,-0.1471,0.2551
1780485167.899,start,0.0000,7.7134,0.2589,-5.0846,0.4471,-0.1470,0.2549
1780485167.901,start,-0.0010,7.7224,0.2682,-5.0899,0.4536,-0.1471,0.2549
1780485167.902,start,0.0070,7.7313,0.2639,-5.0809,0.4520,-0.1474,0.2553
1780485167.904,start,0.0107,7.7173,0.2748,-5.0822,0.4577,-0.1473,0.2552
1780485167.905,start,0.0056,7.7071,0.2741,-5.0850,0.4612,-0.1473,0.2551
1780485167.914,start,-0.0000,7.7099,0.2559,-5.0779,0.4488,-0.1476,0.2552
1780485167.924,start,0.0111,7.7226,0.2595,-5.0820,0.4509,-0.1477,0.2554
1780485167.933,start,0.0461,7.7218,0.2928,-5.0895,0.4596,-0.1477,0.2554
1780485167.943,start,0.0280,7.7240,0.2930,-5.0787,0.4473,-0.1477,0.2557
1780485167.953,start,0.0155,7.6704,0.3016,-5.0552,0.4361,-0.1472,0.2557
1780485167.963,start,0.0450,7.6465,0.3917,-5.0247,0.4485,-0.1463,0.2556
1780485167.973,start,-0.1708,7.7957,0.3447,-5.0361,0.4308,-0.1446,0.2564
1780485167.983,start,-0.5858,7.9439,0.1373,-5.0086,0.3701,-0.1424,0.2583
1780485167.993,start,-1.0755,7.9733,-0.0890,-4.9778,0.3188,-0.1419,0.2607
1780485168.003,start,-1.3460,7.8831,-0.2013,-5.0006,0.2843,-0.1437,0.2627
1780485168.013,start,-1.5849,7.9404,-0.3023,-5.0996,0.2487,-0.1449,0.2642
1780485168.023,start,-1.6503,8.2052,-0.2947,-5.2142,0.2262,-0.1459,0.2657
1780485168.033,start,-1.8013,8.2370,-0.3256,-5.1711,0.2044,-0.1447,0.2674
1780485168.043,start,-1.7853,8.2409,-0.3163,-5.1016,0.1852,-0.1435,0.2700
1780485168.053,start,-1.7889,8.0829,-0.2990,-5.0472,0.1793,-0.1454,0.2730
1780485168.063,start,-1.8012,7.7962,-0.2804,-4.9189,0.1804,-0.1556,0.2765
1780485168.073,start,-1.8522,7.7165,-0.3198,-4.8798,0.1713,-0.1925,0.2795
1780485168.083,start,-1.8940,7.9921,-0.3412,-4.9502,0.1668,-0.2622,0.2815
1780485168.093,start,-1.8933,8.0277,-0.3272,-4.9678,0.1759,-0.3392,0.2824
1780485168.103,start,-1.8180,8.0777,-0.2706,-4.9778,0.1769,-0.4029,0.2825
1780485168.113,start,-1.7526,8.0214,-0.2513,-5.0520,0.1711,-0.4290,0.2823
1780485168.123,start,-1.5216,8.1335,-0.1201,-5.0897,0.1993,-0.4471,0.2818
1780485168.133,start,-1.3852,7.8490,-0.0126,-4.9206,0.2403,-0.4983,0.2811
1780485168.143,start,-1.3607,7.5171,0.0159,-4.8181,0.2576,-0.5333,0.2812
1780485168.153,start,-1.2447,7.5988,0.0663,-4.8724,0.2732,-0.5278,0.2815
1780485168.163,start,-1.1717,7.4964,0.1396,-4.8281,0.3053,-0.5260,0.2807
1780485168.173,start,-1.0661,7.8478,0.2327,-4.9799,0.3399,-0.5216,0.2799
1780485168.183,start,-1.0393,7.8477,0.2531,-5.0526,0.3407,-0.4862,0.2783
1780485168.193,start,-1.0582,7.9691,0.2367,-5.1145,0.3244,-0.4596,0.2768
1780485168.203,start,-1.0888,7.8231,0.2110,-5.1107,0.3186,-0.4522,0.2769
1780485168.213,start,-0.9049,7.7503,0.3049,-5.0515,0.3252,-0.4537,0.2774
1780485168.223,start,-0.8887,7.7631,0.3097,-5.0109,0.3124,-0.4769,0.2777
