timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1781010060.088,init,0.3600,6.2635,0.2584,-4.3406,0.3305,0.7602,0.3111
1781010060.146,init,0.3613,6.2766,0.2519,-4.3464,0.3182,0.7601,0.3107
1781010065.946,init,0.3753,6.2724,0.2745,-4.3480,0.3252,0.7620,0.3095
1781010076.586,init,0.3378,6.2678,0.2258,-4.3451,0.3286,0.7636,0.3095
1781010076.592,init,0.3492,6.2667,0.2472,-4.3434,0.3300,0.7635,0.3094
1781010076.657,init,0.3604,6.2584,0.2565,-4.3402,0.3334,0.7637,0.3097
1781010076.660,init,0.3639,6.2646,0.2570,-4.3428,0.3240,0.7637,0.3097
1781010076.664,start,0.3567,6.2692,0.2461,-4.3440,0.3198,0.7637,0.3096
1781010077.533,start,0.3595,6.2673,0.2555,-4.3458,0.3230,0.7639,0.3101
1781010081.756,start,0.3518,6.2635,0.2414,-4.3446,0.3278,0.7631,0.3091
1781010082.172,start,0.3707,6.2675,0.2691,-4.3501,0.3257,0.7633,0.3086
1781010083.786,start,0.3354,6.2741,0.2306,-4.3494,0.3279,0.7630,0.3097
1781010085.608,start,0.3544,6.2536,0.2564,-4.3418,0.3307,0.7636,0.3098
1781010085.612,start,0.3612,6.2547,0.2624,-4.3421,0.3319,0.7637,0.3098
1781010085.615,start,0.3583,6.2592,0.2533,-4.3450,0.3233,0.7639,0.3097
1781010092.836,start,0.3679,6.2668,0.2614,-4.3443,0.3313,0.7642,0.3093
1781010092.848,start,0.3714,6.2646,0.2678,-4.3462,0.3267,0.7640,0.3087
1781010092.849,start,0.3647,6.2664,0.2628,-4.3460,0.3266,0.7640,0.3084
1781010092.851,start,0.3522,6.2649,0.2434,-4.3419,0.3266,0.7640,0.3086
1781010092.852,start,0.3501,6.2571,0.2452,-4.3385,0.3293,0.7642,0.3089
1781010092.854,start,0.3572,6.2555,0.2583,-4.3385,0.3338,0.7644,0.3088
1781010092.855,start,0.3613,6.2598,0.2600,-4.3402,0.3251,0.7645,0.3087
1781010092.857,start,0.3555,6.2653,0.2493,-4.3412,0.3212,0.7646,0.3085
1781010092.859,start,0.3408,6.2624,0.2319,-4.3441,0.3187,0.7646,0.3085
1781010092.860,start,0.3374,6.2599,0.2279,-4.3431,0.3289,0.7647,0.3086
1781010092.862,start,0.3503,6.2608,0.2495,-4.3413,0.3311,0.7647,0.3086
1781010092.863,start,0.3694,6.2611,0.2654,-4.3428,0.3287,0.7647,0.3086
1781010092.870,start,0.3703,6.2607,0.2689,-4.3451,0.3276,0.7647,0.3084
1781010092.878,start,0.3593,6.2658,0.2609,-4.3448,0.3242,0.7645,0.3081
1781010092.888,start,0.3519,6.2630,0.2413,-4.3410,0.3285,0.7644,0.3084
1781010092.896,start,0.3523,6.2538,0.2500,-4.3381,0.3295,0.7645,0.3087
1781010092.906,start,0.3595,6.2547,0.2609,-4.3391,0.3332,0.7646,0.3086
1781010092.916,start,0.3625,6.2638,0.2660,-4.3426,0.3232,0.7642,0.3085
1781010092.926,start,0.3362,6.2676,0.2640,-4.3447,0.3183,0.7633,0.3084
1781010092.936,start,0.3289,6.2690,0.3004,-4.3482,0.3224,0.7597,0.3085
1781010092.946,start,0.2572,6.2505,0.3424,-4.3327,0.3186,0.7303,0.3089
1781010092.956,start,-0.0492,6.2600,0.2162,-4.3786,0.2868,0.6601,0.3098
1781010092.966,start,-0.4252,6.3193,0.0254,-4.4852,0.2402,0.5602,0.3116
1781010092.976,start,-0.6757,6.3688,-0.0826,-4.5555,0.2098,0.4204,0.3139
1781010092.986,start,-0.9119,6.3856,-0.1583,-4.5308,0.1942,0.2861,0.3182
1781010092.995,start,-0.9232,6.4833,-0.1035,-4.5324,0.1979,0.2018,0.3216
1781010093.006,start,-0.9071,6.4993,-0.0209,-4.6149,0.1997,0.1510,0.3230
1781010093.015,start,-1.0078,6.4850,-0.0540,-4.6026,0.1950,0.0973,0.3243
1781010093.026,start,-1.0484,6.4442,-0.0368,-4.5287,0.1870,0.0398,0.3261
1781010093.036,start,-1.1317,6.4421,-0.0919,-4.4781,0.1797,-0.0120,0.3294
1781010093.046,start,-1.2158,6.3039,-0.1281,-4.3861,0.1792,-0.0505,0.3332
1781010093.056,start,-1.1391,6.2681,-0.0769,-4.4728,0.1747,-0.0538,0.3360
1781010093.066,start,-1.0722,6.4225,-0.0393,-4.6433,0.1771,-0.0305,0.3370
1781010093.076,start,-1.1097,6.6125,-0.0444,-4.7411,0.1852,-0.0413,0.3356
1781010093.086,start,-1.2374,6.6864,-0.1169,-4.7009,0.1945,-0.0834,0.3347
1781010093.096,start,-1.2700,6.5456,-0.1474,-4.5703,0.2023,-0.1149,0.3350
1781010093.106,start,-1.3267,6.2763,-0.2013,-4.4716,0.2041,-0.1422,0.3355
1781010093.116,start,-1.1765,6.2179,-0.1266,-4.4363,0.2199,-0.1532,0.3368
1781010093.126,start,-0.8859,6.3627,0.0561,-4.4550,0.2453,-0.1608,0.3364
1781010093.136,start,-0.6715,6.4816,0.2083,-4.4820,0.2815,-0.1808,0.3342
1781010093.146,start,-0.5585,6.3525,0.3044,-4.4354,0.3177,-0.1900,0.3303
1781010093.156,start,-0.5073,6.2754,0.3592,-4.4391,0.3301,-0.1860,0.3262
1781010093.167,start,-0.5553,6.4457,0.3188,-4.4955,0.3291,-0.1977,0.3247
1781010093.176,start,-0.7248,6.5751,0.2314,-4.5272,0.3183,-0.2062,0.3254
1781010093.186,start,-0.8577,6.4898,0.1373,-4.5109,0.3027,-0.2113,0.3284
1781010093.196,start,-0.8590,6.3507,0.1207,-4.4894,0.2947,-0.2081,0.3309
1781010093.206,start,-0.9530,6.2565,0.0765,-4.4688,0.2830,-0.1960,0.3305
1781010093.217,start,-1.0193,6.3038,0.0102,-4.4446,0.2806,-0.2185,0.3291
1781010093.226,start,-0.8996,6.4009,0.0710,-4.3889,0.2843,-0.2337,0.3265
1781010093.236,start,-0.6805,6.3988,0.1981,-4.4696,0.3108,-0.2160,0.3242
1781010093.246,start,-0.3561,6.2603,0.4235,-4.5228,0.3521,-0.1977,0.3231
1781010093.256,start,-0.3379,6.3134,0.4717,-4.4855,0.3556,-0.1926,0.3225
1781010093.266,start,-0.6525,6.5149,0.2727,-4.4645,0.3266,-0.2164,0.3231
1781010093.276,start,-0.9228,6.5528,0.0920,-4.4947,0.3030,-0.2257,0.3236
1781010093.286,start,-1.0086,6.4753,0.0059,-4.5623,0.2936,-0.1867,0.3240
1781010093.296,start,-0.8786,6.4580,0.0772,-4.6105,0.3072,-0.1728,0.3241
1781010093.306,start,-0.6355,6.4019,0.2522,-4.4958,0.3279,-0.1884,0.3221
1781010093.316,start,-0.5314,6.3027,0.3363,-4.3774,0.3395,-0.1992,0.3197
1781010093.327,start,-0.4842,6.2401,0.3653,-4.4094,0.3414,-0.2045,0.3172
1781010093.336,start,-0.4964,6.3575,0.3709,-4.5131,0.3484,-0.1825,0.3156
1781010093.346,start,-0.5610,6.4760,0.3435,-4.5683,0.3602,-0.1762,0.3159
1781010093.356,start,-0.7041,6.3992,0.2515,-4.4562,0.3422,-0.2042,0.3165
1781010093.366,start,-0.7920,6.4157,0.1850,-4.4300,0.3207,-0.2103,0.3174
1781010093.376,start,-0.7839,6.4539,0.1869,-4.5159,0.3172,-0.2015,0.3168
1781010093.386,start,-0.7568,6.5136,0.2103,-4.5435,0.3218,-0.2060,0.3164
1781010093.396,start,-0.6877,6.4174,0.2503,-4.4235,0.3329,-0.2225,0.3152
1781010093.407,start,-0.6885,6.2134,0.2668,-4.3672,0.3357,-0.2379,0.3123
1781010093.416,start,-0.6403,6.1874,0.2877,-4.4256,0.3402,-0.2343,0.3103
1781010093.426,start,-0.5984,6.3121,0.3144,-4.4860,0.3355,-0.2359,0.3091
1781010093.436,start,-0.6614,6.4193,0.2828,-4.4662,0.3305,-0.2627,0.3096
1781010093.446,start,-0.7944,6.4544,0.2042,-4.4807,0.3334,-0.2693,0.3104
1781010093.456,start,-0.8887,6.3398,0.1504,-4.5331,0.3215,-0.2513,0.3100
1781010093.466,start,-0.8886,6.3885,0.1253,-4.5477,0.3128,-0.2600,0.3092
1781010093.476,start,-0.8363,6.5513,0.1689,-4.5046,0.3175,-0.2776,0.3080
1781010093.486,start,-0.7179,6.5564,0.2470,-4.5178,0.3339,-0.2891,0.3069
1781010093.496,start,-0.6664,6.4092,0.2695,-4.5393,0.3442,-0.2717,0.3064
1781010093.506,start,-0.5935,6.3349,0.3093,-4.5375,0.3451,-0.2542,0.3058
1781010093.516,start,-0.5973,6.3136,0.3012,-4.4773,0.3493,-0.2831,0.3060
1781010093.526,start,-0.6856,6.2718,0.2412,-4.3875,0.3299,-0.2983,0.3065
1781010093.536,start,-0.8513,6.2745,0.1255,-4.4730,0.3142,-0.2788,0.3068
1781010093.546,start,-0.9762,6.4491,0.0502,-4.6002,0.3202,-0.2660,0.3074
1781010093.556,start,-0.9561,6.6003,0.0587,-4.6273,0.3198,-0.2604,0.3074
1781010093.566,start,-0.8600,6.4986,0.0945,-4.5528,0.3201,-0.2763,0.3073
1781010093.576,start,-0.7372,6.4601,0.1809,-4.5115,0.3332,-0.2812,0.3064
1781010093.586,start,-0.7094,6.4507,0.2145,-4.5445,0.3412,-0.2553,0.3052
1781010093.596,start,-0.6417,6.4610,0.2332,-4.5854,0.3507,-0.2585,0.3048
1781010093.606,start,-0.6332,6.4295,0.2375,-4.5024,0.3530,-0.2753,0.3048
1781010093.616,start,-0.7391,6.3405,0.1761,-4.4900,0.3451,-0.2742,0.3054
1781010093.626,start,-0.8840,6.2267,0.0700,-4.5468,0.3223,-0.2597,0.3066
1781010093.636,start,-1.0398,6.3542,-0.0366,-4.6022,0.3026,-0.2519,0.3076
1781010093.646,start,-1.0485,6.5751,-0.0450,-4.5812,0.3145,-0.2713,0.3088
1781010093.656,start,-0.9343,6.6714,0.0320,-4.5777,0.3258,-0.2936,0.3079
1781010093.666,start,-0.7943,6.5025,0.1051,-4.6058,0.3314,-0.2680,0.3059
1781010093.676,start,-0.7177,6.4033,0.1507,-4.6460,0.3387,-0.2470,0.3037
1781010093.686,start,-0.6015,6.4542,0.2319,-4.5813,0.3472,-0.2696,0.3027
1781010093.696,start,-0.5861,6.4582,0.2281,-4.4738,0.3526,-0.2975,0.3042
1781010093.706,start,-0.7326,6.3630,0.1514,-4.5152,0.3398,-0.2945,0.3056
1781010093.716,start,-0.8777,6.3222,0.0516,-4.6216,0.3286,-0.2635,0.3068
1781010093.726,start,-1.0125,6.3921,-0.0515,-4.6282,0.3057,-0.2639,0.3077
1781010093.736,start,-0.9879,6.4412,-0.0470,-4.4850,0.2982,-0.3138,0.3079
1781010093.746,start,-0.8656,6.4352,0.0328,-4.4547,0.3252,-0.3182,0.3076
1781010093.756,start,-0.7418,6.5033,0.1328,-4.5849,0.3433,-0.2892,0.3058
1781010093.766,start,-0.6966,6.5378,0.1539,-4.6379,0.3426,-0.2880,0.3052
1781010093.776,start,-0.6056,6.4098,0.2132,-4.4876,0.3413,-0.3004,0.3052
1781010093.786,start,-0.6183,6.3258,0.2202,-4.4410,0.3458,-0.3191,0.3063
