timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1781008210.597,init,-0.0116,6.2597,0.5158,-4.2915,0.4256,0.0574,0.3006
1781008210.617,init,0.0227,6.2426,0.5289,-4.3005,0.4128,0.0575,0.3006
1781008211.008,init,0.0384,6.2569,0.5412,-4.2944,0.4130,0.0573,0.3007
1781008211.317,init,-0.0355,6.2684,0.5019,-4.2930,0.4181,0.0564,0.3001
1781008218.831,init,0.0186,6.2557,0.5578,-4.2817,0.4320,0.0567,0.2998
1781008218.836,init,0.0071,6.2538,0.5203,-4.2928,0.4172,0.0569,0.3001
1781008224.306,init,-0.0149,6.2666,0.5022,-4.2977,0.4202,0.0565,0.3002
1781008224.309,init,0.0197,6.2554,0.5415,-4.2943,0.4267,0.0565,0.2999
1781008224.312,init,0.0413,6.2528,0.5533,-4.2901,0.4172,0.0565,0.2999
1781008224.315,start,0.0192,6.2663,0.5367,-4.2917,0.4175,0.0565,0.2999
1781008225.121,start,-0.0084,6.2484,0.5011,-4.2899,0.4080,0.0563,0.3001
1781008226.424,start,-0.0118,6.2608,0.5081,-4.2844,0.4227,0.0569,0.3004
1781008226.996,start,-0.0168,6.2526,0.4955,-4.2890,0.4186,0.0565,0.3005
1781008227.066,start,-0.0036,6.2554,0.4988,-4.2875,0.4100,0.0566,0.3005
1781008232.995,start,0.0281,6.2672,0.5464,-4.2917,0.4197,0.0565,0.2998
1781008233.400,start,0.0086,6.2667,0.5156,-4.2998,0.4076,0.0569,0.3002
1781008240.399,start,-0.0018,6.2584,0.4952,-4.2998,0.4038,0.0566,0.3005
1781008240.402,start,-0.0232,6.2667,0.4880,-4.2892,0.4158,0.0567,0.3005
1781008240.408,start,-0.0115,6.2661,0.5114,-4.2878,0.4206,0.0566,0.3003
1781008240.432,start,0.0243,6.2540,0.5226,-4.2956,0.4102,0.0566,0.3003
1781008240.433,start,0.0325,6.2598,0.5410,-4.2902,0.4141,0.0565,0.3001
1781008240.435,start,0.0083,6.2690,0.5347,-4.2861,0.4202,0.0565,0.3000
1781008240.436,start,-0.0141,6.2588,0.4872,-4.2946,0.4026,0.0565,0.3003
1781008240.437,start,-0.0254,6.2586,0.4686,-4.2964,0.4039,0.0564,0.3002
1781008240.438,start,-0.0133,6.2701,0.5138,-4.2908,0.4330,0.0560,0.2998
1781008240.439,start,0.0286,6.2681,0.5507,-4.2956,0.4286,0.0560,0.2997
1781008240.440,start,0.0565,6.2642,0.5455,-4.2958,0.4115,0.0561,0.2999
1781008240.440,start,0.0162,6.2661,0.5335,-4.2876,0.4211,0.0559,0.2997
1781008240.441,start,-0.0316,6.2615,0.4990,-4.2920,0.4233,0.0560,0.2998
1781008240.442,start,-0.0320,6.2589,0.4680,-4.2992,0.4033,0.0563,0.3000
1781008240.446,start,-0.0079,6.2650,0.5015,-4.2911,0.4100,0.0564,0.2999
1781008240.455,start,0.0152,6.2678,0.5522,-4.2885,0.4291,0.0564,0.2996
1781008240.466,start,0.0246,6.2544,0.5479,-4.2981,0.4168,0.0567,0.2997
1781008240.476,start,-0.0287,6.2611,0.4808,-4.2932,0.4036,0.0563,0.2997
1781008240.486,start,-0.1634,6.2755,0.4234,-4.2913,0.4091,0.0551,0.2996
1781008240.496,start,-0.0558,6.2642,0.5070,-4.2965,0.4070,0.0516,0.2991
1781008240.506,start,0.0671,6.2515,0.6078,-4.2963,0.4066,0.0429,0.2984
1781008240.516,start,-0.1546,6.2562,0.5607,-4.3038,0.3928,0.0245,0.2968
1781008240.526,start,-0.5335,6.2603,0.3596,-4.3161,0.3535,-0.0337,0.2952
1781008240.536,start,-0.7896,6.2341,0.2171,-4.2900,0.3024,-0.1136,0.2933
1781008240.546,start,-0.9465,6.2637,0.1609,-4.2958,0.2916,-0.1693,0.2916
1781008240.556,start,-0.9470,6.3537,0.2121,-4.3793,0.3009,-0.1984,0.2893
1781008240.566,start,-0.9861,6.4685,0.1999,-4.4560,0.2836,-0.2274,0.2867
1781008240.576,start,-0.9786,6.5548,0.1915,-4.4943,0.2707,-0.2375,0.2831
1781008240.586,start,-0.9968,6.5767,0.2193,-4.5479,0.2749,-0.2426,0.2791
1781008240.596,start,-0.9741,6.5121,0.2118,-4.5563,0.2642,-0.2405,0.2752
1781008240.606,start,-1.0678,6.4638,0.1317,-4.5267,0.2495,-0.2520,0.2725
1781008240.616,start,-1.1337,6.4457,0.1179,-4.5462,0.2640,-0.2632,0.2706
1781008240.626,start,-1.0889,6.4230,0.1458,-4.5086,0.2695,-0.2729,0.2705
1781008240.636,start,-0.9060,6.4830,0.2076,-4.5024,0.2614,-0.2768,0.2707
1781008240.646,start,-0.7553,6.4911,0.3137,-4.4708,0.2884,-0.2868,0.2702
1781008240.656,start,-0.8009,6.4306,0.3174,-4.3845,0.3190,-0.2921,0.2684
1781008240.665,start,-0.9612,6.3527,0.1901,-4.3867,0.3069,-0.2783,0.2665
1781008240.676,start,-0.9521,6.3108,0.1506,-4.4177,0.3041,-0.2532,0.2643
1781008240.686,start,-0.7898,6.3694,0.2593,-4.4244,0.3433,-0.2560,0.2621
1781008240.696,start,-0.5002,6.4795,0.4482,-4.3906,0.3834,-0.2598,0.2612
1781008240.706,start,-0.2641,6.5143,0.5939,-4.3249,0.3983,-0.2741,0.2619
1781008240.716,start,-0.2986,6.3028,0.5960,-4.2564,0.4105,-0.2886,0.2634
