timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780487872.654,init,-0.1314,7.7440,0.4309,-5.0617,0.5545,-0.1592,0.2399
1780487873.424,init,-0.1745,7.7270,0.4184,-5.0649,0.5535,-0.1596,0.2389
1780487876.606,init,-0.1606,7.7506,0.3974,-5.0596,0.5578,-0.1590,0.2396
1780487876.889,init,-0.1638,7.7363,0.4255,-5.0587,0.5448,-0.1588,0.2404
1780487876.893,init,-0.1623,7.7353,0.3927,-5.0594,0.5516,-0.1585,0.2405
1780487877.045,init,-0.1918,7.7511,0.3995,-5.0617,0.5513,-0.1590,0.2394
1780487877.528,init,-0.1930,7.7482,0.4062,-5.0613,0.5503,-0.1594,0.2399
1780487877.536,start,-0.1423,7.7606,0.4266,-5.0623,0.5555,-0.1588,0.2400
1780487877.542,start,-0.1885,7.7389,0.4069,-5.0598,0.5402,-0.1588,0.2401
1780487877.547,start,-0.1407,7.7395,0.4170,-5.0589,0.5573,-0.1583,0.2398
1780487877.552,start,-0.1967,7.7466,0.4141,-5.0607,0.5485,-0.1588,0.2393
1780487878.271,start,-0.1950,7.7468,0.4062,-5.0574,0.5482,-0.1589,0.2396
1780487878.326,start,-0.1675,7.7499,0.4293,-5.0611,0.5466,-0.1584,0.2403
1780487878.330,start,-0.1658,7.7399,0.3974,-5.0583,0.5509,-0.1582,0.2403
1780487878.426,start,-0.1469,7.7380,0.4034,-5.0581,0.5571,-0.1583,0.2399
1780487878.431,start,-0.1799,7.7410,0.4225,-5.0622,0.5527,-0.1585,0.2390
1780487880.094,start,-0.1450,7.7325,0.4068,-5.0603,0.5598,-0.1582,0.2404
1780487883.115,start,-0.1736,7.7489,0.3951,-5.0610,0.5602,-0.1586,0.2392
1780487885.300,start,-0.1879,7.7354,0.3937,-5.0629,0.5518,-0.1578,0.2392
1780487885.366,start,-0.1430,7.7243,0.4005,-5.0630,0.5579,-0.1575,0.2397
1780487885.366,start,-0.1730,7.7265,0.4206,-5.0670,0.5538,-0.1578,0.2389
1780487885.367,start,-0.1686,7.7449,0.3934,-5.0623,0.5587,-0.1577,0.2394
1780487885.367,start,-0.1482,7.7349,0.4313,-5.0641,0.5517,-0.1579,0.2397
1780487885.368,start,-0.1652,7.7259,0.3978,-5.0628,0.5499,-0.1579,0.2398
1780487885.368,start,-0.1411,7.7235,0.4256,-5.0647,0.5587,-0.1578,0.2392
1780487885.369,start,-0.1848,7.7390,0.4002,-5.0646,0.5527,-0.1581,0.2392
1780487885.369,start,-0.1301,7.7498,0.4230,-5.0651,0.5594,-0.1579,0.2398
