timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780487379.714,init,0.1403,7.6971,0.2733,-5.1193,0.6341,-0.4304,0.2450
1780487379.716,init,0.1028,7.6823,0.2818,-5.1213,0.6201,-0.4306,0.2445
1780487380.439,init,0.1480,7.7031,0.2798,-5.1212,0.6333,-0.4327,0.2447
1780487382.584,init,0.1263,7.6947,0.2772,-5.1230,0.6410,-0.4353,0.2439
1780487384.831,init,0.1044,7.6757,0.2842,-5.1216,0.6196,-0.4378,0.2445
1780487386.895,init,0.0725,7.6955,0.2564,-5.1234,0.6279,-0.4400,0.2445
1780487386.901,init,0.1280,7.6925,0.2813,-5.1224,0.6333,-0.4400,0.2450
1780487386.908,init,0.0823,7.6820,0.2671,-5.1232,0.6238,-0.4402,0.2447
1780487386.914,start,0.1170,7.6853,0.2719,-5.1218,0.6400,-0.4400,0.2444
1780487386.922,start,0.0759,7.6983,0.2717,-5.1254,0.6259,-0.4404,0.2443
1780487386.952,start,0.1315,7.7002,0.2724,-5.1221,0.6354,-0.4401,0.2452
1780487388.763,start,0.1170,7.6871,0.2686,-5.1223,0.6416,-0.4413,0.2444
1780487388.768,start,0.0740,7.6993,0.2670,-5.1253,0.6275,-0.4417,0.2444
1780487388.774,start,0.1294,7.7003,0.2665,-5.1219,0.6359,-0.4414,0.2453
1780487388.783,start,0.0922,7.6824,0.2741,-5.1219,0.6220,-0.4418,0.2447
1780487388.812,start,0.0858,7.6930,0.2794,-5.1251,0.6280,-0.4423,0.2444
1780487388.814,start,0.1169,7.7023,0.2585,-5.1214,0.6342,-0.4422,0.2453
1780487388.816,start,0.1076,7.6842,0.2836,-5.1240,0.6243,-0.4425,0.2449
1780487388.819,start,0.1019,7.6825,0.2514,-5.1187,0.6336,-0.4422,0.2448
1780487388.821,start,0.0995,7.6933,0.2795,-5.1245,0.6337,-0.4423,0.2442
1780487388.826,start,0.0941,7.7026,0.2497,-5.1220,0.6322,-0.4422,0.2449
1780487388.828,start,0.1253,7.6855,0.2836,-5.1206,0.6297,-0.4422,0.2451
1780487388.830,start,0.0911,7.6795,0.2537,-5.1189,0.6280,-0.4420,0.2448
1780487388.831,start,0.1142,7.6878,0.2756,-5.1231,0.6389,-0.4420,0.2441
1780487388.833,start,0.0766,7.6972,0.2544,-5.1242,0.6288,-0.4421,0.2444
1780487388.835,start,0.1334,7.6951,0.2766,-5.1249,0.6346,-0.4419,0.2450
1780487388.837,start,0.0870,7.6789,0.2642,-5.1232,0.6246,-0.4422,0.2448
1780487388.838,start,0.1154,7.6848,0.2651,-5.1238,0.6412,-0.4421,0.2446
1780487388.845,start,0.0737,7.6939,0.2678,-5.1259,0.6276,-0.4423,0.2445
1780487388.854,start,0.1312,7.6954,0.2671,-5.1221,0.6366,-0.4419,0.2454
1780487388.863,start,0.0938,7.6904,0.2781,-5.1253,0.6230,-0.4423,0.2450
1780487388.873,start,0.1334,7.6945,0.2698,-5.1213,0.6386,-0.4420,0.2451
1780487388.883,start,0.0959,7.7044,0.2899,-5.1234,0.6288,-0.4425,0.2448
1780487388.893,start,0.2784,7.6869,0.3688,-5.1041,0.6373,-0.4422,0.2458
1780487388.903,start,0.1781,7.6475,0.4142,-5.0848,0.6173,-0.4408,0.2459
1780487388.913,start,-0.1704,7.7737,0.2789,-5.0504,0.5934,-0.4391,0.2468
1780487388.923,start,-0.5929,7.9395,0.1349,-5.0393,0.5494,-0.4373,0.2480
1780487388.933,start,-1.1101,8.1014,-0.1238,-5.0572,0.4928,-0.4357,0.2508
1780487388.943,start,-1.3861,8.0153,-0.2408,-5.0495,0.4453,-0.4363,0.2535
1780487388.953,start,-1.7288,7.9775,-0.3923,-5.0870,0.4050,-0.4386,0.2551
1780487388.963,start,-1.7538,8.0858,-0.3483,-5.1694,0.3924,-0.4355,0.2557
1780487388.973,start,-1.8534,8.2179,-0.3555,-5.2073,0.3657,-0.4311,0.2572
1780487388.983,start,-1.7273,8.4225,-0.2940,-5.2030,0.3546,-0.4298,0.2590
1780487388.993,start,-1.7607,8.2663,-0.2728,-5.1370,0.3265,-0.4333,0.2596
1780487389.004,start,-1.7429,7.8258,-0.2552,-4.9657,0.3333,-0.4448,0.2598
1780487389.013,start,-1.8572,7.7524,-0.3000,-4.9078,0.3033,-0.4704,0.2603
1780487389.023,start,-1.8991,8.0164,-0.3593,-4.9877,0.2974,-0.5105,0.2615
1780487389.033,start,-1.9589,8.1503,-0.3623,-5.0354,0.2727,-0.5516,0.2614
1780487389.043,start,-1.9015,7.9029,-0.3397,-4.8805,0.2875,-0.5811,0.2613
1780487389.053,start,-1.8404,7.5567,-0.2753,-4.7784,0.2877,-0.5973,0.2610
1780487389.063,start,-1.5619,7.7806,-0.1604,-4.8801,0.3157,-0.5859,0.2614
1780487389.073,start,-1.4020,7.8972,-0.0522,-4.9777,0.3388,-0.5747,0.2604
1780487389.083,start,-1.3129,7.8995,0.0207,-5.0460,0.3879,-0.5615,0.2584
1780487389.093,start,-1.1214,8.0713,0.1550,-5.1096,0.4259,-0.5587,0.2564
1780487389.103,start,-1.0538,7.7633,0.2100,-4.9613,0.4323,-0.5715,0.2561
1780487389.113,start,-1.0514,7.8208,0.2331,-5.0050,0.4328,-0.5734,0.2561
1780487389.123,start,-1.2237,7.6766,0.1452,-4.9987,0.4198,-0.5556,0.2554
1780487389.133,start,-1.2617,7.8420,0.1035,-5.0073,0.4085,-0.5533,0.2552
1780487389.143,start,-1.3349,7.8103,0.0469,-5.0340,0.3826,-0.5551,0.2553
1780487389.154,start,-1.0603,7.7913,0.1532,-5.0429,0.3909,-0.5321,0.2550
1780487389.163,start,-0.9959,7.7696,0.1908,-5.0315,0.3835,-0.5305,0.2540
1780487389.173,start,-1.0310,7.7028,0.1762,-5.0275,0.4108,-0.5402,0.2526
1780487389.183,start,-0.9726,8.0372,0.2295,-5.1276,0.4150,-0.5423,0.2512
1780487389.193,start,-1.0443,7.9294,0.1499,-5.1120,0.4133,-0.5466,0.2511
1780487389.203,start,-1.0434,7.9530,0.1578,-5.1281,0.4017,-0.5525,0.2496
1780487389.213,start,-1.0331,7.8712,0.1451,-5.0724,0.4131,-0.5472,0.2484
1780487389.223,start,-0.9696,7.9147,0.1827,-5.0279,0.3858,-0.5661,0.2472
1780487389.234,start,-0.9750,7.6782,0.1238,-4.9896,0.3700,-0.5603,0.2475
1780487389.243,start,-0.8335,7.7272,0.2185,-5.0230,0.3552,-0.5420,0.2466
1780487389.253,start,-0.8734,7.7680,0.1833,-5.0446,0.3564,-0.5444,0.2459
1780487389.263,start,-0.9863,8.0346,0.1563,-5.1761,0.3604,-0.5449,0.2448
1780487389.273,start,-1.0009,7.9821,0.1361,-5.1578,0.3627,-0.5251,0.2448
1780487389.283,start,-1.0849,7.8417,0.0826,-5.0636,0.3475,-0.5353,0.2451
1780487389.293,start,-1.0780,7.5652,0.0851,-4.9607,0.3501,-0.5433,0.2444
1780487389.303,start,-0.9837,7.7116,0.1360,-4.9718,0.3622,-0.5380,0.2431
1780487389.313,start,-0.9801,7.4568,0.1303,-4.8701,0.3337,-0.5522,0.2423
1780487389.323,start,-0.9671,7.7237,0.1099,-4.9420,0.3259,-0.5572,0.2421
1780487389.333,start,-0.8976,7.5984,0.1721,-4.9270,0.3115,-0.5493,0.2406
1780487389.343,start,-0.8918,7.6961,0.1570,-4.9727,0.3248,-0.5458,0.2398
1780487389.354,start,-1.0172,7.7080,0.1339,-5.0140,0.3136,-0.5394,0.2395
1780487389.363,start,-1.0215,7.5706,0.0981,-4.9635,0.3247,-0.5201,0.2407
1780487389.374,start,-1.1157,7.7870,0.0572,-5.0974,0.3048,-0.5183,0.2400
