timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1781013655.266,init,0.0019,9.2549,0.4711,-6.0952,0.2034,0.2451,0.2393
1781013655.270,init,0.0077,9.2488,0.4670,-6.0880,0.2063,0.2450,0.2394
1781013655.281,init,0.0018,9.2326,0.4896,-6.0775,0.2271,0.2451,0.2391
1781013655.299,init,-0.0002,9.2236,0.4895,-6.0711,0.2267,0.2451,0.2394
1781013655.346,init,0.0100,9.2257,0.4727,-6.0782,0.2035,0.2450,0.2401
1781013656.081,init,0.0305,9.2414,0.4655,-6.0712,0.1882,0.2448,0.2411
1781013660.174,init,0.0127,9.2256,0.4685,-6.0765,0.1998,0.2458,0.2404
1781013665.489,init,0.0043,9.2547,0.4606,-6.1006,0.2080,0.2452,0.2406
1781013667.312,start,0.0098,9.2577,0.4900,-6.0982,0.2242,0.2438,0.2395
1781013667.315,start,0.0148,9.2461,0.5121,-6.0666,0.2332,0.2432,0.2394
1781013667.318,start,0.0197,9.2238,0.4938,-6.0461,0.2169,0.2430,0.2399
1781013670.073,start,0.0294,9.2149,0.4829,-6.0714,0.2053,0.2450,0.2399
1781013670.084,start,0.0010,9.2338,0.4729,-6.0957,0.2174,0.2453,0.2399
1781013670.089,start,-0.0125,9.2683,0.4580,-6.1022,0.2102,0.2452,0.2404
1781013670.094,start,-0.0070,9.2759,0.4490,-6.0936,0.1919,0.2451,0.2410
1781013670.097,start,-0.0052,9.2372,0.4550,-6.0864,0.1997,0.2454,0.2406
1781013672.983,start,0.0196,9.2119,0.4951,-6.0616,0.2160,0.2448,0.2400
1781013672.986,start,0.0276,9.1946,0.5039,-6.0608,0.2170,0.2448,0.2397
1781013672.989,start,0.0247,9.2286,0.4880,-6.0761,0.2104,0.2450,0.2397
1781013672.995,start,0.0045,9.2707,0.4602,-6.0977,0.2041,0.2451,0.2400
1781013672.997,start,-0.0057,9.2825,0.4489,-6.1102,0.2155,0.2453,0.2399
1781013673.000,start,-0.0068,9.2548,0.4704,-6.0881,0.2249,0.2450,0.2397
1781013673.004,start,0.0159,9.2106,0.4816,-6.0570,0.2162,0.2449,0.2399
1781013673.007,start,0.0300,9.1855,0.4892,-6.0494,0.2076,0.2449,0.2401
1781013673.009,start,0.0154,9.2101,0.4879,-6.0684,0.2158,0.2452,0.2400
1781013673.010,start,-0.0066,9.2559,0.4707,-6.0980,0.2180,0.2454,0.2402
1781013673.011,start,-0.0162,9.2796,0.4479,-6.1095,0.1988,0.2454,0.2406
1781013673.012,start,-0.0171,9.2663,0.4356,-6.0992,0.1940,0.2452,0.2404
1781013673.013,start,-0.0209,9.2350,0.4650,-6.0816,0.2218,0.2451,0.2395
1781013673.020,start,-0.0061,9.2090,0.4988,-6.0590,0.2373,0.2447,0.2392
1781013673.029,start,0.0265,9.2097,0.5055,-6.0547,0.2158,0.2446,0.2399
1781013673.040,start,0.0372,9.2268,0.4976,-6.0810,0.2004,0.2448,0.2403
1781013673.050,start,0.0312,9.2516,0.4985,-6.1085,0.2181,0.2452,0.2400
1781013673.059,start,-0.0466,9.2522,0.4891,-6.1038,0.2235,0.2447,0.2401
1781013673.069,start,-0.0756,9.1695,0.4901,-6.0592,0.1975,0.2440,0.2412
1781013673.079,start,-0.0759,9.2282,0.5514,-6.0287,0.1819,0.2428,0.2425
1781013673.089,start,-0.3047,9.4645,0.5256,-6.0994,0.1798,0.2385,0.2438
1781013673.100,start,-0.7165,9.6163,0.3444,-6.1483,0.1376,0.2186,0.2467
1781013673.110,start,-1.1503,9.6745,0.0885,-6.1863,0.0637,0.1594,0.2502
1781013673.119,start,-1.5061,9.6302,-0.0962,-6.1918,0.0102,0.0657,0.2526
1781013673.129,start,-1.7095,9.6727,-0.1621,-6.1794,-0.0144,-0.0212,0.2539
1781013673.140,start,-1.8890,9.5488,-0.2389,-6.0790,-0.0542,-0.0979,0.2550
1781013673.150,start,-1.8206,9.4172,-0.2328,-5.9873,-0.1030,-0.1644,0.2559
1781013673.160,start,-1.8836,9.4020,-0.2539,-5.9571,-0.1276,-0.2158,0.2563
1781013673.169,start,-1.8306,9.5255,-0.2127,-5.9920,-0.1280,-0.2364,0.2562
1781013673.179,start,-1.9177,9.7530,-0.2693,-6.1091,-0.1467,-0.2340,0.2564
1781013673.190,start,-2.1285,9.5268,-0.3888,-6.0921,-0.1837,-0.2265,0.2576
1781013673.200,start,-2.2006,9.4559,-0.4326,-6.0066,-0.1924,-0.2466,0.2594
1781013673.210,start,-2.0293,9.6612,-0.3381,-5.9865,-0.1639,-0.2916,0.2610
1781013673.220,start,-1.7383,9.8365,-0.1516,-6.0858,-0.1257,-0.3026,0.2624
1781013673.230,start,-1.6720,9.6629,-0.0956,-6.1328,-0.0916,-0.2509,0.2633
1781013673.240,start,-1.7620,9.7786,-0.1091,-6.2757,-0.0408,-0.1864,0.2650
1781013673.250,start,-1.6861,9.7943,-0.0387,-6.3246,0.0157,-0.1778,0.2669
1781013673.260,start,-1.4986,9.6454,0.0496,-6.1332,0.0543,-0.2201,0.2700
1781013673.269,start,-1.1930,9.4421,0.2338,-5.9276,0.1028,-0.2737,0.2724
1781013673.280,start,-0.8295,9.0195,0.4858,-5.7831,0.1786,-0.2908,0.2739
1781013673.289,start,-0.7182,8.9909,0.6213,-5.8029,0.2393,-0.2648,0.2747
1781013673.300,start,-0.6737,9.1475,0.6428,-5.9320,0.2481,-0.2244,0.2761
1781013673.310,start,-0.6830,9.3911,0.6394,-6.0712,0.2403,-0.2116,0.2774
1781013673.319,start,-0.8533,9.6954,0.5743,-6.1593,0.2550,-0.2282,0.2786
1781013673.330,start,-1.0403,9.4758,0.4786,-6.0341,0.2624,-0.2527,0.2793
1781013673.340,start,-1.1012,9.2298,0.4271,-5.9680,0.2447,-0.2607,0.2797
1781013673.350,start,-1.0044,9.0490,0.4531,-5.9458,0.2220,-0.2524,0.2794
1781013673.360,start,-0.9300,9.1902,0.4931,-5.9692,0.2195,-0.2494,0.2784
1781013673.370,start,-0.9114,9.4585,0.5174,-6.0513,0.2192,-0.2737,0.2771
1781013673.379,start,-0.9924,9.2711,0.4637,-5.9680,0.1934,-0.3032,0.2762
1781013673.389,start,-0.9064,9.3509,0.4740,-5.9796,0.1713,-0.3038,0.2750
1781013673.399,start,-0.8437,9.3001,0.5146,-6.0381,0.1728,-0.2755,0.2732
1781013673.409,start,-0.9703,9.2826,0.4662,-6.0463,0.1794,-0.2651,0.2729
1781013673.419,start,-1.1068,9.5560,0.3852,-6.1099,0.1772,-0.2874,0.2739
1781013673.429,start,-1.2102,9.4627,0.3254,-6.0528,0.1773,-0.3106,0.2755
1781013673.439,start,-1.1630,9.4681,0.3560,-6.0390,0.1968,-0.3097,0.2768
1781013673.449,start,-1.0857,9.3344,0.4152,-6.0201,0.2173,-0.2969,0.2782
1781013673.460,start,-0.9908,9.1487,0.4694,-6.0248,0.2285,-0.2916,0.2791
1781013673.471,start,-1.0014,9.4151,0.4727,-6.0961,0.2382,-0.2958,0.2796
1781013673.480,start,-0.8171,9.3791,0.5731,-6.0921,0.2572,-0.3031,0.2796
1781013673.490,start,-0.7068,9.3882,0.6451,-6.0913,0.2706,-0.3109,0.2805
1781013673.501,start,-0.8322,9.3526,0.5919,-6.0526,0.2760,-0.3221,0.2804
1781013673.510,start,-0.9878,9.1850,0.5051,-5.9966,0.2714,-0.3397,0.2803
1781013673.520,start,-1.1434,9.2616,0.4034,-6.0144,0.2461,-0.3574,0.2798
1781013673.530,start,-1.1266,9.2721,0.3854,-6.0384,0.2193,-0.3559,0.2779
1781013673.539,start,-1.0868,9.4288,0.4022,-6.0948,0.2135,-0.3527,0.2750
1781013673.550,start,-1.0376,9.3888,0.4387,-6.0918,0.2139,-0.3620,0.2723
1781013673.560,start,-1.0546,9.2509,0.4161,-6.0020,0.1912,-0.3891,0.2700
1781013673.569,start,-0.9162,9.2513,0.4628,-5.9934,0.1767,-0.4071,0.2670
1781013673.579,start,-0.8916,9.0697,0.4913,-5.9875,0.1953,-0.3896,0.2654
1781013673.590,start,-1.0105,9.1344,0.4670,-6.0735,0.2145,-0.3589,0.2655
1781013673.599,start,-1.0969,9.1732,0.3926,-6.0990,0.1945,-0.3496,0.2677
1781013673.610,start,-1.2431,9.3039,0.2827,-6.0848,0.1660,-0.3739,0.2706
1781013673.619,start,-1.2451,9.4038,0.2902,-6.0654,0.1843,-0.3953,0.2734
1781013673.630,start,-1.1449,9.1066,0.3679,-6.0321,0.2240,-0.3810,0.2749
1781013673.640,start,-0.9793,9.2204,0.4601,-6.1091,0.2358,-0.3467,0.2763
1781013673.649,start,-0.8812,9.2527,0.4937,-6.1725,0.2449,-0.3284,0.2784
1781013673.659,start,-0.7082,9.2886,0.6280,-6.1278,0.2854,-0.3497,0.2798
1781013673.670,start,-0.7260,9.4781,0.6544,-6.1344,0.3146,-0.3820,0.2804
1781013673.680,start,-0.9036,9.1321,0.5492,-6.0260,0.2931,-0.3853,0.2813
1781013673.689,start,-1.0470,9.1848,0.4342,-6.0783,0.2543,-0.3646,0.2822
1781013673.700,start,-1.2566,9.2567,0.2995,-6.1431,0.2363,-0.3504,0.2814
1781013673.710,start,-1.2416,9.3124,0.3124,-6.1392,0.2463,-0.3623,0.2791
1781013673.720,start,-1.1400,9.5460,0.3581,-6.1412,0.2520,-0.3915,0.2770
1781013673.730,start,-1.0014,9.1910,0.4175,-6.0317,0.2425,-0.3991,0.2747
1781013673.740,start,-0.9336,9.1441,0.4444,-5.9846,0.2372,-0.3925,0.2728
1781013673.750,start,-0.7434,9.1461,0.5666,-6.0551,0.2525,-0.3807,0.2708
1781013673.760,start,-0.7732,9.2388,0.5588,-6.0830,0.2581,-0.3803,0.2705
1781013673.770,start,-0.9807,9.3863,0.4515,-6.1218,0.2453,-0.3818,0.2710
1781013673.780,start,-1.1431,9.2355,0.3328,-6.0827,0.2305,-0.3754,0.2719
1781013673.790,start,-1.2044,9.2205,0.2731,-6.0604,0.2375,-0.3750,0.2723
1781013673.800,start,-1.1369,9.0439,0.3098,-5.9590,0.2531,-0.3886,0.2719
1781013673.810,start,-0.9638,9.1807,0.3922,-6.0254,0.2705,-0.3981,0.2713
1781013673.820,start,-0.8300,9.1146,0.4838,-6.0497,0.2883,-0.3815,0.2707
1781013673.830,start,-0.7062,9.1875,0.5507,-6.1392,0.3103,-0.3467,0.2706
1781013673.840,start,-0.6407,9.2260,0.6112,-6.1928,0.3332,-0.3367,0.2705
1781013673.850,start,-0.7395,9.1170,0.5709,-6.1048,0.3477,-0.3673,0.2711
1781013673.860,start,-0.9083,9.1940,0.4707,-6.0180,0.3452,-0.4205,0.2724
1781013673.870,start,-0.9878,8.9117,0.4045,-5.9297,0.3208,-0.4350,0.2730
1781013673.880,start,-0.9586,8.9965,0.3940,-5.9842,0.3039,-0.4125,0.2725
1781013673.890,start,-0.9218,9.1039,0.4278,-6.1035,0.3080,-0.3843,0.2716
1781013673.900,start,-0.8885,9.0216,0.4521,-6.0857,0.3080,-0.3918,0.2713
1781013673.911,start,-0.9354,9.2694,0.4159,-6.0607,0.2883,-0.4317,0.2718
1781013673.919,start,-0.8845,9.0364,0.4156,-5.9492,0.2703,-0.4612,0.2732
1781013673.930,start,-0.8151,8.9154,0.4611,-5.9670,0.2776,-0.4490,0.2750
1781013673.939,start,-0.8230,9.1890,0.4742,-6.1060,0.2984,-0.4183,0.2771
1781013673.949,start,-0.9788,9.1901,0.3922,-6.1380,0.2888,-0.4116,0.2785
1781013673.960,start,-1.1226,9.3133,0.2824,-6.1234,0.2555,-0.4333,0.2800
1781013673.969,start,-1.1428,9.3058,0.2533,-6.0617,0.2424,-0.4531,0.2800
1781013673.980,start,-1.1328,9.0424,0.2705,-6.0329,0.2683,-0.4389,0.2784
1781013673.990,start,-1.0197,9.0166,0.3520,-6.0592,0.2927,-0.4080,0.2763
1781013673.999,start,-0.9609,9.0365,0.3819,-6.0986,0.2870,-0.3903,0.2755
1781013674.010,start,-0.7751,9.2075,0.4669,-6.1192,0.2931,-0.4078,0.2750
1781013674.020,start,-0.7276,9.2586,0.5331,-6.1132,0.3273,-0.4266,0.2746
1781013674.030,start,-0.8103,9.0054,0.5087,-6.0423,0.3415,-0.4216,0.2750
1781013674.040,start,-0.9620,8.9843,0.3910,-6.1086,0.3138,-0.3988,0.2755
1781013674.050,start,-1.1483,9.0304,0.2600,-6.1540,0.2937,-0.3835,0.2752
1781013674.059,start,-1.1079,9.2693,0.2962,-6.1910,0.3163,-0.3967,0.2741
1781013674.070,start,-1.0546,9.2710,0.3364,-6.1644,0.3274,-0.4194,0.2733
1781013674.080,start,-0.9671,9.0645,0.3576,-6.0687,0.3014,-0.4325,0.2724
1781013674.090,start,-0.9595,8.9281,0.3396,-6.0252,0.2855,-0.4322,0.2716
1781013674.100,start,-0.8078,8.8224,0.4294,-6.0366,0.3085,-0.4258,0.2711
1781013674.110,start,-0.7399,9.0989,0.4810,-6.1135,0.3219,-0.4264,0.2719
1781013674.120,start,-0.8303,9.2289,0.4256,-6.1943,0.2974,-0.4205,0.2723
1781013674.130,start,-0.9614,9.1631,0.3250,-6.1817,0.2736,-0.4109,0.2730
1781013674.140,start,-1.1406,9.2148,0.2226,-6.1961,0.2741,-0.4093,0.2730
1781013674.150,start,-1.1126,8.9157,0.2312,-6.0856,0.2788,-0.4169,0.2717
1781013674.160,start,-1.0353,8.9916,0.2513,-6.0728,0.2830,-0.4230,0.2709
1781013674.170,start,-0.9271,9.0044,0.3257,-6.0950,0.3047,-0.4140,0.2701
1781013674.180,start,-0.8518,8.9277,0.3791,-6.1081,0.3250,-0.3981,0.2701
1781013674.189,start,-0.6745,9.1989,0.4825,-6.1777,0.3328,-0.3948,0.2706
1781013674.200,start,-0.6353,9.1354,0.5101,-6.1575,0.3362,-0.3998,0.2724
1781013674.209,start,-0.7985,9.0758,0.4427,-6.1402,0.3454,-0.3954,0.2743
1781013674.220,start,-0.9204,9.0690,0.3665,-6.1814,0.3383,-0.3727,0.2754
1781013674.230,start,-1.0254,8.9478,0.2597,-6.1792,0.3053,-0.3517,0.2758
1781013674.239,start,-0.9920,9.1038,0.2633,-6.1828,0.3001,-0.3615,0.2763
1781013674.250,start,-0.8905,9.1070,0.3417,-6.1343,0.3314,-0.3952,0.2765
1781013674.260,start,-0.8112,9.0651,0.3997,-6.0385,0.3397,-0.4224,0.2767
1781013674.270,start,-0.7377,8.9089,0.4021,-6.0071,0.3077,-0.4182,0.2777
1781013674.280,start,-0.6319,8.8119,0.4577,-6.0640,0.2947,-0.3919,0.2778
1781013674.290,start,-0.6558,9.0246,0.4679,-6.1679,0.3153,-0.3787,0.2777
1781013674.300,start,-0.8051,9.1410,0.3927,-6.1934,0.3162,-0.3932,0.2779
1781013674.310,start,-0.9050,9.2458,0.3023,-6.1845,0.2779,-0.4183,0.2790
1781013674.320,start,-0.9508,8.9965,0.2347,-6.0866,0.2595,-0.4288,0.2796
1781013674.330,start,-0.9180,8.8046,0.2807,-6.0650,0.2964,-0.4236,0.2781
