timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1781013983.613,init,-0.0551,9.2289,0.4007,-6.0854,0.1900,0.2495,0.2343
1781013988.623,init,-0.0463,9.2249,0.4106,-6.0842,0.1884,0.2490,0.2347
1781013991.463,start,-0.0878,9.2848,0.4033,-6.1041,0.1998,0.2484,0.2335
1781013992.634,start,-0.0672,9.2089,0.4136,-6.0955,0.2075,0.2486,0.2331
1781013992.640,start,-0.0559,9.2584,0.4016,-6.0979,0.1850,0.2480,0.2337
1781013992.643,start,-0.0410,9.2783,0.3837,-6.0957,0.1562,0.2475,0.2343
1781013992.648,start,-0.0600,9.2411,0.3885,-6.0953,0.1766,0.2482,0.2338
1781013992.652,start,-0.0813,9.2001,0.4008,-6.0896,0.2021,0.2488,0.2332
1781013992.700,start,-0.0395,9.2358,0.3899,-6.0729,0.1578,0.2477,0.2340
1781013992.863,start,-0.0629,9.2332,0.4008,-6.0706,0.1923,0.2486,0.2333
1781013998.674,start,-0.0641,9.2152,0.3978,-6.0842,0.1811,0.2487,0.2342
1781013998.677,start,-0.0477,9.2302,0.3987,-6.0800,0.1693,0.2484,0.2346
1781013998.680,start,-0.0500,9.2509,0.4065,-6.0831,0.1775,0.2484,0.2344
1781013998.682,start,-0.0621,9.2498,0.4069,-6.0911,0.1894,0.2488,0.2341
1781013998.684,start,-0.0614,9.2350,0.3956,-6.0938,0.1790,0.2490,0.2342
1781013998.686,start,-0.0570,9.2380,0.3855,-6.0866,0.1646,0.2487,0.2343
1781013998.691,start,-0.0616,9.2505,0.3929,-6.0821,0.1730,0.2483,0.2341
1781013998.693,start,-0.0619,9.2474,0.4085,-6.0821,0.1845,0.2484,0.2339
1781013998.695,start,-0.0531,9.2339,0.4057,-6.0867,0.1850,0.2487,0.2342
1781013998.696,start,-0.0541,9.2331,0.4080,-6.0835,0.1843,0.2483,0.2344
1781013998.698,start,-0.0614,9.2403,0.4015,-6.0727,0.1862,0.2480,0.2346
1781013998.700,start,-0.0658,9.2352,0.3921,-6.0732,0.1814,0.2481,0.2347
1781013998.703,start,-0.0623,9.2249,0.3884,-6.0805,0.1773,0.2484,0.2346
1781013998.713,start,-0.0557,9.2360,0.3992,-6.0882,0.1816,0.2486,0.2344
1781013998.723,start,-0.0395,9.2539,0.4213,-6.0911,0.1858,0.2482,0.2343
1781013998.732,start,-0.0122,9.2479,0.4368,-6.0820,0.1800,0.2480,0.2346
1781013998.742,start,-0.0748,9.2192,0.4250,-6.0728,0.1685,0.2479,0.2352
1781013998.752,start,-0.1620,9.2302,0.4195,-6.0796,0.1684,0.2469,0.2359
1781013998.762,start,-0.1810,9.2752,0.4860,-6.0798,0.1765,0.2430,0.2372
1781013998.772,start,-0.3565,9.3146,0.4495,-6.0692,0.1547,0.2304,0.2397
1781013998.782,start,-0.7864,9.3819,0.2216,-6.0518,0.0888,0.2016,0.2434
1781013998.792,start,-1.2120,9.4425,-0.0222,-6.0212,0.0191,0.1214,0.2471
1781013998.802,start,-1.4682,9.5127,-0.1541,-6.0083,-0.0244,0.0042,0.2498
1781013998.813,start,-1.6394,9.6045,-0.2193,-6.0175,-0.0531,-0.0924,0.2522
1781013998.823,start,-1.8243,9.5704,-0.2914,-6.0499,-0.0833,-0.1373,0.2538
1781013998.832,start,-1.7752,9.5496,-0.2679,-6.0955,-0.1177,-0.1548,0.2555
1781013998.842,start,-1.8701,9.5798,-0.3187,-6.1273,-0.1546,-0.1698,0.2579
1781013998.852,start,-1.8452,9.7530,-0.3023,-6.2049,-0.1776,-0.1908,0.2596
1781013998.862,start,-1.9198,10.0397,-0.3573,-6.2953,-0.1866,-0.2064,0.2612
1781013998.873,start,-2.1135,9.9758,-0.4431,-6.2421,-0.1941,-0.2239,0.2628
1781013998.882,start,-2.1725,9.5845,-0.4777,-6.0784,-0.2044,-0.2498,0.2650
1781013998.893,start,-1.9624,9.4954,-0.3857,-5.9496,-0.1994,-0.2858,0.2671
1781013998.902,start,-1.7251,9.6213,-0.2210,-5.9850,-0.1597,-0.3005,0.2688
1781013998.912,start,-1.6716,9.4803,-0.1479,-6.0202,-0.0927,-0.2688,0.2703
1781013998.922,start,-1.7196,9.6386,-0.1378,-6.1540,-0.0479,-0.2201,0.2732
1781013998.932,start,-1.6710,9.6024,-0.1270,-6.2029,-0.0345,-0.1900,0.2767
1781013998.943,start,-1.5049,9.6631,-0.0504,-6.1723,0.0018,-0.2049,0.2797
1781013998.953,start,-1.2411,9.5990,0.1574,-6.0714,0.0867,-0.2436,0.2808
1781013998.963,start,-0.8330,9.2773,0.4400,-5.9424,0.1753,-0.2681,0.2810
1781013998.972,start,-0.6972,9.2154,0.5631,-5.9184,0.2086,-0.2603,0.2810
1781013998.982,start,-0.6702,9.1362,0.5642,-5.9124,0.2033,-0.2389,0.2820
1781013998.993,start,-0.7186,9.2978,0.5524,-5.9932,0.2129,-0.2396,0.2824
1781013999.002,start,-0.9072,9.4302,0.4787,-6.0234,0.2311,-0.2620,0.2829
1781013999.013,start,-1.0413,9.3307,0.3864,-5.9438,0.2177,-0.2843,0.2832
1781013999.022,start,-1.1015,9.2801,0.3235,-5.9496,0.1797,-0.2851,0.2837
1781013999.032,start,-1.0099,9.1730,0.3552,-5.9734,0.1783,-0.2707,0.2831
1781013999.042,start,-0.9542,9.4294,0.4227,-6.0586,0.2066,-0.2725,0.2819
1781013999.052,start,-0.9314,9.3342,0.4443,-6.0074,0.1939,-0.2938,0.2808
1781013999.062,start,-0.9777,9.1883,0.3783,-5.9040,0.1436,-0.3187,0.2811
1781013999.073,start,-0.9098,9.2667,0.3907,-5.9269,0.1297,-0.3204,0.2811
1781013999.083,start,-0.8707,9.0939,0.4374,-5.9610,0.1588,-0.2924,0.2801
1781013999.092,start,-0.9622,9.3638,0.4165,-6.0538,0.1708,-0.2753,0.2805
1781013999.103,start,-1.0672,9.5480,0.3335,-6.1227,0.1447,-0.2837,0.2818
1781013999.112,start,-1.2073,9.4198,0.2386,-6.0646,0.1307,-0.3007,0.2823
1781013999.123,start,-1.1937,9.4874,0.2744,-6.0619,0.1623,-0.3017,0.2822
1781013999.132,start,-1.1110,9.2717,0.3359,-6.0554,0.1906,-0.2845,0.2822
1781013999.143,start,-1.0028,9.2698,0.3871,-6.0847,0.1942,-0.2758,0.2828
1781013999.152,start,-1.0104,9.5153,0.3892,-6.1536,0.2075,-0.2840,0.2831
1781013999.163,start,-0.8000,9.4550,0.5214,-6.1275,0.2460,-0.3026,0.2840
1781013999.172,start,-0.6836,9.4663,0.5978,-6.1046,0.2568,-0.3172,0.2859
1781013999.183,start,-0.8131,9.3048,0.5158,-6.0268,0.2274,-0.3283,0.2867
1781013999.192,start,-0.9839,9.2311,0.4013,-6.0044,0.2074,-0.3449,0.2869
1781013999.202,start,-1.1940,9.3096,0.2977,-6.0301,0.2048,-0.3614,0.2857
1781013999.212,start,-1.1751,9.2842,0.2965,-6.0386,0.1924,-0.3623,0.2834
1781013999.222,start,-1.0836,9.3896,0.3108,-6.0761,0.1644,-0.3619,0.2804
1781013999.232,start,-1.0199,9.2940,0.3398,-6.0581,0.1549,-0.3663,0.2778
1781013999.242,start,-1.0478,9.2541,0.3450,-5.9991,0.1661,-0.3852,0.2756
1781013999.253,start,-0.8821,9.2059,0.4260,-5.9848,0.1707,-0.4023,0.2742
1781013999.262,start,-0.8326,9.1031,0.4328,-5.9811,0.1550,-0.3950,0.2745
1781013999.273,start,-0.9623,9.2072,0.3871,-6.0689,0.1550,-0.3668,0.2750
1781013999.282,start,-1.1127,9.1840,0.3187,-6.0885,0.1662,-0.3511,0.2754
1781013999.292,start,-1.2853,9.4052,0.2116,-6.1171,0.1574,-0.3668,0.2770
1781013999.302,start,-1.2430,9.3951,0.2082,-6.0793,0.1463,-0.3825,0.2792
1781013999.312,start,-1.0787,9.1519,0.3072,-6.0432,0.1692,-0.3652,0.2808
1781013999.323,start,-0.9809,9.2242,0.3960,-6.1129,0.2074,-0.3346,0.2821
1781013999.332,start,-0.9214,9.1232,0.4212,-6.1333,0.2110,-0.3221,0.2838
1781013999.342,start,-0.7354,9.2922,0.5077,-6.1131,0.1992,-0.3456,0.2859
1781013999.352,start,-0.7174,9.4402,0.5343,-6.1303,0.2248,-0.3712,0.2864
1781013999.362,start,-0.9066,9.1609,0.4855,-6.0371,0.2520,-0.3763,0.2863
