timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1781014211.798,data_recording_center,0.7467,8.1713,0.7384,-6.2697,0.8890,-0.2672,0.2887
1781014217.029,data_recording_front,0.8305,9.3583,0.1100,-8.2291,0.0966,2.6794,0.2711
1781014227.069,data_recording_left,0.5000,7.4847,-0.5723,-5.8030,-1.6755,-1.1920,0.2494
1781014236.909,data_recording_right,0.3725,6.5794,0.5374,-4.3531,0.2205,-2.5292,0.2196
1781014246.748,data_recording_back,-0.0010,7.5893,1.2654,-5.7834,2.5397,-1.0975,0.2378
1781014254.928,data_recording_center,0.8542,8.1336,0.3467,-6.2975,0.2608,0.0771,0.2216
1781014260.149,data_recording_front,0.1531,9.2380,0.1975,-8.1361,0.5701,2.5861,0.2039
1781014270.199,data_recording_left,0.4847,7.4439,-0.6424,-5.8758,-1.6858,-1.0817,0.2475
1781014280.078,data_recording_right,0.6957,6.6105,0.6220,-4.2494,0.2268,-2.6469,0.2239
1781014289.969,data_recording_back,0.0850,7.7517,1.3747,-5.9291,2.5701,-1.0621,0.2345
1781014298.127,data_recording_center,0.8365,8.0799,0.4132,-6.2992,0.3200,0.4088,0.2271
1781014303.349,data_recording_front,0.1182,9.0438,0.1422,-7.8519,0.5186,2.5173,0.2053
1781014313.389,data_recording_left,0.5062,7.5686,-0.6470,-5.8505,-1.7065,-1.1184,0.2507
1781014323.269,data_recording_right,0.5874,6.5823,0.5469,-4.3829,0.1994,-2.5580,0.2203
1781014333.110,data_recording_back,0.0023,7.6458,1.2598,-5.8798,2.5213,-1.0230,0.2359
