timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1781014184.736,init,-0.1046,9.2403,0.3989,-6.1137,0.1493,0.2693,0.2364
1781014184.738,init,-0.1323,9.2515,0.4112,-6.1266,0.1873,0.2696,0.2355
1781014184.741,init,-0.1086,9.2354,0.4569,-6.1070,0.2085,0.2695,0.2349
1781014184.743,init,-0.0529,9.2001,0.4755,-6.0724,0.1733,0.2690,0.2355
1781014186.206,init,-0.1096,9.2236,0.4545,-6.0887,0.1797,0.2691,0.2354
1781014186.228,init,-0.1138,9.2199,0.4430,-6.0973,0.1714,0.2696,0.2356
1781014186.233,init,-0.1248,9.2353,0.4474,-6.1043,0.1854,0.2694,0.2352
1781014186.672,init,-0.0881,9.1963,0.4628,-6.0773,0.1824,0.2694,0.2346
1781014191.475,init,-0.1209,9.2298,0.4444,-6.1051,0.1768,0.2683,0.2360
1781014196.486,start,-0.1048,9.2248,0.4579,-6.0894,0.1762,0.2681,0.2360
1781014196.488,start,-0.1090,9.2226,0.4566,-6.0852,0.1788,0.2681,0.2360
1781014196.491,start,-0.1150,9.2150,0.4489,-6.0946,0.1789,0.2685,0.2360
1781014196.975,start,-0.1130,9.2121,0.4463,-6.0798,0.1748,0.2681,0.2358
1781014196.981,start,-0.1229,9.2152,0.4392,-6.0860,0.1784,0.2683,0.2356
1781014196.984,start,-0.1224,9.2336,0.4399,-6.0950,0.1766,0.2682,0.2356
1781014199.120,start,-0.1378,9.2259,0.4041,-6.1058,0.1701,0.2682,0.2360
1781014200.604,start,-0.0677,9.2190,0.4801,-6.1003,0.1858,0.2685,0.2357
1781014201.433,start,-0.1115,9.2376,0.4472,-6.0952,0.1748,0.2684,0.2355
1781014203.193,start,-0.1468,9.2167,0.4282,-6.0858,0.1800,0.2681,0.2360
1781014205.188,start,-0.1113,9.2073,0.4502,-6.0842,0.1790,0.2689,0.2353
1781014205.189,start,-0.1180,9.2199,0.4306,-6.1075,0.1696,0.2693,0.2355
1781014205.190,start,-0.1213,9.2452,0.4318,-6.1169,0.1762,0.2692,0.2353
1781014205.191,start,-0.1165,9.2495,0.4468,-6.1045,0.1854,0.2687,0.2353
1781014205.191,start,-0.1030,9.2177,0.4582,-6.0839,0.1816,0.2687,0.2356
1781014205.192,start,-0.0959,9.1810,0.4567,-6.0764,0.1756,0.2690,0.2359
1781014205.193,start,-0.1069,9.1873,0.4525,-6.0870,0.1801,0.2692,0.2359
1781014205.194,start,-0.1155,9.2316,0.4469,-6.1038,0.1843,0.2692,0.2359
1781014205.195,start,-0.1167,9.2590,0.4403,-6.1123,0.1774,0.2692,0.2361
1781014205.196,start,-0.1119,9.2442,0.4426,-6.1104,0.1731,0.2693,0.2361
1781014205.197,start,-0.1065,9.2146,0.4541,-6.0987,0.1798,0.2694,0.2359
1781014205.204,start,-0.1102,9.2036,0.4569,-6.0865,0.1832,0.2691,0.2360
1781014205.214,start,-0.1084,9.2160,0.4477,-6.0859,0.1759,0.2688,0.2362
