timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780483198.916,init,-0.9127,9.5441,0.1743,-6.2233,0.1656,-0.3434,0.2375
1780483198.921,init,-0.7999,9.5850,0.1802,-6.2642,0.0979,-0.3423,0.2378
1780483198.923,init,-0.8309,9.5659,0.1714,-6.2494,0.1099,-0.3424,0.2376
1780483200.708,start,-0.8369,9.5706,0.1935,-6.2439,0.1347,-0.3421,0.2367
1780483200.711,start,-0.7976,9.5898,0.1778,-6.2635,0.0947,-0.3413,0.2372
1780483200.714,start,-0.8501,9.5698,0.1724,-6.2435,0.1240,-0.3417,0.2369
1780483200.738,start,-0.9208,9.5450,0.1759,-6.2182,0.1710,-0.3424,0.2364
1780483200.740,start,-0.9126,9.5529,0.1654,-6.2252,0.1527,-0.3425,0.2370
1780483200.745,start,-0.8626,9.5830,0.1506,-6.2535,0.0977,-0.3417,0.2378
1780483200.749,start,-0.8599,9.5840,0.1494,-6.2577,0.0942,-0.3416,0.2378
1780483200.755,start,-0.8977,9.5625,0.1680,-6.2343,0.1502,-0.3424,0.2372
1780483200.939,start,-0.8612,9.5801,0.1509,-6.2543,0.0983,-0.3421,0.2377
1780483200.943,start,-0.8610,9.5829,0.1485,-6.2585,0.0965,-0.3419,0.2376
1780483200.944,start,-0.9026,9.5597,0.1660,-6.2343,0.1526,-0.3427,0.2369
1780483200.946,start,-0.9016,9.5519,0.1857,-6.2253,0.1779,-0.3433,0.2364
1780483200.948,start,-0.8382,9.5756,0.1910,-6.2477,0.1324,-0.3427,0.2367
1780483200.950,start,-0.8017,9.5807,0.1751,-6.2602,0.0936,-0.3420,0.2371
1780483200.951,start,-0.8529,9.5581,0.1712,-6.2399,0.1255,-0.3423,0.2367
1780483200.953,start,-0.9177,9.5373,0.1754,-6.2171,0.1717,-0.3431,0.2361
1780483200.955,start,-0.9074,9.5570,0.1645,-6.2293,0.1508,-0.3432,0.2367
1780483200.957,start,-0.8606,9.5876,0.1485,-6.2584,0.0966,-0.3422,0.2374
1780483200.958,start,-0.8606,9.5829,0.1470,-6.2574,0.0957,-0.3419,0.2375
1780483200.960,start,-0.8993,9.5567,0.1653,-6.2310,0.1522,-0.3426,0.2369
1780483200.966,start,-0.8977,9.5501,0.1858,-6.2231,0.1772,-0.3430,0.2365
1780483200.975,start,-0.8371,9.5755,0.1894,-6.2488,0.1317,-0.3424,0.2369
1780483200.986,start,-0.8010,9.5857,0.1739,-6.2644,0.0938,-0.3419,0.2375
1780483200.995,start,-0.8398,9.5608,0.1791,-6.2416,0.1267,-0.3423,0.2371
1780483201.005,start,-0.8746,9.5367,0.1987,-6.2163,0.1724,-0.3432,0.2366
1780483201.014,start,-0.8653,9.5519,0.1926,-6.2259,0.1491,-0.3431,0.2372
1780483201.024,start,-0.8316,9.5462,0.1949,-6.2389,0.0908,-0.3421,0.2382
1780483201.034,start,-0.7763,9.4950,0.2792,-6.2028,0.0822,-0.3411,0.2386
1780483201.044,start,-1.0459,9.6365,0.2520,-6.1770,0.1103,-0.3393,0.2394
1780483201.054,start,-1.4913,9.8187,0.0622,-6.1405,0.0782,-0.3386,0.2417
1780483201.065,start,-1.7873,9.8436,-0.1571,-6.1168,-0.0339,-0.3379,0.2469
1780483201.074,start,-2.1458,9.7232,-0.4097,-6.1148,-0.1368,-0.3385,0.2551
1780483201.084,start,-2.2294,9.6895,-0.4738,-6.1792,-0.1438,-0.3409,0.2627
1780483201.095,start,-2.2870,9.9384,-0.4867,-6.2363,-0.1168,-0.3446,0.2699
1780483201.105,start,-2.2496,10.3883,-0.5078,-6.3640,-0.1496,-0.3460,0.2762
1780483201.115,start,-2.0683,10.2724,-0.4996,-6.2769,-0.2361,-0.3480,0.2809
1780483201.125,start,-2.0162,9.8701,-0.5235,-6.1241,-0.2920,-0.3532,0.2847
1780483201.134,start,-2.1727,9.4785,-0.5940,-5.9313,-0.2997,-0.3663,0.2881
1780483201.144,start,-2.1643,9.6852,-0.6069,-6.0071,-0.3085,-0.3849,0.2913
1780483201.154,start,-2.1628,9.9310,-0.6544,-6.1662,-0.3582,-0.4009,0.2942
1780483201.164,start,-2.1418,10.0126,-0.7008,-6.2190,-0.3946,-0.4165,0.2968
1780483201.175,start,-2.0865,10.0800,-0.6677,-6.1351,-0.3686,-0.4605,0.2977
1780483201.185,start,-1.9810,9.7930,-0.5934,-6.0424,-0.3139,-0.5184,0.2975
1780483201.194,start,-1.6746,9.7543,-0.4314,-6.0595,-0.2782,-0.5362,0.2968
1780483201.205,start,-1.5236,9.4438,-0.3562,-5.9711,-0.2659,-0.5361,0.2954
1780483201.214,start,-1.5531,9.5657,-0.3456,-6.0539,-0.2194,-0.5414,0.2937
1780483201.225,start,-1.3967,9.5037,-0.2268,-6.0759,-0.1258,-0.5394,0.2920
1780483201.234,start,-1.2539,9.8324,-0.0955,-6.1621,-0.0433,-0.5461,0.2904
1780483201.244,start,-1.0882,10.0854,0.0227,-6.3527,0.0005,-0.5381,0.2890
1780483201.254,start,-1.0132,9.9871,0.0724,-6.3466,0.0398,-0.4974,0.2883
1780483201.264,start,-0.9937,9.8502,0.1297,-6.2666,0.0977,-0.4843,0.2866
1780483201.274,start,-0.9338,9.3350,0.1835,-6.0798,0.1426,-0.4991,0.2852
1780483201.284,start,-0.7428,9.4241,0.2938,-6.0362,0.1633,-0.4931,0.2836
1780483201.294,start,-0.7684,9.3029,0.2928,-6.0233,0.1683,-0.4821,0.2820
1780483201.304,start,-0.9092,9.5030,0.2407,-6.1595,0.1942,-0.4761,0.2809
1780483201.315,start,-0.8908,9.5222,0.2818,-6.1714,0.2303,-0.4632,0.2805
