timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1779805726.967,init,-0.8124,8.8335,0.0189,-6.1765,0.2792,-0.0302,0.2235
1779805726.975,start,-0.7792,8.8185,0.0364,-6.1578,0.2906,-0.0317,0.2245
1779805726.986,start,-0.8062,8.8109,0.0192,-6.1637,0.2925,-0.0313,0.2255
1779805726.996,start,-0.7870,8.8131,0.0365,-6.1543,0.2860,-0.0310,0.2241
1779805727.006,start,-0.8042,8.8025,0.0161,-6.1661,0.2927,-0.0319,0.2254
1779805727.015,start,-0.7983,8.8199,0.0280,-6.1701,0.2754,-0.0300,0.2229
1779805727.026,start,-0.7795,8.8113,0.0259,-6.1677,0.2878,-0.0320,0.2247
1779805727.036,start,-0.7811,8.8187,0.0248,-6.1718,0.2761,-0.0306,0.2229
1779805727.046,start,-0.6508,8.8107,0.0922,-6.1567,0.2912,-0.0331,0.2235
1779805727.056,start,-0.6558,8.8221,0.1409,-6.1681,0.2841,-0.0337,0.2216
1779805727.066,start,-0.8777,8.8384,0.0793,-6.1436,0.2477,-0.0376,0.2177
1779805727.076,start,-1.3376,8.7652,-0.1624,-6.1165,0.1900,-0.0443,0.2158
1779805727.086,start,-1.6023,8.7271,-0.2983,-6.0590,0.1122,-0.0630,0.2091
1779805727.096,start,-1.9007,8.7548,-0.4826,-6.0485,0.0793,-0.1435,0.2064
1779805727.106,start,-1.8513,8.9026,-0.4329,-6.0934,0.0480,-0.2174,0.2008
1779805727.116,start,-1.7664,9.0260,-0.3790,-6.1271,0.0459,-0.3042,0.1988
1779805727.126,start,-1.9252,9.0926,-0.4775,-6.2068,0.0111,-0.3342,0.1963
1779805727.136,start,-1.8104,9.0425,-0.4328,-6.2083,-0.0126,-0.3584,0.1940
1779805727.146,start,-1.8329,8.9995,-0.4820,-6.2190,-0.0275,-0.3898,0.1954
1779805727.157,start,-1.7385,9.0040,-0.4187,-6.1459,-0.0523,-0.4235,0.1931
1779805727.165,start,-1.6758,9.0685,-0.4122,-6.1432,-0.0518,-0.4749,0.1951
1779805727.176,start,-1.7459,8.9858,-0.4538,-6.1499,-0.0851,-0.4537,0.1929
1779805727.186,start,-1.9962,9.1326,-0.6074,-6.2375,-0.0876,-0.4510,0.1956
1779805727.196,start,-2.0115,9.1864,-0.6302,-6.3177,-0.0930,-0.4220,0.1967
1779805727.207,start,-1.9182,9.0408,-0.5899,-6.2357,-0.0673,-0.4305,0.1996
1779805727.216,start,-1.8650,9.1155,-0.5529,-6.1771,-0.0268,-0.4630,0.2035
1779805727.227,start,-1.7157,9.0381,-0.4542,-6.0507,0.0081,-0.4895,0.2038
1779805727.238,start,-1.6181,8.9337,-0.4258,-6.0270,0.0606,-0.5166,0.2066
1779805727.246,start,-1.4132,8.7300,-0.2955,-5.9836,0.0965,-0.4756,0.2060
1779805727.256,start,-0.9669,8.6013,-0.0521,-5.9795,0.1869,-0.4585,0.2100
1779805727.267,start,-0.7182,8.7779,0.1480,-6.0547,0.2533,-0.4348,0.2103
1779805727.276,start,-0.7869,9.0068,0.1485,-6.0944,0.3018,-0.4483,0.2125
1779805727.287,start,-1.0330,9.0195,0.0112,-6.1507,0.3080,-0.4367,0.2158
1779805727.296,start,-1.1898,8.8024,-0.0795,-6.0893,0.3028,-0.4074,0.2161
1779805727.306,start,-1.1661,8.9370,-0.0779,-6.1880,0.3351,-0.4032,0.2182
1779805727.316,start,-1.2105,9.1029,-0.0804,-6.2383,0.3399,-0.3863,0.2145
1779805727.327,start,-1.0557,8.9769,-0.0037,-6.1894,0.3664,-0.4110,0.2147
1779805727.337,start,-0.9942,8.8262,0.0228,-6.1420,0.3543,-0.4003,0.2130
1779805727.346,start,-0.7047,8.9100,0.1662,-6.1212,0.3789,-0.4192,0.2142
1779805727.356,start,-0.7326,8.7807,0.1527,-6.1017,0.3807,-0.4189,0.2153
1779805727.366,start,-0.7835,8.7239,0.1390,-6.0335,0.3591,-0.4217,0.2131
1779805727.376,start,-0.9412,8.7609,0.0128,-6.0641,0.3281,-0.4431,0.2131
1779805727.386,start,-1.1065,8.8183,-0.0872,-6.0621,0.2761,-0.4385,0.2095
1779805727.396,start,-1.2108,8.9118,-0.1591,-6.1144,0.2664,-0.4582,0.2094
1779805727.406,start,-1.2495,8.8766,-0.1870,-6.1337,0.2339,-0.4388,0.2052
1779805727.416,start,-1.1992,8.7220,-0.1824,-6.0466,0.2293,-0.4628,0.2041
1779805727.426,start,-1.2026,8.7416,-0.1888,-6.0677,0.2213,-0.4668,0.2030
1779805727.437,start,-0.9837,8.8037,-0.0684,-6.0937,0.2414,-0.4614,0.2030
1779805727.447,start,-0.9488,8.7928,-0.0622,-6.1472,0.2667,-0.4513,0.2053
1779805727.456,start,-1.0413,8.7728,-0.1168,-6.1317,0.2613,-0.4342,0.2044
1779805727.466,start,-1.0268,8.8684,-0.1408,-6.1595,0.2822,-0.4700,0.2068
