timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1779805370.318,init,-0.7476,6.8226,0.3962,-4.7202,0.3660,-0.0662,0.2284
1779805370.331,init,-0.7494,6.8235,0.3873,-4.7169,0.3657,-0.0667,0.2272
1779805370.339,init,-0.7520,6.8121,0.3885,-4.7159,0.3647,-0.0659,0.2281
1779805370.355,init,-0.7527,6.8064,0.3925,-4.7143,0.3644,-0.0663,0.2277
1779805370.371,init,-0.7547,6.8190,0.3802,-4.7181,0.3686,-0.0666,0.2273
1779805370.404,init,-0.7489,6.8243,0.3946,-4.7218,0.3654,-0.0662,0.2281
1779805370.417,start,-0.7539,6.8273,0.3842,-4.7184,0.3653,-0.0666,0.2268
1779805370.435,start,-0.7518,6.8167,0.3885,-4.7167,0.3641,-0.0658,0.2278
1779805370.450,start,-0.7488,6.8146,0.3942,-4.7156,0.3644,-0.0662,0.2272
1779805370.478,start,-0.7453,6.8284,0.3857,-4.7191,0.3691,-0.0666,0.2271
1779805370.484,start,-0.7414,6.8262,0.4002,-4.7195,0.3664,-0.0660,0.2281
1779805370.487,start,-0.7470,6.8249,0.3874,-4.7155,0.3664,-0.0664,0.2270
1779805370.490,start,-0.7504,6.8136,0.3888,-4.7146,0.3643,-0.0654,0.2281
1779805370.491,start,-0.7515,6.8144,0.3904,-4.7149,0.3638,-0.0658,0.2276
1779805370.492,start,-0.7513,6.8260,0.3810,-4.7197,0.3678,-0.0661,0.2275
1779805370.492,start,-0.7469,6.8225,0.3957,-4.7196,0.3650,-0.0659,0.2283
1779805370.493,start,-0.7499,6.8190,0.3851,-4.7155,0.3656,-0.0663,0.2270
1779805370.494,start,-0.7473,6.8077,0.3916,-4.7146,0.3634,-0.0655,0.2281
1779805370.494,start,-0.7453,6.8138,0.3945,-4.7147,0.3632,-0.0660,0.2274
1779805370.495,start,-0.7419,6.8276,0.3860,-4.7198,0.3671,-0.0661,0.2275
1779805370.502,start,-0.7402,6.8226,0.3980,-4.7202,0.3647,-0.0659,0.2282
1779805370.513,start,-0.7465,6.8194,0.3844,-4.7167,0.3655,-0.0662,0.2268
1779805370.521,start,-0.7480,6.8070,0.3903,-4.7161,0.3627,-0.0654,0.2279
1779805370.531,start,-0.7403,6.8093,0.3959,-4.7142,0.3623,-0.0662,0.2271
1779805370.542,start,-0.8455,6.8169,0.3308,-4.7167,0.3632,-0.0668,0.2274
1779805370.551,start,-0.9643,6.8174,0.2851,-4.7223,0.3555,-0.0681,0.2281
1779805370.561,start,-0.8590,6.8243,0.3354,-4.7251,0.3556,-0.0732,0.2261
1779805370.571,start,-0.7185,6.8075,0.4277,-4.7268,0.3547,-0.0858,0.2256
1779805370.581,start,-0.7767,6.7884,0.4341,-4.7282,0.3337,-0.1168,0.2222
1779805370.592,start,-1.0796,6.7976,0.2725,-4.7251,0.3036,-0.1795,0.2199
1779805370.601,start,-1.3730,6.8813,0.1277,-4.7163,0.2568,-0.2487,0.2186
1779805370.612,start,-1.5566,6.9981,-0.0065,-4.7568,0.2213,-0.2970,0.2156
1779805370.622,start,-1.6583,7.0495,-0.0652,-4.8149,0.1973,-0.3160,0.2153
1779805370.631,start,-1.5313,7.0984,-0.0018,-4.8814,0.1922,-0.3289,0.2136
1779805370.641,start,-1.4320,7.1921,0.0655,-4.9509,0.2039,-0.3224,0.2137
1779805370.653,start,-1.4654,7.2601,0.0491,-5.0055,0.2009,-0.3025,0.2152
1779805370.662,start,-1.5145,7.1416,0.0161,-5.0132,0.2084,-0.2912,0.2144
1779805370.671,start,-1.4635,7.1043,0.0315,-4.9738,0.2054,-0.2908,0.2143
1779805370.684,start,-1.5206,7.1432,-0.0187,-4.9734,0.1985,-0.3103,0.2116
1779805370.693,start,-1.5194,7.0679,-0.0241,-4.9058,0.1929,-0.3378,0.2094
1779805370.701,start,-1.3902,7.0884,0.0480,-4.8837,0.1874,-0.3488,0.2092
1779805370.713,start,-1.2705,7.2370,0.1010,-4.8934,0.2026,-0.3531,0.2077
1779805370.721,start,-1.2761,7.1103,0.1190,-4.8549,0.2124,-0.3337,0.2101
1779805370.730,start,-1.4058,6.9351,0.0273,-4.8092,0.2196,-0.3142,0.2111
1779805370.741,start,-1.4530,6.8798,-0.0163,-4.8430,0.2391,-0.3018,0.2129
1779805370.752,start,-1.3647,7.1092,0.0250,-4.8759,0.2579,-0.2903,0.2136
1779805370.761,start,-1.1013,7.1584,0.1709,-4.9159,0.2928,-0.2877,0.2115
1779805370.774,start,-0.7923,7.0480,0.3756,-4.8572,0.3218,-0.2862,0.2113
