timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1779807068.237,init,-0.7408,6.4119,0.0604,-4.4390,0.3247,-0.0718,0.2048
1779807068.268,init,-0.7480,6.4194,0.0566,-4.4433,0.3271,-0.0717,0.2046
1779807068.271,init,-0.7500,6.4048,0.0553,-4.4426,0.3256,-0.0717,0.2047
1779807068.273,init,-0.7467,6.3896,0.0556,-4.4348,0.3245,-0.0718,0.2049
1779807068.291,start,-0.7424,6.3951,0.0634,-4.4350,0.3264,-0.0719,0.2050
1779807068.302,start,-0.7418,6.4092,0.0656,-4.4444,0.3281,-0.0719,0.2049
1779807068.304,start,-0.7442,6.4197,0.0612,-4.4459,0.3250,-0.0721,0.2048
1779807068.317,start,-0.7472,6.4131,0.0576,-4.4396,0.3259,-0.0722,0.2047
1779807068.318,start,-0.7478,6.3926,0.0594,-4.4359,0.3273,-0.0722,0.2048
1779807068.328,start,-0.7464,6.3858,0.0604,-4.4345,0.3262,-0.0721,0.2049
1779807068.336,start,-0.7457,6.4029,0.0622,-4.4380,0.3262,-0.0720,0.2050
1779807068.355,start,-0.7469,6.4171,0.0632,-4.4449,0.3277,-0.0719,0.2049
1779807068.358,start,-0.7502,6.4107,0.0575,-4.4447,0.3259,-0.0720,0.2048
1779807068.367,start,-0.7692,6.3912,0.0492,-4.4324,0.3241,-0.0721,0.2048
1779807068.376,start,-0.8907,6.3743,-0.0229,-4.4268,0.3218,-0.0725,0.2049
1779807068.387,start,-0.9700,6.3882,-0.0460,-4.4368,0.3177,-0.0738,0.2045
1779807068.397,start,-0.8293,6.4098,0.0605,-4.4454,0.3179,-0.0781,0.2034
1779807068.407,start,-0.7306,6.4050,0.1570,-4.4515,0.3181,-0.0884,0.2002
1779807068.417,start,-0.8995,6.3750,0.1203,-4.4551,0.2940,-0.1165,0.1961
1779807068.427,start,-1.2005,6.3428,-0.0231,-4.4254,0.2576,-0.1844,0.1919
1779807068.437,start,-1.4629,6.3972,-0.1598,-4.4151,0.2162,-0.2536,0.1876
1779807068.446,start,-1.7042,6.5412,-0.2954,-4.5072,0.1866,-0.2904,0.1846
1779807068.457,start,-1.7552,6.6408,-0.3283,-4.6136,0.1785,-0.3064,0.1825
1779807068.467,start,-1.5805,6.7732,-0.2092,-4.7074,0.1846,-0.3084,0.1821
1779807068.476,start,-1.5038,6.7554,-0.1653,-4.7202,0.1878,-0.3113,0.1826
1779807068.486,start,-1.3768,6.6986,-0.1073,-4.7118,0.1943,-0.3163,0.1835
1779807068.497,start,-1.4518,6.7125,-0.1601,-4.7311,0.1910,-0.3222,0.1845
1779807068.507,start,-1.5773,6.7759,-0.2337,-4.7440,0.1737,-0.3283,0.1859
1779807068.517,start,-1.7544,6.6256,-0.3682,-4.6936,0.1592,-0.3456,0.1886
1779807068.526,start,-1.7019,6.5925,-0.3502,-4.6078,0.1573,-0.3519,0.1908
1779807068.537,start,-1.6309,6.6286,-0.3112,-4.6055,0.1664,-0.3479,0.1932
1779807068.546,start,-1.4717,6.6055,-0.2142,-4.5928,0.1766,-0.3376,0.1951
1779807068.557,start,-1.4709,6.6015,-0.2165,-4.6305,0.1944,-0.3195,0.1957
1779807068.568,start,-1.4741,6.5157,-0.2228,-4.6227,0.2029,-0.3108,0.1954
1779807068.577,start,-1.4624,6.6360,-0.2523,-4.5980,0.2133,-0.3177,0.1946
1779807068.587,start,-1.1649,6.7578,-0.0947,-4.6048,0.2451,-0.3150,0.1949
1779807068.598,start,-0.8333,6.5588,0.1101,-4.5087,0.2954,-0.3211,0.1964
1779807068.606,start,-0.6645,6.3440,0.2413,-4.4276,0.3224,-0.3157,0.1971
1779807068.618,start,-0.7327,6.1727,0.2151,-4.3791,0.3221,-0.3142,0.1979
1779807068.627,start,-1.0732,6.4830,0.0273,-4.4620,0.3018,-0.3190,0.1989
1779807068.637,start,-1.2762,6.7440,-0.1059,-4.5738,0.2823,-0.3262,0.1993
1779807068.647,start,-1.2701,6.6216,-0.1280,-4.5251,0.2821,-0.3241,0.1999
1779807068.657,start,-1.1441,6.2443,-0.0679,-4.4378,0.2871,-0.3095,0.1992
1779807068.667,start,-0.9986,6.2387,-0.0016,-4.4313,0.3051,-0.3231,0.1975
1779807068.678,start,-0.7115,6.4555,0.1759,-4.4652,0.3230,-0.3242,0.1962
1779807068.688,start,-0.6500,6.4842,0.2168,-4.5152,0.3444,-0.3231,0.1970
1779807068.696,start,-0.7972,6.3627,0.1614,-4.4579,0.3414,-0.3307,0.1981
1779807068.707,start,-0.9173,6.3255,0.0817,-4.4388,0.3349,-0.3293,0.1995
1779807068.717,start,-0.9894,6.5694,0.0268,-4.5448,0.3255,-0.3219,0.2008
1779807068.727,start,-0.9423,6.6839,0.0557,-4.6223,0.3333,-0.3193,0.2009
1779807068.736,start,-0.8958,6.5513,0.0822,-4.5739,0.3356,-0.3210,0.2005
1779807068.747,start,-0.8945,6.3978,0.0835,-4.4508,0.3246,-0.3430,0.1988
1779807068.756,start,-0.9158,6.4391,0.0600,-4.4564,0.3219,-0.3516,0.1981
1779807068.766,start,-0.8141,6.5218,0.1280,-4.5383,0.3251,-0.3436,0.1963
1779807068.776,start,-0.7607,6.3757,0.1569,-4.5272,0.3372,-0.3363,0.1956
1779807068.787,start,-0.8604,6.4568,0.1157,-4.5055,0.3268,-0.3438,0.1951
1779807068.797,start,-0.9127,6.5019,0.0762,-4.4759,0.3299,-0.3473,0.1955
1779807068.807,start,-0.9682,6.5176,0.0338,-4.5615,0.3234,-0.3406,0.1959
1779807068.817,start,-0.9209,6.4879,0.0536,-4.5816,0.3256,-0.3206,0.1960
1779807068.827,start,-0.8576,6.4709,0.0847,-4.5483,0.3225,-0.3127,0.1953
1779807068.836,start,-0.8714,6.6117,0.0799,-4.5518,0.3248,-0.3328,0.1954
1779807068.847,start,-0.8527,6.5769,0.0846,-4.5431,0.3232,-0.3294,0.1954
1779807068.857,start,-0.7490,6.4020,0.1474,-4.5572,0.3308,-0.3163,0.1959
1779807068.867,start,-0.6741,6.2802,0.1951,-4.5347,0.3403,-0.3050,0.1947
1779807068.878,start,-0.7951,6.4926,0.1400,-4.5572,0.3307,-0.3205,0.1932
1779807068.886,start,-0.8866,6.5635,0.0808,-4.5790,0.3283,-0.3302,0.1932
1779807068.897,start,-0.9552,6.4684,0.0223,-4.5531,0.3139,-0.3308,0.1940
1779807068.907,start,-0.9279,6.4385,0.0256,-4.5741,0.3236,-0.3288,0.1944
1779807068.917,start,-0.8136,6.5084,0.1016,-4.6124,0.3275,-0.3217,0.1947
1779807068.927,start,-0.7635,6.6043,0.1361,-4.6659,0.3346,-0.3174,0.1942
1779807068.937,start,-0.7490,6.5722,0.1447,-4.6456,0.3311,-0.3302,0.1943
1779807068.947,start,-0.7051,6.4645,0.1771,-4.5283,0.3361,-0.3432,0.1944
