timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780413088.535,init,-0.1982,7.0038,0.0813,-5.1697,0.4200,-0.0923,0.2413
1780413088.544,init,-0.1993,6.9887,0.1019,-5.1931,0.4345,-0.0922,0.2411
1780413088.617,init,-0.1879,7.0163,0.0730,-5.1585,0.4016,-0.0925,0.2421
1780413088.619,init,-0.1922,7.0178,0.0681,-5.1551,0.3990,-0.0925,0.2418
1780413088.621,init,-0.1968,6.9879,0.0976,-5.1895,0.4384,-0.0923,0.2407
1780413088.630,init,-0.1971,7.0041,0.0864,-5.1818,0.4223,-0.0924,0.2414
1780413088.833,init,-0.1997,7.0024,0.0813,-5.1739,0.4274,-0.0926,0.2410
1780413088.996,init,-0.1903,7.0230,0.0674,-5.1552,0.3970,-0.0921,0.2417
1780413089.000,init,-0.1964,7.0152,0.0716,-5.1615,0.4075,-0.0921,0.2411
1780413089.002,init,-0.1983,6.9890,0.1010,-5.1933,0.4403,-0.0917,0.2405
1780413089.005,init,-0.1953,7.0073,0.0796,-5.1729,0.4158,-0.0917,0.2415
1780413089.007,init,-0.1948,7.0292,0.0612,-5.1520,0.3934,-0.0917,0.2417
1780413089.010,init,-0.2004,6.9968,0.0874,-5.1793,0.4316,-0.0916,0.2406
1780413089.014,init,-0.2015,6.9950,0.0960,-5.1901,0.4314,-0.0913,0.2408
1780413089.404,init,-0.2005,7.0081,0.0887,-5.1879,0.4258,-0.0928,0.2410
1780413089.543,init,-0.2020,7.0072,0.0822,-5.1825,0.4241,-0.0920,0.2410
1780413089.546,init,-0.1969,7.0358,0.0573,-5.1514,0.3918,-0.0920,0.2418
1780413089.548,init,-0.2024,7.0054,0.0772,-5.1719,0.4216,-0.0919,0.2409
1780413089.550,init,-0.2029,6.9918,0.0981,-5.1948,0.4364,-0.0916,0.2407
1780413089.552,init,-0.1909,7.0226,0.0687,-5.1603,0.4025,-0.0918,0.2418
1780413090.842,init,-0.1928,7.0317,0.0576,-5.1512,0.3924,-0.0925,0.2410
1780413090.846,init,-0.1951,7.0307,0.0590,-5.1529,0.3918,-0.0931,0.2409
1780413090.852,init,-0.2009,7.0001,0.0838,-5.1809,0.4286,-0.0930,0.2397
1780413091.575,start,-0.1952,7.0351,0.0576,-5.1469,0.3904,-0.0928,0.2413
1780413091.578,start,-0.1997,7.0032,0.0793,-5.1700,0.4239,-0.0927,0.2403
1780413091.622,start,-0.1946,7.0243,0.0645,-5.1563,0.4024,-0.0929,0.2411
1780413092.806,start,-0.2005,6.9965,0.0878,-5.1766,0.4308,-0.0928,0.2398
1780413092.811,start,-0.2021,7.0008,0.0937,-5.1873,0.4290,-0.0924,0.2402
1780413093.591,start,-0.1926,7.0281,0.0639,-5.1499,0.3937,-0.0926,0.2412
1780413093.739,start,-0.1927,7.0303,0.0646,-5.1481,0.3921,-0.0920,0.2415
