timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780410930.132,init,-0.0472,7.6589,0.3684,-5.2130,0.2214,-0.0880,0.2266
1780410931.974,init,-0.0438,7.6675,0.3683,-5.2066,0.2132,-0.0881,0.2269
1780410932.787,init,-0.0464,7.6629,0.3660,-5.2066,0.2139,-0.0876,0.2263
1780410933.456,init,-0.0482,7.6657,0.3689,-5.2139,0.2169,-0.0875,0.2262
1780410933.828,init,-0.0430,7.6618,0.3749,-5.2149,0.2218,-0.0886,0.2266
1780410939.803,init,-0.0577,7.6667,0.3574,-5.2120,0.2224,-0.0882,0.2258
1780410939.817,init,-0.0538,7.6673,0.3595,-5.2078,0.2178,-0.0883,0.2255
1780410939.820,init,-0.0527,7.6578,0.3648,-5.2148,0.2288,-0.0881,0.2259
1780410939.822,start,-0.0567,7.6602,0.3582,-5.2088,0.2222,-0.0882,0.2257
1780410944.124,start,-0.0092,7.7053,0.3987,-5.2183,0.2250,-0.0882,0.2271
1780410944.127,start,-0.0022,7.7044,0.3969,-5.2214,0.2224,-0.0880,0.2265
1780410944.130,start,-0.0320,7.6622,0.3760,-5.2268,0.2279,-0.0877,0.2270
1780410944.133,start,-0.0719,7.6193,0.3355,-5.2099,0.2169,-0.0881,0.2271
1780410944.431,start,-0.0250,7.6854,0.3767,-5.2183,0.2220,-0.0880,0.2269
1780410945.263,start,-0.0489,7.6479,0.3712,-5.2107,0.2216,-0.0884,0.2263
1780410946.064,start,-0.0445,7.6535,0.3632,-5.2111,0.2204,-0.0881,0.2262
1780410948.892,start,-0.0498,7.6628,0.3587,-5.2195,0.2173,-0.0876,0.2266
1780410950.732,start,-0.0469,7.6629,0.3549,-5.2107,0.2146,-0.0881,0.2263
1780410952.157,start,-0.0495,7.6621,0.3597,-5.2161,0.2170,-0.0877,0.2258
1780410952.162,start,-0.0424,7.6549,0.3689,-5.2207,0.2248,-0.0878,0.2261
1780410954.860,start,-0.0520,7.6615,0.3650,-5.2198,0.2292,-0.0877,0.2267
1780410954.865,start,-0.0459,7.6571,0.3649,-5.2223,0.2289,-0.0875,0.2263
1780410954.866,start,-0.0517,7.6573,0.3546,-5.2129,0.2217,-0.0878,0.2260
1780410954.867,start,-0.0517,7.6618,0.3567,-5.2121,0.2174,-0.0878,0.2259
1780410954.868,start,-0.0495,7.6614,0.3626,-5.2219,0.2279,-0.0875,0.2264
1780410954.869,start,-0.0542,7.6627,0.3540,-5.2147,0.2212,-0.0877,0.2261
