timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1779804038.883,init,-0.2271,6.8889,0.2280,-5.4893,0.3063,0.0206,0.2665
1779804038.889,init,-0.1837,6.8669,0.2417,-5.4769,0.3233,0.0183,0.2678
1779804038.897,init,-0.2124,6.8974,0.2425,-5.4849,0.3025,0.0210,0.2660
1779804038.910,init,-0.1855,6.8648,0.2383,-5.4761,0.3227,0.0183,0.2679
1779804038.939,init,-0.2059,6.8990,0.2470,-5.4802,0.3042,0.0211,0.2662
1779804038.950,start,-0.1974,6.8660,0.2276,-5.4784,0.3236,0.0184,0.2683
1779804038.962,start,-0.2014,6.8919,0.2482,-5.4751,0.3110,0.0209,0.2666
1779804038.989,start,-0.2123,6.8649,0.2185,-5.4793,0.3259,0.0187,0.2682
1779804039.001,start,-0.1998,6.8798,0.2475,-5.4717,0.3194,0.0203,0.2672
1779804039.023,start,-0.2282,6.8697,0.2119,-5.4830,0.3252,0.0191,0.2683
1779804039.091,start,-0.1952,6.8734,0.2435,-5.4739,0.3273,0.0193,0.2680
1779804039.112,start,-0.2233,6.8904,0.2315,-5.4879,0.3070,0.0210,0.2670
1779804039.113,start,-0.1824,6.8663,0.2405,-5.4763,0.3247,0.0185,0.2683
1779804039.114,start,-0.2137,6.8919,0.2368,-5.4825,0.3032,0.0211,0.2664
1779804039.114,start,-0.1881,6.8532,0.2307,-5.4738,0.3237,0.0182,0.2683
1779804039.115,start,-0.2032,6.8831,0.2434,-5.4758,0.3063,0.0209,0.2666
1779804039.115,start,-0.1984,6.8546,0.2232,-5.4754,0.3248,0.0182,0.2687
1779804039.116,start,-0.2016,6.8846,0.2461,-5.4723,0.3132,0.0204,0.2673
1779804039.116,start,-0.2159,6.8671,0.2165,-5.4781,0.3270,0.0181,0.2688
1779804039.117,start,-0.2016,6.8873,0.2469,-5.4710,0.3208,0.0199,0.2679
1779804039.118,start,-0.2292,6.8801,0.2133,-5.4819,0.3253,0.0188,0.2688
1779804039.123,start,-0.1969,6.8832,0.2486,-5.4699,0.3263,0.0193,0.2684
1779804039.133,start,-0.2350,6.8772,0.2174,-5.4843,0.3197,0.0196,0.2681
1779804039.143,start,-0.1930,6.8755,0.2489,-5.4734,0.3270,0.0190,0.2683
1779804039.153,start,-0.2340,6.8808,0.2242,-5.4879,0.3123,0.0205,0.2672
1779804039.162,start,-0.1833,6.8678,0.2489,-5.4732,0.3254,0.0188,0.2681
1779804039.172,start,-0.3330,6.8845,0.1713,-5.4870,0.3011,0.0214,0.2666
1779804039.183,start,-0.3915,6.8637,0.1406,-5.4773,0.3146,0.0189,0.2678
1779804039.193,start,-0.3118,6.8921,0.2266,-5.4801,0.2941,0.0218,0.2642
