timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780412729.489,init,-0.1207,7.0278,0.3569,-5.2369,0.3838,-0.2222,0.2527
1780412729.492,init,-0.2012,7.0204,0.3290,-5.2366,0.3665,-0.2225,0.2532
1780412729.500,init,-0.1416,7.0333,0.3406,-5.2383,0.3886,-0.2222,0.2524
1780412729.760,init,-0.1579,7.0301,0.3307,-5.2370,0.3836,-0.2214,0.2530
1780412730.169,init,-0.1274,7.0329,0.3515,-5.2368,0.3869,-0.2215,0.2534
1780412738.705,init,-0.1553,7.0307,0.3302,-5.2370,0.3843,-0.2205,0.2521
1780412743.639,init,-0.1463,7.0223,0.3780,-5.2369,0.3614,-0.2196,0.2523
1780412748.859,init,-0.1691,7.0228,0.3243,-5.2354,0.3722,-0.2183,0.2522
1780412751.705,init,-0.1306,7.0258,0.3898,-5.2407,0.3593,-0.2190,0.2527
1780412751.708,init,-0.1672,7.0275,0.3309,-5.2350,0.3634,-0.2189,0.2529
1780412757.149,init,-0.1955,7.0189,0.3328,-5.2353,0.3678,-0.2176,0.2526
1780412757.152,start,-0.1410,7.0309,0.3393,-5.2360,0.3887,-0.2173,0.2519
1780412757.155,start,-0.1902,7.0229,0.3444,-5.2384,0.3673,-0.2177,0.2524
1780412760.477,start,-0.2026,7.0212,0.3308,-5.2383,0.3678,-0.2092,0.2526
1780412761.361,start,-0.1609,7.0291,0.3280,-5.2344,0.3833,-0.2086,0.2519
1780412761.364,start,-0.1657,7.0273,0.3656,-5.2403,0.3633,-0.2088,0.2523
1780412761.367,start,-0.1716,7.0248,0.3214,-5.2340,0.3731,-0.2085,0.2521
1780412765.619,start,-0.1885,7.0201,0.3274,-5.2356,0.3625,-0.2089,0.2521
1780412773.329,start,-0.1095,7.0237,0.3943,-5.2381,0.3588,-0.2091,0.2511
1780412773.331,start,-0.1692,7.0215,0.3307,-5.2319,0.3574,-0.2090,0.2514
1780412773.333,start,-0.0997,7.0186,0.3873,-5.2353,0.3652,-0.2089,0.2512
1780412773.337,start,-0.1798,7.0226,0.3287,-5.2374,0.3588,-0.2091,0.2519
1780412787.613,start,-0.1500,7.0365,0.3817,-5.2405,0.3578,-0.1969,0.2520
1780412787.617,start,-0.1716,7.0314,0.3313,-5.2319,0.3645,-0.1969,0.2520
1780412787.624,start,-0.1195,7.0281,0.3947,-5.2346,0.3575,-0.1968,0.2520
