timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780413744.178,init,-0.2740,6.9817,0.2281,-5.1882,0.5318,0.2044,0.2322
1780413745.479,init,-0.2687,6.9912,0.2165,-5.1795,0.5168,0.2038,0.2324
1780413746.429,init,-0.2523,6.9905,0.2253,-5.1745,0.5196,0.2040,0.2324
1780413750.169,init,-0.2618,7.0137,0.1987,-5.1481,0.4965,0.2030,0.2327
1780413750.177,init,-0.2670,6.9760,0.2286,-5.1897,0.5329,0.2035,0.2325
1780413751.046,init,-0.2581,7.0121,0.2052,-5.1521,0.5011,0.2035,0.2333
1780413751.065,init,-0.2621,7.0005,0.2125,-5.1705,0.5105,0.2038,0.2325
1780413751.088,init,-0.2576,7.0194,0.1890,-5.1344,0.4886,0.2036,0.2330
1780413751.094,init,-0.2634,6.9797,0.2276,-5.1919,0.5331,0.2040,0.2326
1780413751.096,start,-0.2558,7.0182,0.1961,-5.1347,0.4902,0.2035,0.2338
1780413751.099,start,-0.2557,7.0426,0.1721,-5.1124,0.4676,0.2036,0.2336
1780413751.104,start,-0.2614,6.9901,0.2183,-5.1823,0.5193,0.2041,0.2326
1780413751.106,start,-0.2547,6.9900,0.2163,-5.1637,0.5140,0.2037,0.2333
1780413752.018,start,-0.2671,6.9785,0.2258,-5.1933,0.5310,0.2037,0.2329
1780413752.087,start,-0.2619,6.9746,0.2271,-5.1916,0.5333,0.2041,0.2328
1780413753.094,start,-0.2568,7.0252,0.1923,-5.1312,0.4852,0.2040,0.2343
1780413755.771,start,-0.2668,6.9931,0.2176,-5.1818,0.5159,0.2050,0.2322
1780413755.775,start,-0.2610,6.9842,0.2232,-5.1744,0.5193,0.2048,0.2327
1780413755.781,start,-0.2546,7.0348,0.1794,-5.1058,0.4628,0.2041,0.2335
1780413755.784,start,-0.2591,7.0146,0.1980,-5.1425,0.4937,0.2044,0.2325
1780413755.786,start,-0.2639,6.9747,0.2318,-5.1903,0.5337,0.2046,0.2323
1780413755.788,start,-0.2545,7.0194,0.1944,-5.1259,0.4843,0.2039,0.2335
1780413755.790,start,-0.2584,7.0350,0.1759,-5.1149,0.4714,0.2042,0.2328
1780413755.792,start,-0.2673,6.9855,0.2239,-5.1891,0.5246,0.2047,0.2319
1780413755.794,start,-0.2589,6.9955,0.2159,-5.1620,0.5099,0.2042,0.2328
1780413755.796,start,-0.2556,7.0469,0.1753,-5.1088,0.4604,0.2037,0.2332
1780413755.798,start,-0.2587,7.0103,0.2090,-5.1621,0.5033,0.2041,0.2320
1780413755.802,start,-0.2591,6.9778,0.2317,-5.1865,0.5303,0.2040,0.2323
1780413755.804,start,-0.2536,7.0239,0.1883,-5.1119,0.4740,0.2033,0.2334
1780413755.809,start,-0.2581,7.0224,0.1850,-5.1217,0.4809,0.2038,0.2326
1780413755.819,start,-0.2657,6.9783,0.2316,-5.1927,0.5314,0.2044,0.2319
1780413755.828,start,-0.2572,7.0096,0.2094,-5.1495,0.4989,0.2039,0.2331
1780413755.838,start,-0.2503,7.0482,0.1809,-5.1117,0.4622,0.2037,0.2333
1780413755.848,start,-0.2377,7.0014,0.2371,-5.1797,0.5127,0.2040,0.2320
1780413755.858,start,-0.2621,6.9828,0.2458,-5.1791,0.5210,0.2033,0.2325
1780413755.868,start,-0.2727,7.0291,0.2189,-5.1065,0.4615,0.2016,0.2335
1780413755.878,start,-0.2550,7.0157,0.2959,-5.1356,0.4783,0.2001,0.2327
1780413755.888,start,-0.4734,6.9877,0.2540,-5.1945,0.4910,0.1973,0.2330
1780413755.899,start,-0.7651,7.0253,0.0625,-5.1443,0.4018,0.1907,0.2352
1780413755.908,start,-1.1113,7.0005,-0.1370,-5.1190,0.3351,0.1773,0.2356
1780413755.918,start,-1.3347,7.0017,-0.1943,-5.1948,0.3480,0.1484,0.2348
1780413755.928,start,-1.4477,7.0139,-0.2420,-5.1800,0.3214,0.0839,0.2349
1780413755.938,start,-1.4002,7.0983,-0.2269,-5.1224,0.2629,-0.0048,0.2335
1780413755.948,start,-1.3561,7.1475,-0.1426,-5.1575,0.2865,-0.0596,0.2301
1780413755.958,start,-1.3695,7.1644,-0.1021,-5.2160,0.3099,-0.0879,0.2282
1780413755.968,start,-1.5291,7.2180,-0.2253,-5.2203,0.2476,-0.1194,0.2279
1780413755.978,start,-1.5641,7.2152,-0.2648,-5.2234,0.2289,-0.1360,0.2264
1780413755.988,start,-1.6418,7.0902,-0.2835,-5.2105,0.2690,-0.1455,0.2252
1780413755.998,start,-1.6544,7.0597,-0.3046,-5.1559,0.2616,-0.1709,0.2246
1780413756.008,start,-1.6059,7.1774,-0.3054,-5.1756,0.2378,-0.1803,0.2235
1780413756.018,start,-1.4877,7.2070,-0.1895,-5.2567,0.2973,-0.1635,0.2214
1780413756.028,start,-1.3034,7.1219,-0.0599,-5.2420,0.3554,-0.1628,0.2204
1780413756.038,start,-1.2226,7.0818,-0.0435,-5.2339,0.3481,-0.1734,0.2193
1780413756.048,start,-1.2313,7.0666,-0.0528,-5.2294,0.3756,-0.1628,0.2163
1780413756.058,start,-1.2169,7.1693,-0.0160,-5.2768,0.4330,-0.1658,0.2149
1780413756.068,start,-1.1106,7.0229,0.0221,-5.2109,0.4397,-0.1925,0.2147
1780413756.078,start,-0.9513,7.0114,0.1097,-5.1425,0.4373,-0.1989,0.2129
1780413756.088,start,-0.9815,7.1268,0.1393,-5.2110,0.4769,-0.1927,0.2101
1780413756.098,start,-1.0682,7.2644,0.0860,-5.2905,0.4900,-0.2042,0.2094
1780413756.108,start,-1.0638,7.2903,0.0444,-5.2680,0.4609,-0.2154,0.2085
1780413756.118,start,-0.8521,7.1001,0.1691,-5.2014,0.4930,-0.2082,0.2061
1780413756.128,start,-0.7649,6.9025,0.2497,-5.1237,0.5411,-0.2195,0.2051
1780413756.138,start,-0.8678,6.8739,0.1831,-5.0571,0.5228,-0.2524,0.2041
1780413756.148,start,-0.9555,6.8874,0.1055,-5.0479,0.5076,-0.2566,0.2026
