timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1779804621.445,init,-0.7802,6.2761,0.1099,-4.4066,0.2557,-0.0243,0.2257
1779804621.447,init,-0.7571,6.2763,0.0672,-4.4140,0.2222,-0.0243,0.2255
1779804621.451,init,-0.7458,6.2538,0.0824,-4.4540,0.2295,-0.0238,0.2263
1779804621.459,init,-0.7719,6.2719,0.1154,-4.4144,0.2570,-0.0245,0.2260
1779804621.472,init,-0.7611,6.2809,0.0762,-4.4036,0.2246,-0.0244,0.2256
1779804621.492,init,-0.7382,6.2627,0.0773,-4.4533,0.2225,-0.0239,0.2264
1779804621.496,start,-0.7652,6.2764,0.1166,-4.4264,0.2563,-0.0245,0.2263
1779804621.513,start,-0.7594,6.2905,0.0894,-4.3996,0.2294,-0.0242,0.2254
1779804621.562,start,-0.7321,6.2589,0.0759,-4.4454,0.2183,-0.0238,0.2261
1779804621.569,start,-0.7640,6.2596,0.1126,-4.4329,0.2541,-0.0242,0.2262
1779804621.600,start,-0.7716,6.2819,0.0938,-4.3943,0.2353,-0.0240,0.2253
1779804621.640,start,-0.7673,6.2566,0.0999,-4.4430,0.2502,-0.0239,0.2261
1779804621.641,start,-0.7745,6.2873,0.1001,-4.3945,0.2437,-0.0242,0.2252
1779804621.642,start,-0.7408,6.2717,0.0656,-4.4287,0.2187,-0.0241,0.2256
1779804621.643,start,-0.7568,6.2600,0.0991,-4.4440,0.2468,-0.0239,0.2262
1779804621.646,start,-0.7705,6.2902,0.1136,-4.3929,0.2524,-0.0240,0.2254
1779804621.647,start,-0.7455,6.2794,0.0684,-4.4178,0.2219,-0.0240,0.2255
1779804621.649,start,-0.7524,6.2622,0.0918,-4.4507,0.2406,-0.0236,0.2262
1779804621.652,start,-0.7779,6.2824,0.1135,-4.4040,0.2570,-0.0239,0.2255
1779804621.653,start,-0.7564,6.2730,0.0691,-4.4120,0.2236,-0.0237,0.2253
1779804621.654,start,-0.7481,6.2523,0.0828,-4.4526,0.2319,-0.0233,0.2261
1779804621.655,start,-0.7751,6.2726,0.1140,-4.4127,0.2586,-0.0239,0.2258
1779804621.659,start,-0.7618,6.2798,0.0752,-4.4051,0.2263,-0.0237,0.2252
1779804621.670,start,-0.7350,6.2595,0.0809,-4.4522,0.2253,-0.0234,0.2261
1779804621.678,start,-0.7620,6.2801,0.1198,-4.4240,0.2590,-0.0241,0.2260
1779804621.689,start,-0.7558,6.2899,0.0912,-4.3962,0.2312,-0.0239,0.2251
1779804621.699,start,-0.6607,6.2500,0.1139,-4.4401,0.2224,-0.0236,0.2257
1779804621.709,start,-0.7825,6.2692,0.1002,-4.4342,0.2534,-0.0246,0.2247
1779804621.719,start,-0.8177,6.2995,0.0859,-4.4009,0.2332,-0.0268,0.2210
1779804621.729,start,-0.7020,6.2773,0.1498,-4.4463,0.2128,-0.0332,0.2183
1779804621.739,start,-1.0448,6.2783,0.0728,-4.4562,0.2236,-0.0517,0.2161
1779804621.750,start,-1.1544,6.2291,0.0498,-4.3819,0.1961,-0.1073,0.2130
1779804621.759,start,-1.3515,6.2641,-0.1136,-4.3759,0.1425,-0.1640,0.2122
1779804621.769,start,-1.2941,6.1919,-0.0427,-4.3631,0.1592,-0.2014,0.2111
1779804621.780,start,-1.4869,6.5886,-0.0802,-4.6041,0.1555,-0.2143,0.2084
1779804621.789,start,-1.5904,6.6628,-0.2131,-4.6716,0.1035,-0.2209,0.2068
1779804621.800,start,-2.0687,6.9327,-0.4705,-4.8194,0.0811,-0.2318,0.2081
1779804621.810,start,-1.9978,6.5001,-0.4934,-4.6156,0.0753,-0.2415,0.2086
1779804621.820,start,-1.7473,6.3870,-0.4088,-4.6300,0.0798,-0.2315,0.2094
1779804621.831,start,-1.2028,6.4410,-0.0436,-4.5988,0.1239,-0.2365,0.2095
1779804621.841,start,-0.9737,6.5358,0.1610,-4.6032,0.2034,-0.2607,0.2085
1779804621.849,start,-1.1252,6.5387,0.0297,-4.6114,0.1447,-0.2653,0.2067
1779804621.860,start,-1.4246,6.4800,-0.2115,-4.5817,0.1108,-0.2870,0.2073
1779804621.869,start,-1.7215,6.4366,-0.3441,-4.4547,0.0918,-0.3277,0.2091
1779804621.878,start,-1.6986,6.3899,-0.3979,-4.3844,0.0760,-0.3429,0.2097
1779804621.889,start,-1.5439,6.4821,-0.3409,-4.4672,0.0683,-0.3333,0.2134
1779804621.900,start,-1.1377,6.1981,-0.1107,-4.4466,0.1304,-0.3072,0.2150
1779804621.909,start,-1.0941,7.0278,0.0026,-4.9034,0.1271,-0.2719,0.2131
1779804621.919,start,-1.9072,6.3617,-0.5542,-4.5589,0.0790,-0.2746,0.2153
1779804621.930,start,-1.5398,6.3768,-0.2995,-4.4969,0.1354,-0.3124,0.2180
1779804621.940,start,-1.3465,6.3732,-0.2480,-4.4842,0.1301,-0.3134,0.2178
1779804621.950,start,-0.9756,6.5859,-0.0142,-4.6315,0.1927,-0.2928,0.2198
1779804621.959,start,-0.6269,6.5449,0.2875,-4.5761,0.2720,-0.2908,0.2197
1779804621.970,start,-0.5718,6.4234,0.3291,-4.4365,0.2830,-0.3006,0.2184
1779804621.979,start,-0.6257,6.2970,0.2900,-4.3759,0.2673,-0.3313,0.2184
1779804621.989,start,-0.7312,6.2890,0.2434,-4.3606,0.2688,-0.3333,0.2221
1779804621.999,start,-0.6107,6.1000,0.2879,-4.2487,0.2649,-0.3388,0.2223
1779804622.008,start,-0.8778,6.5348,0.1654,-4.5550,0.2215,-0.3130,0.2236
1779804622.018,start,-1.5276,6.8008,-0.2342,-4.6533,0.1869,-0.3187,0.2256
1779804622.029,start,-1.5619,6.1804,-0.3017,-4.2985,0.1801,-0.3508,0.2259
1779804622.039,start,-1.0267,6.7347,-0.0051,-4.6589,0.1556,-0.3077,0.2248
1779804622.049,start,-1.3593,6.1469,-0.2190,-4.4730,0.1878,-0.2605,0.2278
1779804622.059,start,-0.5137,6.2413,0.4085,-4.4906,0.3179,-0.2446,0.2276
1779804622.070,start,-0.3587,6.1618,0.3800,-4.4270,0.2728,-0.2558,0.2260
1779804622.079,start,-0.1791,6.2330,0.5188,-4.3559,0.3105,-0.2819,0.2261
1779804622.089,start,-0.3553,6.4054,0.5213,-4.4446,0.3509,-0.3121,0.2253
1779804622.099,start,-0.7202,6.5624,0.2223,-4.5921,0.2845,-0.2687,0.2248
1779804622.110,start,-0.8846,6.4662,0.0701,-4.6583,0.2437,-0.2522,0.2259
1779804622.119,start,-1.0008,6.2491,0.0361,-4.4813,0.2553,-0.2887,0.2260
1779804622.129,start,-1.2834,6.7111,-0.1253,-4.6459,0.1865,-0.3236,0.2217
1779804622.139,start,-1.7424,5.8479,-0.4935,-4.1707,0.1342,-0.3584,0.2227
1779804622.150,start,-0.9868,6.5934,0.0891,-4.6573,0.2264,-0.3188,0.2230
1779804622.160,start,-1.4668,6.6260,-0.2386,-4.7339,0.1483,-0.2771,0.2227
1779804622.170,start,-1.1201,6.4273,-0.0548,-4.6515,0.1676,-0.2776,0.2243
1779804622.179,start,-1.3074,6.7263,-0.1069,-4.7204,0.1893,-0.2954,0.2270
1779804622.190,start,-1.1448,5.9361,-0.1251,-4.3614,0.2143,-0.2975,0.2267
1779804622.199,start,-0.0604,6.5932,0.5754,-4.6911,0.2910,-0.2851,0.2246
1779804622.210,start,-0.4647,6.6694,0.4055,-4.6270,0.3001,-0.2978,0.2238
1779804622.219,start,-0.6576,6.7761,0.4165,-4.6648,0.3397,-0.3154,0.2222
1779804622.230,start,-0.8727,5.7534,0.1332,-4.2017,0.2715,-0.3194,0.2227
1779804622.240,start,-0.2731,6.3723,0.5056,-4.5774,0.3071,-0.3049,0.2223
1779804622.249,start,-0.6245,6.4107,0.3875,-4.5217,0.2965,-0.3264,0.2221
1779804622.260,start,-0.8428,6.6552,0.3299,-4.6169,0.3016,-0.3090,0.2225
1779804622.270,start,-0.8580,6.0802,0.2018,-4.4244,0.2400,-0.3122,0.2232
