timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780497681.566,init,-0.5189,6.3699,0.1962,-4.5701,0.4602,-0.1266,0.2296
1780497681.607,init,-0.4922,6.3650,0.2365,-4.5676,0.4566,-0.1268,0.2299
1780497681.610,init,-0.5035,6.3486,0.2125,-4.5593,0.4545,-0.1260,0.2299
1780497681.613,init,-0.5114,6.3254,0.2116,-4.5626,0.4596,-0.1269,0.2296
1780497681.615,init,-0.5485,6.3580,0.1990,-4.5523,0.4579,-0.1264,0.2293
1780497681.625,init,-0.5248,6.3674,0.1971,-4.5700,0.4631,-0.1265,0.2299
1780497687.710,init,-0.5359,6.3459,0.1853,-4.5629,0.4528,-0.1249,0.2302
1780497689.683,init,-0.4987,6.3830,0.2278,-4.5676,0.4559,-0.1247,0.2308
1780497689.685,init,-0.4920,6.3548,0.2145,-4.5663,0.4587,-0.1244,0.2308
1780497689.709,init,-0.5169,6.3642,0.2116,-4.5530,0.4596,-0.1242,0.2303
1780497689.712,start,-0.4984,6.3663,0.2162,-4.5710,0.4596,-0.1248,0.2310
1780497689.716,start,-0.5036,6.3720,0.2185,-4.5657,0.4477,-0.1239,0.2310
1780497689.787,start,-0.5171,6.3602,0.2127,-4.5716,0.4604,-0.1245,0.2303
1780497694.326,start,-0.5440,6.3714,0.2000,-4.5600,0.4567,-0.1241,0.2301
1780497694.594,start,-0.5018,6.3685,0.2118,-4.5598,0.4522,-0.1231,0.2305
1780497694.609,start,-0.5187,6.3565,0.2164,-4.5552,0.4586,-0.1236,0.2299
1780497694.613,start,-0.5007,6.3696,0.2108,-4.5613,0.4628,-0.1231,0.2304
1780497694.627,start,-0.5003,6.3516,0.2262,-4.5648,0.4518,-0.1238,0.2306
1780497694.629,start,-0.5065,6.3591,0.2040,-4.5589,0.4616,-0.1230,0.2305
1780497694.634,start,-0.5258,6.3537,0.2118,-4.5680,0.4589,-0.1237,0.2299
