timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780495596.488,init,-0.8065,6.5443,0.2454,-4.3814,0.3355,-0.1487,0.2144
1780495596.490,init,-0.7881,6.5407,0.2073,-4.3830,0.3122,-0.1488,0.2145
1780495596.492,init,-0.7903,6.5410,0.2330,-4.3923,0.3245,-0.1488,0.2144
1780495596.494,init,-0.8045,6.5474,0.2472,-4.3825,0.3374,-0.1490,0.2146
1780495598.347,init,-0.8082,6.5445,0.2449,-4.3839,0.3369,-0.1489,0.2148
1780495599.177,init,-0.8205,6.5456,0.2030,-4.3789,0.3253,-0.1486,0.2155
1780495599.181,init,-0.7969,6.5436,0.2075,-4.3882,0.3241,-0.1486,0.2155
1780495599.184,init,-0.8333,6.5488,0.2309,-4.3840,0.3496,-0.1487,0.2156
1780495599.187,init,-0.8271,6.5458,0.2061,-4.3771,0.3270,-0.1488,0.2156
1780495599.189,init,-0.7954,6.5445,0.2090,-4.3874,0.3238,-0.1488,0.2153
1780495599.191,start,-0.8331,6.5517,0.2329,-4.3860,0.3498,-0.1488,0.2154
1780495599.195,start,-0.8281,6.5465,0.2103,-4.3766,0.3285,-0.1490,0.2154
1780495599.196,start,-0.7980,6.5439,0.2060,-4.3881,0.3234,-0.1492,0.2152
1780495599.202,start,-0.8358,6.5520,0.2301,-4.3863,0.3499,-0.1491,0.2153
1780495599.204,start,-0.8270,6.5491,0.2135,-4.3773,0.3307,-0.1490,0.2153
1780495599.206,start,-0.7965,6.5425,0.2053,-4.3884,0.3236,-0.1487,0.2150
1780495603.227,start,-0.8124,6.5533,0.2455,-4.3792,0.3398,-0.1491,0.2150
1780495604.048,start,-0.8327,6.5529,0.2305,-4.3856,0.3509,-0.1478,0.2151
1780495604.051,start,-0.8251,6.5480,0.2079,-4.3771,0.3292,-0.1478,0.2152
1780495604.054,start,-0.7974,6.5413,0.2042,-4.3868,0.3241,-0.1478,0.2151
1780495604.062,start,-0.8321,6.5516,0.2308,-4.3872,0.3505,-0.1478,0.2152
1780495604.064,start,-0.8246,6.5490,0.2118,-4.3781,0.3304,-0.1480,0.2152
1780495604.066,start,-0.7957,6.5436,0.2036,-4.3887,0.3230,-0.1479,0.2150
1780495604.069,start,-0.8336,6.5523,0.2290,-4.3883,0.3486,-0.1481,0.2152
1780495604.071,start,-0.8273,6.5470,0.2134,-4.3784,0.3304,-0.1482,0.2153
1780495604.073,start,-0.7951,6.5412,0.2026,-4.3889,0.3214,-0.1479,0.2149
1780495604.076,start,-0.8295,6.5491,0.2317,-4.3888,0.3471,-0.1479,0.2150
1780495604.079,start,-0.8238,6.5488,0.2202,-4.3790,0.3311,-0.1481,0.2152
1780495604.085,start,-0.7925,6.5440,0.2036,-4.3891,0.3198,-0.1480,0.2150
