timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780494360.569,init,-0.9714,6.4969,0.1221,-4.3166,0.2930,-0.4120,0.1958
1780494364.093,init,-0.9640,6.4900,0.1241,-4.3104,0.2926,-0.4105,0.1960
1780494369.023,init,-0.9605,6.4847,0.1154,-4.3114,0.2879,-0.4111,0.1966
1780494370.045,init,-0.9596,6.4908,0.1266,-4.3100,0.2945,-0.4130,0.1949
1780494370.103,init,-0.9636,6.4830,0.1264,-4.3131,0.2954,-0.4129,0.1958
1780494370.127,init,-0.9550,6.4873,0.1054,-4.3122,0.2761,-0.4130,0.1963
1780494371.645,init,-0.9640,6.4798,0.1030,-4.3148,0.2842,-0.4123,0.1962
1780494373.866,start,-0.9641,6.4804,0.1099,-4.3138,0.2864,-0.4125,0.1971
1780494376.033,start,-0.9681,6.4784,0.1118,-4.3094,0.2888,-0.4128,0.1962
1780494376.823,start,-0.9706,6.4863,0.1304,-4.3087,0.2974,-0.4126,0.1968
1780494377.224,start,-0.9661,6.4832,0.1139,-4.3105,0.2893,-0.4127,0.1969
1780494377.245,start,-0.9646,6.4901,0.1171,-4.3110,0.2889,-0.4130,0.1967
1780494378.199,start,-0.9592,6.4903,0.1137,-4.3118,0.2877,-0.4127,0.1970
1780494378.203,start,-0.9580,6.4981,0.1357,-4.3137,0.3025,-0.4126,0.1968
1780494379.662,start,-0.9501,6.4878,0.1218,-4.3102,0.2863,-0.4131,0.1969
1780494379.673,start,-0.9470,6.4885,0.1335,-4.3121,0.2911,-0.4128,0.1967
1780494379.681,start,-0.9444,6.4900,0.1160,-4.3110,0.2826,-0.4129,0.1970
1780494379.691,start,-0.9541,6.4864,0.1178,-4.3085,0.2937,-0.4129,0.1969
1780494379.700,start,-0.9663,6.4784,0.1251,-4.3063,0.2993,-0.4126,0.1968
1780494379.721,start,-0.9576,6.4898,0.1077,-4.3124,0.2794,-0.4126,0.1972
1780494379.737,start,-0.9564,6.5024,0.1351,-4.3132,0.2990,-0.4127,0.1971
1780494379.747,start,-0.9525,6.4961,0.1306,-4.3157,0.2930,-0.4128,0.1972
1780494379.756,start,-0.9534,6.4808,0.1130,-4.3101,0.2794,-0.4129,0.1974
1780494379.763,start,-0.9645,6.4773,0.1169,-4.3089,0.2888,-0.4130,0.1972
1780494379.773,start,-0.9670,6.4850,0.1191,-4.3136,0.2934,-0.4131,0.1969
1780494379.782,start,-0.9579,6.4903,0.1107,-4.3131,0.2807,-0.4131,0.1971
1780494379.790,start,-0.9502,6.4863,0.1187,-4.3155,0.2852,-0.4132,0.1970
1780494379.798,start,-0.9499,6.4798,0.1334,-4.3123,0.2947,-0.4133,0.1968
1780494379.805,start,-0.9514,6.4745,0.1187,-4.3064,0.2859,-0.4135,0.1970
1780494379.812,start,-0.9535,6.4780,0.1078,-4.3095,0.2810,-0.4135,0.1971
1780494379.820,start,-0.9603,6.4858,0.1168,-4.3128,0.2930,-0.4134,0.1969
1780494379.827,start,-0.9572,6.4897,0.1201,-4.3126,0.2900,-0.4133,0.1969
1780494379.835,start,-0.9284,6.4878,0.1236,-4.3105,0.2813,-0.4133,0.1971
1780494379.842,start,-0.8907,6.4561,0.1566,-4.3002,0.2909,-0.4135,0.1970
1780494379.850,start,-0.9299,6.4723,0.1627,-4.3074,0.2950,-0.4143,0.1974
1780494379.858,start,-0.9874,6.4852,0.1404,-4.3102,0.2771,-0.4180,0.2001
1780494379.866,start,-1.0036,6.4831,0.1641,-4.3107,0.2748,-0.4304,0.2047
1780494379.873,start,-1.0907,6.4594,0.1825,-4.3007,0.2720,-0.4600,0.2096
1780494379.881,start,-1.3215,6.5587,0.0580,-4.3153,0.2347,-0.5076,0.2158
1780494379.889,start,-1.4745,6.6491,-0.0618,-4.3347,0.1974,-0.5451,0.2217
1780494379.897,start,-1.7181,6.6688,-0.1995,-4.3565,0.1759,-0.5650,0.2266
1780494379.905,start,-1.8871,6.6638,-0.3145,-4.3902,0.1455,-0.5714,0.2308
1780494379.912,start,-1.9278,6.8072,-0.3749,-4.4698,0.1211,-0.5762,0.2346
1780494379.919,start,-1.7876,6.7876,-0.3014,-4.4667,0.1251,-0.5841,0.2370
1780494379.927,start,-1.6160,6.6500,-0.2226,-4.4224,0.1244,-0.5832,0.2390
1780494379.935,start,-1.5998,6.7455,-0.2358,-4.4762,0.1043,-0.5739,0.2415
1780494379.942,start,-1.5559,6.8370,-0.2433,-4.5122,0.0969,-0.5764,0.2425
1780494379.950,start,-1.6735,6.8263,-0.3118,-4.5047,0.0911,-0.5809,0.2435
1780494379.958,start,-1.7215,6.7720,-0.3439,-4.4786,0.0772,-0.5797,0.2456
1780494379.966,start,-1.6345,6.8546,-0.3062,-4.5072,0.0767,-0.5769,0.2473
1780494379.973,start,-1.4550,6.7398,-0.2181,-4.4903,0.0934,-0.5729,0.2484
1780494379.981,start,-1.2689,6.6621,-0.1253,-4.4798,0.1135,-0.5627,0.2504
1780494379.988,start,-1.0987,6.6679,-0.0275,-4.4736,0.1326,-0.5561,0.2514
1780494379.996,start,-1.0933,6.5760,-0.0247,-4.4354,0.1520,-0.5591,0.2518
1780494380.004,start,-1.1493,6.4847,-0.0695,-4.3654,0.1620,-0.5678,0.2529
1780494380.012,start,-1.1094,6.4746,-0.0565,-4.3657,0.1718,-0.5661,0.2521
1780494380.019,start,-0.9457,6.3190,0.0269,-4.3544,0.1865,-0.5613,0.2508
1780494380.028,start,-0.9271,6.4047,0.0549,-4.3357,0.2044,-0.5702,0.2497
1780494380.036,start,-0.9119,6.4828,0.0689,-4.3399,0.2104,-0.5794,0.2481
1780494380.043,start,-0.8936,6.3057,0.0621,-4.2983,0.2106,-0.5748,0.2480
1780494380.051,start,-0.7485,6.3804,0.1430,-4.3026,0.2241,-0.5678,0.2477
1780494380.059,start,-0.6723,6.4300,0.2026,-4.3258,0.2394,-0.5714,0.2479
1780494380.066,start,-0.7674,6.2653,0.1528,-4.2790,0.2328,-0.5714,0.2502
1780494380.074,start,-0.9214,6.4183,0.0580,-4.3348,0.2276,-0.5614,0.2523
1780494380.087,start,-1.0208,6.3435,0.0130,-4.3626,0.2256,-0.5520,0.2544
1780494380.095,start,-0.9623,6.4121,0.0368,-4.3958,0.2241,-0.5393,0.2566
1780494380.108,start,-0.9299,6.7580,0.0610,-4.5244,0.2321,-0.5278,0.2577
1780494380.116,start,-0.8770,6.6226,0.1039,-4.5157,0.2406,-0.5286,0.2582
1780494380.122,start,-0.8288,6.4379,0.1218,-4.4021,0.2371,-0.5292,0.2576
1780494380.136,start,-0.7207,6.3840,0.1696,-4.3664,0.2395,-0.5257,0.2566
1780494380.143,start,-0.6803,6.3073,0.2032,-4.3381,0.2497,-0.5291,0.2553
1780494380.156,start,-0.8119,6.4810,0.1432,-4.3631,0.2429,-0.5315,0.2544
1780494380.163,start,-0.9533,6.5571,0.0410,-4.4208,0.2292,-0.5283,0.2543
1780494380.177,start,-1.0723,6.5906,-0.0292,-4.4551,0.2192,-0.5243,0.2533
1780494380.187,start,-1.0391,6.6049,-0.0162,-4.4680,0.2169,-0.5155,0.2528
1780494380.197,start,-0.9767,6.5329,0.0113,-4.4432,0.2206,-0.5159,0.2531
1780494380.206,start,-0.8893,6.5618,0.0665,-4.4085,0.2286,-0.5303,0.2530
1780494380.216,start,-0.8247,6.3651,0.0968,-4.3537,0.2295,-0.5303,0.2530
1780494380.224,start,-0.6718,6.4044,0.1794,-4.4102,0.2386,-0.5176,0.2527
1780494380.239,start,-0.6211,6.5520,0.2231,-4.4899,0.2510,-0.5061,0.2524
1780494380.247,start,-0.8033,6.4729,0.1291,-4.4596,0.2384,-0.5085,0.2527
1780494380.255,start,-0.9260,6.5920,0.0405,-4.4634,0.2245,-0.5216,0.2523
1780494380.270,start,-1.0328,6.5374,-0.0195,-4.4664,0.2187,-0.5202,0.2516
1780494380.279,start,-0.9970,6.3490,-0.0034,-4.4423,0.2194,-0.5113,0.2506
1780494380.288,start,-0.9447,6.5995,0.0223,-4.4857,0.2216,-0.5246,0.2494
1780494380.296,start,-0.8599,6.4899,0.0745,-4.4325,0.2274,-0.5372,0.2492
1780494380.310,start,-0.8134,6.3138,0.0958,-4.3694,0.2266,-0.5368,0.2495
1780494380.317,start,-0.6886,6.4127,0.1653,-4.4102,0.2360,-0.5388,0.2513
1780494380.325,start,-0.6510,6.3515,0.2001,-4.4020,0.2468,-0.5445,0.2540
1780494380.338,start,-0.7898,6.3741,0.1341,-4.3939,0.2401,-0.5469,0.2567
1780494380.346,start,-0.8947,6.5495,0.0548,-4.4567,0.2237,-0.5456,0.2596
1780494380.354,start,-1.0501,6.4701,-0.0484,-4.4726,0.2132,-0.5421,0.2618
1780494380.370,start,-1.0386,6.5185,-0.0440,-4.4849,0.2138,-0.5353,0.2628
1780494380.380,start,-0.9217,6.5495,0.0186,-4.5156,0.2183,-0.5238,0.2628
1780494380.388,start,-0.8229,6.4516,0.0685,-4.4974,0.2176,-0.5201,0.2614
1780494380.397,start,-0.7629,6.4963,0.1020,-4.4689,0.2203,-0.5265,0.2602
1780494380.405,start,-0.6529,6.4611,0.1755,-4.4629,0.2366,-0.5243,0.2578
1780494380.420,start,-0.6473,6.4604,0.1937,-4.4732,0.2523,-0.5191,0.2567
1780494380.429,start,-0.8128,6.5058,0.1037,-4.4884,0.2388,-0.5153,0.2567
1780494380.437,start,-0.8829,6.4220,0.0394,-4.4640,0.2181,-0.5130,0.2565
1780494380.446,start,-0.9099,6.5301,-0.0004,-4.4616,0.2095,-0.5233,0.2564
1780494380.455,start,-0.9428,6.5980,-0.0267,-4.4819,0.2170,-0.5283,0.2567
1780494380.463,start,-0.8356,6.5276,0.0226,-4.4717,0.2236,-0.5205,0.2564
1780494380.478,start,-0.7229,6.4777,0.0759,-4.4685,0.2241,-0.5186,0.2565
1780494380.486,start,-0.6318,6.3067,0.1176,-4.4188,0.2288,-0.5234,0.2557
1780494380.493,start,-0.5560,6.3242,0.1751,-4.4099,0.2448,-0.5296,0.2548
1780494380.507,start,-0.6173,6.4491,0.1410,-4.4813,0.2424,-0.5257,0.2534
