timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780494957.555,init,-0.8435,6.3714,0.1560,-4.2872,0.3127,-0.1790,0.2043
1780494957.691,init,-0.8479,6.3675,0.1604,-4.2861,0.3122,-0.1790,0.2044
1780494960.814,init,-0.8309,6.3639,0.1628,-4.2764,0.3093,-0.1789,0.2039
1780494963.560,init,-0.8417,6.3769,0.1560,-4.2818,0.3092,-0.1792,0.2044
1780494965.010,init,-0.8643,6.3844,0.1489,-4.2851,0.3050,-0.1792,0.2044
1780494967.700,init,-0.8450,6.3691,0.1461,-4.2828,0.3016,-0.1789,0.2037
1780494970.361,init,-0.8333,6.3808,0.1620,-4.2840,0.3061,-0.1797,0.2033
1780494979.399,init,-0.8287,6.3809,0.1611,-4.2879,0.3081,-0.1788,0.2037
1780494979.405,start,-0.8303,6.3712,0.1597,-4.2862,0.3086,-0.1787,0.2036
1780494979.447,start,-0.8338,6.3828,0.1571,-4.2909,0.3083,-0.1787,0.2036
1780494979.536,start,-0.8342,6.3710,0.1576,-4.2853,0.3077,-0.1784,0.2039
1780494979.637,start,-0.8317,6.3735,0.1587,-4.2861,0.3084,-0.1784,0.2038
1780494979.673,start,-0.8301,6.3781,0.1606,-4.2872,0.3094,-0.1785,0.2039
1780494979.742,start,-0.8320,6.3802,0.1578,-4.2864,0.3087,-0.1785,0.2041
1780494979.755,start,-0.8332,6.3818,0.1572,-4.2870,0.3094,-0.1784,0.2040
1780494979.757,start,-0.8335,6.3808,0.1575,-4.2882,0.3090,-0.1784,0.2038
1780494979.758,start,-0.8307,6.3753,0.1582,-4.2859,0.3082,-0.1784,0.2039
1780494979.760,start,-0.8316,6.3745,0.1594,-4.2836,0.3088,-0.1783,0.2039
1780494979.761,start,-0.8299,6.3751,0.1602,-4.2847,0.3088,-0.1783,0.2040
1780494979.763,start,-0.8324,6.3754,0.1577,-4.2853,0.3072,-0.1783,0.2040
1780494979.764,start,-0.8321,6.3782,0.1576,-4.2855,0.3075,-0.1783,0.2040
1780494979.765,start,-0.8312,6.3766,0.1590,-4.2851,0.3085,-0.1783,0.2039
1780494979.766,start,-0.8287,6.3729,0.1599,-4.2847,0.3076,-0.1782,0.2038
1780494979.769,start,-0.8293,6.3747,0.1605,-4.2863,0.3076,-0.1782,0.2037
1780494979.770,start,-0.8342,6.3780,0.1600,-4.2856,0.3085,-0.1783,0.2036
1780494979.773,start,-0.8352,6.3785,0.1591,-4.2855,0.3075,-0.1784,0.2037
1780494979.783,start,-0.8348,6.3765,0.1580,-4.2852,0.3074,-0.1785,0.2037
1780494979.793,start,-0.8337,6.3740,0.1595,-4.2830,0.3086,-0.1786,0.2036
1780494979.803,start,-0.8189,6.3776,0.1703,-4.2841,0.3092,-0.1787,0.2036
1780494979.813,start,-0.8106,6.3576,0.1806,-4.2776,0.3085,-0.1786,0.2038
1780494979.823,start,-0.8461,6.3629,0.1789,-4.2747,0.3072,-0.1791,0.2047
1780494979.833,start,-0.8430,6.4129,0.2088,-4.2862,0.3055,-0.1815,0.2070
1780494979.843,start,-0.8030,6.4245,0.2882,-4.2870,0.3001,-0.1886,0.2111
1780494979.853,start,-1.0931,6.5499,0.1765,-4.3254,0.2753,-0.2086,0.2158
1780494979.863,start,-1.4138,6.7016,0.0034,-4.3813,0.2406,-0.2811,0.2212
1780494979.873,start,-1.5759,6.7405,-0.0897,-4.3783,0.2088,-0.3879,0.2263
1780494979.883,start,-1.7445,6.6837,-0.1872,-4.3419,0.1843,-0.4744,0.2308
1780494979.893,start,-1.8259,6.6440,-0.2495,-4.3433,0.1683,-0.5239,0.2343
1780494979.903,start,-1.8050,6.5019,-0.2782,-4.3673,0.1575,-0.5441,0.2371
1780494979.913,start,-1.6417,6.6262,-0.2160,-4.4168,0.1552,-0.5648,0.2392
1780494979.923,start,-1.5300,6.6056,-0.1727,-4.4287,0.1488,-0.5806,0.2411
1780494979.933,start,-1.5220,6.6415,-0.1726,-4.4553,0.1321,-0.5834,0.2433
1780494979.943,start,-1.5473,6.8230,-0.2051,-4.5252,0.1163,-0.5876,0.2448
1780494979.953,start,-1.6681,6.7817,-0.2804,-4.5220,0.1016,-0.5969,0.2458
1780494979.963,start,-1.7401,6.7151,-0.3381,-4.4812,0.0878,-0.6050,0.2466
1780494979.973,start,-1.6602,6.6966,-0.3069,-4.4524,0.0875,-0.6173,0.2473
1780494979.983,start,-1.5365,6.8117,-0.2446,-4.4775,0.1033,-0.6253,0.2469
1780494979.993,start,-1.3164,6.6650,-0.1368,-4.4618,0.1210,-0.6156,0.2468
1780494980.003,start,-1.1870,6.5100,-0.0676,-4.4175,0.1406,-0.6023,0.2466
1780494980.013,start,-1.1417,6.3984,-0.0416,-4.3673,0.1608,-0.6027,0.2464
1780494980.023,start,-1.1150,6.4054,-0.0341,-4.3289,0.1753,-0.6152,0.2472
1780494980.033,start,-1.0139,6.7292,0.0214,-4.4341,0.1905,-0.6207,0.2474
1780494980.043,start,-0.8434,6.8213,0.1318,-4.5280,0.2108,-0.6055,0.2470
1780494980.053,start,-0.9191,6.4981,0.1177,-4.4374,0.2146,-0.5913,0.2464
1780494980.063,start,-1.0258,6.5128,0.0547,-4.3720,0.2047,-0.6050,0.2459
1780494980.073,start,-1.0626,6.3724,0.0120,-4.2638,0.1990,-0.6307,0.2462
1780494980.083,start,-0.8754,6.2906,0.1062,-4.1993,0.2135,-0.6315,0.2459
1780494980.093,start,-0.7315,6.4303,0.2050,-4.2864,0.2379,-0.6193,0.2454
1780494980.103,start,-0.7605,6.3601,0.2111,-4.3349,0.2430,-0.6061,0.2464
1780494980.113,start,-0.8570,6.4241,0.1560,-4.3624,0.2396,-0.5905,0.2471
1780494980.123,start,-0.9681,6.5492,0.1000,-4.4225,0.2354,-0.5852,0.2487
1780494980.133,start,-0.9431,6.4839,0.1074,-4.4117,0.2345,-0.5807,0.2498
1780494980.143,start,-0.9493,6.5855,0.0988,-4.4195,0.2353,-0.5672,0.2503
1780494980.153,start,-0.9442,6.4603,0.1002,-4.4031,0.2348,-0.5650,0.2509
1780494980.163,start,-0.9113,6.3552,0.1128,-4.3474,0.2341,-0.5672,0.2507
1780494980.173,start,-0.7419,6.4594,0.2015,-4.3575,0.2390,-0.5618,0.2500
1780494980.183,start,-0.7095,6.4364,0.2232,-4.3602,0.2423,-0.5630,0.2501
1780494980.193,start,-0.8620,6.5933,0.1647,-4.3900,0.2371,-0.5632,0.2497
1780494980.203,start,-0.9572,6.6167,0.1020,-4.4291,0.2287,-0.5554,0.2505
1780494980.213,start,-1.0471,6.4761,0.0357,-4.4214,0.2175,-0.5523,0.2505
1780494980.223,start,-1.0144,6.5416,0.0524,-4.4073,0.2200,-0.5556,0.2509
1780494980.233,start,-0.9781,6.4775,0.0693,-4.3659,0.2252,-0.5648,0.2508
1780494980.243,start,-0.9259,6.4226,0.0906,-4.3426,0.2249,-0.5714,0.2507
1780494980.253,start,-0.8674,6.4584,0.1142,-4.4024,0.2273,-0.5578,0.2509
1780494980.263,start,-0.7064,6.4594,0.2084,-4.4477,0.2390,-0.5456,0.2501
1780494980.273,start,-0.6777,6.6103,0.2366,-4.4789,0.2470,-0.5495,0.2496
1780494980.283,start,-0.8409,6.5664,0.1638,-4.4567,0.2377,-0.5560,0.2495
1780494980.293,start,-0.9064,6.4930,0.1154,-4.4404,0.2288,-0.5561,0.2487
1780494980.303,start,-0.9911,6.5008,0.0597,-4.4618,0.2230,-0.5539,0.2483
1780494980.313,start,-0.9615,6.3161,0.0704,-4.4163,0.2243,-0.5548,0.2469
1780494980.323,start,-0.9313,6.4872,0.0809,-4.4115,0.2247,-0.5675,0.2458
1780494980.333,start,-0.9012,6.5238,0.0971,-4.4218,0.2253,-0.5787,0.2463
1780494980.343,start,-0.8621,6.3693,0.1163,-4.3972,0.2254,-0.5794,0.2467
1780494980.353,start,-0.7036,6.4835,0.2069,-4.4182,0.2326,-0.5764,0.2485
1780494980.363,start,-0.6775,6.4079,0.2258,-4.4130,0.2372,-0.5790,0.2507
1780494980.373,start,-0.8248,6.3134,0.1651,-4.3797,0.2311,-0.5879,0.2539
1780494980.383,start,-0.8975,6.4823,0.1189,-4.4193,0.2254,-0.5906,0.2573
1780494980.393,start,-1.0170,6.4663,0.0337,-4.4657,0.2168,-0.5806,0.2594
1780494980.403,start,-0.9962,6.5214,0.0374,-4.5119,0.2203,-0.5664,0.2605
1780494980.413,start,-0.9046,6.5803,0.0802,-4.5344,0.2278,-0.5593,0.2598
1780494980.423,start,-0.8091,6.4703,0.1285,-4.4812,0.2309,-0.5666,0.2579
1780494980.433,start,-0.7377,6.4966,0.1690,-4.4578,0.2318,-0.5665,0.2560
1780494980.443,start,-0.6267,6.4212,0.2484,-4.4504,0.2432,-0.5511,0.2531
1780494980.453,start,-0.6385,6.4447,0.2549,-4.4517,0.2465,-0.5505,0.2519
1780494980.463,start,-0.8332,6.5609,0.1528,-4.4521,0.2334,-0.5602,0.2520
1780494980.474,start,-0.8698,6.4841,0.1254,-4.4498,0.2233,-0.5560,0.2519
