timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1781011720.397,init,0.1183,7.3620,0.4366,-4.6275,0.3107,-0.1213,0.2800
1781011720.406,start,0.1163,7.3653,0.4338,-4.6290,0.3124,-0.1214,0.2801
1781011720.417,start,0.1069,7.3741,0.4293,-4.6314,0.3119,-0.1213,0.2801
1781011720.426,start,0.1022,7.3739,0.4146,-4.6362,0.3064,-0.1213,0.2802
1781011720.436,start,0.1019,7.3713,0.4161,-4.6341,0.3082,-0.1212,0.2801
1781011720.446,start,0.1047,7.3667,0.4281,-4.6294,0.3107,-0.1212,0.2799
1781011720.456,start,0.1116,7.3611,0.4274,-4.6325,0.3065,-0.1213,0.2799
1781011720.466,start,0.1126,7.3682,0.4298,-4.6333,0.3082,-0.1215,0.2798
1781011720.477,start,0.1070,7.3791,0.4277,-4.6366,0.3102,-0.1216,0.2798
1781011720.487,start,0.1046,7.3782,0.4160,-4.6409,0.3052,-0.1217,0.2798
1781011720.496,start,0.1067,7.3768,0.4169,-4.6381,0.3047,-0.1217,0.2798
1781011720.506,start,0.1349,7.3751,0.4430,-4.6324,0.3101,-0.1218,0.2797
1781011720.516,start,0.1609,7.3530,0.4648,-4.6265,0.3170,-0.1218,0.2798
1781011720.526,start,0.1018,7.3468,0.4599,-4.6192,0.3194,-0.1221,0.2810
1781011720.537,start,0.0748,7.3735,0.4716,-4.6152,0.3114,-0.1231,0.2843
1781011720.547,start,0.1058,7.3308,0.5396,-4.5890,0.2998,-0.1262,0.2887
1781011720.557,start,-0.1701,7.3175,0.4763,-4.5445,0.2776,-0.1332,0.2945
1781011720.567,start,-0.7086,7.5994,0.2393,-4.6001,0.2365,-0.1553,0.3002
1781011720.578,start,-1.1459,7.7054,0.0174,-4.5747,0.1868,-0.2541,0.3047
1781011720.587,start,-1.4499,7.6080,-0.0983,-4.5255,0.1600,-0.3533,0.3073
1781011720.597,start,-1.3932,7.6380,-0.0190,-4.5792,0.1614,-0.3997,0.3082
1781011720.607,start,-1.4525,7.8058,0.0028,-4.7046,0.1534,-0.4264,0.3086
1781011720.618,start,-1.6303,7.9606,-0.0707,-4.7662,0.1390,-0.4456,0.3094
1781011720.627,start,-1.7420,7.8477,-0.1052,-4.7096,0.1244,-0.4724,0.3093
1781011720.637,start,-1.8696,7.9335,-0.1674,-4.7460,0.1184,-0.4869,0.3082
1781011720.647,start,-1.8704,8.0124,-0.1517,-4.8165,0.1150,-0.4864,0.3068
1781011720.657,start,-1.8709,7.9194,-0.1484,-4.6950,0.1132,-0.5121,0.3062
1781011720.667,start,-1.8544,7.8831,-0.1596,-4.5757,0.1115,-0.5537,0.3053
1781011720.678,start,-1.8073,7.5881,-0.1444,-4.4842,0.1169,-0.5620,0.3047
1781011720.687,start,-1.7342,7.5329,-0.1038,-4.5720,0.1326,-0.5397,0.3047
1781011720.697,start,-1.7113,7.7593,-0.0712,-4.6571,0.1486,-0.5100,0.3063
1781011720.707,start,-1.6170,7.6541,-0.0427,-4.5939,0.1596,-0.5177,0.3082
1781011720.717,start,-1.3159,7.7732,0.1259,-4.6737,0.1942,-0.5015,0.3104
1781011720.726,start,-1.1526,7.4207,0.2513,-4.6687,0.2427,-0.4666,0.3109
1781011720.737,start,-1.0560,7.6279,0.3313,-4.6698,0.2729,-0.4766,0.3117
1781011720.747,start,-0.8994,7.3451,0.4051,-4.4779,0.2723,-0.5051,0.3123
1781011720.757,start,-1.0212,7.2414,0.3557,-4.4862,0.2801,-0.4922,0.3109
1781011720.767,start,-1.0637,7.2966,0.3508,-4.5277,0.2944,-0.4788,0.3092
1781011720.777,start,-1.0387,7.0947,0.3406,-4.3952,0.2889,-0.4973,0.3070
1781011720.787,start,-1.0764,7.1323,0.3190,-4.3950,0.2867,-0.5028,0.3053
1781011720.798,start,-1.0364,7.2222,0.3495,-4.4444,0.2988,-0.4837,0.3042
1781011720.807,start,-0.8269,7.3909,0.4607,-4.4777,0.3105,-0.4912,0.3027
1781011720.817,start,-0.7630,7.4445,0.5061,-4.5176,0.3195,-0.4895,0.3028
1781011720.827,start,-0.8969,7.3933,0.4577,-4.5685,0.3272,-0.4725,0.3035
1781011720.837,start,-0.9385,7.5229,0.4256,-4.5798,0.3172,-0.4671,0.3054
1781011720.847,start,-1.0239,7.4210,0.3446,-4.5577,0.3030,-0.4716,0.3078
1781011720.857,start,-1.0354,7.4654,0.3462,-4.6280,0.3093,-0.4600,0.3091
1781011720.867,start,-0.9291,7.5618,0.3956,-4.6366,0.3094,-0.4551,0.3106
1781011720.877,start,-0.9161,7.3842,0.3932,-4.5755,0.3022,-0.4694,0.3111
1781011720.887,start,-0.8699,7.5288,0.4208,-4.6668,0.3109,-0.4495,0.3111
1781011720.897,start,-0.7624,7.3369,0.4945,-4.6423,0.3216,-0.4400,0.3101
1781011720.906,start,-0.7452,7.4353,0.5037,-4.6069,0.3196,-0.4553,0.3079
1781011720.917,start,-0.8907,7.2590,0.4304,-4.5959,0.3164,-0.4464,0.3063
1781011720.927,start,-0.9500,7.3493,0.4000,-4.6847,0.3184,-0.4172,0.3048
1781011720.938,start,-0.9831,7.3867,0.3708,-4.6474,0.3198,-0.4253,0.3042
1781011720.947,start,-0.9723,7.3761,0.3809,-4.6103,0.3169,-0.4449,0.3029
1781011720.957,start,-0.9408,7.3721,0.3947,-4.6360,0.3123,-0.4282,0.3013
1781011720.967,start,-0.9803,7.2105,0.3847,-4.5970,0.3097,-0.4182,0.3008
1781011720.977,start,-0.9225,7.2870,0.4074,-4.5491,0.3152,-0.4348,0.2992
1781011720.987,start,-0.8108,7.3513,0.4684,-4.5948,0.3226,-0.4319,0.2978
1781011720.997,start,-0.7307,7.3936,0.5146,-4.6306,0.3293,-0.4202,0.2965
1781011721.007,start,-0.8341,7.5100,0.4694,-4.6531,0.3291,-0.4280,0.2962
1781011721.017,start,-0.9521,7.3873,0.4069,-4.6763,0.3165,-0.4178,0.2969
