timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1781011842.516,init,0.0986,7.3697,0.5415,-4.6371,0.2592,-0.1288,0.2636
1781011842.525,init,0.0850,7.3771,0.5716,-4.6411,0.2310,-0.1285,0.2641
1781011842.708,init,0.0548,7.3466,0.5555,-4.6216,0.2459,-0.1296,0.2644
1781011842.718,init,0.1176,7.3648,0.5576,-4.6265,0.2559,-0.1280,0.2636
1781011842.722,init,0.0607,7.3501,0.5646,-4.6313,0.2496,-0.1292,0.2645
1781011842.744,init,0.1001,7.3779,0.5520,-4.6346,0.2512,-0.1281,0.2641
1781011842.748,init,0.0836,7.3708,0.5694,-4.6420,0.2571,-0.1292,0.2642
1781011842.751,init,0.0779,7.3802,0.5599,-4.6300,0.2554,-0.1287,0.2644
1781011842.754,init,0.1045,7.3586,0.5623,-4.6317,0.2485,-0.1287,0.2645
1781011842.762,start,0.0865,7.3388,0.5611,-4.6279,0.2460,-0.1289,0.2641
1781011842.764,start,0.0914,7.3758,0.5569,-4.6284,0.2554,-0.1287,0.2643
1781011843.163,start,0.1067,7.3649,0.5590,-4.6175,0.2435,-0.1286,0.2649
1781011847.456,start,0.0958,7.3715,0.5579,-4.6355,0.2394,-0.1229,0.2633
1781011847.468,start,0.0621,7.3801,0.5523,-4.6351,0.2462,-0.1223,0.2630
1781011847.473,start,0.0821,7.3795,0.5496,-4.6507,0.2539,-0.1221,0.2631
1781011848.688,start,0.1063,7.3524,0.5559,-4.6325,0.2336,-0.1226,0.2641
1781011848.695,start,0.1071,7.3586,0.5650,-4.6195,0.2341,-0.1218,0.2646
1781011848.859,start,0.1193,7.3759,0.5583,-4.6350,0.2523,-0.1224,0.2644
1781011848.865,start,0.0702,7.3652,0.5522,-4.6306,0.2412,-0.1224,0.2651
1781011848.937,start,0.0806,7.3650,0.5292,-4.6328,0.2557,-0.1224,0.2640
1781011848.948,start,0.1343,7.3700,0.5798,-4.6344,0.2534,-0.1223,0.2635
1781011848.950,start,0.0430,7.3724,0.5359,-4.6372,0.2462,-0.1220,0.2639
1781011848.951,start,0.1157,7.3694,0.5894,-4.6303,0.2431,-0.1226,0.2634
1781011848.952,start,0.0577,7.3630,0.5252,-4.6320,0.2532,-0.1222,0.2640
1781011848.954,start,0.1017,7.3452,0.5876,-4.6272,0.2322,-0.1223,0.2638
1781011848.955,start,0.1006,7.3601,0.5511,-4.6294,0.2569,-0.1222,0.2638
1781011848.957,start,0.0868,7.3650,0.5840,-4.6319,0.2420,-0.1222,0.2637
1781011848.958,start,0.1124,7.3774,0.5673,-4.6388,0.2507,-0.1220,0.2643
1781011848.960,start,0.0910,7.3685,0.5639,-4.6351,0.2466,-0.1220,0.2639
1781011848.961,start,0.0816,7.3644,0.5633,-4.6278,0.2482,-0.1224,0.2646
1781011848.963,start,0.0877,7.3643,0.5382,-4.6291,0.2479,-0.1218,0.2640
1781011848.969,start,0.0778,7.3548,0.5739,-4.6334,0.2401,-0.1227,0.2644
1781011848.976,start,0.1012,7.3793,0.5499,-4.6266,0.2508,-0.1220,0.2638
1781011848.985,start,0.0950,7.3687,0.5885,-4.6381,0.2346,-0.1231,0.2637
1781011848.996,start,0.0920,7.3929,0.5449,-4.6381,0.2426,-0.1224,0.2638
1781011849.005,start,0.1161,7.3774,0.5861,-4.6387,0.2463,-0.1229,0.2633
1781011849.015,start,0.1153,7.3669,0.5823,-4.6195,0.2526,-0.1233,0.2642
1781011849.026,start,0.0952,7.3404,0.5732,-4.6134,0.2433,-0.1233,0.2648
1781011849.036,start,0.0719,7.3589,0.6218,-4.6205,0.2485,-0.1254,0.2678
1781011849.046,start,0.0944,7.3453,0.6832,-4.5994,0.2472,-0.1278,0.2742
1781011849.054,start,-0.1219,7.3177,0.6497,-4.5449,0.2062,-0.1356,0.2828
1781011849.065,start,-0.7405,7.6351,0.3395,-4.6374,0.1617,-0.1565,0.2901
