timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780498683.310,init,-0.8312,6.4806,0.3492,-4.7018,0.2969,-0.3703,0.2046
1780498683.315,init,-0.8474,6.5073,0.3286,-4.6910,0.2938,-0.3707,0.2048
1780498683.887,init,-0.8496,6.5207,0.3255,-4.6838,0.2914,-0.3728,0.2046
1780498683.891,init,-0.8456,6.4790,0.3255,-4.6996,0.2915,-0.3721,0.2045
1780498684.410,init,-0.8234,6.5026,0.3447,-4.6823,0.2971,-0.3731,0.2040
1780498684.415,init,-0.8249,6.4866,0.3503,-4.7041,0.2966,-0.3728,0.2043
1780498686.266,init,-0.8343,6.5195,0.3408,-4.6963,0.2933,-0.3762,0.2032
1780498686.304,init,-0.8358,6.4896,0.3293,-4.6906,0.2939,-0.3762,0.2033
1780498686.694,start,-0.8289,6.5206,0.3413,-4.6810,0.2922,-0.3785,0.2038
1780498686.862,start,-0.8275,6.4815,0.3482,-4.7056,0.2997,-0.3775,0.2040
1780498686.938,start,-0.8463,6.5025,0.3197,-4.7011,0.2992,-0.3778,0.2036
1780498686.944,start,-0.8488,6.5090,0.3289,-4.6768,0.3073,-0.3787,0.2034
1780498687.007,start,-0.8432,6.4766,0.3300,-4.7015,0.2963,-0.3774,0.2035
1780498687.012,start,-0.8397,6.5001,0.3332,-4.6817,0.2941,-0.3778,0.2036
1780498687.019,start,-0.8340,6.5184,0.3262,-4.6754,0.2848,-0.3780,0.2038
1780498687.041,start,-0.8465,6.5033,0.3189,-4.7028,0.2924,-0.3776,0.2038
1780498687.046,start,-0.8562,6.5017,0.3233,-4.7078,0.3078,-0.3779,0.2034
1780498687.048,start,-0.8479,6.5173,0.3264,-4.6767,0.3044,-0.3786,0.2032
1780498687.049,start,-0.8255,6.5016,0.3399,-4.6780,0.2997,-0.3783,0.2034
1780498687.051,start,-0.8239,6.4761,0.3502,-4.7035,0.2991,-0.3777,0.2037
1780498687.052,start,-0.8370,6.5003,0.3326,-4.6942,0.2970,-0.3779,0.2039
1780498687.054,start,-0.8563,6.5264,0.3154,-4.6788,0.2942,-0.3784,0.2037
1780498687.055,start,-0.8639,6.5046,0.3142,-4.6958,0.2985,-0.3780,0.2036
1780498687.056,start,-0.8506,6.4842,0.3242,-4.7053,0.2955,-0.3777,0.2038
1780498687.057,start,-0.8354,6.5046,0.3346,-4.6867,0.2937,-0.3784,0.2041
1780498687.059,start,-0.8301,6.5237,0.3457,-4.6830,0.2955,-0.3787,0.2040
1780498687.061,start,-0.8359,6.5092,0.3364,-4.7025,0.2937,-0.3780,0.2037
1780498687.067,start,-0.8437,6.4953,0.3219,-4.7049,0.2966,-0.3780,0.2037
1780498687.077,start,-0.8392,6.5041,0.3365,-4.6818,0.3067,-0.3788,0.2037
1780498687.087,start,-0.8201,6.4993,0.3513,-4.6761,0.3028,-0.3788,0.2037
1780498687.096,start,-0.8305,6.4850,0.3514,-4.6992,0.2928,-0.3784,0.2044
1780498687.106,start,-0.8479,6.5009,0.3711,-4.7027,0.2952,-0.3800,0.2063
1780498687.116,start,-0.8613,6.5196,0.4040,-4.6796,0.2888,-0.3861,0.2090
1780498687.126,start,-1.0309,6.4563,0.3237,-4.6710,0.2595,-0.3951,0.2127
1780498687.137,start,-1.2819,6.4449,0.1850,-4.6817,0.2274,-0.4161,0.2180
1780498687.146,start,-1.4868,6.5820,0.0491,-4.7026,0.1901,-0.4695,0.2241
1780498687.157,start,-1.6708,6.7026,-0.0852,-4.7297,0.1482,-0.5199,0.2297
1780498687.167,start,-1.8305,6.7430,-0.2069,-4.7692,0.1261,-0.5426,0.2335
1780498687.177,start,-1.7052,6.7336,-0.1574,-4.7952,0.1376,-0.5501,0.2350
1780498687.186,start,-1.5676,6.6832,-0.0823,-4.7933,0.1325,-0.5554,0.2353
1780498687.197,start,-1.3448,6.7421,0.0221,-4.8088,0.1243,-0.5595,0.2358
1780498687.207,start,-1.3716,6.7001,0.0069,-4.7980,0.1093,-0.5680,0.2375
1780498687.216,start,-1.4840,6.8021,-0.0681,-4.8246,0.0894,-0.5752,0.2397
1780498687.226,start,-1.6737,6.8213,-0.2191,-4.8551,0.0640,-0.5758,0.2409
1780498687.236,start,-1.6854,6.8197,-0.2497,-4.8645,0.0540,-0.5708,0.2410
1780498687.246,start,-1.6731,6.8487,-0.2443,-4.8779,0.0596,-0.5633,0.2414
1780498687.256,start,-1.4639,6.8147,-0.1130,-4.8644,0.0723,-0.5616,0.2415
1780498687.267,start,-1.3991,6.5626,-0.0748,-4.7673,0.0874,-0.5606,0.2413
1780498687.276,start,-1.3734,6.5092,-0.0483,-4.7136,0.1028,-0.5658,0.2410
1780498687.286,start,-1.3742,6.6087,-0.0563,-4.7163,0.1273,-0.5777,0.2423
1780498687.297,start,-1.0968,6.7636,0.1072,-4.7741,0.1628,-0.5721,0.2440
1780498687.306,start,-0.8432,6.6784,0.2904,-4.7878,0.2031,-0.5453,0.2443
1780498687.316,start,-0.6425,6.6153,0.4529,-4.7720,0.2281,-0.5335,0.2439
1780498687.326,start,-0.7163,6.6711,0.4254,-4.7390,0.2404,-0.5440,0.2452
1780498687.336,start,-0.9635,6.8534,0.2847,-4.7916,0.2265,-0.5470,0.2467
1780498687.346,start,-1.0993,6.8440,0.1750,-4.8122,0.2014,-0.5296,0.2480
1780498687.356,start,-1.1448,6.6230,0.1294,-4.7383,0.1962,-0.5216,0.2485
1780498687.366,start,-1.0977,6.3996,0.1585,-4.6247,0.2044,-0.5306,0.2470
1780498687.376,start,-1.0201,6.4040,0.1973,-4.5844,0.2160,-0.5325,0.2452
1780498687.387,start,-0.7676,6.5971,0.3513,-4.6735,0.2320,-0.5253,0.2439
1780498687.396,start,-0.6337,6.6718,0.4493,-4.7565,0.2681,-0.5064,0.2436
1780498687.406,start,-0.7037,6.6391,0.4375,-4.7697,0.2700,-0.4895,0.2420
1780498687.416,start,-0.8000,6.6244,0.3523,-4.7636,0.2585,-0.4794,0.2416
1780498687.426,start,-0.9356,6.6537,0.2658,-4.7692,0.2382,-0.4763,0.2422
1780498687.436,start,-0.9472,6.5865,0.2516,-4.7577,0.2335,-0.4745,0.2438
1780498687.446,start,-0.9760,6.5039,0.2216,-4.7321,0.2237,-0.4791,0.2463
1780498687.456,start,-0.9828,6.5642,0.2145,-4.7334,0.2225,-0.4812,0.2472
1780498687.466,start,-0.9381,6.5831,0.2367,-4.7601,0.2331,-0.4757,0.2471
1780498687.476,start,-0.7312,6.5366,0.3704,-4.7619,0.2442,-0.4693,0.2475
1780498687.487,start,-0.6427,6.5625,0.4309,-4.7827,0.2510,-0.4668,0.2484
1780498687.496,start,-0.7617,6.4801,0.3863,-4.7573,0.2420,-0.4737,0.2488
1780498687.506,start,-0.8260,6.5856,0.3347,-4.7695,0.2429,-0.4832,0.2491
1780498687.516,start,-0.9450,6.7374,0.2540,-4.8351,0.2422,-0.4840,0.2490
1780498687.526,start,-0.9471,6.7132,0.2609,-4.8532,0.2453,-0.4792,0.2471
1780498687.536,start,-0.9214,6.6494,0.2656,-4.8096,0.2357,-0.4875,0.2455
1780498687.546,start,-0.8952,6.4232,0.2690,-4.7142,0.2301,-0.5057,0.2450
1780498687.556,start,-0.8934,6.4641,0.2646,-4.6574,0.2302,-0.5294,0.2440
1780498687.567,start,-0.7550,6.7084,0.3577,-4.7056,0.2356,-0.5479,0.2418
1780498687.576,start,-0.6554,6.6444,0.4169,-4.7444,0.2472,-0.5394,0.2400
1780498687.586,start,-0.7397,6.4851,0.3843,-4.7471,0.2438,-0.5230,0.2389
1780498687.596,start,-0.8220,6.2904,0.3224,-4.6859,0.2320,-0.5249,0.2393
1780498687.606,start,-0.9368,6.4849,0.2265,-4.6971,0.2077,-0.5426,0.2402
1780498687.617,start,-0.9726,6.7329,0.1995,-4.7822,0.2192,-0.5480,0.2408
1780498687.626,start,-0.9428,6.7430,0.2240,-4.8491,0.2299,-0.5330,0.2401
1780498687.636,start,-0.8643,6.5447,0.2643,-4.8317,0.2310,-0.5075,0.2393
1780498687.646,start,-0.7524,6.4832,0.3223,-4.8053,0.2309,-0.5052,0.2386
1780498687.656,start,-0.6298,6.6256,0.4287,-4.7924,0.2472,-0.5259,0.2385
1780498687.666,start,-0.5911,6.8253,0.4621,-4.8274,0.2528,-0.5430,0.2387
1780498687.676,start,-0.7332,6.7636,0.3795,-4.8438,0.2458,-0.5369,0.2377
1780498687.686,start,-0.8290,6.4686,0.3141,-4.7798,0.2420,-0.5210,0.2368
1780498687.696,start,-0.8949,6.4159,0.2491,-4.7416,0.2293,-0.5223,0.2382
1780498687.706,start,-0.8847,6.5751,0.2515,-4.7636,0.2245,-0.5369,0.2402
1780498687.717,start,-0.8138,6.7679,0.3007,-4.8282,0.2237,-0.5380,0.2411
1780498687.727,start,-0.7936,6.7904,0.3178,-4.8768,0.2293,-0.5193,0.2415
1780498687.736,start,-0.7479,6.4552,0.3357,-4.7842,0.2413,-0.5082,0.2413
1780498687.746,start,-0.6680,6.5783,0.4136,-4.7590,0.2576,-0.5242,0.2415
1780498687.756,start,-0.6106,6.7481,0.4447,-4.8062,0.2565,-0.5407,0.2431
1780498687.767,start,-0.7190,6.8495,0.3705,-4.8759,0.2396,-0.5402,0.2459
1780498687.776,start,-0.8398,6.7076,0.2956,-4.8607,0.2313,-0.5335,0.2467
