timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780500024.655,init,-0.8448,6.4049,0.2087,-4.5741,0.3157,-0.1086,0.2105
1780500024.657,init,-0.8867,6.4038,0.1650,-4.5745,0.3201,-0.1088,0.2101
1780500025.286,init,-0.8623,6.4068,0.2038,-4.5777,0.3079,-0.1083,0.2111
1780500025.292,init,-0.8663,6.4089,0.2011,-4.5789,0.3095,-0.1098,0.2118
1780500025.295,init,-0.8582,6.4155,0.1800,-4.5814,0.3270,-0.1102,0.2104
1780500026.550,init,-0.8859,6.4148,0.1873,-4.5766,0.3101,-0.1099,0.2116
1780500027.464,init,-0.8610,6.4096,0.2054,-4.5765,0.3104,-0.1095,0.2110
1780500028.002,start,-0.8551,6.4110,0.1860,-4.5799,0.3265,-0.1096,0.2100
1780500028.004,start,-0.8969,6.4124,0.1821,-4.5761,0.3097,-0.1095,0.2115
1780500028.008,start,-0.8432,6.4099,0.2024,-4.5746,0.3259,-0.1095,0.2110
1780500028.967,start,-0.8650,6.4060,0.2041,-4.5761,0.3069,-0.1087,0.2110
1780500030.086,start,-0.8774,6.4085,0.1732,-4.5754,0.3226,-0.1090,0.2101
1780500030.089,start,-0.8752,6.4083,0.2002,-4.5768,0.3072,-0.1085,0.2114
1780500030.939,start,-0.9038,6.4106,0.1762,-4.5787,0.3119,-0.1093,0.2109
1780500033.451,start,-0.8777,6.4093,0.1731,-4.5754,0.3234,-0.1090,0.2099
1780500033.455,start,-0.8757,6.4084,0.1997,-4.5763,0.3078,-0.1086,0.2112
1780500033.465,start,-0.8513,6.4127,0.1909,-4.5801,0.3268,-0.1091,0.2099
1780500033.510,start,-0.8457,6.4007,0.2139,-4.5761,0.3157,-0.1086,0.2105
1780500033.510,start,-0.8807,6.4049,0.1721,-4.5752,0.3217,-0.1090,0.2099
1780500033.511,start,-0.8659,6.4089,0.2051,-4.5790,0.3077,-0.1086,0.2111
1780500033.512,start,-0.8522,6.4138,0.1874,-4.5812,0.3256,-0.1093,0.2098
1780500033.512,start,-0.8879,6.4114,0.1880,-4.5747,0.3086,-0.1093,0.2110
1780500033.512,start,-0.8380,6.4096,0.2043,-4.5745,0.3256,-0.1094,0.2105
1780500033.513,start,-0.9025,6.4054,0.1703,-4.5779,0.3141,-0.1094,0.2105
1780500033.513,start,-0.8400,6.4071,0.2144,-4.5756,0.3174,-0.1092,0.2105
