timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780498867.332,init,-0.8484,6.4580,0.1688,-4.6203,0.3091,-0.3855,0.1992
1780498867.364,init,-0.8506,6.4327,0.1597,-4.6591,0.3043,-0.3847,0.1998
1780498867.366,init,-0.8364,6.4558,0.1411,-4.6219,0.2752,-0.3849,0.2005
1780498867.368,init,-0.8503,6.4709,0.1529,-4.6057,0.2973,-0.3854,0.1997
1780498867.370,init,-0.8579,6.4441,0.1699,-4.6525,0.3091,-0.3847,0.1995
1780498867.864,init,-0.8582,6.4418,0.1722,-4.6565,0.3092,-0.3850,0.1997
1780498867.868,init,-0.8373,6.4464,0.1514,-4.6434,0.2818,-0.3849,0.2006
1780498867.871,init,-0.8447,6.4734,0.1488,-4.6038,0.2836,-0.3855,0.2002
1780498872.764,init,-0.8506,6.4727,0.1487,-4.6026,0.2860,-0.3876,0.2005
1780498873.143,init,-0.8506,6.4632,0.1642,-4.6130,0.3040,-0.3871,0.2001
1780498874.405,init,-0.8499,6.4667,0.1537,-4.6035,0.2967,-0.3882,0.1997
1780498875.338,init,-0.8563,6.4412,0.1754,-4.6494,0.3088,-0.3871,0.1995
1780498878.795,init,-0.8379,6.4563,0.1444,-4.6287,0.2752,-0.3874,0.2012
1780498884.687,init,-0.8295,6.4373,0.1580,-4.6536,0.2915,-0.3876,0.2009
1780498885.657,start,-0.8357,6.4560,0.1400,-4.6138,0.2745,-0.3879,0.2007
1780498888.632,start,-0.8427,6.4616,0.1672,-4.6148,0.3069,-0.3887,0.2006
1780498891.902,start,-0.8378,6.4757,0.1510,-4.5984,0.2877,-0.3888,0.2008
1780498907.131,start,-0.8431,6.4623,0.1559,-4.6038,0.3000,-0.3907,0.2001
1780498907.749,start,-0.8464,6.4482,0.1762,-4.6354,0.3088,-0.3905,0.1996
1780498910.199,start,-0.8462,6.4710,0.1573,-4.5994,0.2975,-0.3908,0.1999
1780498916.251,start,-0.8253,6.4520,0.1467,-4.6302,0.2788,-0.3915,0.2009
1780498916.733,start,-0.8261,6.4574,0.1428,-4.6158,0.2765,-0.3915,0.2010
1780498916.736,start,-0.8376,6.4676,0.1556,-4.5991,0.2992,-0.3920,0.2002
1780498916.739,start,-0.8455,6.4406,0.1727,-4.6538,0.3111,-0.3914,0.2000
1780498916.742,start,-0.8240,6.4450,0.1522,-4.6422,0.2845,-0.3913,0.2011
1780498916.744,start,-0.8306,6.4744,0.1477,-4.5947,0.2826,-0.3919,0.2010
1780498916.746,start,-0.8411,6.4510,0.1771,-4.6302,0.3110,-0.3917,0.2002
1780498916.751,start,-0.8336,6.4323,0.1625,-4.6579,0.2998,-0.3911,0.2011
1780498916.754,start,-0.8271,6.4625,0.1450,-4.6045,0.2760,-0.3915,0.2014
1780498916.755,start,-0.8389,6.4609,0.1641,-4.6037,0.3063,-0.3922,0.2003
1780498916.757,start,-0.8471,6.4314,0.1685,-4.6568,0.3105,-0.3915,0.2006
1780498916.758,start,-0.8235,6.4469,0.1487,-4.6301,0.2803,-0.3915,0.2015
1780498916.760,start,-0.8332,6.4710,0.1512,-4.5936,0.2892,-0.3923,0.2010
1780498916.763,start,-0.8423,6.4414,0.1775,-4.6400,0.3113,-0.3918,0.2003
1780498916.773,start,-0.8246,6.4326,0.1591,-4.6499,0.2925,-0.3914,0.2011
1780498916.782,start,-0.8140,6.4679,0.1532,-4.5982,0.2770,-0.3919,0.2011
