timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780492157.430,init,-0.2862,6.1641,0.1024,-4.8705,0.4987,0.1506,0.2422
1780492157.433,init,-0.2873,6.1658,0.1002,-4.8694,0.4992,0.1507,0.2422
1780492157.448,init,-0.2886,6.1654,0.0978,-4.8705,0.4976,0.1506,0.2422
1780492157.804,init,-0.2888,6.1653,0.0943,-4.8689,0.4954,0.1500,0.2428
1780492157.810,init,-0.2852,6.1596,0.1047,-4.8734,0.5012,0.1501,0.2427
1780492158.480,init,-0.2814,6.1649,0.1099,-4.8721,0.5051,0.1509,0.2424
1780492160.092,init,-0.2998,6.1579,0.0906,-4.8623,0.5020,0.1507,0.2435
1780492160.485,init,-0.2904,6.1649,0.1050,-4.8714,0.5014,0.1504,0.2429
1780492160.546,init,-0.2885,6.1679,0.1025,-4.8710,0.4970,0.1505,0.2430
1780492160.766,init,-0.2946,6.1716,0.0966,-4.8696,0.5024,0.1502,0.2427
1780492160.906,init,-0.2813,6.1681,0.1050,-4.8656,0.5007,0.1505,0.2431
1780492161.199,start,-0.2878,6.1709,0.1057,-4.8693,0.4995,0.1506,0.2422
1780492161.242,start,-0.2978,6.1682,0.0949,-4.8687,0.4970,0.1508,0.2424
1780492161.344,start,-0.2962,6.1648,0.0997,-4.8691,0.4990,0.1505,0.2427
1780492161.388,start,-0.2919,6.1644,0.1042,-4.8693,0.4998,0.1505,0.2425
1780492161.998,start,-0.2929,6.1690,0.0970,-4.8686,0.4986,0.1505,0.2431
1780492162.025,start,-0.2890,6.1694,0.1006,-4.8697,0.4993,0.1505,0.2431
1780492164.383,start,-0.2912,6.1714,0.0993,-4.8695,0.4977,0.1511,0.2433
1780492164.431,start,-0.2883,6.1691,0.1093,-4.8668,0.5061,0.1514,0.2430
1780492164.443,start,-0.2922,6.1673,0.0967,-4.8741,0.5010,0.1516,0.2431
1780492164.455,start,-0.2898,6.1709,0.1106,-4.8689,0.5073,0.1515,0.2430
1780492164.464,start,-0.2951,6.1682,0.0900,-4.8673,0.4931,0.1514,0.2434
1780492164.487,start,-0.2871,6.1684,0.1130,-4.8705,0.5080,0.1515,0.2431
1780492164.501,start,-0.2908,6.1692,0.0910,-4.8687,0.4935,0.1514,0.2432
1780492164.510,start,-0.2896,6.1694,0.0973,-4.8744,0.5006,0.1514,0.2431
1780492164.519,start,-0.2886,6.1684,0.1098,-4.8719,0.5076,0.1515,0.2430
1780492164.528,start,-0.2940,6.1660,0.0871,-4.8708,0.4932,0.1513,0.2434
1780492164.536,start,-0.2912,6.1642,0.0965,-4.8698,0.4988,0.1514,0.2434
1780492164.546,start,-0.2893,6.1658,0.1091,-4.8728,0.5061,0.1514,0.2432
1780492164.555,start,-0.2915,6.1664,0.0918,-4.8747,0.4931,0.1513,0.2435
1780492164.565,start,-0.2907,6.1687,0.0986,-4.8700,0.4976,0.1514,0.2433
1780492164.574,start,-0.2897,6.1697,0.1064,-4.8735,0.5045,0.1515,0.2431
1780492164.584,start,-0.2940,6.1658,0.0906,-4.8747,0.4915,0.1516,0.2432
1780492164.592,start,-0.2935,6.1664,0.0935,-4.8729,0.4946,0.1517,0.2430
1780492164.603,start,-0.2907,6.1680,0.1066,-4.8743,0.5043,0.1515,0.2429
1780492164.612,start,-0.2916,6.1662,0.0950,-4.8740,0.4933,0.1516,0.2430
1780492164.620,start,-0.2871,6.1640,0.1003,-4.8744,0.4932,0.1515,0.2432
1780492164.630,start,-0.2801,6.1679,0.1199,-4.8728,0.5016,0.1516,0.2430
1780492164.639,start,-0.2777,6.1709,0.1223,-4.8719,0.4938,0.1520,0.2436
1780492164.648,start,-0.2535,6.1686,0.1656,-4.8731,0.5009,0.1531,0.2449
1780492164.657,start,-0.2704,6.1736,0.2168,-4.8716,0.5013,0.1563,0.2460
1780492164.666,start,-0.5025,6.1688,0.0921,-4.8629,0.4591,0.1627,0.2474
1780492164.675,start,-0.7713,6.1554,-0.0580,-4.8545,0.4171,0.1775,0.2490
1780492164.683,start,-0.9945,6.2071,-0.1791,-4.8593,0.3923,0.2372,0.2502
1780492164.693,start,-1.1509,6.1536,-0.2454,-4.7821,0.3581,0.3207,0.2507
1780492164.702,start,-1.2555,5.9614,-0.2707,-4.7367,0.3318,0.3919,0.2507
1780492164.711,start,-1.2846,5.8640,-0.2701,-4.7251,0.3242,0.4423,0.2504
1780492164.721,start,-1.2603,5.9938,-0.2254,-4.7299,0.3109,0.4673,0.2507
1780492164.729,start,-1.3014,6.1814,-0.2560,-4.7948,0.2847,0.4785,0.2511
1780492164.738,start,-1.3450,6.2420,-0.2726,-4.8744,0.2785,0.5095,0.2514
1780492164.748,start,-1.2988,6.1843,-0.2420,-4.8966,0.2776,0.5428,0.2511
1780492164.757,start,-1.3648,6.1219,-0.2962,-4.8534,0.2586,0.5536,0.2512
1780492164.766,start,-1.4012,6.0918,-0.3256,-4.8144,0.2544,0.5552,0.2519
1780492164.775,start,-1.2809,6.0925,-0.2402,-4.8064,0.2655,0.5497,0.2521
1780492164.783,start,-1.1305,6.1490,-0.1433,-4.8424,0.2807,0.5499,0.2523
1780492164.793,start,-1.1173,6.2155,-0.1294,-4.8201,0.2788,0.5428,0.2519
1780492164.801,start,-1.2249,6.1172,-0.2023,-4.7215,0.2941,0.5199,0.2516
1780492164.811,start,-1.2792,5.9534,-0.2460,-4.6719,0.3031,0.5082,0.2522
1780492164.820,start,-1.1454,5.9553,-0.1926,-4.6779,0.3020,0.5169,0.2515
1780492164.829,start,-0.9183,6.1142,-0.0362,-4.7604,0.3324,0.5147,0.2506
1780492164.839,start,-0.7356,6.3048,0.1118,-4.8536,0.3669,0.5046,0.2495
1780492164.848,start,-0.6864,6.3934,0.1633,-4.8789,0.3778,0.5054,0.2479
1780492164.858,start,-0.6569,6.3604,0.1832,-4.8991,0.3754,0.5116,0.2462
1780492164.867,start,-0.5097,6.3730,0.2563,-4.9162,0.3835,0.5131,0.2447
1780492164.877,start,-0.8741,6.1676,0.0732,-4.7846,0.3366,0.5065,0.2458
1780492164.885,start,-0.7725,6.1920,0.0768,-4.7982,0.3179,0.5049,0.2443
1780492164.894,start,-1.2150,6.1830,-0.1807,-4.8202,0.2898,0.5158,0.2460
1780492164.902,start,-1.5057,6.1782,-0.3841,-4.8723,0.1983,0.5188,0.2463
1780492164.911,start,-1.5634,6.2503,-0.4600,-4.9064,0.2163,0.5177,0.2474
1780492164.920,start,-1.2357,6.3141,-0.2190,-4.8937,0.2454,0.4950,0.2473
1780492164.928,start,-0.7917,6.3471,0.0410,-4.8769,0.2758,0.4757,0.2470
1780492164.937,start,-0.3256,6.3566,0.3707,-4.8627,0.3450,0.4690,0.2464
1780492164.947,start,-0.2895,6.2926,0.4458,-4.8261,0.3836,0.4592,0.2462
1780492164.956,start,-0.4383,6.2045,0.3302,-4.7919,0.3795,0.4537,0.2473
1780492164.965,start,-0.7073,6.1822,0.1390,-4.7614,0.3588,0.4504,0.2483
1780492164.974,start,-0.8131,6.1699,0.0577,-4.7555,0.3632,0.4491,0.2489
1780492164.983,start,-0.7991,6.1663,0.0468,-4.7842,0.3473,0.4592,0.2485
1780492164.991,start,-0.7360,6.2587,0.0766,-4.8562,0.3449,0.4761,0.2481
1780492165.000,start,-0.6807,6.3503,0.1223,-4.8940,0.3437,0.4801,0.2463
