timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780491925.260,init,-0.1472,6.1947,0.0807,-4.9041,0.4798,-0.1837,0.2215
1780491925.263,init,-0.1447,6.1887,0.0795,-4.9058,0.4820,-0.1838,0.2213
1780491925.265,init,-0.1434,6.1900,0.0866,-4.9058,0.4845,-0.1840,0.2212
1780491925.268,init,-0.1418,6.1928,0.0842,-4.9027,0.4832,-0.1840,0.2212
1780491925.386,init,-0.1481,6.1919,0.0783,-4.9043,0.4815,-0.1837,0.2210
1780491926.955,init,-0.1471,6.1838,0.0851,-4.9024,0.4824,-0.1831,0.2213
1780491927.176,init,-0.1489,6.1936,0.0813,-4.9008,0.4831,-0.1831,0.2217
1780491927.193,init,-0.1479,6.1885,0.0841,-4.9026,0.4842,-0.1830,0.2217
1780491927.247,start,-0.1484,6.1946,0.0794,-4.9025,0.4832,-0.1831,0.2216
1780491927.777,start,-0.1490,6.1971,0.0808,-4.9027,0.4838,-0.1840,0.2213
1780491927.900,start,-0.1481,6.1919,0.0801,-4.9052,0.4829,-0.1832,0.2214
1780491928.211,start,-0.1465,6.1952,0.0789,-4.8978,0.4788,-0.1827,0.2214
1780491930.988,start,-0.1470,6.2000,0.0801,-4.9058,0.4845,-0.1829,0.2214
1780491931.214,start,-0.1512,6.1952,0.0732,-4.9085,0.4822,-0.1825,0.2220
1780491931.699,start,-0.1474,6.1891,0.0822,-4.9049,0.4837,-0.1821,0.2215
1780491931.766,start,-0.1449,6.1891,0.0834,-4.9077,0.4825,-0.1823,0.2212
1780491931.793,start,-0.1489,6.1920,0.0781,-4.9076,0.4793,-0.1821,0.2212
1780491931.805,start,-0.1486,6.1894,0.0809,-4.9061,0.4817,-0.1821,0.2212
1780491931.817,start,-0.1505,6.1931,0.0806,-4.9010,0.4819,-0.1822,0.2212
1780491931.827,start,-0.1495,6.1933,0.0817,-4.9035,0.4802,-0.1821,0.2213
1780491931.838,start,-0.1491,6.1915,0.0838,-4.9082,0.4828,-0.1819,0.2212
1780491931.859,start,-0.1494,6.1988,0.0796,-4.8998,0.4783,-0.1823,0.2213
1780491931.878,start,-0.1471,6.1934,0.0819,-4.9072,0.4814,-0.1823,0.2211
1780491931.888,start,-0.1471,6.2004,0.0802,-4.9006,0.4800,-0.1826,0.2210
1780491931.897,start,-0.1451,6.1977,0.0823,-4.9039,0.4793,-0.1825,0.2211
1780491931.905,start,-0.1429,6.1898,0.0852,-4.9080,0.4829,-0.1824,0.2211
1780491931.914,start,-0.1436,6.1912,0.0846,-4.9037,0.4825,-0.1825,0.2212
1780491931.922,start,-0.1472,6.1934,0.0782,-4.8992,0.4780,-0.1826,0.2214
1780491931.930,start,-0.1460,6.1907,0.0784,-4.9078,0.4797,-0.1824,0.2216
1780491931.939,start,-0.1442,6.1930,0.0809,-4.9094,0.4819,-0.1822,0.2216
1780491931.948,start,-0.1444,6.2008,0.0792,-4.9020,0.4804,-0.1824,0.2218
1780491931.957,start,-0.1454,6.1969,0.0810,-4.9041,0.4806,-0.1824,0.2218
1780491931.965,start,-0.1454,6.1939,0.0819,-4.9098,0.4829,-0.1824,0.2218
1780491931.973,start,-0.1466,6.1973,0.0817,-4.9053,0.4822,-0.1826,0.2218
1780491931.982,start,-0.1284,6.2003,0.0918,-4.9023,0.4803,-0.1827,0.2219
1780491931.992,start,-0.1364,6.1939,0.0942,-4.9092,0.4809,-0.1824,0.2220
1780491932.001,start,-0.1615,6.1923,0.1016,-4.9092,0.4818,-0.1822,0.2222
1780491932.012,start,-0.1818,6.2019,0.1258,-4.9024,0.4791,-0.1809,0.2230
1780491932.021,start,-0.1997,6.2017,0.1689,-4.9021,0.4710,-0.1754,0.2253
1780491932.031,start,-0.3773,6.1925,0.1078,-4.9010,0.4478,-0.1600,0.2288
1780491932.040,start,-0.6618,6.1939,-0.0353,-4.8940,0.4134,-0.1278,0.2330
1780491932.049,start,-0.9473,6.1787,-0.1876,-4.8694,0.3720,-0.0742,0.2366
1780491932.058,start,-1.1317,6.1382,-0.2722,-4.8770,0.3413,0.0070,0.2390
1780491932.066,start,-1.2809,6.1391,-0.3179,-4.9095,0.3233,0.0830,0.2408
1780491932.075,start,-1.3506,6.1399,-0.3347,-4.8532,0.3066,0.1216,0.2422
1780491932.084,start,-1.2897,6.0516,-0.2664,-4.7625,0.2950,0.1317,0.2433
1780491932.093,start,-1.3434,5.9366,-0.2913,-4.7253,0.2747,0.1542,0.2443
1780491932.102,start,-1.4004,5.9478,-0.2969,-4.7811,0.2636,0.1933,0.2450
1780491932.111,start,-1.3336,6.1293,-0.2644,-4.9088,0.2538,0.2236,0.2454
1780491932.119,start,-1.4338,6.3131,-0.3320,-4.9799,0.2457,0.2416,0.2463
1780491932.128,start,-1.4978,6.3226,-0.3663,-4.9661,0.2446,0.2553,0.2473
1780491932.138,start,-1.3711,6.1632,-0.2855,-4.9026,0.2474,0.2665,0.2488
1780491932.147,start,-1.1999,6.0743,-0.1794,-4.8716,0.2671,0.2803,0.2496
1780491932.156,start,-1.1855,6.0673,-0.1553,-4.7779,0.2747,0.2730,0.2500
1780491932.165,start,-1.2459,6.0176,-0.2027,-4.7171,0.2791,0.2581,0.2500
1780491932.174,start,-1.2913,6.0379,-0.2439,-4.7558,0.2843,0.2746,0.2503
1780491932.183,start,-1.1878,6.1281,-0.1945,-4.8339,0.2969,0.2980,0.2494
1780491932.191,start,-0.9695,6.2647,-0.0494,-4.9068,0.3338,0.2970,0.2481
1780491932.200,start,-0.7679,6.3488,0.0973,-4.9122,0.3633,0.2955,0.2466
1780491932.209,start,-0.7250,6.3495,0.1426,-4.9215,0.3693,0.3064,0.2454
1780491932.218,start,-0.6815,6.3079,0.1734,-4.9307,0.3747,0.3176,0.2436
1780491932.227,start,-0.7197,6.2702,0.1540,-4.8940,0.3827,0.3229,0.2414
1780491932.235,start,-0.7855,6.2571,0.1073,-4.8887,0.3673,0.3237,0.2411
1780491932.245,start,-0.9080,6.2554,0.0226,-4.8902,0.3528,0.3297,0.2408
1780491932.254,start,-1.0013,6.2429,-0.0327,-4.8898,0.3525,0.3369,0.2407
1780491932.263,start,-0.9623,6.2552,-0.0246,-4.9164,0.3428,0.3410,0.2411
1780491932.272,start,-0.8859,6.2943,0.0185,-4.9300,0.3484,0.3504,0.2427
1780491932.280,start,-0.8037,6.3171,0.0863,-4.9334,0.3574,0.3504,0.2431
1780491932.289,start,-0.7818,6.2936,0.1051,-4.9080,0.3529,0.3408,0.2444
1780491932.299,start,-0.7178,6.2689,0.1311,-4.8692,0.3383,0.3387,0.2465
1780491932.309,start,-0.7141,6.2245,0.1297,-4.8322,0.3412,0.3405,0.2477
1780491932.318,start,-0.7314,6.2126,0.1289,-4.8357,0.3368,0.3398,0.2490
1780491932.328,start,-0.8287,6.2473,0.0610,-4.8351,0.3243,0.3448,0.2496
1780491932.337,start,-0.9676,6.2515,-0.0321,-4.8390,0.3133,0.3503,0.2497
1780491932.346,start,-0.8906,6.2704,0.0207,-4.8652,0.3064,0.3617,0.2482
1780491932.355,start,-0.9193,6.3399,0.0016,-4.9213,0.3093,0.3873,0.2466
1780491932.363,start,-0.9576,6.2914,-0.0303,-4.9368,0.2964,0.4032,0.2455
1780491932.372,start,-0.9308,6.2100,-0.0372,-4.8876,0.2945,0.4051,0.2441
1780491932.382,start,-0.6773,6.2051,0.1280,-4.8317,0.3143,0.4020,0.2421
1780491932.390,start,-0.5081,6.2243,0.2409,-4.8136,0.3296,0.4012,0.2419
1780491932.398,start,-0.6025,6.2528,0.2015,-4.8475,0.3115,0.4104,0.2421
1780491932.407,start,-0.8102,6.2827,0.0715,-4.8691,0.3034,0.4228,0.2433
1780491932.416,start,-1.0148,6.2597,-0.0798,-4.8363,0.2855,0.4180,0.2456
1780491932.425,start,-0.9851,6.2559,-0.0829,-4.8329,0.2688,0.4161,0.2481
1780491932.434,start,-0.8211,6.2629,0.0126,-4.8502,0.2907,0.4361,0.2487
1780491932.444,start,-0.7211,6.2630,0.0964,-4.8835,0.3056,0.4536,0.2487
1780491932.453,start,-0.6573,6.2910,0.1312,-4.9175,0.3052,0.4586,0.2498
