timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780491162.299,start,-0.0157,6.6760,0.2182,-4.6508,0.3486,-0.4678,0.2263
1780491162.337,start,-0.0303,6.6669,0.2130,-4.6466,0.3610,-0.4679,0.2262
1780491162.347,start,-0.0245,6.6689,0.2093,-4.6518,0.3517,-0.4678,0.2259
1780491162.356,start,-0.0215,6.6755,0.2209,-4.6539,0.3563,-0.4678,0.2261
1780491162.379,start,-0.0187,6.6733,0.2123,-4.6527,0.3501,-0.4680,0.2260
1780491162.392,start,-0.0292,6.6646,0.2088,-4.6539,0.3540,-0.4679,0.2257
1780491162.401,start,-0.0252,6.6685,0.1982,-4.6540,0.3471,-0.4679,0.2258
1780491162.410,start,-0.0191,6.6798,0.2117,-4.6520,0.3506,-0.4679,0.2260
1780491162.419,start,-0.0142,6.6800,0.2224,-4.6562,0.3537,-0.4677,0.2259
1780491162.428,start,-0.0127,6.6759,0.2107,-4.6583,0.3459,-0.4675,0.2260
1780491162.439,start,-0.0214,6.6754,0.2066,-4.6521,0.3490,-0.4675,0.2258
1780491162.448,start,-0.0279,6.6738,0.2085,-4.6494,0.3537,-0.4677,0.2255
1780491162.461,start,-0.0250,6.6739,0.2007,-4.6518,0.3482,-0.4674,0.2255
1780491162.472,start,-0.0185,6.6785,0.2103,-4.6544,0.3515,-0.4674,0.2256
1780491162.481,start,-0.0184,6.6813,0.2209,-4.6520,0.3533,-0.4675,0.2257
1780491162.490,start,-0.0162,6.6777,0.2095,-4.6513,0.3481,-0.4673,0.2259
1780491162.500,start,-0.0226,6.6696,0.2079,-4.6516,0.3501,-0.4672,0.2259
1780491162.508,start,-0.0211,6.6680,0.2141,-4.6481,0.3522,-0.4672,0.2259
1780491162.517,start,0.0384,6.6614,0.2312,-4.6439,0.3478,-0.4674,0.2260
1780491162.525,start,0.0607,6.6521,0.2439,-4.6399,0.3519,-0.4678,0.2262
1780491162.534,start,0.0987,6.6646,0.2938,-4.6431,0.3533,-0.4687,0.2268
1780491162.541,start,0.0855,6.5998,0.3367,-4.6202,0.3416,-0.4716,0.2280
1780491162.549,start,-0.2236,6.5195,0.2304,-4.5706,0.3155,-0.4801,0.2300
1780491162.554,start,-0.6962,6.8021,0.0014,-4.6417,0.2712,-0.4979,0.2329
1780491162.560,start,-1.0316,6.9988,-0.1734,-4.7403,0.2229,-0.5238,0.2360
1780491162.565,start,-1.2201,7.0904,-0.2402,-4.7851,0.1982,-0.5449,0.2380
1780491162.571,start,-1.2710,6.9636,-0.2123,-4.7042,0.1867,-0.5709,0.2387
1780491162.576,start,-1.3826,6.8472,-0.2279,-4.6115,0.1752,-0.6002,0.2386
1780491162.583,start,-1.4525,6.6726,-0.2478,-4.5343,0.1667,-0.6148,0.2376
1780491162.588,start,-1.5416,6.7406,-0.2428,-4.5646,0.1494,-0.6182,0.2366
1780491162.597,start,-1.5260,6.9524,-0.2400,-4.6624,0.1330,-0.6158,0.2361
1780491162.603,start,-1.6117,7.1210,-0.2937,-4.7693,0.1235,-0.5989,0.2363
1780491162.608,start,-1.6872,6.9129,-0.3047,-4.7345,0.1108,-0.5823,0.2356
1780491162.613,start,-1.5916,6.5653,-0.2663,-4.5810,0.1075,-0.5893,0.2346
1780491162.618,start,-1.4011,6.4505,-0.1755,-4.4416,0.1203,-0.6104,0.2346
1780491162.624,start,-1.2074,6.9271,-0.0403,-4.5704,0.1462,-0.6219,0.2348
1780491162.630,start,-1.2520,7.1500,-0.0353,-4.7567,0.1629,-0.5983,0.2353
1780491162.636,start,-1.4186,7.1121,-0.1067,-4.8129,0.1690,-0.5648,0.2360
1780491162.645,start,-1.4314,7.2067,-0.1313,-4.7936,0.1738,-0.5666,0.2376
1780491162.651,start,-1.3515,7.2284,-0.1084,-4.7419,0.1920,-0.5917,0.2395
1780491162.657,start,-1.0894,6.8926,0.0628,-4.5994,0.2298,-0.5952,0.2400
1780491162.663,start,-0.7945,6.6957,0.2504,-4.5217,0.2583,-0.5794,0.2394
1780491162.673,start,-0.7192,6.6795,0.3103,-4.5406,0.2734,-0.5744,0.2400
1780491162.681,start,-0.7476,6.5639,0.3150,-4.5027,0.2803,-0.5728,0.2421
1780491162.690,start,-0.7416,6.7972,0.3284,-4.5779,0.2790,-0.5649,0.2435
1780491162.698,start,-0.8226,6.9353,0.2792,-4.6696,0.2749,-0.5509,0.2449
1780491162.712,start,-1.0291,6.7754,0.1713,-4.6336,0.2667,-0.5321,0.2463
1780491162.720,start,-1.1492,6.8354,0.0975,-4.6298,0.2558,-0.5231,0.2473
1780491162.728,start,-1.2061,6.8731,0.0320,-4.6483,0.2445,-0.5224,0.2472
1780491162.741,start,-1.1001,6.7062,0.0872,-4.5510,0.2533,-0.5254,0.2464
1780491162.747,start,-0.9095,6.8129,0.2086,-4.5755,0.2644,-0.5291,0.2453
1780491162.760,start,-0.8511,6.7695,0.2413,-4.5761,0.2641,-0.5309,0.2450
1780491162.771,start,-0.8239,6.7066,0.2527,-4.5375,0.2697,-0.5274,0.2442
1780491162.778,start,-0.7354,6.7669,0.3199,-4.5585,0.2803,-0.5253,0.2431
1780491162.789,start,-0.7261,6.7199,0.3239,-4.5873,0.2835,-0.5205,0.2433
1780491162.798,start,-0.8624,6.6954,0.2602,-4.5647,0.2775,-0.5141,0.2437
1780491162.811,start,-0.9815,6.7484,0.1864,-4.5951,0.2668,-0.5120,0.2438
1780491162.820,start,-1.0537,6.7702,0.1152,-4.6290,0.2521,-0.5115,0.2444
1780491162.831,start,-1.0350,6.7500,0.1273,-4.6451,0.2582,-0.4957,0.2449
1780491162.840,start,-0.9144,6.9495,0.2041,-4.7176,0.2687,-0.4873,0.2458
1780491162.848,start,-0.8443,6.9793,0.2443,-4.7301,0.2710,-0.4959,0.2467
1780491162.860,start,-0.7260,6.6918,0.3102,-4.6248,0.2773,-0.5019,0.2462
1780491162.868,start,-0.6623,6.7502,0.3762,-4.6162,0.2932,-0.5054,0.2466
1780491162.879,start,-0.6759,6.8794,0.3765,-4.6473,0.2925,-0.5187,0.2468
1780491162.890,start,-0.8837,6.7904,0.2486,-4.6132,0.2730,-0.5226,0.2467
1780491162.898,start,-1.0919,6.6887,0.1254,-4.5850,0.2522,-0.5108,0.2468
1780491162.909,start,-1.1592,6.8100,0.0622,-4.6381,0.2346,-0.5077,0.2473
1780491162.918,start,-1.1222,6.7372,0.0733,-4.6303,0.2460,-0.5074,0.2481
1780491162.929,start,-0.9832,6.6095,0.1727,-4.5889,0.2704,-0.5011,0.2471
1780491162.940,start,-0.8688,6.8186,0.2505,-4.6442,0.2816,-0.5013,0.2451
1780491162.948,start,-0.6671,6.8548,0.3584,-4.6580,0.2836,-0.5042,0.2439
1780491162.958,start,-0.6340,6.7374,0.3974,-4.6336,0.2981,-0.4941,0.2440
1780491162.969,start,-0.7392,6.9191,0.3602,-4.6903,0.2945,-0.4915,0.2451
1780491162.980,start,-0.9638,6.9653,0.2091,-4.7274,0.2690,-0.4957,0.2462
1780491162.988,start,-1.1540,6.8204,0.0838,-4.6683,0.2459,-0.4929,0.2473
1780491163.002,start,-1.1718,6.7719,0.0583,-4.6348,0.2386,-0.4935,0.2481
1780491163.011,start,-1.1126,6.7404,0.0796,-4.6181,0.2442,-0.5018,0.2483
1780491163.020,start,-0.9750,6.6218,0.1755,-4.5753,0.2541,-0.4985,0.2480
1780491163.028,start,-0.9301,6.7173,0.2054,-4.6176,0.2641,-0.4923,0.2479
1780491163.039,start,-0.7641,6.7818,0.2972,-4.6620,0.2707,-0.5004,0.2478
1780491163.052,start,-0.7119,6.7038,0.3336,-4.5847,0.2805,-0.5135,0.2476
1780491163.060,start,-0.8058,6.7413,0.3019,-4.5599,0.2728,-0.5252,0.2461
1780491163.068,start,-0.9480,6.6396,0.1955,-4.5585,0.2583,-0.5262,0.2458
1780491163.082,start,-1.1423,6.6512,0.0762,-4.5732,0.2412,-0.5201,0.2457
1780491163.091,start,-1.1383,6.7913,0.0710,-4.6187,0.2369,-0.5207,0.2453
1780491163.103,start,-1.0580,6.7417,0.1000,-4.6056,0.2436,-0.5325,0.2449
1780491163.112,start,-0.9448,6.6886,0.1754,-4.5770,0.2497,-0.5384,0.2439
1780491163.120,start,-0.8495,6.7377,0.2205,-4.6555,0.2612,-0.5241,0.2432
1780491163.130,start,-0.6532,6.6790,0.3468,-4.6831,0.2735,-0.5075,0.2422
1780491163.138,start,-0.6433,6.7897,0.3582,-4.6921,0.2770,-0.5132,0.2420
1780491163.148,start,-0.8105,6.8988,0.2766,-4.7066,0.2624,-0.5293,0.2432
1780491163.161,start,-0.9619,6.7758,0.1797,-4.6682,0.2508,-0.5310,0.2448
1780491163.170,start,-1.1072,6.6020,0.0797,-4.6082,0.2300,-0.5266,0.2453
1780491163.178,start,-1.0852,6.8333,0.0779,-4.6597,0.2296,-0.5324,0.2457
1780491163.191,start,-0.9917,6.8947,0.1379,-4.6905,0.2401,-0.5368,0.2461
1780491163.199,start,-0.8968,6.7233,0.1989,-4.6356,0.2434,-0.5343,0.2465
1780491163.212,start,-0.7980,6.8312,0.2472,-4.6465,0.2486,-0.5399,0.2468
1780491163.220,start,-0.6715,6.8023,0.3400,-4.6451,0.2582,-0.5440,0.2464
1780491163.228,start,-0.6699,6.6026,0.3378,-4.6014,0.2587,-0.5327,0.2470
1780491163.238,start,-0.8220,6.6603,0.2606,-4.6136,0.2443,-0.5249,0.2480
1780491163.250,start,-0.9649,6.8554,0.1715,-4.6736,0.2326,-0.5307,0.2490
1780491163.258,start,-1.0631,6.7632,0.0863,-4.6533,0.2142,-0.5292,0.2494
1780491163.271,start,-1.0326,6.7441,0.0949,-4.6567,0.2182,-0.5209,0.2506
1780491163.280,start,-0.9054,6.8810,0.1745,-4.7188,0.2329,-0.5170,0.2505
1780491163.288,start,-0.7871,6.6486,0.2481,-4.6552,0.2450,-0.5100,0.2496
1780491163.301,start,-0.6565,6.7229,0.3267,-4.6494,0.2583,-0.5062,0.2485
1780491163.308,start,-0.5829,6.8771,0.3965,-4.7071,0.2700,-0.5081,0.2491
1780491163.320,start,-0.5960,6.7971,0.3866,-4.7206,0.2702,-0.5002,0.2504
1780491163.327,start,-0.8346,6.8090,0.2494,-4.7145,0.2474,-0.4943,0.2513
1780491163.340,start,-0.9893,6.7770,0.1442,-4.6798,0.2293,-0.5026,0.2519
1780491163.348,start,-0.9957,6.6691,0.1117,-4.6239,0.2190,-0.5121,0.2523
1780491163.360,start,-0.9463,6.7159,0.1400,-4.6171,0.2278,-0.5089,0.2520
1780491163.370,start,-0.8309,6.7662,0.2092,-4.6601,0.2336,-0.5049,0.2512
1780491163.383,start,-0.7721,6.7449,0.2506,-4.6682,0.2432,-0.5048,0.2506
1780491163.387,start,-0.6669,6.7746,0.3183,-4.6450,0.2480,-0.5085,0.2507
1780491163.401,start,-0.6370,6.7271,0.3376,-4.6258,0.2478,-0.5114,0.2514
1780491163.408,start,-0.6564,6.5767,0.3295,-4.6185,0.2450,-0.4978,0.2517
1780491163.420,start,-0.8091,6.6316,0.2451,-4.6799,0.2383,-0.4779,0.2516
1780491163.432,start,-0.9546,6.7808,0.1444,-4.7493,0.2201,-0.4736,0.2519
1780491163.441,start,-0.9889,6.7597,0.1062,-4.7231,0.2064,-0.4822,0.2522
1780491163.447,start,-0.9521,6.8639,0.1306,-4.7239,0.2213,-0.4895,0.2522
1780491163.460,start,-0.8563,6.8377,0.1892,-4.7183,0.2246,-0.4933,0.2511
1780491163.468,start,-0.8168,6.5680,0.2025,-4.6453,0.2242,-0.4853,0.2501
1780491163.481,start,-0.6558,6.7310,0.3083,-4.6721,0.2407,-0.4830,0.2494
1780491163.494,start,-0.6069,6.7746,0.3497,-4.6947,0.2569,-0.4901,0.2493
1780491163.500,start,-0.6653,6.6098,0.3208,-4.6454,0.2381,-0.4912,0.2487
1780491163.508,start,-0.8329,6.6884,0.2063,-4.6728,0.2230,-0.4841,0.2487
1780491163.524,start,-1.0102,6.7424,0.1042,-4.7298,0.2176,-0.4828,0.2489
1780491163.530,start,-0.9916,6.6222,0.0943,-4.6813,0.2060,-0.4800,0.2486
1780491163.537,start,-0.9193,6.6383,0.1125,-4.6525,0.2074,-0.4776,0.2470
1780491163.550,start,-0.8556,6.8194,0.1681,-4.7094,0.2223,-0.4892,0.2459
