timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780489895.116,init,-0.7775,6.6774,0.3094,-4.6349,0.2890,-0.1768,0.2318
1780489895.197,init,-0.7790,6.6821,0.3076,-4.6326,0.2877,-0.1764,0.2320
1780489896.172,init,-0.7844,6.6768,0.3117,-4.6330,0.2903,-0.1770,0.2310
1780489897.718,start,-0.7794,6.6852,0.3072,-4.6339,0.2870,-0.1772,0.2311
1780489897.722,start,-0.7809,6.6853,0.3056,-4.6317,0.2862,-0.1774,0.2313
1780489898.887,start,-0.7826,6.6814,0.3072,-4.6344,0.2885,-0.1765,0.2307
1780489901.051,start,-0.7804,6.6867,0.3116,-4.6266,0.2869,-0.1769,0.2310
1780489901.142,start,-0.7839,6.6849,0.3093,-4.6326,0.2864,-0.1771,0.2315
1780489901.402,start,-0.7772,6.6819,0.3117,-4.6298,0.2874,-0.1772,0.2309
1780489902.232,start,-0.7803,6.6841,0.3088,-4.6324,0.2859,-0.1773,0.2309
1780489903.812,start,-0.7798,6.6797,0.3073,-4.6289,0.2852,-0.1770,0.2313
1780489906.252,start,-0.7885,6.6841,0.3087,-4.6283,0.2863,-0.1765,0.2308
1780489908.457,start,-0.7846,6.6803,0.3037,-4.6313,0.2878,-0.1777,0.2302
1780489908.463,start,-0.7857,6.6856,0.3031,-4.6325,0.2874,-0.1774,0.2306
1780489908.464,start,-0.7857,6.6856,0.3031,-4.6325,0.2874,-0.1774,0.2306
1780489908.464,start,-0.7840,6.6813,0.3020,-4.6288,0.2837,-0.1773,0.2309
1780489908.465,start,-0.7840,6.6813,0.3020,-4.6288,0.2837,-0.1773,0.2309
1780489908.465,start,-0.7863,6.6787,0.3028,-4.6324,0.2878,-0.1767,0.2311
1780489908.466,start,-0.7863,6.6787,0.3028,-4.6324,0.2878,-0.1767,0.2311
1780489908.466,start,-0.7817,6.6798,0.3017,-4.6315,0.2849,-0.1767,0.2312
1780489908.467,start,-0.7802,6.6803,0.3078,-4.6329,0.2886,-0.1769,0.2312
1780489908.467,start,-0.7826,6.6826,0.3050,-4.6305,0.2875,-0.1771,0.2311
