timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780493371.276,init,0.0832,6.1693,0.0749,-4.6064,0.6393,0.5152,0.2482
1780493371.289,init,0.0833,6.1698,0.0678,-4.6036,0.6344,0.5152,0.2482
1780493371.300,init,0.0756,6.1695,0.0598,-4.6088,0.6378,0.5153,0.2482
1780493371.314,start,0.0700,6.1732,0.0610,-4.6097,0.6409,0.5152,0.2482
1780493371.316,start,0.0688,6.1729,0.0485,-4.6044,0.6327,0.5151,0.2484
1780493371.325,start,0.0780,6.1687,0.0615,-4.6075,0.6362,0.5153,0.2484
1780493371.334,start,0.0793,6.1686,0.0777,-4.6091,0.6398,0.5153,0.2482
1780493371.345,start,0.0802,6.1700,0.0626,-4.6058,0.6339,0.5152,0.2483
1780493371.355,start,0.0743,6.1719,0.0608,-4.6094,0.6347,0.5153,0.2483
1780493371.365,start,0.0658,6.1708,0.0607,-4.6101,0.6394,0.5154,0.2483
1780493371.375,start,0.0721,6.1710,0.0564,-4.6070,0.6326,0.5154,0.2483
1780493371.384,start,0.0868,6.1721,0.0769,-4.6071,0.6352,0.5154,0.2482
1780493371.395,start,0.0632,6.1718,0.0891,-4.6105,0.6408,0.5152,0.2480
1780493371.405,start,0.0905,6.1779,0.1369,-4.6077,0.6341,0.5145,0.2481
1780493371.415,start,0.0071,6.1799,0.1601,-4.6087,0.6238,0.5135,0.2484
1780493371.425,start,-0.2507,6.1783,0.0745,-4.6177,0.6035,0.5117,0.2489
1780493371.435,start,-0.6624,6.1718,-0.1485,-4.6224,0.5586,0.5089,0.2495
1780493371.445,start,-0.8520,6.1663,-0.2337,-4.6248,0.5223,0.5038,0.2495
1780493371.455,start,-0.9588,6.1224,-0.2297,-4.6167,0.5029,0.4805,0.2488
1780493371.465,start,-1.0843,6.1344,-0.2473,-4.6929,0.4808,0.4409,0.2456
1780493371.474,start,-1.2186,6.2515,-0.2958,-4.7912,0.4633,0.3908,0.2412
1780493371.485,start,-1.3204,6.3344,-0.3139,-4.8172,0.4444,0.3155,0.2367
1780493371.495,start,-1.3555,6.3283,-0.3228,-4.7799,0.4188,0.2034,0.2325
1780493371.506,start,-1.3018,6.3189,-0.2792,-4.7508,0.3909,0.0866,0.2290
1780493371.515,start,-1.2927,6.3006,-0.2533,-4.7442,0.3818,-0.0022,0.2260
1780493371.525,start,-1.4124,6.3010,-0.3188,-4.7429,0.3606,-0.0630,0.2235
