timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780493023.029,init,-0.1625,6.1269,0.0438,-4.6782,0.3391,-0.0333,0.2067
1780493023.035,init,-0.1613,6.1265,0.0413,-4.6777,0.3340,-0.0333,0.2068
1780493025.172,init,-0.1582,6.1270,0.0426,-4.6717,0.3390,-0.0329,0.2065
1780493025.272,init,-0.1629,6.1288,0.0431,-4.6733,0.3403,-0.0324,0.2063
1780493027.326,init,-0.1601,6.1287,0.0427,-4.6722,0.3381,-0.0323,0.2080
1780493027.403,init,-0.1618,6.1299,0.0415,-4.6724,0.3378,-0.0323,0.2082
1780493027.496,init,-0.1658,6.1248,0.0403,-4.6734,0.3374,-0.0322,0.2078
1780493027.615,start,-0.1601,6.1289,0.0446,-4.6727,0.3429,-0.0319,0.2076
1780493027.893,start,-0.1706,6.1297,0.0308,-4.6727,0.3410,-0.0314,0.2083
1780493027.956,start,-0.1584,6.1333,0.0410,-4.6755,0.3364,-0.0316,0.2086
1780493028.077,start,-0.1612,6.1335,0.0431,-4.6777,0.3359,-0.0313,0.2083
1780493028.121,start,-0.1758,6.1329,0.0239,-4.6721,0.3310,-0.0319,0.2087
1780493028.191,start,-0.1686,6.1287,0.0382,-4.6733,0.3372,-0.0317,0.2088
1780493031.473,start,-0.1670,6.1231,0.0405,-4.6756,0.3356,-0.0310,0.2083
1780493031.669,start,-0.1617,6.1252,0.0423,-4.6739,0.3365,-0.0306,0.2082
1780493031.698,start,-0.1652,6.1310,0.0364,-4.6742,0.3383,-0.0305,0.2085
1780493031.943,start,-0.1660,6.1260,0.0462,-4.6799,0.3415,-0.0306,0.2079
1780493031.975,start,-0.1610,6.1251,0.0505,-4.6804,0.3407,-0.0304,0.2080
1780493031.986,start,-0.1621,6.1269,0.0434,-4.6762,0.3352,-0.0305,0.2080
1780493031.996,start,-0.1644,6.1251,0.0448,-4.6795,0.3374,-0.0306,0.2078
1780493032.005,start,-0.1640,6.1292,0.0416,-4.6770,0.3375,-0.0306,0.2077
1780493032.029,start,-0.1627,6.1286,0.0434,-4.6788,0.3373,-0.0303,0.2079
