timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1781700160.503,init,-0.3771,6.0653,-0.0073,-4.3654,0.0680,0.4137,0.2540
1781700160.511,init,-0.3758,6.0659,-0.0067,-4.3636,0.0681,0.4136,0.2541
1781700160.522,init,-0.3743,6.0672,-0.0056,-4.3647,0.0686,0.4136,0.2540
1781700160.872,init,-0.3735,6.0745,-0.0082,-4.3647,0.0697,0.4136,0.2543
1781700160.874,init,-0.3746,6.0743,-0.0093,-4.3643,0.0696,0.4136,0.2543
1781700160.876,init,-0.3761,6.0708,-0.0104,-4.3633,0.0695,0.4137,0.2544
1781700160.878,init,-0.3786,6.0727,-0.0120,-4.3645,0.0693,0.4136,0.2544
1781700160.931,init,-0.3751,6.0688,-0.0106,-4.3615,0.0697,0.4133,0.2544
1781700161.305,init,-0.3740,6.0757,-0.0102,-4.3637,0.0682,0.4128,0.2542
1781700162.139,init,-0.3712,6.0755,-0.0101,-4.3635,0.0692,0.4127,0.2544
1781700162.594,init,-0.3713,6.0699,-0.0145,-4.3640,0.0692,0.4130,0.2543
1781700167.001,init,-0.3782,6.0798,-0.0094,-4.3631,0.0698,0.4126,0.2534
1781700167.004,init,-0.3805,6.0789,-0.0106,-4.3637,0.0697,0.4125,0.2534
1781700167.007,init,-0.3816,6.0792,-0.0111,-4.3634,0.0694,0.4123,0.2535
1781700169.791,init,-0.3755,6.0757,-0.0066,-4.3579,0.0700,0.4116,0.2532
1781700171.541,init,-0.3739,6.0737,-0.0089,-4.3604,0.0707,0.4128,0.2538
1781700171.544,init,-0.3737,6.0746,-0.0078,-4.3599,0.0705,0.4125,0.2538
1781700171.547,start,-0.3758,6.0754,-0.0083,-4.3605,0.0705,0.4124,0.2539
1781700171.551,start,-0.3758,6.0760,-0.0080,-4.3613,0.0702,0.4122,0.2539
1781700173.906,start,-0.3709,6.0749,-0.0066,-4.3561,0.0708,0.4111,0.2535
1781700175.371,start,-0.3801,6.0808,-0.0131,-4.3596,0.0716,0.4116,0.2541
1781700176.691,start,-0.3769,6.0769,-0.0104,-4.3593,0.0688,0.4105,0.2537
1781700178.402,start,-0.3709,6.0776,-0.0095,-4.3612,0.0695,0.4115,0.2537
1781700178.405,start,-0.3727,6.0801,-0.0107,-4.3635,0.0704,0.4115,0.2535
1781700178.409,start,-0.3717,6.0814,-0.0101,-4.3642,0.0705,0.4114,0.2533
1781700178.413,start,-0.3685,6.0807,-0.0084,-4.3635,0.0706,0.4113,0.2533
1781700178.416,start,-0.3664,6.0798,-0.0067,-4.3623,0.0709,0.4112,0.2534
1781700178.418,start,-0.3680,6.0775,-0.0073,-4.3598,0.0706,0.4112,0.2534
1781700178.421,start,-0.3673,6.0788,-0.0080,-4.3605,0.0704,0.4112,0.2535
1781700178.431,start,-0.3699,6.0815,-0.0098,-4.3620,0.0702,0.4112,0.2536
1781700178.432,start,-0.3722,6.0818,-0.0101,-4.3622,0.0702,0.4112,0.2535
1781700178.433,start,-0.3709,6.0792,-0.0094,-4.3611,0.0704,0.4113,0.2534
1781700178.434,start,-0.3708,6.0753,-0.0092,-4.3595,0.0701,0.4113,0.2533
1781700178.435,start,-0.3711,6.0746,-0.0093,-4.3592,0.0701,0.4113,0.2532
1781700178.435,start,-0.3708,6.0749,-0.0090,-4.3586,0.0707,0.4113,0.2531
1781700178.436,start,-0.3722,6.0775,-0.0095,-4.3599,0.0706,0.4114,0.2532
