timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780487106.220,init,-0.0488,7.7405,0.3738,-5.1266,0.5841,-0.1414,0.2418
1780487106.235,init,-0.0413,7.7508,0.3620,-5.1096,0.5750,-0.1418,0.2426
1780487106.238,init,-0.0396,7.7597,0.3614,-5.0807,0.5681,-0.1426,0.2426
1780487106.245,init,-0.0507,7.7336,0.3657,-5.1068,0.5843,-0.1420,0.2419
1780487106.275,init,-0.0525,7.7323,0.3644,-5.1221,0.5780,-0.1419,0.2419
1780487107.223,init,-0.0491,7.7266,0.3702,-5.1206,0.5781,-0.1411,0.2426
1780487107.358,init,-0.0498,7.7417,0.3650,-5.1282,0.5776,-0.1411,0.2423
1780487114.124,init,-0.0431,7.7615,0.3605,-5.0843,0.5664,-0.1416,0.2430
1780487114.145,start,-0.0515,7.7451,0.3655,-5.1263,0.5753,-0.1407,0.2423
1780487118.723,start,-0.0360,7.7437,0.3599,-5.0890,0.5680,-0.1410,0.2417
1780487120.124,start,-0.0516,7.7576,0.3590,-5.0859,0.5671,-0.1402,0.2419
1780487121.795,start,-0.0561,7.7401,0.3696,-5.1161,0.5831,-0.1398,0.2405
1780487124.637,start,-0.0392,7.7548,0.3615,-5.0889,0.5660,-0.1402,0.2420
1780487124.643,start,-0.0509,7.7421,0.3668,-5.0936,0.5733,-0.1401,0.2416
1780487128.904,start,-0.0457,7.7440,0.3665,-5.0960,0.5715,-0.1392,0.2419
1780487128.906,start,-0.0485,7.7182,0.3709,-5.1331,0.5825,-0.1381,0.2413
1780487128.909,start,-0.0483,7.7424,0.3664,-5.1135,0.5780,-0.1387,0.2419
1780487128.910,start,-0.0389,7.7656,0.3638,-5.0841,0.5693,-0.1395,0.2423
1780487128.913,start,-0.0448,7.7307,0.3642,-5.1164,0.5790,-0.1386,0.2417
1780487128.914,start,-0.0491,7.7131,0.3743,-5.1317,0.5800,-0.1382,0.2415
1780487128.916,start,-0.0347,7.7548,0.3632,-5.0867,0.5733,-0.1392,0.2425
1780487128.917,start,-0.0419,7.7508,0.3633,-5.0890,0.5686,-0.1393,0.2420
1780487128.918,start,-0.0503,7.7147,0.3695,-5.1346,0.5847,-0.1382,0.2413
1780487128.919,start,-0.0522,7.7380,0.3658,-5.1192,0.5763,-0.1386,0.2418
1780487128.919,start,-0.0373,7.7708,0.3614,-5.0792,0.5677,-0.1396,0.2424
1780487128.920,start,-0.0509,7.7335,0.3658,-5.1109,0.5770,-0.1388,0.2418
1780487128.925,start,-0.0535,7.7104,0.3747,-5.1349,0.5795,-0.1381,0.2414
1780487128.935,start,-0.0419,7.7495,0.3629,-5.0900,0.5711,-0.1391,0.2425
1780487128.944,start,-0.0299,7.7592,0.3755,-5.0839,0.5680,-0.1395,0.2422
1780487128.955,start,-0.0054,7.7190,0.3993,-5.1303,0.5832,-0.1383,0.2415
1780487128.964,start,-0.0511,7.7387,0.3925,-5.1221,0.5733,-0.1385,0.2419
1780487128.975,start,-0.0708,7.7728,0.3998,-5.0630,0.5645,-0.1391,0.2426
1780487128.984,start,-0.0343,7.7852,0.4768,-5.0693,0.5653,-0.1371,0.2424
1780487128.995,start,-0.2132,7.6315,0.4513,-4.9999,0.5472,-0.1355,0.2427
1780487129.005,start,-0.6257,7.6702,0.2501,-4.9216,0.4994,-0.1364,0.2451
1780487129.015,start,-1.0850,7.8743,0.0379,-4.9495,0.4469,-0.1366,0.2469
1780487129.025,start,-1.4719,7.9430,-0.1389,-5.0200,0.4158,-0.1374,0.2481
1780487129.034,start,-1.7513,8.0535,-0.2544,-5.1386,0.3806,-0.1398,0.2502
1780487129.044,start,-1.7576,8.2169,-0.2445,-5.1940,0.3541,-0.1421,0.2530
