timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780486500.038,init,-0.0005,7.7276,0.2689,-5.0963,0.5653,0.1554,0.2466
1780486500.047,init,0.0092,7.7117,0.2670,-5.0888,0.5718,0.1555,0.2468
1780486500.051,init,0.0081,7.7222,0.2668,-5.0839,0.5645,0.1552,0.2472
1780486500.056,init,0.0147,7.7693,0.2579,-5.0546,0.5569,0.1545,0.2481
1780486500.060,init,0.0086,7.7502,0.2623,-5.0760,0.5640,0.1551,0.2474
1780486500.069,init,0.0073,7.7175,0.2707,-5.1004,0.5698,0.1557,0.2470
1780486500.074,init,0.0125,7.7412,0.2589,-5.0674,0.5626,0.1549,0.2479
1780486500.081,start,0.0103,7.7561,0.2577,-5.0548,0.5561,0.1547,0.2479
1780486500.086,start,0.0049,7.7154,0.2627,-5.0884,0.5714,0.1556,0.2472
1780486500.091,start,0.0045,7.7272,0.2669,-5.0944,0.5653,0.1557,0.2474
1780486500.096,start,0.0179,7.7707,0.2589,-5.0594,0.5580,0.1547,0.2483
1780486500.100,start,0.0122,7.7541,0.2633,-5.0722,0.5621,0.1550,0.2478
1780486500.113,start,0.0069,7.7130,0.2712,-5.0989,0.5714,0.1557,0.2474
1780486500.114,start,0.0091,7.7360,0.2612,-5.0717,0.5631,0.1551,0.2483
1780486500.115,start,0.0089,7.7646,0.2576,-5.0536,0.5553,0.1544,0.2484
1780486500.116,start,0.0038,7.7284,0.2626,-5.0856,0.5695,0.1551,0.2475
1780486500.117,start,0.0023,7.7266,0.2690,-5.0985,0.5650,0.1553,0.2476
1780486500.119,start,0.0124,7.7671,0.2590,-5.0611,0.5582,0.1543,0.2484
1780486500.124,start,0.0089,7.7559,0.2635,-5.0681,0.5591,0.1545,0.2479
1780486500.132,start,0.0063,7.7130,0.2714,-5.0988,0.5719,0.1552,0.2472
1780486500.142,start,0.0104,7.7271,0.2657,-5.0762,0.5641,0.1546,0.2478
1780486500.152,start,0.0136,7.7628,0.2610,-5.0530,0.5561,0.1540,0.2482
1780486500.163,start,0.0224,7.7353,0.2763,-5.0833,0.5683,0.1548,0.2476
1780486500.173,start,0.0402,7.7255,0.3009,-5.1003,0.5668,0.1552,0.2475
1780486500.183,start,0.0026,7.7528,0.2878,-5.0583,0.5582,0.1545,0.2486
1780486500.193,start,-0.0390,7.7602,0.3042,-5.0561,0.5531,0.1548,0.2484
1780486500.203,start,0.0338,7.7424,0.4042,-5.0803,0.5630,0.1553,0.2479
1780486500.213,start,-0.1780,7.6947,0.3479,-5.0357,0.5309,0.1551,0.2493
