timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1781010270.524,init,0.4011,6.2666,0.4433,-4.4137,0.2790,0.1740,0.2914
1781010270.534,init,0.4092,6.2562,0.4461,-4.4122,0.2759,0.1741,0.2914
1781010270.538,init,0.4179,6.2505,0.4471,-4.4115,0.2654,0.1741,0.2911
1781010270.546,start,0.4164,6.2549,0.4587,-4.4106,0.2731,0.1739,0.2911
1781010270.555,start,0.4120,6.2586,0.4518,-4.4101,0.2807,0.1739,0.2913
1781010270.593,start,0.4095,6.2517,0.4403,-4.4088,0.2698,0.1738,0.2912
1781010270.598,start,0.4092,6.2502,0.4373,-4.4042,0.2710,0.1738,0.2915
1781010270.601,start,0.4069,6.2550,0.4447,-4.4050,0.2671,0.1737,0.2917
1781010270.604,start,0.4047,6.2595,0.4262,-4.4128,0.2632,0.1739,0.2918
1781010270.622,start,0.4008,6.2669,0.4324,-4.4155,0.2736,0.1741,0.2918
1781010270.624,start,0.4040,6.2643,0.4528,-4.4126,0.2799,0.1741,0.2917
1781010270.637,start,0.4164,6.2544,0.4493,-4.4115,0.2701,0.1743,0.2915
1781010270.640,start,0.4187,6.2513,0.4566,-4.4107,0.2676,0.1745,0.2910
1781010270.645,start,0.4119,6.2551,0.4573,-4.4094,0.2813,0.1745,0.2913
1781010270.656,start,0.4079,6.2559,0.4493,-4.4097,0.2768,0.1745,0.2913
1781010270.665,start,0.4068,6.2549,0.4387,-4.4101,0.2713,0.1746,0.2915
1781010270.693,start,0.4052,6.2524,0.4452,-4.4049,0.2723,0.1743,0.2916
1781010270.702,start,0.4018,6.2559,0.4391,-4.4074,0.2654,0.1742,0.2915
1781010270.706,start,0.4003,6.2591,0.4225,-4.4120,0.2684,0.1742,0.2916
1781010270.709,start,0.3979,6.2669,0.4444,-4.4146,0.2781,0.1741,0.2914
1781010270.728,start,0.4105,6.2638,0.4528,-4.4140,0.2767,0.1742,0.2913
1781010270.733,start,0.4182,6.2532,0.4525,-4.4112,0.2652,0.1742,0.2910
1781010270.735,start,0.4157,6.2546,0.4610,-4.4098,0.2720,0.1743,0.2910
1781010270.773,start,0.4104,6.2571,0.4548,-4.4092,0.2816,0.1743,0.2913
1781010270.776,start,0.4083,6.2559,0.4436,-4.4107,0.2707,0.1742,0.2913
1781010270.778,start,0.4084,6.2546,0.4394,-4.4069,0.2706,0.1742,0.2914
1781010270.780,start,0.4051,6.2539,0.4486,-4.4042,0.2679,0.1743,0.2914
1781010270.785,start,0.4025,6.2570,0.4303,-4.4088,0.2643,0.1742,0.2914
1781010270.795,start,0.3992,6.2658,0.4342,-4.4122,0.2729,0.1742,0.2913
1781010270.903,start,0.4026,6.2697,0.4543,-4.4131,0.2797,0.1742,0.2912
1781010270.905,start,0.4152,6.2582,0.4511,-4.4113,0.2706,0.1743,0.2910
