timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780486003.773,init,-0.0323,7.7594,0.2351,-5.0812,0.5741,-0.0622,0.2459
1780486003.782,init,-0.0323,7.7726,0.2282,-5.0709,0.5663,-0.0627,0.2456
1780486003.792,init,-0.0385,7.7552,0.2217,-5.0761,0.5647,-0.0626,0.2456
1780486004.100,init,-0.0471,7.7609,0.2130,-5.0765,0.5663,-0.0626,0.2463
1780486011.329,init,-0.0406,7.7589,0.2304,-5.0714,0.5651,-0.0608,0.2457
1780486019.127,start,-0.0436,7.7659,0.2165,-5.0690,0.5593,-0.0612,0.2466
1780486019.694,start,-0.0808,7.7505,0.1964,-5.0745,0.5668,-0.0609,0.2466
1780486020.056,start,-0.0505,7.7568,0.2129,-5.0625,0.5673,-0.0605,0.2460
1780486020.059,start,-0.0510,7.7557,0.2078,-5.0596,0.5669,-0.0606,0.2461
1780486020.064,start,-0.0475,7.7398,0.2162,-5.0725,0.5707,-0.0605,0.2460
1780486020.070,start,-0.0405,7.7455,0.2266,-5.0723,0.5715,-0.0606,0.2460
1780486024.801,start,-0.0652,7.7411,0.2090,-5.0729,0.5695,-0.0614,0.2464
1780486025.432,start,-0.0521,7.7492,0.2253,-5.0771,0.5666,-0.0605,0.2464
1780486025.433,start,-0.0528,7.7508,0.2166,-5.0700,0.5692,-0.0605,0.2466
1780486025.434,start,-0.0556,7.7539,0.2150,-5.0566,0.5671,-0.0609,0.2466
1780486025.435,start,-0.0539,7.7442,0.2134,-5.0647,0.5707,-0.0609,0.2466
1780486025.436,start,-0.0450,7.7406,0.2279,-5.0742,0.5724,-0.0608,0.2467
1780486025.437,start,-0.0370,7.7596,0.2293,-5.0664,0.5700,-0.0611,0.2470
1780486025.438,start,-0.0393,7.7629,0.2252,-5.0640,0.5606,-0.0613,0.2470
1780486025.439,start,-0.0516,7.7465,0.2100,-5.0757,0.5657,-0.0609,0.2467
1780486025.441,start,-0.0683,7.7492,0.2101,-5.0744,0.5698,-0.0610,0.2465
1780486025.442,start,-0.0653,7.7595,0.2011,-5.0594,0.5671,-0.0612,0.2467
1780486025.443,start,-0.0559,7.7502,0.2173,-5.0671,0.5671,-0.0611,0.2467
1780486025.451,start,-0.0397,7.7469,0.2348,-5.0818,0.5766,-0.0608,0.2467
1780486025.462,start,-0.0346,7.7613,0.2392,-5.0731,0.5717,-0.0612,0.2467
1780486025.471,start,-0.0371,7.7708,0.2288,-5.0689,0.5669,-0.0617,0.2464
1780486025.482,start,-0.0236,7.7595,0.2375,-5.0816,0.5661,-0.0614,0.2463
1780486025.491,start,-0.0099,7.7456,0.2443,-5.0730,0.5694,-0.0615,0.2464
1780486025.501,start,-0.0668,7.7363,0.2395,-5.0488,0.5650,-0.0618,0.2465
1780486025.511,start,-0.0936,7.7466,0.2523,-5.0504,0.5644,-0.0615,0.2468
1780486025.521,start,0.0030,7.7700,0.3601,-5.0651,0.5630,-0.0613,0.2470
