timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780484607.154,init,0.0464,7.7502,0.2620,-5.0649,0.3956,-0.1574,0.2494
1780484607.158,init,0.0393,7.7606,0.2675,-5.0748,0.4033,-0.1577,0.2492
1780484607.167,init,0.0514,7.7592,0.2652,-5.0688,0.4029,-0.1578,0.2494
1780484607.193,init,0.0475,7.7504,0.2793,-5.0686,0.4115,-0.1578,0.2494
1780484607.196,init,0.0430,7.7421,0.2708,-5.0675,0.4093,-0.1578,0.2494
1780484607.260,init,0.0338,7.7478,0.2528,-5.0642,0.3965,-0.1579,0.2494
1780484607.263,init,0.0309,7.7542,0.2559,-5.0687,0.4058,-0.1579,0.2493
1780484607.517,start,0.0385,7.7731,0.2499,-5.0696,0.3968,-0.1579,0.2500
1780484607.521,start,0.0465,7.7651,0.2689,-5.0716,0.4059,-0.1577,0.2500
1780484608.159,start,0.0319,7.7602,0.2570,-5.0705,0.4092,-0.1564,0.2498
1780484608.166,start,0.0425,7.7706,0.2496,-5.0708,0.3964,-0.1563,0.2501
1780484611.736,start,0.0494,7.7509,0.2847,-5.0695,0.4138,-0.1564,0.2500
1780484614.310,start,0.0595,7.7553,0.2818,-5.0661,0.4136,-0.1559,0.2497
1780484614.316,start,0.0592,7.7526,0.2803,-5.0657,0.4110,-0.1559,0.2497
1780484614.319,start,0.0457,7.7483,0.2686,-5.0698,0.4085,-0.1558,0.2497
1780484614.321,start,0.0315,7.7513,0.2557,-5.0671,0.4065,-0.1557,0.2496
1780484614.325,start,0.0283,7.7547,0.2502,-5.0631,0.4011,-0.1558,0.2496
1780484614.327,start,0.0401,7.7506,0.2553,-5.0670,0.3979,-0.1557,0.2497
1780484614.330,start,0.0459,7.7485,0.2607,-5.0654,0.3988,-0.1556,0.2495
1780484614.332,start,0.0476,7.7547,0.2660,-5.0659,0.4124,-0.1557,0.2493
1780484614.335,start,0.0435,7.7596,0.2712,-5.0707,0.4165,-0.1559,0.2491
1780484614.337,start,0.0487,7.7599,0.2617,-5.0713,0.4077,-0.1559,0.2493
1780484614.343,start,0.0515,7.7528,0.2648,-5.0680,0.4037,-0.1563,0.2494
1780484614.346,start,0.0516,7.7499,0.2666,-5.0640,0.4087,-0.1563,0.2495
1780484614.348,start,0.0456,7.7481,0.2626,-5.0687,0.4016,-0.1564,0.2494
1780484614.350,start,0.0494,7.7577,0.2582,-5.0693,0.3965,-0.1563,0.2491
1780484614.357,start,0.0505,7.7622,0.2678,-5.0691,0.4085,-0.1563,0.2492
1780484614.367,start,0.0519,7.7572,0.2786,-5.0686,0.4185,-0.1563,0.2493
1780484614.376,start,0.0505,7.7530,0.2705,-5.0658,0.4069,-0.1561,0.2493
1780484614.387,start,0.0814,7.7501,0.2784,-5.0630,0.4045,-0.1561,0.2492
1780484614.397,start,0.0541,7.7486,0.2856,-5.0571,0.4088,-0.1560,0.2492
1780484614.407,start,0.0890,7.7679,0.3154,-5.0535,0.3979,-0.1560,0.2495
1780484614.417,start,0.1319,7.7975,0.3874,-5.0474,0.3811,-0.1557,0.2496
1780484614.427,start,-0.1108,7.7328,0.3394,-4.9977,0.3722,-0.1543,0.2504
1780484614.437,start,-0.6072,7.7765,0.1362,-4.9361,0.3298,-0.1526,0.2520
1780484614.446,start,-1.0949,7.8628,-0.1182,-4.9056,0.2606,-0.1519,0.2545
1780484614.456,start,-1.3584,7.8788,-0.2264,-4.9216,0.2195,-0.1539,0.2567
1780484614.466,start,-1.5327,7.8651,-0.2749,-5.0295,0.2059,-0.1558,0.2581
1780484614.476,start,-1.6111,8.0984,-0.2627,-5.1314,0.1854,-0.1588,0.2594
1780484614.486,start,-1.7763,8.3195,-0.3127,-5.2165,0.1553,-0.1582,0.2605
1780484614.496,start,-1.7857,8.4279,-0.2981,-5.1720,0.1465,-0.1570,0.2622
1780484614.506,start,-1.7966,8.3121,-0.2765,-5.1186,0.1447,-0.1586,0.2645
1780484614.516,start,-1.8079,7.9345,-0.2768,-4.9631,0.1276,-0.1691,0.2674
1780484614.526,start,-1.8473,7.7338,-0.3131,-4.8962,0.1175,-0.2061,0.2699
1780484614.536,start,-1.9393,8.0037,-0.3478,-4.9526,0.1160,-0.2806,0.2719
1780484614.546,start,-1.9230,8.0404,-0.3448,-4.9516,0.1121,-0.3604,0.2731
1780484614.556,start,-1.8585,8.0400,-0.3017,-4.9508,0.1086,-0.4231,0.2729
1780484614.566,start,-1.8103,7.9778,-0.2705,-5.0365,0.1364,-0.4462,0.2723
1780484614.576,start,-1.5127,8.0676,-0.0950,-5.0712,0.1751,-0.4632,0.2711
1780484614.586,start,-1.3484,7.7988,-0.0094,-4.8826,0.1920,-0.5137,0.2703
1780484614.596,start,-1.3485,7.6397,0.0139,-4.8331,0.2152,-0.5483,0.2703
1780484614.607,start,-1.2416,7.7821,0.0832,-4.9613,0.2523,-0.5416,0.2705
1780484614.616,start,-1.1735,7.6458,0.1329,-4.9091,0.2705,-0.5372,0.2700
1780484614.627,start,-1.1066,7.7910,0.1842,-4.9653,0.2832,-0.5341,0.2695
1780484614.636,start,-1.0880,7.7436,0.2004,-4.9836,0.2934,-0.5072,0.2685
1780484614.647,start,-1.0797,7.8151,0.2086,-5.0289,0.2972,-0.4939,0.2673
1780484614.656,start,-1.1063,7.5954,0.1842,-5.0177,0.2876,-0.4861,0.2670
1780484614.666,start,-0.9507,7.8986,0.2557,-5.0750,0.2884,-0.4857,0.2673
1780484614.677,start,-0.9359,7.7148,0.2726,-4.9781,0.2904,-0.5111,0.2676
1780484614.686,start,-1.0479,7.7924,0.2358,-4.9999,0.2938,-0.5281,0.2685
1780484614.696,start,-1.0270,7.7028,0.2364,-4.9964,0.2866,-0.5262,0.2678
1780484614.706,start,-1.1558,7.6333,0.1643,-4.9563,0.2838,-0.5322,0.2664
1780484614.716,start,-1.1263,7.7646,0.1957,-5.0178,0.3028,-0.5240,0.2652
1780484614.726,start,-1.0289,7.8994,0.2376,-5.0807,0.3002,-0.5095,0.2637
1780484614.736,start,-0.9661,7.9342,0.2507,-5.0788,0.2779,-0.5161,0.2630
1780484614.746,start,-0.9692,7.7814,0.2466,-5.0573,0.2733,-0.5196,0.2640
1780484614.756,start,-0.8233,7.8190,0.3345,-5.0420,0.2806,-0.5296,0.2638
1780484614.766,start,-0.8453,7.7456,0.3158,-4.9871,0.2692,-0.5556,0.2640
1780484614.777,start,-0.9970,7.9025,0.2559,-5.0923,0.2708,-0.5475,0.2649
1780484614.786,start,-1.0157,7.8789,0.2611,-5.1088,0.2925,-0.5237,0.2646
1780484614.796,start,-1.0603,7.8170,0.2288,-5.0330,0.2868,-0.5271,0.2638
1780484614.806,start,-1.0358,7.5879,0.2218,-4.9614,0.2738,-0.5181,0.2636
1780484614.816,start,-0.9785,7.6639,0.2554,-4.9638,0.2762,-0.5143,0.2623
1780484614.826,start,-0.9539,7.4860,0.2735,-4.8787,0.2697,-0.5388,0.2622
1780484614.837,start,-0.9307,7.5629,0.2617,-4.8897,0.2533,-0.5534,0.2640
1780484614.846,start,-0.8589,7.6765,0.3081,-4.9339,0.2586,-0.5597,0.2631
1780484614.856,start,-0.8759,7.5998,0.3281,-4.9427,0.2865,-0.5605,0.2623
1780484614.867,start,-1.0015,7.7161,0.2862,-5.0064,0.2871,-0.5410,0.2621
1780484614.877,start,-1.0470,7.4646,0.2415,-4.9381,0.2669,-0.5224,0.2611
1780484614.886,start,-1.1151,7.8235,0.1974,-5.0997,0.2625,-0.5146,0.2604
1780484614.897,start,-1.1167,7.9102,0.2005,-5.1690,0.2698,-0.5010,0.2609
1780484614.907,start,-1.0374,7.9894,0.2255,-5.1374,0.2556,-0.5142,0.2601
1780484614.918,start,-0.9715,7.7061,0.2508,-5.0540,0.2459,-0.5324,0.2597
1780484614.927,start,-0.8668,7.5979,0.3048,-4.9911,0.2617,-0.5314,0.2597
1780484614.936,start,-0.7858,7.5300,0.3693,-4.9336,0.2768,-0.5424,0.2584
1780484614.947,start,-0.7998,7.6658,0.3618,-4.9823,0.2759,-0.5443,0.2578
1780484614.956,start,-0.9458,7.7600,0.2931,-5.0635,0.2744,-0.5231,0.2574
1780484614.966,start,-1.0468,7.8217,0.2541,-5.0932,0.2755,-0.5188,0.2564
1780484614.976,start,-1.0665,7.7838,0.2242,-5.0845,0.2638,-0.5171,0.2570
1780484614.986,start,-1.0626,7.8032,0.2191,-5.0906,0.2501,-0.5061,0.2576
1780484614.996,start,-0.9855,7.6846,0.2583,-5.0167,0.2439,-0.5094,0.2571
1780484615.006,start,-0.9728,7.7060,0.2749,-5.0491,0.2495,-0.5081,0.2570
1780484615.016,start,-0.8872,7.6711,0.3222,-5.0532,0.2637,-0.4965,0.2571
1780484615.026,start,-0.8493,7.5959,0.3508,-4.9694,0.2660,-0.5015,0.2564
1780484615.036,start,-0.8210,7.6774,0.3695,-5.0537,0.2733,-0.4977,0.2573
1780484615.046,start,-0.9206,7.6127,0.3285,-5.0832,0.2794,-0.4741,0.2574
1780484615.056,start,-1.0759,7.7404,0.2541,-5.0329,0.2668,-0.4797,0.2571
1780484615.066,start,-1.1317,7.5076,0.2086,-4.9549,0.2478,-0.4900,0.2577
1780484615.076,start,-1.1391,7.6384,0.2035,-5.0059,0.2415,-0.4823,0.2578
1780484615.088,start,-1.0729,7.4171,0.2282,-4.8957,0.2383,-0.4966,0.2577
1780484615.097,start,-1.0694,7.4688,0.2345,-4.9077,0.2417,-0.5072,0.2591
1780484615.107,start,-0.9148,7.6155,0.3144,-4.9802,0.2483,-0.5028,0.2592
1780484615.116,start,-0.8360,7.6342,0.3531,-4.9821,0.2613,-0.5089,0.2591
1780484615.126,start,-0.8915,7.7896,0.3599,-5.0836,0.2766,-0.5011,0.2598
1780484615.136,start,-0.9975,7.6760,0.3075,-5.0609,0.2749,-0.4856,0.2602
1780484615.146,start,-1.1455,7.6376,0.2250,-5.0223,0.2520,-0.4934,0.2608
1780484615.156,start,-1.1843,7.5473,0.1865,-5.0354,0.2376,-0.4904,0.2623
1780484615.166,start,-1.1934,7.7379,0.1831,-5.0627,0.2474,-0.4903,0.2622
1780484615.176,start,-1.1428,7.6368,0.2116,-5.0418,0.2430,-0.5061,0.2618
1780484615.186,start,-1.0894,7.7414,0.2171,-5.1050,0.2293,-0.4956,0.2625
1780484615.196,start,-0.8984,7.6921,0.3216,-5.0840,0.2412,-0.4847,0.2620
1780484615.206,start,-0.8461,7.7488,0.3676,-5.0937,0.2650,-0.4925,0.2616
1780484615.216,start,-0.8971,7.6402,0.3623,-5.0785,0.2665,-0.4777,0.2623
1780484615.226,start,-0.9289,7.6193,0.3321,-5.0859,0.2572,-0.4662,0.2622
1780484615.236,start,-1.0908,7.4672,0.2435,-5.0400,0.2565,-0.4711,0.2632
1780484615.246,start,-1.1199,7.6447,0.2333,-5.0789,0.2549,-0.4705,0.2644
1780484615.256,start,-1.1006,7.6235,0.2187,-5.0596,0.2345,-0.4798,0.2642
1780484615.266,start,-1.0312,7.5722,0.2410,-5.0143,0.2211,-0.4964,0.2644
1780484615.276,start,-0.9889,7.6289,0.2674,-5.0843,0.2310,-0.4904,0.2644
1780484615.286,start,-0.8109,7.4778,0.3730,-5.0219,0.2423,-0.4837,0.2628
1780484615.296,start,-0.7498,7.6029,0.4059,-5.0716,0.2485,-0.4856,0.2626
1780484615.306,start,-0.8739,7.4627,0.3622,-5.0818,0.2563,-0.4668,0.2630
1780484615.316,start,-0.9458,7.6861,0.3331,-5.0893,0.2647,-0.4636,0.2622
1780484615.326,start,-1.0563,7.5395,0.2584,-5.0037,0.2569,-0.4858,0.2627
