timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780487659.836,init,0.0889,7.7081,0.2685,-5.1208,0.5608,-0.4886,0.2471
1780487659.925,init,0.1057,7.6957,0.2820,-5.1208,0.5580,-0.4886,0.2474
1780487660.388,init,0.0947,7.7008,0.2659,-5.1182,0.5582,-0.4896,0.2471
1780487660.393,init,0.0865,7.6849,0.2804,-5.1219,0.5504,-0.4896,0.2466
1780487661.205,init,0.0752,7.6998,0.2821,-5.1267,0.5562,-0.4898,0.2462
1780487661.211,start,0.1017,7.7033,0.2713,-5.1213,0.5592,-0.4896,0.2472
1780487661.269,start,0.0995,7.6924,0.2825,-5.1257,0.5534,-0.4900,0.2471
1780487661.272,start,0.0859,7.6899,0.2652,-5.1224,0.5590,-0.4899,0.2469
1780487664.024,start,0.0923,7.6863,0.2807,-5.1268,0.5726,-0.4933,0.2463
1780487675.464,start,0.0616,7.6927,0.2645,-5.1162,0.5622,-0.5065,0.2466
1780487675.467,start,0.0691,7.7029,0.2861,-5.1228,0.5678,-0.5067,0.2459
1780487675.473,start,0.0485,7.7160,0.2637,-5.1236,0.5629,-0.5068,0.2465
1780487675.475,start,0.0885,7.7139,0.2864,-5.1242,0.5646,-0.5067,0.2470
1780487675.476,start,0.0533,7.6989,0.2688,-5.1200,0.5596,-0.5067,0.2468
1780487675.477,start,0.0767,7.7051,0.2778,-5.1217,0.5731,-0.5067,0.2464
1780487675.477,start,0.0416,7.7126,0.2729,-5.1236,0.5620,-0.5070,0.2464
1780487675.478,start,0.0914,7.7154,0.2789,-5.1228,0.5687,-0.5068,0.2472
1780487675.479,start,0.0570,7.6994,0.2805,-5.1229,0.5574,-0.5071,0.2467
1780487675.480,start,0.0761,7.7031,0.2690,-5.1198,0.5722,-0.5068,0.2466
1780487675.480,start,0.0432,7.7065,0.2823,-5.1259,0.5609,-0.5074,0.2464
1780487675.484,start,0.0793,7.7116,0.2671,-5.1194,0.5676,-0.5070,0.2473
1780487675.495,start,0.0626,7.6942,0.2856,-5.1228,0.5565,-0.5072,0.2470
1780487675.504,start,0.0709,7.6999,0.2635,-5.1192,0.5677,-0.5069,0.2470
1780487675.514,start,0.0585,7.7050,0.2894,-5.1258,0.5639,-0.5071,0.2464
1780487675.524,start,0.0735,7.7200,0.2679,-5.1232,0.5661,-0.5069,0.2473
1780487675.534,start,0.0966,7.7087,0.3040,-5.1255,0.5611,-0.5071,0.2473
1780487675.544,start,0.0838,7.7021,0.2828,-5.1185,0.5639,-0.5069,0.2471
1780487675.555,start,0.0836,7.7128,0.3097,-5.1215,0.5701,-0.5068,0.2464
1780487675.564,start,0.1607,7.7323,0.3613,-5.1145,0.5654,-0.5071,0.2468
