timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1779806392.753,init,-0.8369,8.3711,0.0507,-5.8069,0.4030,0.0047,0.2166
1779806392.765,init,-0.8375,8.3658,0.0486,-5.8198,0.4078,0.0052,0.2178
1779806392.824,init,-0.8362,8.3696,0.0525,-5.8091,0.3984,0.0079,0.2159
1779806392.830,init,-0.8461,8.3554,0.0431,-5.8178,0.4086,0.0031,0.2175
1779806392.855,init,-0.8490,8.3576,0.0461,-5.8142,0.3955,0.0124,0.2156
1779806392.871,init,-0.8428,8.3484,0.0442,-5.8080,0.4065,0.0043,0.2173
1779806392.913,init,-0.8441,8.3605,0.0473,-5.8158,0.4005,0.0115,0.2168
1779806392.936,start,-0.8407,8.3648,0.0475,-5.8184,0.4069,0.0059,0.2182
1779806392.953,start,-0.8498,8.3555,0.0475,-5.8142,0.3960,0.0113,0.2160
1779806392.960,start,-0.8479,8.3417,0.0439,-5.8098,0.4073,0.0035,0.2176
1779806392.962,start,-0.8472,8.3525,0.0478,-5.8169,0.3993,0.0117,0.2167
1779806392.963,start,-0.8408,8.3594,0.0510,-5.8057,0.4039,0.0043,0.2169
1779806392.963,start,-0.8422,8.3647,0.0489,-5.8201,0.4067,0.0066,0.2180
1779806392.963,start,-0.8383,8.3707,0.0541,-5.8078,0.3992,0.0071,0.2166
1779806392.964,start,-0.8439,8.3553,0.0489,-5.8180,0.4085,0.0035,0.2181
1779806392.964,start,-0.8445,8.3577,0.0535,-5.8122,0.3963,0.0115,0.2162
1779806392.965,start,-0.8450,8.3436,0.0481,-5.8099,0.4079,0.0039,0.2178
1779806392.965,start,-0.8525,8.3576,0.0475,-5.8162,0.3982,0.0127,0.2165
1779806392.967,start,-0.8476,8.3563,0.0470,-5.8057,0.4041,0.0049,0.2169
1779806392.971,start,-0.8470,8.3592,0.0467,-5.8189,0.4064,0.0080,0.2178
1779806392.982,start,-0.8392,8.3645,0.0537,-5.8047,0.4009,0.0066,0.2166
1779806392.992,start,-0.8423,8.3542,0.0491,-5.8167,0.4096,0.0032,0.2182
1779806393.001,start,-0.8440,8.3562,0.0546,-5.8107,0.3972,0.0106,0.2162
1779806393.011,start,-0.8415,8.3418,0.0519,-5.8093,0.4086,0.0032,0.2180
1779806393.022,start,-0.8400,8.3540,0.0624,-5.8150,0.3975,0.0110,0.2162
1779806393.032,start,-0.7990,8.3479,0.0977,-5.7994,0.4030,-0.0004,0.2152
1779806393.042,start,-0.7916,8.3545,0.1488,-5.8190,0.3948,-0.0024,0.2127
1779806393.052,start,-0.9966,8.3713,0.0815,-5.8046,0.3600,-0.0224,0.2081
1779806393.061,start,-1.3640,8.3280,-0.1289,-5.8114,0.3151,-0.0888,0.2066
1779806393.071,start,-1.5271,8.3418,-0.2238,-5.7693,0.2568,-0.1495,0.2020
1779806393.081,start,-1.5671,8.4808,-0.2438,-5.8518,0.2375,-0.2159,0.2020
1779806393.092,start,-1.6819,8.6907,-0.2961,-5.9947,0.1959,-0.2062,0.1992
1779806393.102,start,-1.7660,8.7502,-0.3776,-6.0410,0.1785,-0.2294,0.1991
1779806393.112,start,-1.7068,8.7859,-0.3484,-6.1207,0.1712,-0.2136,0.1993
1779806393.121,start,-1.6674,8.6449,-0.3218,-6.0637,0.1753,-0.2060,0.1982
1779806393.132,start,-1.6674,8.6449,-0.3218,-6.0637,0.1753,-0.2060,0.1982
1779806393.142,start,-1.7871,8.6741,-0.4218,-6.1092,0.1348,-0.1912,0.2002
1779806393.152,start,-1.8085,8.6768,-0.4599,-6.0657,0.1248,-0.2331,0.2032
1779806393.162,start,-1.8413,8.7940,-0.4787,-6.0389,0.1009,-0.2217,0.2025
1779806393.171,start,-1.7684,8.7014,-0.4606,-6.0334,0.1042,-0.2365,0.2039
1779806393.182,start,-1.6947,8.5640,-0.4406,-5.9993,0.1074,-0.2126,0.2048
1779806393.192,start,-1.5988,8.4707,-0.3890,-5.8886,0.1418,-0.2203,0.2054
1779806393.202,start,-1.5591,8.2452,-0.3679,-5.8464,0.1813,-0.2354,0.2090
1779806393.212,start,-1.5591,8.2452,-0.3679,-5.8464,0.1813,-0.2354,0.2090
1779806393.223,start,-1.3937,8.4331,-0.2964,-5.8860,0.1920,-0.2238,0.2081
1779806393.231,start,-0.8964,8.4482,0.0071,-5.9241,0.2635,-0.2004,0.2067
1779806393.241,start,-0.8526,8.8390,0.1385,-6.1073,0.3055,-0.2466,0.2058
1779806393.251,start,-1.8173,8.0199,-0.4342,-5.6856,0.2586,-0.2643,0.2048
1779806393.262,start,-1.5304,8.1859,-0.2865,-5.7152,0.2658,-0.2703,0.2043
1779806393.272,start,-1.4773,8.6141,-0.3302,-5.9852,0.2644,-0.2674,0.2063
1779806393.281,start,-1.1381,8.7936,-0.0659,-6.0318,0.2980,-0.2661,0.2043
1779806393.292,start,-0.8551,8.5616,0.0821,-5.9145,0.3975,-0.3059,0.2069
1779806393.301,start,-0.5154,8.3237,0.3168,-5.7611,0.4475,-0.3016,0.2039
1779806393.312,start,-0.4852,8.2730,0.3248,-5.6597,0.4960,-0.3139,0.2030
1779806393.321,start,-0.6816,8.2318,0.2096,-5.6891,0.5136,-0.2837,0.2008
1779806393.331,start,-0.8196,8.0628,0.1276,-5.5859,0.4978,-0.3199,0.1991
1779806393.341,start,-0.9653,8.1149,-0.0236,-5.6432,0.4529,-0.3319,0.1992
1779806393.352,start,-0.9410,8.4307,-0.0250,-5.7310,0.4159,-0.3209,0.1968
1779806393.362,start,-0.9949,8.6156,-0.0440,-5.9027,0.4365,-0.3121,0.2004
1779806393.372,start,-1.0106,8.7275,-0.0557,-5.9621,0.4390,-0.2534,0.2013
1779806393.381,start,-1.0158,8.5763,-0.0618,-5.9337,0.4530,-0.2498,0.2044
1779806393.391,start,-0.9158,8.2237,-0.0238,-5.8100,0.4584,-0.2136,0.2049
1779806393.402,start,-0.7601,8.1485,0.0674,-5.7771,0.4829,-0.2277,0.2053
1779806393.412,start,-0.8169,8.4004,0.0452,-5.9253,0.4712,-0.2173,0.2055
1779806393.422,start,-0.8907,8.6980,-0.0303,-6.0354,0.4337,-0.1939,0.2022
1779806393.431,start,-1.0615,8.7652,-0.1340,-6.1607,0.4204,-0.1930,0.2023
1779806393.442,start,-1.0577,8.5910,-0.1350,-6.0667,0.4033,-0.1659,0.2014
1779806393.451,start,-1.0234,8.3963,-0.1321,-6.0025,0.4184,-0.1899,0.2043
1779806393.461,start,-0.9959,8.5969,-0.1033,-6.0428,0.4115,-0.1602,0.2036
1779806393.473,start,-0.9842,8.6023,-0.1075,-6.0793,0.4217,-0.1603,0.2054
1779806393.484,start,-0.8810,8.5875,-0.0557,-6.1469,0.4147,-0.1437,0.2067
1779806393.492,start,-0.8810,8.5875,-0.0557,-6.1469,0.4147,-0.1437,0.2067
1779806393.502,start,-0.8332,8.0320,-0.0561,-5.8340,0.3913,-0.2018,0.2088
1779806393.511,start,-1.1337,8.9179,-0.1584,-6.2133,0.3649,-0.1793,0.2045
1779806393.522,start,-1.7000,8.4536,-0.5674,-5.9844,0.3358,-0.2219,0.2044
1779806393.531,start,-1.0656,8.3821,-0.1149,-5.8796,0.3434,-0.2292,0.2004
1779806393.543,start,-0.9322,8.3132,-0.0210,-5.8171,0.3507,-0.2860,0.1994
1779806393.552,start,-0.8619,8.3204,0.1348,-5.8306,0.3649,-0.2868,0.1984
1779806393.562,start,-0.8126,8.4316,0.1875,-5.9047,0.3949,-0.2738,0.1978
1779806393.571,start,-0.7810,8.4721,0.2453,-5.9746,0.4112,-0.2939,0.2003
1779806393.582,start,-0.8030,8.4720,0.2569,-5.8711,0.3968,-0.2891,0.1994
1779806393.593,start,-0.8196,8.2491,0.2353,-5.7701,0.4184,-0.3416,0.2028
1779806393.602,start,-0.8143,8.0402,0.2822,-5.7133,0.4038,-0.3336,0.2000
1779806393.612,start,-0.8469,8.1243,0.2286,-5.7069,0.4064,-0.3473,0.1994
1779806393.622,start,-0.8799,8.2291,0.2373,-5.7632,0.4039,-0.3275,0.1972
1779806393.632,start,-0.8648,8.3199,0.2622,-5.7536,0.4124,-0.3373,0.1950
1779806393.642,start,-0.9027,8.4303,0.2310,-5.7880,0.4169,-0.3564,0.1966
1779806393.653,start,-0.8434,8.4709,0.2697,-5.8363,0.3932,-0.3178,0.1958
1779806393.661,start,-0.7555,8.3765,0.3030,-5.9187,0.4135,-0.2989,0.2006
1779806393.671,start,-0.7038,8.3804,0.3571,-5.9408,0.4168,-0.2487,0.2031
1779806393.682,start,-0.8439,8.2852,0.2842,-5.8645,0.4334,-0.2771,0.2080
1779806393.692,start,-0.9322,8.3793,0.2353,-5.8779,0.4326,-0.2600,0.2104
1779806393.702,start,-0.9251,8.5007,0.2337,-5.9887,0.4279,-0.2380,0.2089
1779806393.712,start,-0.9090,8.4417,0.2337,-6.1466,0.4266,-0.2004,0.2094
1779806393.723,start,-0.8438,8.5815,0.2756,-6.1706,0.4083,-0.1670,0.2057
1779806393.732,start,-0.8438,8.5815,0.2756,-6.1706,0.4083,-0.1670,0.2057
1779806393.741,start,-0.8484,8.6607,0.2837,-6.0655,0.4206,-0.1963,0.2053
1779806393.752,start,-0.7789,8.6484,0.3364,-6.1349,0.4521,-0.2017,0.2075
1779806393.762,start,-0.7466,8.5480,0.3580,-6.1910,0.4539,-0.1462,0.2082
1779806393.771,start,-0.7896,8.3998,0.3354,-6.0941,0.4417,-0.1588,0.2078
1779806393.782,start,-0.9878,8.3160,0.2173,-6.0204,0.4270,-0.2154,0.2102
1779806393.792,start,-1.0604,8.4654,0.1565,-5.9687,0.4071,-0.2446,0.2090
1779806393.802,start,-1.0523,8.5758,0.1501,-6.0817,0.4136,-0.2577,0.2115
1779806393.812,start,-0.9353,8.6032,0.2079,-6.1827,0.4069,-0.1999,0.2082
1779806393.824,start,-0.8842,8.4564,0.2448,-6.0947,0.4291,-0.2373,0.2077
1779806393.832,start,-0.7942,8.4575,0.3083,-5.9691,0.4422,-0.2604,0.2068
1779806393.842,start,-0.7110,8.4590,0.3568,-5.8889,0.4608,-0.3035,0.2050
1779806393.852,start,-0.7110,8.4590,0.3568,-5.8889,0.4608,-0.3035,0.2050
1779806393.862,start,-0.8654,8.3472,0.2703,-5.8932,0.4260,-0.2903,0.1982
1779806393.872,start,-1.0267,8.1723,0.1605,-5.8782,0.4084,-0.3176,0.1999
1779806393.883,start,-1.0526,8.3382,0.1413,-5.8343,0.3845,-0.3229,0.1989
1779806393.891,start,-1.0142,8.4188,0.1529,-5.8299,0.4048,-0.3730,0.2022
1779806393.902,start,-0.9402,8.4774,0.2048,-5.9447,0.4081,-0.3288,0.2025
1779806393.913,start,-0.9058,8.3824,0.2202,-5.9942,0.4093,-0.2989,0.2034
1779806393.922,start,-0.7930,8.3398,0.2759,-6.0203,0.4113,-0.2850,0.2042
1779806393.933,start,-0.7250,8.4879,0.3235,-5.9481,0.4095,-0.3059,0.2025
1779806393.942,start,-0.8638,8.4644,0.2535,-5.9020,0.4128,-0.3463,0.2058
1779806393.951,start,-0.9328,8.3715,0.2023,-5.9493,0.3823,-0.2860,0.2045
1779806393.962,start,-1.0631,8.2677,0.0938,-6.0560,0.3733,-0.2573,0.2080
1779806393.972,start,-1.0476,8.3480,0.1023,-6.1300,0.3625,-0.2036,0.2080
1779806393.981,start,-0.9713,8.6079,0.1418,-6.1387,0.3803,-0.2325,0.2098
1779806393.991,start,-0.8970,8.5882,0.1870,-6.1139,0.3887,-0.2445,0.2118
1779806394.001,start,-0.8563,8.4376,0.2147,-6.0719,0.3851,-0.2212,0.2098
1779806394.011,start,-0.7755,8.2859,0.2636,-6.1326,0.4038,-0.1986,0.2119
1779806394.023,start,-0.7506,8.4145,0.2936,-6.1648,0.4048,-0.1668,0.2103
1779806394.032,start,-0.8708,8.5343,0.2341,-6.1198,0.4231,-0.2248,0.2130
1779806394.043,start,-0.9248,8.5082,0.2032,-6.0761,0.4137,-0.2194,0.2119
1779806394.051,start,-0.9484,8.2975,0.1646,-6.0488,0.4113,-0.2261,0.2124
1779806394.062,start,-0.9204,8.3169,0.1748,-6.1357,0.4084,-0.1939,0.2116
1779806394.071,start,-0.8108,8.4728,0.2391,-6.1276,0.4221,-0.2063,0.2082
1779806394.082,start,-0.7662,8.5242,0.2794,-6.0675,0.4495,-0.2636,0.2072
1779806394.092,start,-0.7291,8.5083,0.3094,-5.9958,0.4511,-0.2601,0.2029
1779806394.101,start,-0.6258,8.2436,0.3696,-5.9839,0.4742,-0.2731,0.2031
1779806394.111,start,-0.6106,8.3230,0.3940,-6.0584,0.4725,-0.2378,0.1995
