timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1779804814.720,init,-0.7954,6.6041,0.0505,-4.7033,0.2803,-0.0053,0.2307
1779804814.740,init,-0.7929,6.6166,0.0518,-4.6974,0.2809,-0.0046,0.2303
1779804814.775,init,-0.7925,6.6010,0.0505,-4.7029,0.2784,-0.0047,0.2311
1779804814.792,start,-0.7900,6.6080,0.0545,-4.6938,0.2797,-0.0051,0.2308
1779804814.795,start,-0.7933,6.6179,0.0502,-4.7000,0.2809,-0.0045,0.2307
1779804814.807,start,-0.7948,6.6034,0.0502,-4.7025,0.2795,-0.0048,0.2312
1779804814.813,start,-0.7935,6.6147,0.0533,-4.6895,0.2792,-0.0047,0.2301
1779804814.819,start,-0.7964,6.6063,0.0490,-4.7001,0.2786,-0.0047,0.2304
1779804814.820,start,-0.7962,6.6039,0.0513,-4.7020,0.2799,-0.0053,0.2306
1779804814.820,start,-0.7971,6.6167,0.0515,-4.6966,0.2800,-0.0048,0.2300
1779804814.821,start,-0.7935,6.5992,0.0511,-4.7041,0.2773,-0.0049,0.2306
1779804814.828,start,-0.7903,6.6058,0.0556,-4.6968,0.2785,-0.0053,0.2301
1779804814.839,start,-0.7914,6.6157,0.0526,-4.7012,0.2797,-0.0049,0.2301
1779804814.848,start,-0.7923,6.5999,0.0521,-4.7037,0.2780,-0.0051,0.2305
1779804814.859,start,-0.7797,6.6072,0.0629,-4.6876,0.2784,-0.0051,0.2295
1779804814.868,start,-0.8339,6.6097,0.0193,-4.7002,0.2763,-0.0052,0.2300
1779804814.879,start,-0.9323,6.6024,-0.0312,-4.7060,0.2724,-0.0065,0.2300
1779804814.889,start,-0.8982,6.6151,0.0212,-4.6991,0.2705,-0.0098,0.2280
1779804814.898,start,-0.8414,6.5972,0.0880,-4.7002,0.2667,-0.0200,0.2261
1779804814.909,start,-0.9448,6.6042,0.0860,-4.7096,0.2471,-0.0483,0.2225
1779804814.919,start,-1.2142,6.6029,-0.0443,-4.7183,0.2176,-0.1011,0.2193
1779804814.930,start,-1.5317,6.5728,-0.2307,-4.6670,0.1722,-0.1654,0.2169
1779804814.939,start,-1.6197,6.6345,-0.3081,-4.6938,0.1465,-0.2096,0.2141
1779804814.949,start,-1.5007,6.7233,-0.2434,-4.7877,0.1424,-0.2236,0.2130
1779804814.959,start,-1.5814,6.8404,-0.2827,-4.8651,0.1309,-0.2363,0.2111
1779804814.969,start,-1.6052,6.9108,-0.3236,-4.9386,0.1221,-0.2258,0.2088
1779804814.980,start,-1.5064,6.9496,-0.2706,-5.0230,0.1255,-0.2052,0.2100
1779804814.989,start,-1.3526,6.9588,-0.2004,-5.0370,0.1407,-0.2156,0.2098
1779804814.999,start,-1.3844,7.0019,-0.2249,-5.0373,0.1449,-0.2258,0.2111
1779804815.009,start,-1.4400,7.0405,-0.2497,-4.9874,0.1326,-0.2475,0.2122
1779804815.019,start,-1.5685,6.8764,-0.3525,-4.8877,0.1163,-0.2833,0.2118
1779804815.029,start,-1.5556,6.7229,-0.3752,-4.8332,0.1077,-0.2834,0.2129
1779804815.039,start,-1.5305,6.7513,-0.3783,-4.8570,0.1122,-0.2837,0.2150
1779804815.050,start,-1.4601,6.7576,-0.3315,-4.8533,0.1253,-0.2694,0.2152
1779804815.059,start,-1.4174,6.7863,-0.3144,-4.8835,0.1410,-0.2419,0.2177
1779804815.069,start,-1.3821,6.7681,-0.3043,-4.8797,0.1617,-0.2661,0.2190
1779804815.079,start,-1.3508,6.8981,-0.3058,-4.8918,0.1858,-0.2788,0.2196
1779804815.089,start,-1.0282,6.9006,-0.1151,-4.9086,0.2180,-0.2809,0.2199
1779804815.099,start,-0.7494,6.8192,0.0547,-4.8384,0.2559,-0.3073,0.2189
1779804815.109,start,-0.6520,6.6339,0.1471,-4.6510,0.2722,-0.3312,0.2190
1779804815.121,start,-0.7849,6.5021,0.0877,-4.5812,0.2706,-0.3441,0.2208
1779804815.129,start,-1.0759,6.5733,-0.0820,-4.6799,0.2474,-0.3124,0.2211
1779804815.140,start,-1.2077,6.7021,-0.1896,-4.7575,0.2308,-0.2957,0.2206
1779804815.151,start,-1.2060,6.8096,-0.2056,-4.7307,0.2296,-0.3178,0.2181
1779804815.160,start,-1.0773,6.6754,-0.1435,-4.7346,0.2382,-0.3081,0.2162
1779804815.168,start,-0.9143,6.5730,-0.0635,-4.7461,0.2505,-0.2999,0.2167
1779804815.179,start,-0.7124,6.6166,0.0744,-4.6763,0.2740,-0.3280,0.2162
1779804815.191,start,-0.6430,6.6408,0.1332,-4.6272,0.2992,-0.3309,0.2157
1779804815.199,start,-0.7566,6.6789,0.0890,-4.7226,0.3027,-0.3192,0.2176
1779804815.209,start,-0.8189,6.7123,0.0427,-4.8053,0.3033,-0.2856,0.2180
1779804815.219,start,-0.8770,6.7821,0.0028,-4.8197,0.2925,-0.2663,0.2188
1779804815.229,start,-0.8473,6.7054,0.0174,-4.7530,0.2864,-0.2831,0.2173
1779804815.239,start,-0.8759,6.6924,-0.0046,-4.7570,0.2732,-0.2698,0.2158
1779804815.248,start,-0.9367,6.7331,-0.0367,-4.7788,0.2625,-0.2658,0.2166
