timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1779806834.074,init,-0.8098,6.3169,0.0378,-4.3859,0.2218,0.2174,0.2183
1779806834.094,init,-0.8068,6.3492,0.0392,-4.4005,0.2208,0.2175,0.2182
1779806834.098,init,-0.8059,6.3494,0.0407,-4.4102,0.2222,0.2177,0.2182
1779806834.104,start,-0.8043,6.3233,0.0418,-4.3964,0.2221,0.2176,0.2182
1779806834.131,start,-0.8037,6.3028,0.0387,-4.3771,0.2206,0.2172,0.2183
1779806834.146,start,-0.8048,6.3012,0.0376,-4.3811,0.2198,0.2171,0.2184
1779806834.148,start,-0.8045,6.3238,0.0384,-4.3984,0.2211,0.2173,0.2184
1779806834.149,start,-0.8035,6.3474,0.0395,-4.4058,0.2206,0.2174,0.2183
1779806834.159,start,-0.8028,6.3426,0.0397,-4.4008,0.2207,0.2174,0.2183
1779806834.185,start,-0.8029,6.3164,0.0399,-4.3930,0.2211,0.2173,0.2183
1779806834.189,start,-0.8033,6.3027,0.0376,-4.3831,0.2201,0.2171,0.2183
1779806834.190,start,-0.8046,6.3157,0.0358,-4.3844,0.2193,0.2171,0.2183
1779806834.213,start,-0.8041,6.3338,0.0372,-4.4003,0.2208,0.2175,0.2183
1779806834.227,start,-0.8016,6.3390,0.0395,-4.4094,0.2209,0.2177,0.2183
1779806834.230,start,-0.7996,6.3324,0.0398,-4.3975,0.2200,0.2175,0.2183
1779806834.232,start,-0.8021,6.3150,0.0398,-4.3840,0.2191,0.2174,0.2183
1779806834.256,start,-0.8071,6.3066,0.0365,-4.3877,0.2197,0.2174,0.2185
1779806834.286,start,-0.8099,6.3209,0.0357,-4.3930,0.2200,0.2175,0.2185
1779806834.288,start,-0.8099,6.3442,0.0365,-4.3995,0.2205,0.2177,0.2185
1779806834.289,start,-0.8080,6.3428,0.0378,-4.4032,0.2208,0.2178,0.2185
1779806834.291,start,-0.8091,6.3264,0.0378,-4.3965,0.2195,0.2177,0.2185
1779806834.292,start,-0.8102,6.3166,0.0368,-4.3856,0.2207,0.2173,0.2185
1779806834.295,start,-0.8096,6.3200,0.0372,-4.3847,0.2206,0.2174,0.2186
1779806834.328,start,-0.8091,6.3302,0.0356,-4.4003,0.2208,0.2175,0.2187
1779806834.333,start,-0.8081,6.3423,0.0373,-4.4012,0.2195,0.2179,0.2187
1779806834.337,start,-0.8097,6.3408,0.0371,-4.3995,0.2216,0.2175,0.2186
1779806834.339,start,-0.8083,6.3240,0.0383,-4.3902,0.2212,0.2177,0.2185
1779806834.351,start,-0.8078,6.3127,0.0361,-4.3880,0.2205,0.2176,0.2185
1779806834.387,start,-0.8085,6.3214,0.0351,-4.3846,0.2194,0.2179,0.2187
1779806834.389,start,-0.8085,6.3348,0.0346,-4.3965,0.2202,0.2179,0.2187
1779806834.390,start,-0.8063,6.3406,0.0360,-4.4024,0.2213,0.2180,0.2188
1779806834.392,start,-0.8041,6.3376,0.0379,-4.3959,0.2211,0.2178,0.2189
1779806834.400,start,-0.8042,6.3290,0.0362,-4.3872,0.2197,0.2178,0.2190
1779806834.423,start,-0.8057,6.3227,0.0355,-4.3898,0.2199,0.2177,0.2190
1779806834.452,start,-0.8062,6.3321,0.0357,-4.3946,0.2218,0.2178,0.2190
1779806834.454,start,-0.8044,6.3455,0.0362,-4.3985,0.2191,0.2179,0.2191
1779806834.486,start,-0.8033,6.3432,0.0353,-4.4033,0.2211,0.2178,0.2191
1779806834.489,start,-0.8035,6.3322,0.0391,-4.3945,0.2225,0.2179,0.2191
1779806834.492,start,-0.8047,6.3239,0.0360,-4.3877,0.2213,0.2177,0.2192
