timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1779803357.470,start,-0.2007,7.2477,0.1136,-5.4557,0.4138,-0.0131,0.2538
1779803357.484,start,-0.1961,7.2591,0.1195,-5.4512,0.4091,-0.0124,0.2525
1779803357.511,start,-0.1954,7.2399,0.1155,-5.4479,0.4214,-0.0139,0.2542
1779803357.515,start,-0.1905,7.2639,0.1240,-5.4545,0.4082,-0.0113,0.2518
1779803357.516,start,-0.1857,7.2346,0.1216,-5.4423,0.4223,-0.0138,0.2537
1779803357.542,start,-0.1934,7.2577,0.1214,-5.4575,0.4071,-0.0116,0.2522
1779803357.544,start,-0.1856,7.2501,0.1220,-5.4455,0.4166,-0.0138,0.2532
1779803357.546,start,-0.1984,7.2532,0.1150,-5.4565,0.4120,-0.0130,0.2533
1779803357.553,start,-0.1888,7.2605,0.1226,-5.4500,0.4109,-0.0131,0.2525
1779803357.555,start,-0.1913,7.2456,0.1176,-5.4492,0.4202,-0.0144,0.2540
1779803357.563,start,-0.1849,7.2676,0.1262,-5.4510,0.4085,-0.0123,0.2519
1779803357.597,start,-0.1850,7.2389,0.1200,-5.4418,0.4226,-0.0145,0.2539
1779803357.609,start,-0.1918,7.2680,0.1196,-5.4586,0.4060,-0.0119,0.2523
1779803357.611,start,-0.1859,7.2503,0.1177,-5.4451,0.4174,-0.0144,0.2536
1779803357.612,start,-0.1943,7.2583,0.1155,-5.4570,0.4090,-0.0130,0.2531
1779803357.614,start,-0.1825,7.2579,0.1243,-5.4480,0.4119,-0.0134,0.2529
1779803357.627,start,-0.1876,7.2462,0.1197,-5.4496,0.4179,-0.0139,0.2540
1779803357.652,start,-0.1846,7.2639,0.1269,-5.4469,0.4085,-0.0124,0.2520
1779803357.653,start,-0.1923,7.2404,0.1166,-5.4427,0.4218,-0.0143,0.2539
1779803357.655,start,-0.2005,7.2693,0.1159,-5.4572,0.4057,-0.0118,0.2518
1779803357.668,start,-0.1928,7.2445,0.1143,-5.4426,0.4192,-0.0143,0.2535
1779803357.705,start,-0.2004,7.2558,0.1146,-5.4565,0.4076,-0.0122,0.2524
1779803357.730,start,-0.1839,7.2468,0.1238,-5.4460,0.4140,-0.0134,0.2528
1779803357.760,start,-0.1901,7.2394,0.1186,-5.4522,0.4158,-0.0136,0.2536
1779803357.816,start,-0.2011,7.2566,0.1154,-5.4538,0.4066,-0.0116,0.2516
1779803357.857,start,-0.1833,7.2483,0.1216,-5.4456,0.4169,-0.0141,0.2530
1779803357.860,start,-0.1888,7.2601,0.1229,-5.4478,0.4113,-0.0132,0.2527
1779803357.862,start,-0.2015,7.2371,0.1111,-5.4475,0.4206,-0.0142,0.2543
1779803357.863,start,-0.2010,7.2593,0.1156,-5.4519,0.4079,-0.0118,0.2521
1779803357.865,start,-0.1929,7.2358,0.1141,-5.4398,0.4225,-0.0143,0.2539
1779803357.866,start,-0.1901,7.2645,0.1207,-5.4561,0.4077,-0.0117,0.2523
1779803357.867,start,-0.1743,7.2486,0.1269,-5.4443,0.4195,-0.0142,0.2535
1779803357.887,start,-0.1821,7.2606,0.1244,-5.4569,0.4124,-0.0132,0.2532
1779803357.930,start,-0.1807,7.2638,0.1269,-5.4469,0.4125,-0.0137,0.2528
1779803358.278,start,-0.1919,7.2486,0.1159,-5.4544,0.4153,-0.0138,0.2529
1779803358.293,start,-0.1897,7.2583,0.1197,-5.4568,0.4087,-0.0123,0.2519
1779803358.296,start,-0.1822,7.2540,0.1236,-5.4484,0.4155,-0.0138,0.2524
1779803358.320,start,-0.1901,7.2614,0.1224,-5.4478,0.4101,-0.0126,0.2520
1779803358.322,start,-0.1944,7.2390,0.1154,-5.4476,0.4223,-0.0141,0.2537
1779803358.323,start,-0.1944,7.2590,0.1214,-5.4539,0.4088,-0.0115,0.2514
1779803358.324,start,-0.1909,7.2352,0.1178,-5.4393,0.4229,-0.0142,0.2533
1779803358.326,start,-0.1977,7.2603,0.1177,-5.4539,0.4078,-0.0119,0.2519
1779803358.327,start,-0.1889,7.2504,0.1199,-5.4436,0.4173,-0.0138,0.2526
1779803358.329,start,-0.1975,7.2525,0.1150,-5.4539,0.4132,-0.0128,0.2527
1779803358.368,start,-0.1878,7.2606,0.1230,-5.4438,0.4110,-0.0128,0.2519
1779803358.405,start,-0.1933,7.2412,0.1169,-5.4468,0.4212,-0.0138,0.2535
1779803358.413,start,-0.1919,7.2615,0.1226,-5.4508,0.4087,-0.0115,0.2514
1779803358.414,start,-0.1931,7.2390,0.1160,-5.4409,0.4221,-0.0137,0.2534
1779803358.415,start,-0.1994,7.2685,0.1174,-5.4552,0.4061,-0.0112,0.2518
1779803358.417,start,-0.1899,7.2479,0.1183,-5.4426,0.4179,-0.0137,0.2531
1779803358.442,start,-0.1955,7.2529,0.1162,-5.4533,0.4099,-0.0124,0.2528
1779803358.444,start,-0.1871,7.2583,0.1221,-5.4432,0.4123,-0.0129,0.2526
1779803358.445,start,-0.1965,7.2424,0.1142,-5.4458,0.4192,-0.0134,0.2540
1779803358.447,start,-0.1919,7.2609,0.1211,-5.4476,0.4095,-0.0118,0.2521
1779803358.498,start,-0.1935,7.2726,0.1187,-5.4562,0.4077,-0.0112,0.2516
1779803358.507,start,-0.1835,7.2477,0.1194,-5.4427,0.4210,-0.0139,0.2532
1779803358.545,start,-0.1932,7.2453,0.1156,-5.4508,0.4170,-0.0135,0.2535
1779803358.547,start,-0.1925,7.2585,0.1202,-5.4500,0.4101,-0.0123,0.2520
