timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1779804484.737,init,-0.2753,6.4213,0.1278,-4.4772,0.3416,-0.0293,0.2481
1779804484.740,start,-0.2803,6.3935,0.1329,-4.4945,0.3475,-0.0290,0.2486
1779804484.745,start,-0.2735,6.4591,0.1295,-4.4148,0.3387,-0.0299,0.2482
1779804484.775,start,-0.2724,6.4652,0.1254,-4.4487,0.3381,-0.0291,0.2481
1779804484.782,start,-0.2783,6.4005,0.1315,-4.5071,0.3453,-0.0282,0.2486
1779804484.794,start,-0.2795,6.4311,0.1289,-4.4625,0.3460,-0.0297,0.2485
1779804484.947,start,-0.2720,6.4742,0.1234,-4.4222,0.3339,-0.0283,0.2479
1779804484.954,start,-0.2725,6.4064,0.1263,-4.4804,0.3424,-0.0284,0.2485
1779804484.966,start,-0.2767,6.3889,0.1308,-4.4910,0.3483,-0.0286,0.2489
1779804484.992,start,-0.2731,6.4637,0.1228,-4.4597,0.3397,-0.0287,0.2483
1779804484.994,start,-0.2788,6.4010,0.1295,-4.5120,0.3466,-0.0277,0.2487
1779804485.011,start,-0.2810,6.4280,0.1273,-4.4537,0.3460,-0.0292,0.2485
1779804485.013,start,-0.2770,6.4717,0.1224,-4.4179,0.3341,-0.0282,0.2475
1779804485.042,start,-0.2800,6.3995,0.1309,-4.4893,0.3483,-0.0283,0.2486
1779804485.043,start,-0.2754,6.4753,0.1270,-4.4147,0.3382,-0.0290,0.2479
1779804485.066,start,-0.2782,6.3970,0.1307,-4.5087,0.3473,-0.0273,0.2485
1779804485.068,start,-0.2773,6.4259,0.1286,-4.4483,0.3463,-0.0291,0.2484
1779804485.069,start,-0.2716,6.4712,0.1238,-4.4203,0.3343,-0.0281,0.2476
1779804485.070,start,-0.2736,6.4066,0.1270,-4.4854,0.3424,-0.0281,0.2483
1779804485.072,start,-0.2775,6.4039,0.1311,-4.4924,0.3478,-0.0284,0.2490
1779804485.074,start,-0.2737,6.4792,0.1262,-4.4187,0.3368,-0.0290,0.2481
1779804485.109,start,-0.2724,6.4609,0.1233,-4.4610,0.3393,-0.0284,0.2482
1779804485.130,start,-0.2763,6.3907,0.1298,-4.5070,0.3459,-0.0272,0.2487
1779804485.131,start,-0.2753,6.4236,0.1276,-4.4426,0.3442,-0.0290,0.2484
1779804485.133,start,-0.2710,6.4717,0.1224,-4.4219,0.3330,-0.0280,0.2474
1779804485.164,start,-0.2715,6.4097,0.1266,-4.4895,0.3422,-0.0280,0.2482
1779804485.231,start,-0.2709,6.4807,0.1222,-4.4303,0.3339,-0.0284,0.2472
1779804485.233,start,-0.2715,6.4134,0.1270,-4.4958,0.3429,-0.0283,0.2478
1779804485.238,start,-0.2750,6.4115,0.1306,-4.4911,0.3485,-0.0288,0.2482
1779804485.244,start,-0.2706,6.4773,0.1255,-4.4141,0.3363,-0.0290,0.2474
1779804485.346,start,-0.2766,6.3977,0.1278,-4.5097,0.3461,-0.0275,0.2482
1779804485.348,start,-0.2727,6.4471,0.1274,-4.4449,0.3428,-0.0290,0.2478
1779804485.349,start,-0.2708,6.4816,0.1234,-4.4347,0.3334,-0.0280,0.2468
1779804485.350,start,-0.2732,6.4039,0.1287,-4.4944,0.3419,-0.0277,0.2475
1779804485.352,start,-0.2772,6.4020,0.1309,-4.4801,0.3468,-0.0285,0.2480
1779804485.353,start,-0.2726,6.4707,0.1259,-4.4094,0.3345,-0.0285,0.2472
1779804485.355,start,-0.2746,6.4508,0.1227,-4.4654,0.3396,-0.0282,0.2477
1779804485.425,start,-0.2767,6.4469,0.1267,-4.4429,0.3424,-0.0286,0.2481
1779804485.441,start,-0.2724,6.4778,0.1217,-4.4374,0.3336,-0.0277,0.2472
1779804485.443,start,-0.2729,6.4016,0.1267,-4.4961,0.3420,-0.0276,0.2478
1779804485.444,start,-0.2772,6.4013,0.1278,-4.4783,0.3468,-0.0284,0.2482
1779804485.447,start,-0.2726,6.4686,0.1227,-4.4106,0.3344,-0.0282,0.2473
1779804485.449,start,-0.2743,6.4414,0.1202,-4.4667,0.3400,-0.0280,0.2478
1779804485.451,start,-0.2796,6.3944,0.1271,-4.5081,0.3466,-0.0272,0.2484
1779804485.453,start,-0.2743,6.4481,0.1248,-4.4391,0.3423,-0.0287,0.2483
1779804485.454,start,-0.2699,6.4759,0.1208,-4.4383,0.3342,-0.0278,0.2476
1779804485.529,start,-0.2759,6.4088,0.1284,-4.4782,0.3472,-0.0287,0.2485
1779804485.534,start,-0.2728,6.4752,0.1227,-4.4136,0.3344,-0.0286,0.2474
1779804485.627,start,-0.2748,6.4332,0.1217,-4.4685,0.3407,-0.0285,0.2477
1779804485.659,start,-0.2754,6.4066,0.1279,-4.5078,0.3437,-0.0276,0.2481
1779804485.674,start,-0.2779,6.4179,0.1281,-4.4779,0.3475,-0.0288,0.2484
1779804485.697,start,-0.2777,6.3809,0.1284,-4.4985,0.3479,-0.0278,0.2483
1779804485.722,start,-0.2709,6.4782,0.1206,-4.4475,0.3359,-0.0280,0.2476
1779804485.723,start,-0.2737,6.4070,0.1270,-4.5093,0.3437,-0.0275,0.2481
1779804485.730,start,-0.2758,6.4195,0.1269,-4.4728,0.3474,-0.0288,0.2484
1779804485.734,start,-0.2693,6.4719,0.1224,-4.4081,0.3344,-0.0282,0.2474
1779804485.762,start,-0.2686,6.4210,0.1227,-4.4663,0.3419,-0.0283,0.2477
1779804485.764,start,-0.2727,6.3837,0.1294,-4.4987,0.3484,-0.0276,0.2484
1779804485.785,start,-0.2684,6.4789,0.1207,-4.4498,0.3368,-0.0278,0.2478
1779804485.787,start,-0.2727,6.4056,0.1269,-4.5105,0.3443,-0.0273,0.2482
1779804485.788,start,-0.2740,6.4178,0.1267,-4.4707,0.3469,-0.0288,0.2483
1779804485.790,start,-0.2680,6.4703,0.1222,-4.4090,0.3338,-0.0284,0.2473
1779804485.790,start,-0.2702,6.4198,0.1225,-4.4690,0.3415,-0.0285,0.2476
1779804485.791,start,-0.2751,6.3886,0.1288,-4.4992,0.3481,-0.0278,0.2481
1779804485.792,start,-0.2714,6.4599,0.1251,-4.4268,0.3406,-0.0289,0.2477
1779804485.794,start,-0.2697,6.4760,0.1202,-4.4498,0.3371,-0.0282,0.2475
1779804485.796,start,-0.2728,6.4000,0.1269,-4.5088,0.3446,-0.0278,0.2478
1779804485.800,start,-0.2751,6.4114,0.1265,-4.4678,0.3465,-0.0291,0.2480
1779804485.801,start,-0.2701,6.4675,0.1214,-4.4135,0.3337,-0.0286,0.2471
1779804485.807,start,-0.2734,6.4201,0.1214,-4.4746,0.3416,-0.0287,0.2475
1779804485.815,start,-0.2760,6.3912,0.1283,-4.5016,0.3481,-0.0283,0.2481
1779804485.825,start,-0.2706,6.4594,0.1257,-4.4245,0.3403,-0.0295,0.2480
1779804485.835,start,-0.2669,6.4673,0.1228,-4.4497,0.3379,-0.0286,0.2478
1779804485.846,start,-0.2694,6.3887,0.1323,-4.5032,0.3449,-0.0280,0.2484
1779804485.856,start,-0.2318,6.3986,0.1511,-4.4568,0.3473,-0.0298,0.2485
1779804485.865,start,-0.2093,6.4474,0.1601,-4.4055,0.3338,-0.0302,0.2472
1779804485.875,start,-0.2141,6.4029,0.1710,-4.4745,0.3382,-0.0334,0.2469
1779804485.884,start,-0.2201,6.4002,0.2175,-4.5075,0.3371,-0.0416,0.2453
